Date,Close,Open,High,Low,Volume
3/18/2020,,,,,
3/19/2020,45.25,40.0,46.0,40.0,7000.0
3/20/2020,45.0,45.01,46.01,45.0,8057.0
3/23/2020,40.0,42.0,42.0,39.98,11888.0
3/24/2020,40.0,40.0,40.0,39.0,77832.0
3/25/2020,41.01,40.0,44.8,38.0,6995.0
3/26/2020,45.0,45.0,47.5,44.25,29072.0
3/27/2020,45.24,45.0,47.5,44.99,77034.0
3/30/2020,50.0,44.25,50.0,44.25,117962.0
3/31/2020,50.0,46.5,50.0,44.78,210314.0
4/1/2020,46.7,45.99,48.5,44.0,1206140.0
4/2/2020,44.0,45.02,48.66,43.2,9263079.0
4/3/2020,47.32,43.75,49.3,41.8,22516355.0
4/6/2020,45.94,47.0,47.85,44.7,10292919.0
4/7/2020,44.28,45.15,46.99,42.93,12146546.0
4/8/2020,44.09,42.21,45.2,41.26,22260229.0
4/9/2020,49.14,44.05,50.25,44.0,17355648.0
4/13/2020,46.0,48.55,48.67,45.72,8545210.0
4/14/2020,45.89,45.91,46.3,43.97,10152133.0
4/15/2020,44.55,44.19,44.85,42.8,7898296.0
4/16/2020,45.62,44.08,46.41,43.55,8718600.0
4/17/2020,46.15,47.0,48.56,45.92,7859608.0
4/20/2020,45.39,45.0,46.98,44.9,5406341.0
4/21/2020,45.9,44.5,47.2,44.5,6795193.0
4/22/2020,47.05,47.31,49.55,46.0,6426285.0
4/23/2020,47.47,47.44,48.04,46.48,5161206.0
4/24/2020,47.85,48.02,48.5,46.31,6276847.0
4/27/2020,48.22,48.08,48.6,47.61,5541214.0
4/28/2020,49.86,49.07,50.95,48.65,5368208.0
4/29/2020,51.15,50.77,51.73,49.71,4343469.0
4/30/2020,50.91,50.97,51.6,50.5,6115634.0
5/1/2020,49.71,50.33,50.53,48.31,3082578.0
5/4/2020,49.53,48.85,49.67,47.51,5673958.0
5/5/2020,48.09,49.53,50.64,47.96,4101513.0
5/6/2020,48.31,48.61,49.0,47.89,2925886.0
5/7/2020,51.81,49.02,53.29,48.99,4803320.0
5/8/2020,52.95,52.12,54.17,52.11,4289288.0
5/11/2020,51.81,52.0,52.4,51.06,3073030.0
5/12/2020,49.72,52.19,52.29,49.69,3059907.0
5/13/2020,48.21,49.0,50.3,47.89,4457649.0
5/14/2020,48.0,47.61,48.4,47.23,4848176.0
5/15/2020,48.89,47.32,49.22,47.2,2971164.0
5/18/2020,52.13,50.12,52.34,50.12,4421749.0
5/19/2020,52.31,51.68,52.93,51.06,2050277.0
5/20/2020,53.18,52.55,54.7,52.48,4755173.0
5/21/2020,52.03,52.36,53.55,51.87,3813099.0
5/22/2020,51.71,52.46,52.72,50.92,2134267.0
5/26/2020,50.89,53.03,53.99,50.7,6189909.0
5/27/2020,52.38,51.59,52.65,50.77,4693640.0
5/28/2020,50.96,52.87,52.95,50.93,4213594.0
5/29/2020,52.65,50.44,52.87,50.18,7218441.0
6/1/2020,54.08,52.45,54.44,52.11,3073320.0
6/2/2020,54.15,54.16,54.75,53.29,2620447.0
6/3/2020,55.47,55.0,55.58,54.55,4126908.0
6/4/2020,55.4,55.3,56.66,54.69,3274355.0
6/5/2020,58.57,57.83,58.71,56.0,4611813.0
6/8/2020,61.26,58.68,61.32,58.36,5907571.0
6/9/2020,60.65,60.4,61.46,59.24,4609171.0
6/10/2020,59.03,60.61,60.96,59.02,2449322.0
6/11/2020,56.25,56.0,58.07,55.7,3270995.0
6/12/2020,56.04,57.73,58.98,55.1,4312905.0
6/15/2020,57.67,54.51,57.8,53.83,3502233.0
6/16/2020,57.85,59.5,59.8,57.38,3297863.0
6/17/2020,56.74,58.12,58.19,56.46,2441417.0
6/18/2020,57.49,56.44,57.68,56.24,2137407.0
6/19/2020,57.0,58.96,58.96,55.95,6830127.0
6/22/2020,57.06,56.88,58.18,56.64,1969753.0
6/23/2020,56.8,57.69,57.87,56.59,2386949.0
6/24/2020,55.54,56.15,56.97,55.25,3019687.0
6/25/2020,56.2,55.05,56.5,54.76,2429623.0
6/26/2020,55.79,56.23,56.48,54.44,6078299.0
6/29/2020,56.57,55.89,56.8,55.33,2252528.0
6/30/2020,56.86,55.97,57.1,55.51,2511217.0
7/1/2020,55.78,57.0,57.0,55.75,2400092.0
7/2/2020,56.5,56.43,57.24,55.77,3162676.0
7/6/2020,56.86,57.38,57.58,56.43,1998442.0
7/7/2020,56.82,56.43,57.31,56.12,2537942.0
7/8/2020,56.92,57.03,57.15,56.27,6694889.0
7/9/2020,56.11,56.86,57.94,56.07,2424202.0
7/10/2020,56.98,56.23,57.31,56.04,2135035.0
7/13/2020,56.89,56.56,57.94,56.47,1916912.0
7/14/2020,57.37,56.22,57.45,56.03,2755365.0
7/15/2020,58.2,58.01,59.0,57.86,2358078.0
7/16/2020,58.32,58.0,58.56,57.66,2623869.0
7/17/2020,58.55,58.73,59.03,58.15,2982584.0
7/20/2020,58.56,58.42,59.65,57.99,2407746.0
7/21/2020,58.44,58.38,58.94,58.1,2313502.0
