Date,Close,Open,High,Low,Volume
1980-03-17,11.27,,12.35,11.27,230900.0
1980-03-18,12.17,,12.17,11.15,454900.0
1980-03-19,11.93,,12.35,11.87,247800.0
1980-03-20,11.69,,11.99,11.63,112600.0
1980-03-21,11.57,,11.75,11.51,178900.0
1980-03-24,11.03,,11.99,10.97,180100.0
1980-03-25,10.97,,11.15,10.79,241400.0
1980-03-26,10.85,,11.27,10.85,142800.0
1980-03-27,10.61,,10.67,9.11,630900.0
1980-03-28,10.85,,11.09,10.25,291700.0
1980-03-31,10.91,,11.09,10.85,182300.0
1980-04-01,11.03,,11.15,10.91,119600.0
1980-04-02,11.27,,11.51,11.03,157300.0
1980-04-03,11.03,,11.33,10.97,114500.0
1980-04-07,10.73,,10.85,10.55,169600.0
1980-04-08,10.85,,10.85,10.55,128700.0
1980-04-09,11.15,,11.15,10.79,185300.0
1980-04-10,11.03,,11.33,11.03,169000.0
1980-04-11,10.97,,11.15,10.97,103200.0
1980-04-14,10.55,,11.03,10.43,175900.0
1980-04-15,10.55,,10.67,10.43,154800.0
1980-04-16,10.31,,10.85,10.31,229800.0
1980-04-17,10.37,,10.43,10.13,223700.0
1980-04-18,10.13,,10.49,10.07,281000.0
1980-04-21,9.89,,10.19,9.83,297000.0
1980-04-22,10.97,,11.15,10.19,401300.0
1980-04-23,11.33,,12.77,10.97,440800.0
1980-04-24,11.51,,11.69,11.39,212200.0
1980-04-25,11.39,,11.39,11.09,147000.0
1980-04-28,10.85,,11.45,10.79,184200.0
1980-04-29,11.09,,11.09,10.85,138100.0
1980-04-30,11.33,,11.39,10.97,129500.0
1980-05-01,11.03,,11.33,11.03,107200.0
1980-05-02,10.97,,11.09,10.97,73400.0
1980-05-05,11.03,,11.03,10.85,107000.0
1980-05-06,10.97,,11.21,10.85,151800.0
1980-05-07,10.91,,11.03,10.85,139700.0
1980-05-08,10.73,,10.97,10.67,102900.0
1980-05-09,10.37,,10.73,10.37,307900.0
1980-05-12,10.49,,10.49,10.31,189000.0
1980-05-13,10.91,,10.91,10.49,180200.0
1980-05-14,10.91,,10.97,10.79,135200.0
1980-05-15,11.03,,11.27,10.91,276000.0
1980-05-16,11.33,,11.33,11.15,182900.0
1980-05-19,10.97,,11.27,10.91,262200.0
1980-05-20,10.85,,11.03,10.73,266600.0
1980-05-21,11.87,,11.87,10.67,749300.0
1980-05-22,11.87,,12.29,11.81,697800.0
1980-05-23,11.93,,12.17,11.75,257900.0
1980-05-27,12.05,,12.11,11.93,313000.0
1980-05-28,12.11,,12.11,11.87,247000.0
1980-05-29,12.17,,12.35,12.05,332300.0
1980-05-30,12.71,,12.71,12.11,264800.0
1980-06-02,12.71,,12.83,12.65,563800.0
1980-06-03,12.71,,12.77,12.53,262200.0
1980-06-04,12.53,,12.59,12.41,184200.0
1980-06-05,12.47,,12.83,12.41,234300.0
1980-06-06,12.41,,12.53,12.29,142000.0
1980-06-09,13.07,,13.07,12.41,418200.0
1980-06-10,12.95,,13.19,12.95,311600.0
1980-06-11,12.95,,13.07,12.89,155600.0
1980-06-12,12.95,,13.19,12.83,492000.0
1980-06-13,13.13,,13.19,12.95,196600.0
1980-06-16,13.13,,13.13,12.89,188300.0
1980-06-17,13.25,,13.49,13.07,636700.0
1980-06-18,13.25,,13.25,13.07,205400.0
1980-06-19,13.01,,13.31,12.95,210900.0
1980-06-20,12.95,,13.01,12.77,216700.0
1980-06-23,13.07,,13.07,12.77,142100.0
1980-06-24,13.31,,13.31,12.95,208200.0
