Date,Close,Open,High,Low,Volume
2012-07-20,8.85,9.19,10.34,8.85,42096762.0
2012-07-23,8.58,8.77,9.0,8.52,4730351.0
2012-07-24,9.25,8.67,9.33,8.59,4300261.0
2012-07-25,9.82,9.42,9.83,9.22,3597683.0
2012-07-26,9.98,9.96,10.31,9.68,2566831.0
2012-07-27,9.5,10.15,10.15,9.5,920121.0
2012-07-30,9.17,9.48,9.48,8.99,1658374.0
2012-07-31,9.52,9.17,9.52,8.7,1712423.0
2012-08-01,9.36,9.79,9.79,9.19,664860.0
2012-08-02,9.18,9.28,10.0,8.88,995835.0
2012-08-03,9.13,9.44,9.48,9.04,1745075.0
2012-08-06,9.13,9.28,9.32,8.95,937353.0
2012-08-07,9.47,9.17,9.57,9.09,2194413.0
2012-08-08,10.15,9.37,10.17,9.31,3023658.0
2012-08-09,10.22,10.17,10.41,9.98,1758797.0
2012-08-10,10.22,10.17,10.66,10.08,1710179.0
2012-08-13,10.45,10.18,10.51,10.0,1331995.0
2012-08-14,9.97,10.69,10.73,9.89,2841928.0
2012-08-15,10.45,9.93,10.48,9.62,1522431.0
2012-08-16,11.08,10.58,11.15,10.31,2231200.0
2012-08-17,11.21,11.18,11.42,10.81,2307365.0
2012-08-20,10.91,11.13,11.19,10.83,1619938.0
2012-08-21,10.72,10.91,11.07,10.55,1485410.0
2012-08-22,10.54,10.84,10.86,10.52,747919.0
2012-08-23,10.69,10.53,10.81,10.42,1291230.0
2012-08-24,10.79,10.57,10.96,10.54,1217262.0
2012-08-27,10.61,10.84,10.97,10.44,1061662.0
2012-08-28,10.65,10.62,10.73,10.48,624918.0
2012-08-29,10.79,10.7,10.85,10.52,971943.0
2012-08-30,10.57,10.78,11.11,10.54,1379137.0
2012-08-31,10.73,10.75,10.76,10.52,553421.0
2012-09-04,11.7,10.88,11.71,10.65,4606852.0
2012-09-05,11.67,12.1,12.1,11.52,2837878.0
2012-09-06,11.9,11.78,12.0,11.73,1348411.0
2012-09-07,11.79,12.03,12.04,11.56,3541055.0
2012-09-10,11.96,11.92,12.1,11.85,8309411.0
2012-09-11,11.1,11.12,11.62,10.72,18155185.0
2012-09-12,10.81,11.28,11.37,10.79,4134305.0
2012-09-13,11.33,10.79,11.37,10.79,4606660.0
2012-09-14,11.16,11.43,11.49,11.15,2548003.0
2012-09-17,11.32,11.12,11.33,11.1,890234.0
2012-09-18,11.53,11.17,11.72,11.17,2595007.0
2012-09-19,11.33,11.49,11.5,11.25,2348459.0
2012-09-20,10.84,11.11,11.23,10.77,1551621.0
2012-09-21,10.67,10.91,10.92,10.37,3152281.0
2012-09-24,10.78,10.66,10.81,10.4,1827774.0
2012-09-25,10.69,10.9,11.09,10.69,2271550.0
2012-09-26,10.54,10.66,10.66,10.42,2356157.0
2012-09-27,10.84,10.67,10.87,10.56,2256592.0
2012-09-28,10.26,10.83,10.88,10.21,6389739.0
2012-10-01,10.1,10.27,10.53,10.04,2384585.0
2012-10-02,10.33,10.27,10.4,10.0,2213968.0
2012-10-03,10.98,10.47,11.04,10.36,4986199.0
2012-10-04,10.96,10.97,10.99,10.76,1057228.0
2012-10-05,10.33,10.87,10.94,10.15,4583037.0
2012-10-08,10.34,10.39,10.47,10.24,1181759.0
2012-10-09,10.33,10.19,10.48,10.16,1481996.0
2012-10-10,10.24,10.27,10.58,10.23,3275108.0
2012-10-11,10.16,10.34,10.41,10.12,1774355.0
2012-10-12,10.49,10.42,10.52,10.18,1922407.0
2012-10-15,10.92,10.52,10.97,10.49,1770377.0
2012-10-16,10.93,10.98,10.99,10.72,1565217.0
2012-10-17,10.92,10.87,11.17,10.75,4474724.0
2012-10-18,10.32,10.68,10.68,10.28,24424456.0
2012-10-19,10.0,10.31,10.46,9.83,5164515.0
2012-10-22,10.0,10.02,10.18,10.0,3093648.0
2012-10-23,9.96,10.0,10.02,9.59,5323055.0
2012-10-24,9.96,10.08,10.09,9.81,2004074.0
