Date,Close,Open,High,Low,Volume
1990-06-18,27.25,,27.38,27.25,2000.0
1990-06-19,26.75,,27.0,26.5,8100.0
1990-06-20,26.13,,26.5,26.13,5600.0
1990-06-21,25.75,,26.0,25.63,7700.0
1990-06-22,26.0,,26.0,26.0,2000.0
1990-06-25,25.5,,25.75,25.5,4100.0
1990-06-26,24.75,,25.5,24.75,6600.0
1990-06-27,25.0,,25.0,25.0,10500.0
1990-06-28,25.0,,25.25,24.75,9300.0
1990-06-29,25.25,,25.25,25.0,1600.0
1990-07-02,25.13,,25.13,24.88,2900.0
1990-07-03,24.75,,25.25,24.75,17900.0
1990-07-05,24.0,,24.5,24.0,3000.0
1990-07-06,24.0,,24.0,24.0,4800.0
1990-07-09,23.5,,23.75,23.5,9000.0
1990-07-10,23.38,,23.38,23.0,26300.0
1990-07-11,22.25,,23.13,22.0,22100.0
1990-07-12,22.0,,22.13,21.75,5700.0
1990-07-13,21.5,,22.0,21.25,28000.0
1990-07-16,22.0,,22.0,21.13,36400.0
1990-07-17,22.25,,22.25,22.0,19400.0
1990-07-18,22.0,,22.25,21.75,42200.0
1990-07-19,22.25,,22.25,22.13,3000.0
1990-07-20,22.25,,22.5,22.0,5100.0
1990-07-23,22.0,,22.0,21.75,11700.0
1990-07-24,22.25,,22.25,22.25,700.0
1990-07-25,23.0,,23.0,22.25,13200.0
1990-07-26,21.88,,22.75,21.75,11700.0
1990-07-27,21.75,,21.75,21.63,600.0
1990-07-30,21.38,,21.63,21.38,5300.0
1990-07-31,20.88,,21.25,20.75,17100.0
1990-08-01,20.75,,20.75,20.75,16100.0
1990-08-02,20.25,,20.5,20.25,2300.0
1990-08-03,19.63,,20.0,19.0,12600.0
1990-08-06,18.5,,19.25,18.5,2000.0
1990-08-07,18.63,,18.75,18.25,12600.0
1990-08-08,18.13,,18.5,18.0,3000.0
1990-08-09,18.63,,18.63,18.0,2900.0
1990-08-10,18.38,,18.75,18.13,5200.0
1990-08-13,18.38,,18.38,18.13,6100.0
1990-08-14,18.38,,18.5,18.0,7200.0
1990-08-15,18.25,,18.88,18.0,74600.0
1990-08-16,18.0,,18.13,17.75,26500.0
1990-08-17,16.5,,17.63,16.25,15500.0
1990-08-20,17.13,,17.13,16.5,11000.0
1990-08-21,17.25,,17.25,17.0,8800.0
1990-08-22,16.75,,17.5,16.75,2800.0
1990-08-23,15.13,,16.5,15.13,17800.0
1990-08-24,15.0,,15.0,14.13,35300.0
