Date,Close,Open,High,Low,Volume
2014-04-15,15.35,17.9,17.92,15.15,3531656.0
2014-04-16,15.62,15.35,16.09,15.21,266491.0
2014-04-17,16.25,15.95,16.55,15.71,262050.0
2014-04-21,16.1,16.59,16.59,16.01,77904.0
2014-04-22,15.98,16.2,16.69,15.76,96099.0
2014-04-23,16.07,15.82,16.18,15.8,56538.0
2014-04-24,15.75,16.28,16.3,15.75,42799.0
2014-04-25,15.3,15.75,15.75,15.25,71590.0
2014-04-28,14.97,15.43,15.66,14.51,197460.0
2014-04-29,15.28,15.01,15.45,15.01,68530.0
2014-04-30,15.41,15.17,15.51,15.06,53562.0
2014-05-01,15.67,15.29,15.9,15.29,39866.0
2014-05-02,15.8,15.69,16.06,15.69,22281.0
2014-05-05,15.68,15.69,15.99,15.68,13252.0
2014-05-06,15.31,15.63,15.63,15.25,31911.0
2014-05-07,15.05,15.26,15.29,14.95,92607.0
2014-05-08,15.18,15.25,15.33,15.18,18606.0
2014-05-09,14.51,15.12,15.17,14.12,76003.0
2014-05-12,14.09,14.73,14.87,14.09,111201.0
2014-05-13,13.87,14.57,14.87,13.68,90794.0
2014-05-14,14.07,14.15,14.29,13.91,105628.0
2014-05-15,14.29,14.0,14.31,13.61,110498.0
2014-05-16,13.81,14.29,14.68,13.57,119712.0
2014-05-19,13.24,13.85,13.85,13.1,202525.0
2014-05-20,14.0,13.5,14.3,13.37,141141.0
2014-05-21,14.0,14.25,14.25,13.87,47355.0
2014-05-22,15.38,13.91,15.61,13.85,85255.0
2014-05-23,14.53,15.35,15.35,14.31,352733.0
2014-05-27,14.03,14.57,14.81,13.76,68065.0
2014-05-28,13.25,14.08,14.08,13.12,244016.0
2014-05-29,13.48,13.45,13.82,13.43,64597.0
2014-05-30,13.35,13.41,13.53,13.24,76145.0
2014-06-02,13.54,13.49,13.83,13.18,47627.0
2014-06-03,14.03,13.74,14.11,13.43,84773.0
2014-06-04,14.3,14.0,14.44,13.59,73733.0
2014-06-05,14.17,13.01,14.43,13.01,67643.0
2014-06-06,14.45,14.33,14.5,13.89,42504.0
2014-06-09,14.64,14.45,14.67,14.19,104535.0
2014-06-10,14.43,14.65,14.67,14.35,59673.0
2014-06-11,14.46,14.35,14.54,14.25,24913.0
2014-06-12,13.97,14.46,14.47,13.91,120452.0
2014-06-13,14.0,14.07,14.07,13.4,65097.0
2014-06-16,14.44,14.57,14.61,14.25,106841.0
2014-06-17,14.0,14.34,14.38,13.45,98196.0
2014-06-18,14.17,13.79,14.39,13.72,78427.0
2014-06-19,14.29,14.13,14.3,14.12,55054.0
2014-06-20,14.12,14.36,14.71,14.12,186908.0
2014-06-23,14.64,14.2,14.65,14.09,58636.0
2014-06-24,14.7,14.56,15.0,14.5,130306.0
2014-06-25,14.72,14.65,14.74,14.17,59155.0
2014-06-26,14.72,14.68,15.16,14.56,91885.0
2014-06-27,13.98,14.84,15.22,13.98,767332.0
2014-06-30,14.59,14.27,14.66,13.91,169491.0
2014-07-01,14.6,14.62,14.74,14.16,56091.0
2014-07-02,14.25,14.54,14.57,14.2,52423.0
2014-07-03,14.68,14.27,14.72,14.27,23265.0
2014-07-07,14.02,14.55,14.67,14.01,65783.0
2014-07-08,13.43,14.0,14.13,13.38,113912.0
2014-07-09,13.42,13.44,13.61,13.28,53598.0
2014-07-10,13.3,13.25,13.44,13.25,83568.0
2014-07-11,13.03,13.25,13.33,13.02,62691.0
2014-07-14,13.29,13.05,13.75,13.02,130052.0
2014-07-15,12.97,13.23,13.25,12.64,87015.0
2014-07-16,12.85,13.0,13.06,12.8,91305.0
2014-07-17,12.41,12.79,13.04,12.32,79164.0
2014-07-18,12.48,12.34,12.62,12.28,24084.0
2014-07-21,12.78,12.45,12.87,12.28,37767.0
2014-07-22,12.62,12.87,12.87,12.55,19853.0
2014-07-23,12.84,12.69,12.98,12.59,17723.0
2014-07-24,13.0,12.92,13.12,12.92,95662.0
2014-07-25,13.0,13.23,13.46,12.91,142533.0
2014-07-28,12.96,12.95,13.04,12.75,53960.0
2014-07-29,12.88,13.06,13.09,12.79,34719.0
2014-07-30,13.0,13.1,13.1,12.84,56476.0
2014-07-31,12.78,12.91,13.0,12.65,41646.0
2014-08-01,12.65,12.84,12.9,12.35,61443.0
2014-08-04,12.69,12.77,12.77,12.5,48925.0
2014-08-05,12.49,12.61,12.65,12.48,57736.0
2014-08-06,13.83,13.07,14.08,12.9,208329.0
2014-08-07,13.82,13.94,14.02,13.75,53975.0
2014-08-08,13.58,13.86,13.97,13.26,114223.0
2014-08-11,13.91,13.7,13.92,13.65,41396.0
2014-08-12,13.89,13.83,13.98,13.81,40873.0
2014-08-13,14.75,13.98,14.78,13.92,378540.0
2014-08-14,15.26,14.83,15.66,14.83,135433.0
2014-08-15,16.84,15.46,17.08,15.26,133407.0
2014-08-18,16.45,17.0,17.0,16.06,191237.0
2014-08-19,16.19,16.5,16.5,16.12,47765.0
2014-08-20,15.77,16.11,16.33,15.42,105348.0
