Date,Close,Open,High,Low,Volume
8/26/1983,0.21,0.21,0.21,0.21,273200.0
8/29/1983,0.2,0.2,0.2,0.2,62400.0
8/30/1983,0.2,0.2,0.21,0.2,53700.0
8/31/1983,0.2,0.2,0.2,0.2,12800.0
9/1/1983,0.2,0.2,0.2,0.2,20400.0
9/2/1983,0.2,0.2,0.2,0.2,11700.0
9/6/1983,0.2,0.2,0.2,0.2,11300.0
9/7/1983,0.2,0.2,0.21,0.2,18000.0
9/8/1983,0.2,0.2,0.21,0.2,12100.0
9/9/1983,0.2,0.2,0.21,0.2,18500.0
9/12/1983,0.2,0.2,0.21,0.2,11400.0
9/13/1983,0.2,0.2,0.21,0.2,5500.0
9/14/1983,0.2,0.2,0.21,0.2,4700.0
9/15/1983,0.2,0.2,0.21,0.2,4900.0
9/16/1983,0.2,0.2,0.21,0.2,2900.0
9/19/1983,0.2,0.2,0.21,0.2,2600.0
9/20/1983,0.21,0.21,0.22,0.21,19500.0
9/21/1983,0.21,0.21,0.22,0.21,5800.0
9/22/1983,0.21,0.21,0.22,0.21,7300.0
9/23/1983,0.21,0.21,0.22,0.21,14200.0
9/26/1983,0.21,0.21,0.23,0.21,2600.0
9/27/1983,0.21,0.21,0.23,0.21,2500.0
9/28/1983,0.21,0.21,0.23,0.21,2200.0
9/29/1983,0.21,0.21,0.23,0.21,1500.0
9/30/1983,0.21,0.21,0.23,0.21,16600.0
10/3/1983,0.21,0.21,0.23,0.21,1600.0
10/4/1983,0.21,0.21,0.23,0.21,1300.0
10/5/1983,0.21,0.21,0.23,0.21,3300.0
10/6/1983,0.24,0.24,0.25,0.24,10300.0
10/7/1983,0.23,0.23,0.25,0.23,6800.0
10/10/1983,0.23,0.23,0.25,0.23,2200.0
10/11/1983,0.24,0.24,0.25,0.24,37300.0
10/12/1983,0.24,0.24,0.25,0.24,14800.0
10/13/1983,0.24,0.24,0.25,0.24,45100.0
10/14/1983,0.24,0.24,0.25,0.24,1200.0
10/17/1983,0.24,0.24,0.25,0.24,500.0
10/18/1983,0.23,0.23,0.24,0.23,4400.0
10/19/1983,0.22,0.22,0.23,0.22,5500.0
10/20/1983,0.22,0.22,0.23,0.22,6900.0
10/21/1983,0.23,0.23,0.23,0.23,9300.0
10/24/1983,0.23,0.23,0.23,0.23,3400.0
10/25/1983,0.23,0.23,0.24,0.23,2700.0
10/26/1983,0.23,0.23,0.24,0.23,3200.0
10/27/1983,0.23,0.23,0.24,0.23,2400.0
10/28/1983,0.23,0.23,0.24,0.23,2000.0
10/31/1983,0.23,0.23,0.24,0.23,1300.0
11/1/1983,0.23,0.23,0.24,0.23,1400.0
11/2/1983,0.23,0.23,0.24,0.23,12100.0
11/3/1983,0.23,0.23,0.24,0.23,1400.0
11/4/1983,0.23,0.23,0.24,0.23,1000.0
11/7/1983,0.23,0.23,0.24,0.23,7300.0
11/8/1983,0.23,0.23,0.24,0.23,5800.0
11/9/1983,0.23,0.23,0.23,0.23,600.0
11/10/1983,0.23,0.23,0.23,0.23,600.0
11/11/1983,0.23,0.23,0.23,0.23,1700.0
11/14/1983,0.23,0.23,0.23,0.23,1000.0
11/15/1983,0.23,0.23,0.23,0.23,900.0
11/16/1983,0.22,0.22,0.23,0.22,1600.0
