Date,Close,Open,High,Low,Volume
1980-03-17,10.19,,10.25,10.13,55500.0
1980-03-18,10.25,,10.31,10.19,41200.0
1980-03-19,10.44,,10.44,10.25,68900.0
1980-03-20,10.38,,10.44,10.19,29200.0
1980-03-21,10.31,,10.44,10.31,90000.0
1980-03-24,10.19,,10.38,10.0,53900.0
1980-03-25,10.13,,10.25,10.06,40400.0
1980-03-26,10.06,,10.13,10.06,43400.0
1980-03-27,9.75,,10.0,9.63,81100.0
1980-03-28,9.88,,9.88,9.75,65200.0
1980-03-31,10.31,,10.38,9.88,67100.0
1980-04-01,10.44,,10.44,10.13,54900.0
1980-04-02,10.5,,10.63,10.38,57600.0
1980-04-03,10.88,,10.88,10.56,186700.0
1980-04-07,10.75,,10.88,10.75,43800.0
1980-04-08,10.75,,10.81,10.69,67600.0
1980-04-09,10.94,,11.0,10.75,37900.0
1980-04-10,11.25,,11.38,10.94,97200.0
1980-04-11,11.13,,11.31,11.13,67600.0
1980-04-14,11.0,,11.19,11.0,51900.0
1980-04-15,11.13,,11.19,10.88,38400.0
1980-04-16,11.25,,11.38,11.19,100400.0
1980-04-17,11.38,,11.63,11.31,48500.0
1980-04-18,11.38,,11.5,11.31,118100.0
1980-04-21,11.19,,11.38,11.13,40600.0
1980-04-22,11.38,,11.44,11.13,65500.0
1980-04-23,11.5,,11.63,11.44,93800.0
1980-04-24,11.75,,11.88,11.38,243600.0
1980-04-25,11.75,,11.81,11.63,195800.0
1980-04-28,11.69,,11.81,11.69,97100.0
1980-04-29,11.63,,11.75,11.63,132200.0
1980-04-30,11.69,,11.69,11.56,128900.0
1980-05-01,11.75,,11.75,11.63,33700.0
1980-05-02,11.69,,11.81,11.63,56600.0
1980-05-05,11.81,,11.88,11.69,43700.0
1980-05-06,11.75,,11.94,11.75,243500.0
1980-05-07,12.0,,12.0,11.75,61300.0
1980-05-08,11.81,,12.0,11.69,273400.0
1980-05-09,11.75,,11.81,11.69,58200.0
1980-05-12,11.88,,11.88,11.69,50100.0
1980-05-13,12.06,,12.13,12.0,66500.0
1980-05-14,12.06,,12.19,12.0,106800.0
1980-05-15,11.88,,12.06,11.81,301200.0
1980-05-16,11.88,,11.88,11.75,61200.0
1980-05-19,11.88,,11.88,11.81,56700.0
1980-05-20,11.81,,11.88,11.63,70600.0
1980-05-21,11.81,,11.81,11.69,36500.0
1980-05-22,11.81,,11.88,11.75,62200.0
1980-05-23,11.88,,12.38,11.81,164800.0
1980-05-27,12.13,,12.13,11.94,185200.0
1980-05-28,12.13,,12.13,12.0,62900.0
1980-05-29,12.0,,12.13,11.94,91400.0
1980-05-30,11.88,,12.0,11.75,99500.0
1980-06-02,11.63,,11.94,11.63,163100.0
1980-06-03,11.56,,11.69,11.5,109000.0
1980-06-04,11.63,,11.63,11.5,107900.0
1980-06-05,11.81,,11.81,11.56,119200.0
1980-06-06,11.94,,12.0,11.81,85600.0
1980-06-09,12.0,,12.13,11.88,73900.0
1980-06-10,11.75,,11.88,11.5,80200.0
1980-06-11,11.81,,11.94,11.75,50600.0
1980-06-12,11.88,,11.94,11.81,43500.0
1980-06-13,12.13,,12.13,11.88,64200.0
1980-06-16,12.0,,12.13,11.94,60100.0
1980-06-17,12.06,,12.06,11.94,105100.0
1980-06-18,12.06,,12.06,12.0,40100.0
1980-06-19,12.0,,12.13,12.0,50100.0
1980-06-20,11.94,,12.0,11.81,62200.0
1980-06-23,11.94,,12.0,11.94,40500.0
1980-06-24,12.06,,12.06,11.94,72100.0
1980-06-25,12.13,,12.13,12.06,88100.0
1980-06-26,12.13,,12.38,12.06,193900.0
1980-06-27,12.13,,12.19,12.13,60400.0
1980-06-30,12.06,,12.13,12.0,37900.0
1980-07-01,12.19,,12.19,12.0,42300.0
1980-07-02,12.19,,12.19,12.06,39800.0
1980-07-03,12.19,,12.19,12.13,49600.0
1980-07-07,12.25,,12.25,12.13,48700.0
1980-07-08,12.31,,12.38,12.19,72900.0
1980-07-09,12.13,,12.31,12.13,228700.0
1980-07-10,12.19,,12.25,12.13,84900.0
1980-07-11,12.13,,12.13,12.0,84400.0
1980-07-14,12.13,,12.25,12.06,48300.0
1980-07-15,12.06,,12.19,12.0,56100.0
1980-07-16,12.19,,12.19,12.0,48200.0
1980-07-17,12.19,,12.25,12.0,53400.0
1980-07-18,12.19,,12.25,12.13,49400.0
1980-07-21,12.19,,12.25,12.06,58000.0
1980-07-22,12.19,,12.31,12.13,47500.0
1980-07-23,12.06,,12.19,11.94,168600.0
1980-07-24,12.0,,12.13,12.0,65600.0
1980-07-25,11.94,,12.06,11.81,161500.0
1980-07-28,11.81,,11.94,11.81,49200.0
1980-07-29,11.81,,11.88,11.81,66100.0
1980-07-30,11.75,,11.88,11.75,52600.0
1980-07-31,11.75,,11.81,11.69,51800.0
1980-08-01,11.63,,11.81,11.56,75400.0
1980-08-04,11.38,,11.88,11.25,138700.0
1980-08-05,11.5,,11.56,11.38,50100.0
1980-08-06,11.63,,11.63,11.5,43300.0
1980-08-07,11.63,,11.69,11.56,51700.0
1980-08-08,11.69,,11.69,11.56,38900.0
1980-08-11,11.5,,11.63,11.5,49700.0
1980-08-12,11.63,,11.63,11.5,39500.0
1980-08-13,11.75,,11.81,11.56,47900.0
1980-08-14,11.75,,11.81,11.69,58300.0
1980-08-15,11.75,,11.81,11.69,49900.0
1980-08-18,11.69,,11.81,11.69,41500.0
1980-08-19,11.69,,11.75,11.56,94200.0
1980-08-20,11.5,,11.56,11.44,70800.0
1980-08-21,11.56,,11.56,11.44,37100.0
1980-08-22,11.44,,11.5,11.25,49600.0
1980-08-25,11.5,,11.5,11.31,81200.0
1980-08-26,11.5,,11.5,11.38,103100.0
1980-08-27,11.44,,11.56,11.44,28700.0
1980-08-28,11.44,,11.94,11.44,37500.0
1980-08-29,11.5,,11.56,11.06,112000.0
1980-09-02,11.63,,11.63,11.44,41200.0
1980-09-03,11.88,,11.88,11.63,48200.0
1980-09-04,11.94,,12.0,11.88,138200.0
1980-09-05,11.81,,11.94,11.81,85200.0
1980-09-08,11.88,,11.94,11.81,56400.0
1980-09-09,11.38,,11.56,11.31,65700.0
1980-09-10,11.44,,11.56,11.38,46900.0
1980-09-11,11.44,,11.5,11.38,24300.0
1980-09-12,11.44,,11.5,11.38,36000.0
1980-09-15,11.38,,11.44,11.0,37600.0
1980-09-16,11.38,,11.38,11.25,97700.0
1980-09-17,11.38,,11.44,11.31,27000.0
1980-09-18,11.44,,11.44,11.31,188500.0
1980-09-19,11.38,,11.44,11.38,31400.0
1980-09-22,11.06,,11.38,11.06,574000.0
1980-09-23,11.0,,11.06,10.81,78100.0
1980-09-24,10.94,,11.0,10.88,58700.0
1980-09-25,10.88,,10.94,10.88,71700.0
1980-09-26,10.75,,10.94,10.75,351900.0
1980-09-29,10.69,,10.81,10.69,73400.0
1980-09-30,10.75,,10.75,10.69,41000.0
1980-10-01,10.69,,10.75,10.69,49900.0
1980-10-02,10.75,,10.75,10.69,74800.0
1980-10-03,10.94,,10.94,10.69,54500.0
1980-10-06,10.94,,11.06,10.88,45800.0
1980-10-07,10.88,,11.0,10.88,70700.0
1980-10-08,10.88,,10.88,10.81,73800.0
1980-10-09,10.75,,10.88,10.69,83200.0
1980-10-10,10.69,,10.75,10.69,58700.0
1980-10-13,10.69,,10.75,10.63,35500.0
1980-10-14,10.81,,10.81,10.63,75800.0
1980-10-15,10.81,,10.88,10.75,30500.0
1980-10-16,10.69,,10.81,10.63,52100.0
1980-10-17,10.69,,10.69,10.63,51600.0
1980-10-20,10.75,,10.75,10.63,43900.0
1980-10-21,10.75,,10.81,10.69,39400.0
1980-10-22,10.75,,10.75,10.69,41800.0
1980-10-23,10.69,,10.75,10.63,42800.0
1980-10-24,10.69,,10.69,10.56,62900.0
1980-10-27,10.69,,10.75,10.63,83600.0
1980-10-28,10.69,,10.75,10.56,29300.0
1980-10-29,10.63,,10.69,10.63,26100.0
1980-10-30,10.69,,10.69,10.56,22000.0
1980-10-31,10.63,,10.69,10.56,35400.0
1980-11-03,10.69,,10.75,10.56,59000.0
1980-11-05,10.88,,11.0,10.75,85700.0
1980-11-06,10.69,,10.81,10.69,44600.0
1980-11-07,10.5,,10.56,10.44,329300.0
1980-11-10,10.13,,10.44,10.06,111000.0
1980-11-11,10.13,,10.25,10.06,193900.0
1980-11-12,10.19,,10.25,10.19,123300.0
1980-11-13,10.25,,10.31,10.13,74500.0
1980-11-14,10.13,,10.25,10.06,217600.0
1980-11-17,10.13,,10.13,10.0,206000.0
1980-11-18,10.13,,10.19,10.06,48200.0
1980-11-19,10.19,,10.31,10.13,56800.0
1980-11-20,10.13,,10.19,10.06,54900.0
1980-11-21,10.13,,10.25,10.06,45400.0
1980-11-24,10.13,,10.25,10.06,42800.0
1980-11-25,10.06,,10.25,10.06,45100.0
1980-11-26,10.13,,10.19,10.0,41700.0
1980-11-28,10.0,,10.13,10.0,31700.0
1980-12-01,10.06,,10.13,10.0,98500.0
1980-12-02,10.0,,10.06,10.0,33700.0
1980-12-03,10.13,,10.19,10.0,81400.0
1980-12-04,10.06,,10.19,10.06,72700.0
1980-12-05,10.06,,10.13,10.0,34500.0
1980-12-08,10.0,,10.06,10.0,41600.0
1980-12-09,10.0,,10.13,9.88,65800.0
1980-12-10,10.0,,10.06,10.0,317600.0
1980-12-11,10.06,,10.06,10.0,88800.0
1980-12-12,10.0,,10.06,9.94,73800.0
1980-12-15,10.0,,10.06,9.94,129900.0
1980-12-16,9.88,,10.0,9.81,133900.0
1980-12-17,9.88,,10.0,9.81,197200.0
1980-12-18,10.13,,10.13,9.94,165300.0
1980-12-19,10.25,,10.25,10.06,190900.0
1980-12-22,10.38,,10.38,10.0,117300.0
1980-12-23,10.5,,10.63,10.38,153000.0
1980-12-24,10.5,,10.56,10.44,41800.0
1980-12-26,10.5,,10.56,10.44,16600.0
1980-12-29,10.44,,10.5,10.31,42200.0
1980-12-30,10.25,,10.44,10.19,50400.0
1980-12-31,10.25,,10.31,10.19,52800.0
1981-01-02,10.44,,10.5,10.38,29500.0
1981-01-05,10.75,,10.81,10.44,101900.0
1981-01-06,10.94,,11.06,10.88,153300.0
1981-01-07,10.81,,10.94,10.63,61300.0
1981-01-08,10.81,,10.88,10.75,73400.0
1981-01-09,10.69,,10.88,10.69,40100.0
1981-01-12,10.63,,10.88,10.63,51900.0
1981-01-13,10.63,,10.75,10.56,70100.0
1981-01-14,10.63,,10.69,10.56,37000.0
1981-01-15,10.56,,10.69,10.56,19600.0
1981-01-16,10.63,,10.88,10.56,41500.0
