Date,Close,Open,High,Low,Volume
3/17/1980,1.16,1.16,1.17,1.16,53900.0
3/18/1980,1.15,1.15,1.17,1.14,122400.0
3/19/1980,1.15,1.15,1.16,1.15,57600.0
3/20/1980,1.15,1.15,1.15,1.14,86100.0
3/21/1980,1.17,1.17,1.18,1.15,97500.0
3/24/1980,1.13,1.13,1.17,1.12,349600.0
3/25/1980,1.13,1.13,1.13,1.12,96200.0
3/26/1980,1.11,1.11,1.15,1.11,152500.0
3/27/1980,1.13,1.13,1.13,1.11,105500.0
3/28/1980,1.22,1.22,1.22,1.17,134400.0
3/31/1980,1.28,1.28,1.28,1.24,128400.0
4/1/1980,1.29,1.29,1.29,1.27,173300.0
4/2/1980,1.31,1.31,1.32,1.28,101200.0
4/3/1980,1.3,1.3,1.31,1.29,38800.0
4/7/1980,1.24,1.24,1.31,1.23,102000.0
4/8/1980,1.26,1.26,1.26,1.22,59900.0
4/9/1980,1.27,1.27,1.28,1.26,98300.0
4/10/1980,1.28,1.28,1.28,1.24,36300.0
4/11/1980,1.26,1.26,1.28,1.26,61500.0
4/14/1980,1.22,1.22,1.26,1.22,58900.0
4/15/1980,1.21,1.21,1.23,1.19,31700.0
4/16/1980,1.21,1.21,1.23,1.2,45300.0
4/17/1980,1.2,1.2,1.21,1.2,32400.0
4/18/1980,1.19,1.19,1.22,1.19,64300.0
4/21/1980,1.19,1.19,1.22,1.19,25800.0
4/22/1980,1.23,1.23,1.24,1.19,188100.0
4/23/1980,1.25,1.25,1.25,1.22,62000.0
4/24/1980,1.31,1.31,1.32,1.25,115100.0
4/25/1980,1.31,1.31,1.31,1.25,76300.0
4/28/1980,1.32,1.32,1.32,1.31,41500.0
4/29/1980,1.3,1.3,1.33,1.3,60500.0
4/30/1980,1.3,1.3,1.33,1.26,38800.0
5/1/1980,1.31,1.31,1.33,1.29,46500.0
5/2/1980,1.36,1.36,1.36,1.31,107800.0
5/5/1980,1.37,1.37,1.37,1.34,125400.0
5/6/1980,1.38,1.38,1.39,1.36,238600.0
5/7/1980,1.38,1.38,1.39,1.35,207100.0
5/8/1980,1.38,1.38,1.38,1.37,92600.0
5/9/1980,1.38,1.38,1.38,1.36,118100.0
5/12/1980,1.35,1.35,1.38,1.35,43500.0
5/13/1980,1.4,1.4,1.4,1.36,301400.0
5/14/1980,1.42,1.42,1.43,1.4,196900.0
5/15/1980,1.44,1.44,1.44,1.42,194800.0
5/16/1980,1.44,1.44,1.46,1.44,77300.0
5/19/1980,1.45,1.45,1.47,1.44,82000.0
5/20/1980,1.43,1.43,1.45,1.42,76100.0
5/21/1980,1.4,1.4,1.42,1.38,120400.0
5/22/1980,1.4,1.4,1.41,1.39,55700.0
5/23/1980,1.42,1.42,1.44,1.4,198200.0
5/27/1980,1.43,1.43,1.44,1.42,51000.0
5/28/1980,1.42,1.42,1.42,1.4,124500.0
5/29/1980,1.39,1.39,1.42,1.39,238000.0
5/30/1980,1.42,1.42,1.43,1.37,80100.0
6/2/1980,1.42,1.42,1.43,1.41,45300.0
6/3/1980,1.41,1.41,1.42,1.4,123400.0
6/4/1980,1.43,1.43,1.43,1.41,45100.0
6/5/1980,1.44,1.44,1.45,1.42,128500.0
6/6/1980,1.44,1.44,1.44,1.42,103400.0
6/9/1980,1.42,1.42,1.43,1.42,45100.0
6/10/1980,1.44,1.44,1.44,1.42,53400.0
6/11/1980,1.42,1.42,1.43,1.39,168500.0
6/12/1980,1.4,1.4,1.44,1.4,82200.0
6/13/1980,1.4,1.4,1.42,1.39,44400.0
6/16/1980,1.43,1.43,1.44,1.4,49400.0
6/17/1980,1.42,1.42,1.44,1.41,78400.0
6/18/1980,1.42,1.42,1.43,1.41,55300.0
6/19/1980,1.4,1.4,1.42,1.4,70500.0
6/20/1980,1.36,1.36,1.4,1.36,92900.0
6/23/1980,1.33,1.33,1.35,1.33,228000.0
6/24/1980,1.35,1.35,1.35,1.32,83100.0
6/25/1980,1.37,1.37,1.38,1.35,106200.0
6/26/1980,1.36,1.36,1.39,1.33,117500.0
6/27/1980,1.35,1.35,1.37,1.35,109800.0
6/30/1980,1.34,1.34,1.36,1.33,55400.0
7/1/1980,1.34,1.34,1.35,1.33,60600.0
7/2/1980,1.36,1.36,1.38,1.34,95300.0
7/3/1980,1.37,1.37,1.38,1.35,98100.0
7/7/1980,1.41,1.41,1.41,1.38,63300.0
7/8/1980,1.44,1.44,1.44,1.4,166900.0
7/9/1980,1.43,1.43,1.44,1.42,74800.0
7/10/1980,1.42,1.42,1.42,1.39,128900.0
7/11/1980,1.4,1.4,1.41,1.39,192000.0
7/14/1980,1.39,1.39,1.4,1.38,166600.0
7/15/1980,1.38,1.38,1.4,1.38,279300.0
7/16/1980,1.38,1.38,1.38,1.37,136400.0
7/17/1980,1.38,1.38,1.38,1.37,71300.0
7/18/1980,1.38,1.38,1.4,1.36,598500.0
7/21/1980,1.33,1.33,1.36,1.33,523500.0
7/22/1980,1.35,1.35,1.37,1.34,457100.0
7/23/1980,1.35,1.35,1.35,1.33,361700.0
7/24/1980,1.39,1.39,1.4,1.35,262800.0
7/25/1980,1.41,1.41,1.41,1.38,141300.0
7/28/1980,1.44,1.44,1.45,1.4,113200.0
7/29/1980,1.49,1.49,1.49,1.44,191400.0
7/30/1980,1.51,1.51,1.51,1.48,187600.0
7/31/1980,1.51,1.51,1.52,1.48,258300.0
8/1/1980,1.53,1.53,1.53,1.51,91500.0
8/4/1980,1.51,1.51,1.52,1.51,101400.0
8/5/1980,1.51,1.51,1.52,1.51,119200.0
8/6/1980,1.54,1.54,1.55,1.51,86200.0
8/7/1980,1.56,1.56,1.57,1.54,477600.0
8/8/1980,1.57,1.57,1.58,1.56,142800.0
8/11/1980,1.58,1.58,1.58,1.56,204000.0
8/12/1980,1.55,1.55,1.58,1.55,210200.0
8/13/1980,1.54,1.54,1.56,1.53,79400.0
8/14/1980,1.56,1.56,1.56,1.53,162300.0
8/15/1980,1.56,1.56,1.58,1.56,353200.0
8/18/1980,1.51,1.51,1.55,1.51,58300.0
8/19/1980,1.49,1.49,1.51,1.49,94400.0
8/20/1980,1.53,1.53,1.54,1.48,253200.0
8/21/1980,1.56,1.56,1.56,1.52,124500.0
8/22/1980,1.52,1.52,1.56,1.52,53700.0
8/25/1980,1.5,1.5,1.52,1.49,44300.0
8/26/1980,1.55,1.55,1.56,1.51,86200.0
8/27/1980,1.53,1.53,1.56,1.53,126400.0
8/28/1980,1.49,1.49,1.52,1.48,83600.0
8/29/1980,1.48,1.48,1.49,1.46,50300.0
9/2/1980,1.48,1.48,1.49,1.45,56300.0
9/3/1980,1.44,1.44,1.49,1.44,187300.0
9/4/1980,1.44,1.44,1.47,1.44,127800.0
9/5/1980,1.45,1.45,1.46,1.43,72700.0
9/8/1980,1.42,1.42,1.44,1.42,83200.0
9/9/1980,1.41,1.41,1.42,1.4,189100.0
9/10/1980,1.41,1.41,1.43,1.4,147800.0
9/11/1980,1.42,1.42,1.42,1.4,79800.0
9/12/1980,1.43,1.43,1.44,1.42,72300.0
9/15/1980,1.44,1.44,1.44,1.42,93100.0
9/16/1980,1.43,1.43,1.46,1.43,134300.0
9/17/1980,1.44,1.44,1.46,1.38,285200.0
9/18/1980,1.44,1.44,1.49,1.44,182000.0
9/19/1980,1.47,1.47,1.48,1.44,199000.0
9/22/1980,1.49,1.49,1.49,1.46,54400.0
9/23/1980,1.46,1.46,1.49,1.44,108100.0
9/24/1980,1.48,1.48,1.49,1.44,82600.0
9/25/1980,1.46,1.46,1.47,1.44,84200.0
9/26/1980,1.43,1.43,1.44,1.42,94300.0
9/29/1980,1.36,1.36,1.42,1.35,94300.0
9/30/1980,1.43,1.43,1.43,1.37,96100.0
10/1/1980,1.4,1.4,1.44,1.37,241700.0
10/2/1980,1.39,1.39,1.4,1.35,83900.0
10/3/1980,1.39,1.39,1.39,1.36,298200.0
10/6/1980,1.4,1.4,1.4,1.38,170400.0
10/7/1980,1.39,1.39,1.4,1.38,150900.0
10/8/1980,1.4,1.4,1.4,1.38,232500.0
10/9/1980,1.4,1.4,1.4,1.39,147200.0
10/10/1980,1.4,1.4,1.4,1.39,117000.0
10/13/1980,1.4,1.4,1.4,1.38,73800.0
10/14/1980,1.4,1.4,1.4,1.38,134300.0
10/15/1980,1.4,1.4,1.4,1.38,135500.0
10/16/1980,1.4,1.4,1.44,1.38,178600.0
10/17/1980,1.41,1.41,1.42,1.39,200300.0
10/20/1980,1.42,1.42,1.42,1.41,95000.0
10/21/1980,1.4,1.4,1.42,1.4,261000.0
10/22/1980,1.42,1.42,1.42,1.4,58100.0
10/23/1980,1.4,1.4,1.42,1.39,99700.0
10/24/1980,1.42,1.42,1.42,1.39,128700.0
10/27/1980,1.41,1.41,1.44,1.41,73200.0
10/28/1980,1.42,1.42,1.42,1.38,92100.0
10/29/1980,1.44,1.44,1.44,1.41,40700.0
10/30/1980,1.43,1.43,1.45,1.43,59100.0
10/31/1980,1.41,1.41,1.44,1.4,78200.0
11/3/1980,1.39,1.39,1.42,1.39,124400.0
11/5/1980,1.4,1.4,1.47,1.38,152900.0
11/6/1980,1.37,1.37,1.38,1.36,163800.0
11/7/1980,1.39,1.39,1.4,1.37,130200.0
11/10/1980,1.39,1.39,1.41,1.38,169900.0
11/11/1980,1.39,1.39,1.4,1.38,121100.0
11/12/1980,1.41,1.41,1.41,1.39,73600.0
11/13/1980,1.39,1.39,1.42,1.39,127700.0
11/14/1980,1.37,1.37,1.4,1.35,200800.0
11/17/1980,1.39,1.39,1.39,1.35,291400.0
11/18/1980,1.4,1.4,1.41,1.38,263600.0
11/19/1980,1.36,1.36,1.4,1.35,186700.0
11/20/1980,1.37,1.37,1.38,1.35,198900.0
11/21/1980,1.35,1.35,1.37,1.33,246200.0
11/24/1980,1.36,1.36,1.36,1.34,78900.0
11/25/1980,1.38,1.38,1.39,1.35,219100.0
11/26/1980,1.42,1.42,1.42,1.38,63200.0
11/28/1980,1.4,1.4,1.41,1.4,43200.0
12/1/1980,1.4,1.4,1.4,1.38,89900.0
12/2/1980,1.38,1.38,1.38,1.35,79400.0
12/3/1980,1.39,1.39,1.39,1.36,197000.0
12/4/1980,1.4,1.4,1.4,1.38,89400.0
12/5/1980,1.4,1.4,1.4,1.38,95200.0
12/8/1980,1.39,1.39,1.4,1.38,300600.0
12/9/1980,1.42,1.42,1.42,1.39,187500.0
12/10/1980,1.41,1.41,1.43,1.4,123400.0
12/11/1980,1.38,1.38,1.44,1.38,267400.0
12/12/1980,1.35,1.35,1.38,1.34,96900.0
12/15/1980,1.35,1.35,1.37,1.34,66400.0
12/16/1980,1.35,1.35,1.35,1.34,108100.0
12/17/1980,1.35,1.35,1.37,1.33,130800.0
12/18/1980,1.38,1.38,1.38,1.34,152900.0
12/19/1980,1.38,1.38,1.38,1.36,149400.0
12/22/1980,1.42,1.42,1.42,1.38,129200.0
12/23/1980,1.44,1.44,1.45,1.41,163000.0
12/24/1980,1.44,1.44,1.44,1.44,111300.0
12/26/1980,1.44,1.44,1.45,1.44,211900.0
12/29/1980,1.47,1.47,1.47,1.44,126400.0
