Date,Close,Open,High,Low,Volume
1980-03-17,0.66,,0.67,0.66,50100.0
1980-03-18,0.69,,0.69,0.66,58300.0
1980-03-19,0.67,,0.69,0.67,30300.0
1980-03-20,0.67,,0.68,0.66,58000.0
1980-03-21,0.66,,0.68,0.66,106100.0
1980-03-24,0.64,,0.66,0.64,36000.0
1980-03-25,0.64,,0.64,0.63,53900.0
1980-03-26,0.66,,0.67,0.64,322200.0
1980-03-27,0.68,,0.68,0.65,118100.0
1980-03-28,0.73,,0.75,0.69,290100.0
1980-03-31,0.75,,0.75,0.73,234100.0
1980-04-01,0.75,,0.76,0.74,194500.0
1980-04-02,0.76,,0.77,0.75,95700.0
1980-04-03,0.76,,0.76,0.75,94500.0
1980-04-07,0.74,,0.75,0.74,57200.0
1980-04-08,0.75,,0.76,0.74,219500.0
1980-04-09,0.75,,0.76,0.75,141800.0
1980-04-10,0.76,,0.77,0.75,123800.0
1980-04-11,0.76,,0.76,0.75,52600.0
1980-04-14,0.75,,0.75,0.75,58300.0
1980-04-15,0.75,,0.76,0.75,67600.0
1980-04-16,0.75,,0.77,0.74,192400.0
1980-04-17,0.75,,0.76,0.74,108900.0
1980-04-18,0.74,,0.77,0.74,82900.0
1980-04-21,0.73,,0.74,0.72,34500.0
1980-04-22,0.75,,0.76,0.74,89700.0
1980-04-23,0.76,,0.76,0.75,55300.0
1980-04-24,0.78,,0.79,0.75,59000.0
1980-04-25,0.79,,0.79,0.76,116600.0
1980-04-28,0.77,,0.78,0.77,121600.0
1980-04-29,0.77,,0.78,0.76,100000.0
1980-04-30,0.76,,0.77,0.76,76900.0
1980-05-01,0.75,,0.76,0.74,74400.0
1980-05-02,0.75,,0.75,0.74,75500.0
1980-05-05,0.75,,0.75,0.75,69800.0
1980-05-06,0.76,,0.77,0.74,124200.0
1980-05-07,0.78,,0.79,0.76,119600.0
1980-05-08,0.78,,0.78,0.76,110500.0
1980-05-09,0.77,,0.78,0.77,90500.0
1980-05-12,0.78,,0.79,0.76,75200.0
1980-05-13,0.79,,0.79,0.79,243200.0
1980-05-14,0.79,,0.8,0.79,108500.0
1980-05-15,0.81,,0.82,0.8,262000.0
1980-05-16,0.81,,0.82,0.8,81300.0
1980-05-19,0.8,,0.81,0.8,189400.0
1980-05-20,0.8,,0.8,0.79,72800.0
1980-05-21,0.81,,0.82,0.79,130400.0
1980-05-22,0.83,,0.84,0.82,311900.0
1980-05-23,0.83,,0.84,0.83,108900.0
1980-05-27,0.83,,0.84,0.82,77700.0
1980-05-28,0.83,,0.83,0.83,64300.0
1980-05-29,0.81,,0.83,0.8,166000.0
1980-05-30,0.81,,0.82,0.8,199800.0
1980-06-02,0.8,,0.81,0.8,85100.0
1980-06-03,0.81,,0.82,0.8,115700.0
1980-06-04,0.83,,0.83,0.81,138800.0
1980-06-05,0.84,,0.86,0.83,223100.0
1980-06-06,0.85,,0.86,0.84,183500.0
1980-06-09,0.85,,0.86,0.85,39300.0
1980-06-10,0.87,,0.88,0.85,245200.0
1980-06-11,0.87,,0.88,0.86,96100.0
1980-06-12,0.84,,0.87,0.84,91400.0
1980-06-13,0.84,,0.85,0.83,123100.0
1980-06-16,0.85,,0.86,0.84,194300.0
1980-06-17,0.83,,0.86,0.82,173100.0
1980-06-18,0.83,,0.83,0.82,149600.0
1980-06-19,0.81,,0.83,0.81,71800.0
1980-06-20,0.81,,0.81,0.8,105300.0
1980-06-23,0.81,,0.81,0.81,56100.0
1980-06-24,0.81,,0.81,0.8,68000.0
1980-06-25,0.82,,0.83,0.81,125600.0
1980-06-26,0.81,,0.82,0.81,76500.0
1980-06-27,0.81,,0.82,0.8,58900.0
1980-06-30,0.81,,0.81,0.8,89100.0
1980-07-01,0.81,,0.82,0.81,100300.0
1980-07-02,0.81,,0.81,0.8,50200.0
1980-07-03,0.8,,0.8,0.79,285300.0
1980-07-07,0.8,,0.8,0.79,48000.0
1980-07-08,0.79,,0.8,0.78,53200.0
1980-07-09,0.81,,0.81,0.79,159000.0
1980-07-10,0.81,,0.81,0.8,98900.0
1980-07-11,0.8,,0.81,0.8,72600.0
1980-07-14,0.83,,0.83,0.81,71800.0
1980-07-15,0.83,,0.83,0.82,114900.0
1980-07-16,0.81,,0.84,0.8,78900.0
