Date,Close,Open,High,Low,Volume
3/17/1980,1.95,,2.02,1.95,129700.0
3/18/1980,1.98,,1.99,1.96,85300.0
3/19/1980,2.0,,2.01,1.98,46700.0
3/20/1980,2.0,,2.02,2.0,33500.0
3/21/1980,2.01,,2.02,2.0,26600.0
3/24/1980,1.97,,2.03,1.97,56600.0
3/25/1980,1.99,,2.02,1.98,68000.0
3/26/1980,1.97,,1.99,1.97,59800.0
3/27/1980,1.96,,1.98,1.95,59400.0
3/28/1980,2.04,,2.05,1.98,65600.0
3/31/1980,2.1,,2.1,2.06,33600.0
4/1/1980,2.1,,2.1,2.07,35300.0
4/2/1980,2.12,,2.15,2.09,123700.0
4/3/1980,2.12,,2.14,2.12,50400.0
4/7/1980,2.1,,2.13,2.1,47100.0
4/8/1980,2.11,,2.12,2.09,61900.0
4/9/1980,2.14,,2.15,2.12,44200.0
4/10/1980,2.16,,2.17,2.14,70200.0
4/11/1980,2.19,,2.19,2.17,52600.0
4/14/1980,2.17,,2.17,2.16,88000.0
4/15/1980,2.16,,2.18,2.16,73500.0
4/16/1980,2.13,,2.17,2.12,94800.0
4/17/1980,2.1,,2.12,2.09,39200.0
4/18/1980,2.09,,2.12,2.09,14700.0
4/21/1980,2.09,,2.12,2.06,37800.0
4/22/1980,2.14,,2.14,2.09,36200.0
4/23/1980,2.12,,2.16,2.11,56900.0
4/24/1980,2.15,,2.16,2.1,37500.0
4/25/1980,2.14,,2.16,2.1,50600.0
4/28/1980,2.16,,2.17,2.15,20500.0
4/29/1980,2.16,,2.19,2.16,57800.0
4/30/1980,2.22,,2.22,2.16,74200.0
5/1/1980,2.23,,2.25,2.22,149600.0
5/2/1980,2.24,,2.26,2.22,32400.0
5/5/1980,2.27,,2.28,2.25,74600.0
5/6/1980,2.33,,2.34,2.28,79100.0
5/7/1980,2.35,,2.36,2.32,64300.0
5/8/1980,2.36,,2.36,2.35,64900.0
5/9/1980,2.36,,2.36,2.35,50400.0
5/12/1980,2.35,,2.36,2.35,59800.0
5/13/1980,2.36,,2.36,2.34,61300.0
5/14/1980,2.38,,2.39,2.36,86500.0
5/15/1980,2.43,,2.43,2.39,36400.0
5/16/1980,2.44,,2.45,2.42,57600.0
5/19/1980,2.46,,2.47,2.43,66800.0
5/20/1980,2.47,,2.47,2.46,52700.0
5/21/1980,2.42,,2.45,2.41,88500.0
5/22/1980,2.43,,2.44,2.42,48800.0
5/23/1980,2.42,,2.43,2.41,69500.0
5/27/1980,2.43,,2.43,2.41,46900.0
5/28/1980,2.44,,2.46,2.43,89300.0
5/29/1980,2.42,,2.45,2.42,39600.0
5/30/1980,2.42,,2.42,2.4,39200.0
6/2/1980,2.4,,2.42,2.38,43400.0
6/3/1980,2.38,,2.4,2.37,25700.0
6/4/1980,2.39,,2.4,2.38,35500.0
6/5/1980,2.4,,2.42,2.38,131100.0
6/6/1980,2.41,,2.42,2.4,9000.0
6/9/1980,2.41,,2.42,2.39,75100.0
6/10/1980,2.37,,2.42,2.37,66200.0
6/11/1980,2.36,,2.36,2.33,172900.0
6/12/1980,2.34,,2.36,2.32,55200.0
6/13/1980,2.37,,2.38,2.33,24000.0
6/16/1980,2.35,,2.38,2.35,43100.0
6/17/1980,2.33,,2.36,2.33,25100.0
6/18/1980,2.33,,2.35,2.32,89900.0
6/19/1980,2.29,,2.34,2.28,28400.0
6/20/1980,2.28,,2.29,2.27,80000.0
6/23/1980,2.31,,2.33,2.28,24300.0
6/24/1980,2.29,,2.31,2.27,43500.0
6/25/1980,2.33,,2.34,2.28,66400.0
6/26/1980,2.31,,2.34,2.3,59800.0
6/27/1980,2.31,,2.32,2.3,18100.0
6/30/1980,2.29,,2.32,2.29,18200.0
7/1/1980,2.29,,2.29,2.27,40000.0
7/2/1980,2.3,,2.31,2.29,63700.0
7/3/1980,2.32,,2.32,2.29,20300.0
7/7/1980,2.32,,2.33,2.31,52300.0
7/8/1980,2.33,,2.33,2.3,49600.0
7/9/1980,2.32,,2.33,2.31,57200.0
7/10/1980,2.3,,2.32,2.3,125100.0
7/11/1980,2.26,,2.31,2.25,151600.0
7/14/1980,2.27,,2.27,2.25,43600.0
7/15/1980,2.29,,2.32,2.28,707300.0
7/16/1980,2.33,,2.33,2.31,95700.0
7/17/1980,2.34,,2.35,2.32,27100.0
7/18/1980,2.39,,2.42,2.36,52200.0
7/21/1980,2.35,,2.41,2.35,76000.0
7/22/1980,2.36,,2.37,2.35,33900.0
7/23/1980,2.35,,2.39,2.35,42000.0
7/24/1980,2.37,,2.37,2.35,31700.0
7/25/1980,2.37,,2.38,2.36,38200.0
7/28/1980,2.38,,2.38,2.36,42600.0
7/29/1980,2.43,,2.43,2.38,47000.0
7/30/1980,2.48,,2.49,2.45,64800.0
7/31/1980,2.5,,2.5,2.46,40400.0
8/1/1980,2.46,,2.49,2.46,67100.0
