Date,Close,Open,High,Low,Volume
3/17/1980,0.06,,0.06,0.06,3901.0
3/18/1980,0.05,,0.06,0.05,2101.0
3/19/1980,0.06,,0.06,0.06,601.0
3/20/1980,0.05,,0.06,0.05,1600.0
3/21/1980,0.05,,0.05,0.05,5101.0
3/24/1980,0.05,,0.05,0.05,8000.0
3/25/1980,0.05,,0.05,0.05,801.0
3/26/1980,0.05,,0.05,0.05,4601.0
3/27/1980,0.04,,0.05,0.04,5601.0
3/28/1980,0.05,,0.05,0.05,4701.0
3/31/1980,0.05,,0.05,0.05,5701.0
4/1/1980,0.05,,0.05,0.05,1501.0
4/2/1980,0.05,,0.05,0.05,4501.0
4/3/1980,0.05,,0.05,0.05,301.0
4/7/1980,0.05,,0.05,0.05,2401.0
4/8/1980,0.05,,0.05,0.05,1901.0
4/9/1980,0.06,,0.06,0.06,12001.0
4/10/1980,0.06,,0.06,0.06,7001.0
4/11/1980,0.06,,0.06,0.06,1001.0
4/14/1980,0.06,,0.06,0.06,1101.0
4/15/1980,0.06,,0.06,0.06,1101.0
4/16/1980,0.06,,0.06,0.06,601.0
4/17/1980,0.06,,0.06,0.06,501.0
4/18/1980,0.06,,0.06,0.06,1001.0
4/22/1980,0.06,,0.06,0.06,13001.0
4/23/1980,0.06,,0.06,0.06,3301.0
4/24/1980,0.06,,0.06,0.06,3001.0
4/25/1980,0.06,,0.06,0.06,1801.0
4/28/1980,0.06,,0.06,0.06,400.0
4/29/1980,0.06,,0.07,0.06,4501.0
4/30/1980,0.06,,0.07,0.06,5801.0
5/1/1980,0.06,,0.06,0.06,5001.0
5/2/1980,0.06,,0.06,0.06,1401.0
5/5/1980,0.06,,0.06,0.06,101.0
5/6/1980,0.06,,0.07,0.06,1801.0
5/7/1980,0.07,,0.07,0.07,2601.0
5/8/1980,0.07,,0.07,0.07,1801.0
5/9/1980,0.07,,0.07,0.07,1001.0
5/12/1980,0.07,,0.07,0.07,901.0
5/14/1980,0.07,,0.07,0.07,1001.0
5/15/1980,0.07,,0.07,0.07,3001.0
5/16/1980,0.07,,0.07,0.07,3401.0
