Date,Close,Open,High,Low,Volume
2000-01-28,12.0,12.0,12.19,12.0,11192000.0
2000-01-31,12.06,12.0,12.06,12.0,1880900.0
2000-02-01,12.0,12.0,12.06,12.0,367100.0
2000-02-02,12.06,12.0,12.06,12.0,697400.0
2000-02-03,12.0,12.0,12.06,12.0,579800.0
2000-02-04,11.38,12.0,12.06,11.25,1681900.0
2000-02-07,10.81,11.13,11.13,10.5,927200.0
2000-02-08,9.88,10.75,10.88,9.75,795400.0
2000-02-09,10.13,9.88,10.25,9.75,1710100.0
2000-02-10,10.63,10.5,11.25,10.44,571500.0
2000-02-11,10.06,10.75,10.94,10.0,1062000.0
2000-02-14,9.81,10.19,10.31,9.75,289000.0
2000-02-15,10.44,10.0,10.63,9.94,541400.0
2000-02-16,10.56,10.56,10.63,10.25,360700.0
2000-02-17,10.38,10.88,10.88,10.25,291600.0
2000-02-18,10.5,10.5,10.75,10.31,330700.0
2000-02-22,10.31,10.25,10.63,9.88,314500.0
2000-02-23,10.13,9.94,10.31,9.81,494300.0
2000-02-24,9.94,10.13,10.31,9.88,919900.0
2000-02-25,10.44,10.31,10.63,10.0,1095500.0
2000-02-28,10.13,10.25,10.31,10.0,366800.0
2000-02-29,10.88,10.13,11.25,10.0,1652500.0
2000-03-01,11.0,10.88,11.25,10.88,266700.0
2000-03-02,11.5,10.88,11.94,10.81,890300.0
2000-03-03,10.94,11.5,11.5,10.88,160300.0
2000-03-06,10.75,10.5,10.81,10.38,242800.0
2000-03-07,10.25,10.63,10.75,10.06,393500.0
2000-03-08,10.38,10.19,10.5,9.88,424200.0
2000-03-09,10.5,10.31,10.81,10.25,310100.0
2000-03-10,10.25,10.5,10.5,10.0,168900.0
2000-03-13,9.75,10.0,10.13,9.56,1767400.0
2000-03-14,9.88,9.75,10.13,9.75,660500.0
2000-03-15,9.63,9.88,9.88,9.25,1231100.0
2000-03-16,9.75,9.81,10.25,9.5,404100.0
2000-03-17,9.56,9.75,9.94,9.25,814800.0
2000-03-20,9.63,9.69,9.88,9.5,473200.0
2000-03-21,9.63,9.56,9.81,9.5,176200.0
2000-03-22,9.56,9.63,9.75,9.5,430300.0
2000-03-23,9.69,9.5,9.81,9.5,477400.0
2000-03-24,9.75,9.56,9.88,9.56,236700.0
2000-03-27,9.88,9.75,10.0,9.75,67600.0
2000-03-28,9.81,9.88,10.0,9.75,157900.0
2000-03-29,9.81,9.81,9.94,9.81,253000.0
2000-03-30,9.81,9.81,10.13,9.81,235200.0
2000-03-31,10.5,9.81,10.5,9.75,627300.0
2000-04-03,10.31,10.38,10.38,10.06,108400.0
2000-04-04,10.06,10.38,10.38,10.0,411000.0
2000-04-05,10.25,9.94,10.38,9.88,185700.0
2000-04-06,10.81,10.25,11.13,10.13,296700.0
2000-04-07,10.5,10.5,10.63,10.25,262800.0
2000-04-10,10.31,10.5,10.75,10.25,139400.0
2000-04-11,10.56,10.25,10.63,10.25,315000.0
2000-04-12,10.81,10.56,11.0,10.56,392000.0
2000-04-13,10.63,10.69,10.81,10.63,243200.0
2000-04-14,10.13,10.5,10.63,10.0,269900.0
2000-04-17,10.38,10.0,10.38,10.0,321300.0
2000-04-18,10.63,10.38,10.81,10.25,862200.0
2000-04-19,10.94,10.5,11.25,10.5,531900.0
2000-04-20,10.63,10.94,11.0,10.63,193500.0
2000-04-24,10.88,10.75,11.38,10.75,355700.0
2000-04-25,11.25,11.06,11.56,11.0,621900.0
2000-04-26,11.0,11.25,11.38,11.0,391800.0
2000-04-27,10.81,11.0,11.25,10.81,246300.0
2000-04-28,11.88,11.13,11.88,11.0,284100.0
2000-05-01,11.63,11.75,11.94,11.38,138900.0
2000-05-02,11.75,11.88,11.88,11.56,159200.0
2000-05-03,11.56,11.63,11.69,11.5,105600.0
2000-05-04,11.75,11.56,11.75,11.5,180500.0
2000-05-05,11.94,11.63,12.0,11.56,240000.0
2000-05-08,11.88,11.88,12.0,11.75,117900.0
2000-05-09,11.81,11.75,11.88,11.63,87000.0
2000-05-10,12.0,11.75,12.06,11.56,383700.0
2000-05-11,12.0,11.88,12.06,11.75,404400.0
2000-05-12,12.0,12.0,12.13,11.94,171600.0
2000-05-15,12.63,12.0,12.75,12.0,227300.0
2000-05-16,12.38,12.5,12.63,12.13,251500.0
2000-05-17,12.38,12.31,12.44,12.25,195300.0
2000-05-18,12.0,12.25,12.31,11.94,94500.0
2000-05-19,12.13,12.0,12.25,12.0,334900.0
2000-05-22,11.81,12.06,12.19,11.81,522400.0
2000-05-23,11.63,11.75,11.88,11.38,258000.0
2000-05-24,11.38,11.5,11.56,11.25,209300.0
2000-05-25,11.44,11.25,11.5,11.25,526000.0
2000-05-26,11.88,11.44,11.88,11.38,159000.0
2000-05-30,11.69,11.5,11.69,11.25,217400.0
2000-05-31,11.5,11.56,11.75,11.5,204900.0
2000-06-01,11.25,11.38,11.75,11.0,359100.0
2000-06-02,11.06,11.25,11.38,11.0,183500.0
2000-06-05,11.13,11.06,11.38,11.0,102800.0
2000-06-06,11.31,11.13,11.31,11.13,353700.0
2000-06-07,11.25,11.31,11.38,11.0,303500.0
2000-06-08,11.06,11.19,11.25,11.06,279300.0
2000-06-09,11.25,11.06,11.38,11.0,136600.0
2000-06-12,11.38,11.13,11.38,11.0,215100.0
2000-06-13,11.5,11.38,11.5,11.13,128400.0
2000-06-14,11.56,11.5,11.69,11.31,137200.0
2000-06-15,11.25,11.56,11.81,11.13,140000.0
2000-06-16,10.69,11.13,11.13,10.69,417700.0
2000-06-19,11.0,10.75,11.13,10.63,178200.0
2000-06-20,10.5,10.81,10.88,10.13,183500.0
2000-06-21,11.0,10.25,11.0,10.25,122900.0
2000-06-22,10.69,10.88,11.0,10.25,205200.0
2000-06-23,10.5,10.44,10.63,10.31,69700.0
2000-06-26,10.63,10.38,10.69,10.25,307100.0
2000-06-27,11.0,10.5,11.0,10.5,203500.0
2000-06-28,11.63,10.88,11.88,10.81,199200.0
2000-06-29,12.13,11.63,12.38,11.38,292900.0
2000-06-30,10.13,12.25,12.5,10.13,1202100.0
2000-07-03,11.31,10.88,11.38,10.88,174800.0
2000-07-05,11.25,11.38,11.38,11.0,161500.0
2000-07-06,11.25,11.13,11.25,10.88,58700.0
2000-07-07,11.13,11.13,11.25,10.88,82700.0
2000-07-10,11.0,11.13,11.31,11.0,103000.0
2000-07-11,11.25,11.0,11.31,10.88,206700.0
2000-07-12,11.5,11.25,11.5,11.25,54300.0
2000-07-13,11.69,11.44,11.88,11.44,146800.0
2000-07-14,11.88,11.63,11.94,11.56,173100.0
2000-07-17,11.94,11.81,12.0,11.75,148600.0
2000-07-18,12.0,11.88,12.0,11.81,123100.0
2000-07-19,11.5,11.88,11.88,11.25,143900.0
2000-07-20,11.63,11.75,11.75,11.56,80600.0
2000-07-21,11.63,11.63,11.88,11.63,118300.0
2000-07-24,11.13,11.5,11.5,11.0,259700.0
2000-07-25,10.88,11.0,11.19,10.88,32300.0
2000-07-26,10.81,10.88,10.94,10.75,38800.0
2000-07-27,10.88,10.75,11.0,10.75,195300.0
2000-07-28,10.75,10.81,10.94,10.75,97900.0
2000-07-31,11.38,10.81,11.38,10.81,55200.0
2000-08-01,10.94,11.25,11.25,10.81,57000.0
2000-08-02,11.0,10.88,11.0,10.63,105500.0
2000-08-03,10.75,11.0,11.06,10.63,99200.0
2000-08-04,10.94,10.69,10.94,10.63,40500.0
2000-08-07,11.13,10.88,11.25,10.75,40400.0
2000-08-08,10.69,11.06,11.19,10.69,52700.0
2000-08-09,11.63,10.69,11.75,10.63,151500.0
2000-08-10,11.0,11.5,11.5,11.0,68300.0
2000-08-11,11.5,10.88,11.5,10.88,53900.0
2000-08-14,11.44,11.38,11.75,11.06,92700.0
2000-08-15,11.31,11.5,11.5,11.13,59000.0
2000-08-16,11.63,11.44,11.75,11.25,87800.0
2000-08-17,11.56,11.5,11.69,11.5,160800.0
2000-08-18,11.25,11.44,11.44,11.0,69500.0
2000-08-21,10.75,11.13,11.13,10.75,337400.0
2000-08-22,11.63,10.88,11.75,10.88,78100.0
2000-08-23,11.31,11.5,11.5,11.25,74200.0
2000-08-24,11.25,11.31,11.38,11.19,104800.0
2000-08-25,11.75,11.38,11.75,11.31,270800.0
2000-08-28,11.88,12.0,12.0,11.63,178400.0
2000-08-29,11.75,11.81,11.88,11.75,95800.0
2000-08-30,11.69,11.75,11.75,11.69,106500.0
2000-08-31,11.69,11.69,11.75,11.63,131800.0
2000-09-01,12.06,11.88,12.06,11.75,141300.0
2000-09-05,12.75,12.13,13.19,12.06,535000.0
2000-09-06,12.75,12.63,12.81,12.44,120600.0
2000-09-07,12.56,12.75,12.88,12.5,90400.0
2000-09-08,12.5,12.5,12.94,12.38,284900.0
2000-09-11,12.38,12.5,12.5,12.25,202700.0
2000-09-12,12.31,12.38,12.44,12.25,36300.0
2000-09-13,12.69,12.25,12.69,12.25,77900.0
2000-09-14,12.5,12.69,12.75,12.31,184000.0
2000-09-15,12.13,12.38,12.38,12.0,380000.0
2000-09-18,12.06,12.06,12.25,12.0,68900.0
2000-09-19,12.13,12.13,12.19,12.06,76900.0
2000-09-20,11.88,12.0,12.19,11.75,263600.0
2000-09-21,11.31,11.5,11.63,11.13,83000.0
2000-09-22,10.81,10.94,11.0,10.75,97000.0
2000-09-25,10.5,10.75,10.88,10.5,31300.0
2000-09-26,10.44,10.5,10.5,10.31,46500.0
2000-09-27,10.5,10.44,10.5,10.25,143000.0
2000-09-28,11.31,10.63,11.75,10.56,1865000.0
2000-09-29,11.06,11.31,11.38,10.81,75800.0
2000-10-02,11.25,11.0,11.38,10.88,72700.0
2000-10-03,11.0,11.25,11.44,11.0,179500.0
2000-10-04,11.38,11.13,11.38,11.06,75700.0
2000-10-05,10.88,11.25,11.38,10.88,24700.0
2000-10-06,12.13,11.0,12.13,11.0,529200.0
2000-10-09,12.13,12.06,12.38,11.88,370100.0
2000-10-10,12.13,12.13,12.13,12.0,116900.0
2000-10-11,12.06,12.13,12.38,11.81,386500.0
2000-10-12,11.88,11.94,11.94,11.63,118300.0
2000-10-13,12.31,11.88,12.38,11.81,186100.0
2000-10-16,12.31,12.19,12.38,11.88,97400.0
2000-10-17,12.19,12.38,12.5,12.06,197800.0
2000-10-18,12.75,12.25,12.75,12.06,103500.0
2000-10-19,13.06,12.75,13.63,12.75,204400.0
