Date,Close,Open,High,Low,Volume
11/21/1997,23.0,23.5,23.5,22.75,3821400.0
11/24/1997,22.75,23.0,23.0,22.25,541600.0
11/25/1997,23.0,22.88,23.0,22.69,425000.0
11/26/1997,22.75,23.0,23.0,22.75,165200.0
11/28/1997,23.0,22.75,23.0,22.75,60500.0
12/1/1997,23.06,23.06,23.13,23.0,120300.0
12/2/1997,23.0,23.13,23.13,22.88,164200.0
12/3/1997,23.0,23.06,23.06,22.94,540000.0
12/4/1997,23.0,23.0,23.06,23.0,43800.0
12/5/1997,23.06,22.88,23.38,22.88,147500.0
12/8/1997,23.19,23.0,23.25,23.0,74900.0
12/9/1997,23.19,23.13,23.19,23.0,61000.0
12/10/1997,23.06,23.13,23.25,23.06,104500.0
12/11/1997,23.06,23.0,23.13,23.0,153600.0
12/12/1997,23.19,23.06,23.19,23.06,59900.0
12/15/1997,23.19,23.13,23.19,23.06,24400.0
12/16/1997,23.63,23.19,23.75,23.19,107900.0
12/17/1997,24.19,23.75,24.25,23.69,63900.0
12/18/1997,24.25,24.13,24.25,24.13,35700.0
12/19/1997,23.88,24.25,24.25,23.75,134400.0
12/22/1997,24.0,23.94,24.13,23.88,34400.0
12/23/1997,24.0,24.0,24.19,24.0,88500.0
12/24/1997,24.0,23.94,24.0,23.81,63300.0
12/26/1997,23.69,23.88,23.88,23.56,34600.0
12/29/1997,23.81,23.88,24.06,23.75,159600.0
12/30/1997,24.31,24.0,24.31,23.69,52400.0
12/31/1997,25.13,24.38,25.13,24.38,215700.0
1/2/1998,24.88,25.0,25.0,24.63,52000.0
1/5/1998,24.63,24.75,24.94,24.63,42300.0
1/6/1998,24.69,24.75,24.75,24.63,26900.0
1/7/1998,24.63,24.69,24.75,24.44,49500.0
1/8/1998,24.56,24.5,24.75,24.38,95700.0
1/9/1998,24.38,24.5,24.5,24.13,37800.0
1/12/1998,24.44,24.13,24.44,23.75,24500.0
1/13/1998,24.56,24.5,24.63,24.44,190300.0
1/14/1998,24.75,24.5,24.75,24.25,201800.0
1/15/1998,24.5,24.75,24.75,24.5,39200.0
1/16/1998,24.5,24.56,24.56,24.38,13600.0
1/20/1998,24.63,24.63,24.75,24.56,63200.0
1/21/1998,24.75,24.69,24.88,24.56,90400.0
1/22/1998,24.69,24.88,24.88,24.63,99600.0
1/23/1998,24.44,24.75,24.75,24.44,11200.0
1/26/1998,24.13,24.31,24.38,24.13,50500.0
1/27/1998,24.25,24.25,24.5,24.0,17300.0
1/28/1998,24.0,24.13,24.13,23.88,68700.0
1/29/1998,24.0,23.75,24.13,23.75,67700.0
1/30/1998,24.5,24.0,24.5,24.0,33000.0
2/2/1998,24.75,24.5,24.75,24.44,31000.0
2/3/1998,24.5,24.63,24.75,24.5,18300.0
2/4/1998,24.38,24.56,24.56,24.38,29200.0
2/5/1998,24.5,24.38,24.63,24.38,10900.0
2/6/1998,24.25,24.5,24.5,24.13,129200.0
2/9/1998,24.31,24.19,24.31,23.94,101100.0
2/10/1998,24.63,24.38,24.63,24.31,35000.0
2/11/1998,24.63,24.63,24.63,24.44,40400.0
2/12/1998,24.5,24.5,24.63,24.31,34500.0
2/13/1998,24.5,24.56,24.63,24.38,73100.0
2/17/1998,24.81,24.63,24.81,24.5,110500.0
2/18/1998,24.13,24.69,24.69,23.88,85500.0
2/19/1998,24.0,24.25,24.25,24.0,7900.0
2/20/1998,24.19,24.0,24.38,24.0,82700.0
2/23/1998,24.06,24.13,24.25,24.0,26300.0
2/24/1998,23.88,24.06,24.19,23.88,8700.0
2/25/1998,23.75,23.88,23.94,23.75,45600.0
2/26/1998,23.63,23.75,23.88,23.63,21300.0
2/27/1998,23.5,23.63,23.81,23.5,42700.0
3/2/1998,23.44,23.75,23.75,23.44,102800.0
3/3/1998,23.56,23.44,23.69,23.44,24500.0
3/4/1998,23.38,23.63,23.63,23.38,108100.0
3/5/1998,23.44,23.38,23.5,23.38,43100.0
3/6/1998,23.5,23.44,23.81,23.44,17400.0
3/9/1998,24.0,23.5,24.19,23.5,105300.0
3/10/1998,24.0,24.13,24.25,24.0,89800.0
3/11/1998,24.19,24.0,24.19,24.0,8200.0
3/12/1998,24.0,24.19,24.19,24.0,103000.0
3/13/1998,23.88,23.81,24.0,23.81,438900.0
3/16/1998,23.56,23.63,23.63,23.25,16000.0
3/17/1998,23.5,23.44,23.56,23.38,15300.0
3/18/1998,23.5,23.5,23.63,23.5,39800.0
3/19/1998,23.88,23.5,23.88,23.5,100200.0
3/20/1998,24.25,23.81,24.38,23.81,137800.0
3/23/1998,24.38,24.25,24.5,24.25,13400.0
3/24/1998,24.25,24.5,24.5,24.25,10800.0
3/25/1998,24.31,24.38,24.5,24.25,18700.0
3/26/1998,24.75,24.63,24.94,24.5,22800.0
3/27/1998,24.94,24.75,24.94,24.63,45500.0
3/30/1998,24.63,24.94,24.94,24.56,20000.0
3/31/1998,24.13,24.5,24.5,24.13,113200.0
4/1/1998,24.13,24.06,24.25,23.81,32600.0
4/2/1998,24.0,24.25,24.56,24.0,58100.0
4/3/1998,23.5,23.94,23.94,23.25,64100.0
4/6/1998,23.25,23.5,23.56,23.19,114700.0
4/7/1998,23.0,23.13,23.19,23.0,139600.0
4/8/1998,23.44,23.19,23.44,23.13,24700.0
4/9/1998,23.5,23.5,23.5,23.38,125900.0
4/13/1998,23.19,23.5,23.5,23.13,61300.0
4/14/1998,23.19,23.06,23.19,22.88,93300.0
4/15/1998,23.5,23.13,23.63,23.13,8100.0
4/16/1998,23.13,23.38,23.38,23.0,21100.0
4/17/1998,23.06,23.06,23.19,22.75,103200.0
4/20/1998,22.88,23.25,23.25,22.81,20600.0
4/21/1998,22.69,22.75,22.75,22.56,32700.0
4/22/1998,23.38,22.56,23.5,22.56,67900.0
4/23/1998,23.38,23.38,23.5,23.19,16500.0
4/24/1998,23.5,23.38,23.75,23.38,24700.0
4/27/1998,23.06,23.38,23.5,23.06,6800.0
4/28/1998,23.0,23.38,23.38,23.0,16400.0
4/29/1998,23.13,23.19,23.19,23.13,12500.0
4/30/1998,23.0,23.25,23.38,23.0,15900.0
5/1/1998,24.06,23.0,24.06,23.0,72100.0
5/4/1998,24.75,24.13,25.0,24.13,102900.0
5/5/1998,24.75,24.88,24.88,24.38,73300.0
5/6/1998,24.5,24.75,24.75,24.38,65800.0
5/7/1998,24.88,24.5,24.88,24.5,69100.0
5/8/1998,24.5,24.88,24.88,24.44,55600.0
5/11/1998,23.5,24.5,24.5,23.5,53400.0
5/12/1998,23.44,23.63,23.63,23.25,57700.0
5/13/1998,23.5,23.56,23.63,23.5,3300.0
5/14/1998,23.5,23.5,23.63,23.5,1600.0
5/15/1998,23.63,23.5,23.63,23.5,27300.0
5/18/1998,23.69,23.69,23.69,23.56,27000.0
5/19/1998,23.38,23.69,23.69,23.38,9600.0
5/20/1998,23.31,23.5,23.5,23.13,15300.0
5/21/1998,23.13,23.44,23.56,23.13,82800.0
5/22/1998,23.25,23.13,23.25,23.13,2500.0
5/26/1998,23.38,23.25,23.75,23.25,96500.0
5/27/1998,23.44,23.13,23.44,23.13,49200.0
5/28/1998,23.25,23.38,23.44,23.19,23200.0
5/29/1998,23.81,23.25,23.81,23.25,48000.0
6/1/1998,23.63,23.94,23.94,23.56,77300.0
6/2/1998,23.56,23.5,23.56,23.5,11400.0
6/3/1998,23.5,23.56,23.56,23.5,521600.0
6/4/1998,23.56,23.5,23.63,23.5,6000.0
6/5/1998,23.69,23.69,23.81,23.69,52400.0
6/8/1998,23.5,23.81,23.81,23.5,40800.0
6/9/1998,23.19,23.38,23.44,23.13,13500.0
6/10/1998,23.25,23.19,23.31,23.06,25200.0
6/11/1998,22.88,23.25,23.25,22.5,33100.0
6/12/1998,22.63,22.75,22.75,22.63,46100.0
6/15/1998,22.38,22.63,22.63,22.31,33800.0
6/16/1998,22.63,22.38,22.75,22.38,13000.0
6/17/1998,23.06,22.5,23.06,22.5,59700.0
6/18/1998,24.25,22.88,24.25,22.69,141400.0
6/19/1998,24.0,24.06,24.06,23.81,116200.0
6/22/1998,23.5,23.88,23.88,23.25,66100.0
6/23/1998,23.44,23.38,23.44,23.38,36100.0
6/24/1998,23.94,23.38,24.0,23.25,97100.0
6/25/1998,24.06,24.0,24.13,23.63,158000.0
6/26/1998,24.0,23.81,24.13,23.63,59300.0
6/29/1998,25.0,24.0,25.0,23.63,81900.0
6/30/1998,24.5,25.0,25.0,24.25,298200.0
7/1/1998,24.19,24.5,24.5,24.06,14900.0
7/2/1998,24.06,24.13,24.13,24.06,14500.0
7/6/1998,24.0,24.06,24.06,23.75,19000.0
7/7/1998,24.44,24.0,24.56,23.88,36100.0
7/8/1998,24.13,24.44,24.5,24.13,10000.0
7/9/1998,23.94,24.0,24.0,23.69,21100.0
7/10/1998,24.0,23.81,24.0,23.81,13700.0
7/13/1998,24.19,24.0,24.5,23.88,207600.0
7/14/1998,24.25,24.31,24.44,24.25,5500.0
7/15/1998,24.38,24.25,24.38,24.13,16100.0
7/16/1998,24.5,24.25,24.5,24.25,27200.0
7/17/1998,24.88,24.25,24.88,24.25,376900.0
7/20/1998,24.31,24.75,24.75,24.25,37100.0
7/21/1998,24.56,24.25,24.81,24.25,31200.0
