Date,Close,Open,High,Low,Volume
9/14/2020,,,,,
9/15/2020,,,,,
9/16/2020,,,,,
9/17/2020,,,,,
9/18/2020,,,,,
9/21/2020,,,,,
9/22/2020,,,,,
9/23/2020,,,,,
9/24/2020,,,,,
9/25/2020,,,,,
9/28/2020,,,,,
9/29/2020,,,,,
9/30/2020,9.5,10.0,11.42,9.11,336335618.0
10/1/2020,9.46,9.69,10.1,9.23,123518200.0
10/2/2020,9.2,9.06,9.28,8.94,54499084.0
10/5/2020,9.03,9.43,9.49,8.92,36031368.0
10/6/2020,9.9,9.04,10.18,8.9,90436243.0
10/7/2020,10.0,10.04,10.49,9.99,54239637.0
10/8/2020,10.0,10.29,10.4,9.99,34677165.0
10/9/2020,9.95,10.13,10.19,9.89,19504772.0
10/12/2020,9.89,10.04,10.05,9.66,20457663.0
10/13/2020,9.47,9.88,9.88,9.41,21678573.0
10/14/2020,9.34,9.6,9.66,9.29,13448439.0
10/15/2020,9.91,9.27,9.91,9.18,12675869.0
10/16/2020,9.71,9.94,9.95,9.66,11082410.0
10/19/2020,9.57,9.79,9.82,9.53,9054864.0
10/20/2020,9.27,9.6,9.66,9.27,11054073.0
10/21/2020,9.2,9.3,9.48,9.2,9096779.0
10/22/2020,9.68,9.37,9.75,9.22,17776015.0
10/23/2020,9.49,9.71,9.83,9.47,12550686.0
10/26/2020,9.95,9.72,9.97,9.6,23767344.0
10/27/2020,10.95,10.0,11.04,9.92,53695925.0
10/28/2020,10.85,10.66,10.99,10.1,30941720.0
10/29/2020,10.75,10.9,11.1,10.56,20515706.0
10/30/2020,10.13,10.61,10.68,9.85,19508636.0
11/2/2020,10.54,10.23,10.57,10.23,11594383.0
11/3/2020,10.5,10.57,10.94,10.44,21515039.0
11/4/2020,10.72,10.82,10.92,10.55,15669389.0
11/5/2020,11.88,10.9,12.13,10.85,48214999.0
11/6/2020,13.83,12.22,14.96,12.05,89327671.0
11/9/2020,14.67,14.96,15.9,14.11,59825884.0
11/10/2020,14.0,14.99,15.01,13.18,37908922.0
11/11/2020,15.96,14.57,15.97,14.4,45040905.0
11/12/2020,14.58,16.66,17.06,14.41,89246866.0
11/13/2020,15.8,14.49,16.0,14.49,76026480.0
11/16/2020,15.93,15.96,16.1,15.01,64628018.0
11/17/2020,17.85,16.29,18.75,16.18,116618543.0
11/18/2020,17.9,18.28,19.25,17.54,88154350.0
11/19/2020,18.98,18.5,18.98,17.96,55719368.0
11/20/2020,18.15,19.03,19.66,18.0,71635653.0
11/23/2020,21.04,18.63,21.45,18.57,84716298.0
11/24/2020,23.82,22.35,24.27,20.63,114456822.0
11/25/2020,29.05,23.96,29.75,23.69,202563731.0
11/27/2020,27.66,31.19,33.5,26.12,207662147.0
11/30/2020,27.11,28.24,30.15,24.11,136628168.0
12/1/2020,25.67,28.09,28.14,24.45,84539786.0
12/2/2020,22.51,22.24,23.4,21.15,147830522.0
12/3/2020,24.03,23.55,25.62,23.5,85634262.0
12/4/2020,23.85,24.88,25.24,23.51,55736324.0
12/7/2020,28.94,24.44,29.0,24.44,114032357.0
12/8/2020,28.59,30.63,31.24,27.25,124754317.0
12/9/2020,26.63,28.68,28.85,25.33,79162751.0
12/10/2020,27.04,25.54,28.04,25.15,57413367.0
12/11/2020,27.2,27.15,28.27,26.06,52465591.0
12/14/2020,27.24,28.26,28.26,26.73,44455285.0
12/15/2020,26.43,26.82,27.1,25.52,49273241.0
12/16/2020,25.92,25.71,26.16,25.11,43626248.0
12/17/2020,27.23,26.52,27.45,26.05,53470240.0
12/18/2020,25.97,26.27,26.85,25.8,70616823.0
12/21/2020,28.51,26.19,28.7,25.4,76729131.0
12/22/2020,28.04,29.03,29.42,26.82,65845468.0
12/23/2020,28.69,28.95,29.39,28.05,58263826.0
12/24/2020,27.75,28.8,29.16,27.52,26306795.0
12/28/2020,25.63,28.39,28.59,25.4,55097032.0
12/29/2020,24.66,25.75,26.18,24.34,47302415.0
12/30/2020,25.1,24.97,25.91,24.63,34339804.0
12/31/2020,23.55,24.63,24.72,23.52,39434576.0
1/4/2021,23.37,23.91,24.5,22.5,43668106.0
1/5/2021,24.6,23.18,24.67,22.89,29050437.0
1/6/2021,23.54,24.12,24.46,23.25,32363832.0
1/7/2021,25.0,24.02,25.19,23.67,31963842.0
1/8/2021,25.2,25.7,26.44,24.7,41119133.0
1/11/2021,25.93,24.61,26.6,24.31,32608983.0
1/12/2021,26.18,26.34,26.42,25.51,26994964.0
1/13/2021,25.5,25.71,27.43,25.13,50928276.0
1/14/2021,24.92,25.45,25.62,24.37,32908003.0
1/15/2021,25.64,26.26,28.0,25.46,92285513.0
1/19/2021,26.62,26.81,27.54,26.0,48675845.0
1/20/2021,26.34,27.29,27.3,25.7,37459017.0
1/21/2021,25.98,26.42,26.68,25.3,29891354.0
1/22/2021,32.58,25.85,32.65,25.82,156844666.0
1/25/2021,36.23,34.46,39.58,29.56,191345300.0
1/26/2021,35.37,35.14,36.87,34.32,65869976.0
1/27/2021,39.0,32.97,45.0,32.25,170758759.0
1/28/2021,35.66,39.54,42.0,33.1,85250675.0
1/29/2021,35.18,36.61,38.01,34.66,42030917.0
2/1/2021,33.96,35.33,35.62,32.58,43460896.0
2/2/2021,31.02,34.1,34.2,30.5,69647948.0
2/3/2021,31.76,32.39,32.95,31.38,35311995.0
2/4/2021,32.05,32.58,33.18,31.05,31657211.0
2/5/2021,34.05,32.61,35.2,31.75,62375282.0
2/8/2021,36.05,37.22,39.22,35.89,72610624.0
2/9/2021,38.17,36.9,38.26,36.13,44243214.0
2/10/2021,35.7,38.15,38.24,35.0,45177247.0
2/11/2021,33.11,35.79,35.98,32.61,52094876.0
2/12/2021,31.91,33.36,33.65,31.34,60925593.0
2/16/2021,27.84,30.02,30.44,27.3,180294325.0
2/17/2021,27.08,27.99,29.73,27.0,151007022.0
2/18/2021,25.17,24.99,26.31,24.5,313175121.0
2/19/2021,29.0,27.02,29.96,26.9,320063732.0
2/22/2021,28.0,29.96,30.19,27.54,183049487.0
2/23/2021,26.75,25.96,27.46,23.9,145289437.0
2/24/2021,26.39,26.71,27.23,25.75,90095691.0
2/25/2021,23.96,25.82,26.44,23.15,161776411.0
2/26/2021,23.9,24.2,24.5,22.7,119588572.0
3/1/2021,24.81,25.19,25.9,24.62,85059882.0
3/2/2021,24.48,25.0,25.59,24.26,73996950.0
3/3/2021,23.59,24.99,25.17,23.43,79046238.0
3/4/2021,24.73,24.85,25.56,23.05,161611160.0
3/5/2021,23.95,24.36,24.68,20.18,173468558.0
3/8/2021,22.52,23.77,24.58,22.4,94432814.0
3/9/2021,24.26,23.38,24.74,23.1,99586460.0
3/10/2021,24.75,25.03,26.24,24.27,103212792.0
3/11/2021,26.73,25.95,26.84,25.58,84788705.0
3/12/2021,26.92,25.74,26.92,25.18,58721863.0
3/15/2021,26.79,27.35,27.47,26.31,56548963.0
3/16/2021,25.61,26.75,27.1,25.23,73615140.0
3/17/2021,25.21,24.52,25.73,24.3,77081743.0
3/18/2021,23.98,24.73,25.18,23.78,57523321.0
3/19/2021,24.32,24.01,24.57,23.39,57915872.0
3/22/2021,24.22,24.89,24.92,23.86,46208146.0
3/23/2021,23.26,24.0,24.11,23.1,50169702.0
3/24/2021,21.88,23.3,23.49,21.75,69271892.0
3/25/2021,22.58,21.2,22.8,21.05,74592579.0
3/26/2021,22.58,22.63,23.05,21.76,57916429.0
3/29/2021,21.73,22.48,22.5,21.39,57647369.0
3/30/2021,22.04,21.36,22.09,20.86,52039738.0
3/31/2021,23.29,22.5,23.85,22.38,61458497.0
4/1/2021,23.07,23.95,23.95,22.73,51788762.0
4/5/2021,23.44,23.78,24.45,23.34,65374263.0
4/6/2021,23.27,23.55,23.61,22.83,41933453.0
4/7/2021,22.9,23.0,23.55,22.81,32766194.0
4/8/2021,23.41,23.2,23.6,22.74,35905537.0
4/9/2021,24.04,23.46,24.35,23.37,54082682.0
4/12/2021,23.34,24.52,24.55,22.73,67734941.0
4/13/2021,25.42,23.19,25.66,23.12,83913494.0
4/14/2021,23.7,25.35,26.2,23.65,108793791.0
4/15/2021,23.15,24.01,24.06,22.69,58849349.0
4/16/2021,22.47,22.86,23.26,22.3,46627689.0
4/19/2021,21.94,22.15,22.33,21.53,45753872.0
4/20/2021,21.78,21.96,22.55,21.24,47123090.0
4/21/2021,22.63,21.65,22.64,21.43,42641404.0
4/22/2021,22.86,22.94,23.51,22.51,51346366.0
4/23/2021,23.41,22.89,23.55,22.74,32169533.0
4/26/2021,24.11,23.69,24.26,23.46,33667583.0
4/27/2021,23.88,24.17,24.26,23.57,27678340.0
4/28/2021,23.85,23.67,24.17,23.42,22068111.0
4/29/2021,23.37,23.87,24.14,22.81,36770148.0
4/30/2021,23.04,23.18,23.55,22.84,24717299.0
5/3/2021,22.3,23.01,23.08,22.21,33934417.0
5/4/2021,21.64,21.94,22.2,20.87,63429554.0
5/5/2021,21.15,21.81,21.94,20.97,39134673.0
5/6/2021,20.09,21.02,21.02,19.41,92201104.0
5/7/2021,19.75,20.3,20.75,19.58,63725501.0
5/10/2021,18.47,19.28,19.3,18.18,104670546.0
5/11/2021,20.21,17.2,20.3,17.06,203230517.0
5/12/2021,18.89,20.0,20.0,18.51,128281543.0
5/13/2021,18.37,19.14,19.47,17.82,87811609.0
5/14/2021,20.08,18.82,20.2,18.53,79020465.0
5/17/2021,20.46,19.73,20.49,19.63,50039596.0
5/18/2021,21.24,20.52,21.62,20.26,59672370.0
5/19/2021,20.67,20.1,21.04,19.94,45314036.0
5/20/2021,20.61,20.75,20.81,20.28,46302386.0
5/21/2021,20.75,20.84,21.16,20.47,35372922.0
5/24/2021,21.22,21.06,21.52,20.68,46596776.0
5/25/2021,21.48,21.42,22.11,21.28,49890803.0
5/26/2021,22.12,21.58,22.24,21.49,42958297.0
5/27/2021,22.7,22.01,22.7,21.65,76230463.0
5/28/2021,22.95,23.0,24.75,22.76,111845970.0
6/1/2021,23.06,23.19,23.35,22.36,52695506.0
6/2/2021,24.45,23.02,24.84,22.82,86473158.0
6/3/2021,23.63,24.14,24.26,23.34,48164194.0
6/4/2021,24.03,23.71,24.49,23.5,42537599.0
6/7/2021,24.46,24.0,24.76,23.79,49641037.0
6/8/2021,24.38,24.85,25.23,23.93,53488561.0
6/9/2021,24.17,24.45,24.74,24.17,36006240.0
6/10/2021,24.14,24.0,24.39,23.44,35482902.0
6/11/2021,24.67,24.12,24.71,24.03,33113056.0
6/14/2021,25.0,24.73,25.15,24.47,51537665.0
6/15/2021,24.41,25.03,25.55,24.39,46693199.0
6/16/2021,24.8,24.09,24.94,23.86,58452612.0
6/17/2021,25.45,24.68,25.46,24.55,64408370.0
6/18/2021,25.37,25.59,25.94,25.02,65852610.0
6/21/2021,25.42,25.1,25.55,24.51,54805001.0
6/22/2021,25.4,25.39,25.52,24.96,46171052.0
6/23/2021,26.27,25.46,26.35,25.34,53362161.0
6/24/2021,26.53,26.49,26.71,26.17,48419360.0
6/25/2021,26.78,26.58,27.01,26.25,140832704.0
6/28/2021,27.38,26.98,27.5,26.86,42184606.0
6/29/2021,26.63,27.38,27.44,26.44,38478919.0
6/30/2021,26.36,26.48,26.92,26.21,28957136.0
7/1/2021,24.72,26.1,26.13,24.59,55571523.0
7/2/2021,24.44,25.0,25.34,24.33,29529097.0
7/6/2021,24.68,24.6,25.2,24.47,28764530.0
7/7/2021,22.89,24.23,24.26,22.72,66937305.0
7/8/2021,23.08,22.43,23.21,22.25,34612558.0
7/9/2021,23.29,22.96,23.39,22.76,22492370.0
7/12/2021,22.95,23.26,23.5,22.88,23457170.0
7/13/2021,22.45,22.98,22.99,22.42,24748843.0
7/14/2021,21.56,22.49,22.62,21.51,33796192.0
7/15/2021,21.47,21.72,22.06,21.01,31870960.0
7/16/2021,21.37,21.6,21.71,21.24,19503109.0
7/19/2021,21.54,20.97,21.69,20.55,30314387.0
7/20/2021,22.18,21.63,22.35,21.22,22954034.0
7/21/2021,22.52,22.27,22.68,22.12,20437265.0
7/22/2021,22.07,22.55,22.67,21.88,17468879.0
7/23/2021,21.81,22.01,22.08,21.51,17653323.0
7/26/2021,22.13,21.8,22.3,21.48,16267893.0
7/27/2021,21.68,21.96,22.11,21.09,23078733.0
7/28/2021,22.56,21.75,22.62,21.69,25073557.0
7/29/2021,22.18,22.78,22.85,22.14,19219083.0
7/30/2021,21.71,21.85,22.41,21.71,15889153.0
8/2/2021,22.1,21.91,22.37,21.48,21372877.0
8/3/2021,22.24,22.03,22.27,21.71,17040068.0
8/4/2021,22.3,22.2,22.54,22.07,15537433.0
8/5/2021,22.52,22.22,22.77,22.02,18575248.0
