Date,Close,Open,High,Low,Volume
3/17/2008,49.39,50.0,52.65,49.24,1988000.0
3/18/2008,49.6,49.85,52.0,47.75,8067600.0
3/19/2008,50.1,49.6,51.0,46.9,3007700.0
3/20/2008,49.15,50.2,50.2,48.87,1715600.0
3/24/2008,51.0,49.81,51.0,49.81,1437000.0
3/25/2008,51.75,51.4,51.75,50.6,1100800.0
3/26/2008,50.3,51.7,52.47,50.3,2023200.0
3/27/2008,50.68,50.95,52.03,50.0,8653300.0
3/28/2008,51.06,50.95,52.5,50.56,9961200.0
3/31/2008,50.58,52.4,54.7,50.0,19414196.0
4/1/2008,50.58,51.1,52.19,49.01,23322856.0
4/2/2008,51.21,51.16,52.07,50.15,12944607.0
4/3/2008,51.05,51.0,51.5,50.4,12439051.0
4/4/2008,51.37,51.48,51.48,50.8,6651233.0
4/7/2008,50.67,51.6,51.6,50.5,7099377.0
4/8/2008,50.6,50.41,51.01,50.21,8283325.0
4/9/2008,49.38,50.5,50.59,49.15,8916681.0
4/10/2008,48.66,49.49,49.91,48.5,14322965.0
4/11/2008,48.33,48.49,48.89,48.08,11406060.0
4/14/2008,48.0,48.3,48.35,47.43,11532761.0
4/15/2008,48.2,47.78,48.35,47.78,9603320.0
4/16/2008,49.46,48.41,49.61,48.35,14837608.0
4/17/2008,49.85,49.72,50.0,49.42,6660660.0
4/18/2008,49.96,50.49,50.94,49.38,9630848.0
4/21/2008,50.63,50.2,50.89,49.13,6529945.0
4/22/2008,50.07,50.6,50.9,49.92,5505572.0
4/23/2008,52.0,51.0,52.34,50.9,13533256.0
4/24/2008,52.0,52.0,52.43,51.5,5847689.0
4/25/2008,51.3,52.14,52.18,50.75,11399641.0
4/28/2008,51.07,50.94,51.3,50.75,8382470.0
4/29/2008,52.01,51.44,52.2,50.26,12326452.0
4/30/2008,51.03,51.7,52.01,50.91,8736402.0
5/1/2008,50.75,50.83,51.17,50.62,7122614.0
5/2/2008,51.02,50.9,51.1,50.4,9291703.0
5/5/2008,50.81,50.87,51.63,50.63,8398645.0
5/6/2008,51.88,50.9,51.95,50.85,7588691.0
5/7/2008,51.69,51.97,52.2,51.31,6391320.0
5/8/2008,52.2,51.65,52.21,51.5,6669613.0
5/9/2008,51.83,51.9,52.46,51.53,5491720.0
5/12/2008,52.47,51.98,52.54,51.3,5851389.0
5/13/2008,52.46,52.42,52.84,52.04,5986527.0
5/14/2008,52.67,52.51,52.85,52.4,5381474.0
5/15/2008,53.25,52.51,53.31,52.1,8376438.0
5/16/2008,53.38,53.23,53.5,52.35,7172820.0
5/19/2008,53.63,53.49,53.95,52.93,6580465.0
5/20/2008,52.91,53.3,53.94,52.82,6887370.0
5/21/2008,51.98,53.04,53.18,51.83,6785687.0
5/22/2008,52.28,51.82,52.77,51.78,5135183.0
