Date,Close,Open,High,Low,Volume
3/17/1980,2.56,,2.66,2.56,4900.0
3/18/1980,2.63,,2.72,2.63,6600.0
3/19/1980,2.66,,2.75,2.66,3000.0
3/20/1980,2.66,,2.75,2.66,2200.0
3/21/1980,2.66,,2.75,2.66,2300.0
3/24/1980,2.59,,2.69,2.59,5700.0
3/25/1980,2.44,,2.53,2.44,14500.0
3/26/1980,2.38,,2.47,2.38,4700.0
3/27/1980,2.28,,2.38,2.28,3800.0
3/28/1980,2.41,,2.5,2.41,5000.0
3/31/1980,2.47,,2.56,2.47,7000.0
4/1/1980,2.5,,2.59,2.5,1600.0
4/2/1980,2.53,,2.63,2.53,1700.0
4/3/1980,2.56,,2.66,2.56,12200.0
4/7/1980,2.53,,2.63,2.53,1700.0
4/8/1980,2.53,,2.63,2.53,1000.0
4/9/1980,2.56,,2.66,2.56,1200.0
4/10/1980,2.59,,2.69,2.59,1000.0
4/11/1980,2.63,,2.72,2.63,2800.0
4/14/1980,2.63,,2.72,2.63,2000.0
4/15/1980,2.63,,2.72,2.63,3800.0
4/16/1980,2.66,,2.75,2.66,2900.0
4/17/1980,2.66,,2.75,2.66,1700.0
4/18/1980,2.66,,2.75,2.66,2500.0
4/21/1980,2.66,,2.75,2.66,600.0
4/22/1980,2.72,,2.81,2.72,4800.0
4/23/1980,2.78,,2.88,2.78,3100.0
4/24/1980,2.78,,2.88,2.78,1800.0
4/25/1980,2.78,,2.88,2.78,300.0
4/28/1980,2.78,,2.88,2.78,600.0
4/29/1980,2.78,,2.88,2.78,3300.0
4/30/1980,2.75,,2.84,2.75,2400.0
5/1/1980,2.75,,2.84,2.75,3900.0
5/2/1980,2.72,,2.81,2.72,300.0
5/5/1980,2.91,,3.0,2.91,17800.0
5/6/1980,2.88,,2.97,2.88,9700.0
5/7/1980,2.94,,3.03,2.94,4300.0
5/8/1980,2.91,,3.0,2.91,900.0
5/9/1980,2.91,,3.0,2.91,800.0
5/12/1980,2.91,,3.0,2.91,2400.0
5/13/1980,2.94,,3.03,2.94,4100.0
5/14/1980,2.94,,3.03,2.94,900.0
5/15/1980,2.94,,3.03,2.94,400.0
5/16/1980,2.97,,3.06,2.97,2500.0
5/19/1980,2.97,,3.06,2.97,2000.0
5/20/1980,2.97,,3.06,2.97,700.0
5/21/1980,2.97,,3.06,2.97,1300.0
5/22/1980,3.0,,3.09,3.0,3100.0
5/23/1980,3.09,,3.19,3.09,3600.0
5/27/1980,3.09,,3.19,3.09,1600.0
5/28/1980,3.09,,3.19,3.09,1800.0
