Date,Close,Open,High,Low,Volume
1980-03-17,15.13,,15.63,15.13,39600.0
1980-03-18,15.75,,15.75,15.13,31000.0
1980-03-19,15.75,,15.88,15.63,36000.0
1980-03-20,15.75,,15.75,15.63,28900.0
1980-03-21,15.5,,15.75,15.38,67100.0
1980-03-24,15.38,,15.5,15.25,31400.0
1980-03-25,15.13,,15.38,15.0,44300.0
1980-03-26,15.0,,15.38,15.0,31400.0
1980-03-27,15.0,,15.13,14.75,30400.0
1980-03-28,14.75,,15.0,14.75,34600.0
1980-03-31,15.25,,15.25,14.75,38300.0
1980-04-01,15.63,,15.63,15.13,24200.0
1980-04-02,15.75,,15.88,15.0,40800.0
1980-04-03,15.75,,15.75,15.5,233500.0
1980-04-07,15.63,,15.75,15.5,55900.0
1980-04-08,15.75,,15.75,15.38,35800.0
1980-04-09,15.88,,15.88,15.5,105000.0
1980-04-10,16.25,,16.5,16.0,151800.0
1980-04-11,16.63,,16.88,16.5,104500.0
1980-04-14,16.63,,16.75,16.38,44600.0
1980-04-15,16.63,,16.75,16.38,35200.0
1980-04-16,16.63,,17.0,16.63,64300.0
1980-04-17,17.25,,17.25,16.75,47600.0
1980-04-18,17.88,,17.88,17.38,51000.0
1980-04-21,17.63,,17.88,17.38,36900.0
1980-04-22,17.5,,17.75,17.5,37800.0
1980-04-23,17.75,,17.75,17.25,35000.0
1980-04-24,17.63,,17.75,17.5,88800.0
1980-04-25,17.5,,17.75,17.5,28200.0
1980-04-28,17.63,,17.75,17.5,45900.0
1980-04-29,16.88,,17.0,16.63,42000.0
1980-04-30,17.0,,17.13,16.88,33900.0
1980-05-01,17.0,,17.25,16.88,36800.0
1980-05-02,17.13,,17.13,16.88,47800.0
1980-05-05,17.25,,17.38,17.0,51000.0
1980-05-06,17.5,,17.5,17.13,43000.0
1980-05-07,18.0,,18.25,17.63,78900.0
1980-05-08,18.0,,18.38,18.0,57200.0
1980-05-09,18.0,,18.25,17.75,32500.0
1980-05-12,18.0,,18.0,17.75,34000.0
1980-05-13,18.0,,18.13,17.75,65100.0
1980-05-14,18.0,,18.13,17.75,57300.0
1980-05-15,18.0,,18.13,17.75,136200.0
1980-05-16,17.75,,18.0,17.75,36500.0
1980-05-19,17.75,,18.0,17.75,31100.0
1980-05-20,17.88,,18.0,17.75,33500.0
1980-05-21,17.88,,18.0,17.75,32400.0
1980-05-22,17.75,,17.88,17.63,49200.0
1980-05-23,17.75,,18.0,17.75,37700.0
1980-05-27,18.0,,18.0,17.75,38600.0
1980-05-28,18.25,,18.25,18.0,218400.0
1980-05-29,18.63,,18.63,18.38,54900.0
1980-05-30,18.25,,18.5,18.13,66000.0
1980-06-02,18.0,,18.38,18.0,45400.0
1980-06-03,17.88,,18.0,17.75,53500.0
1980-06-04,17.88,,18.0,17.75,31200.0
1980-06-05,17.88,,18.0,17.88,45400.0
1980-06-06,18.0,,18.0,17.88,65800.0
1980-06-09,18.25,,18.25,17.88,29500.0
1980-06-10,18.38,,18.38,18.25,41400.0
1980-06-11,18.38,,18.5,18.13,44400.0
1980-06-12,18.38,,18.38,18.25,47100.0
1980-06-13,18.88,,18.88,18.5,55100.0
1980-06-16,19.0,,19.38,18.75,97000.0
1980-06-17,19.0,,19.13,18.88,39000.0
1980-06-18,19.38,,19.63,18.88,63600.0
1980-06-19,19.25,,19.38,19.25,42600.0
1980-06-20,19.38,,19.5,19.25,36300.0
1980-06-23,19.25,,19.5,19.25,37700.0
1980-06-24,19.38,,19.5,19.38,29300.0
1980-06-25,19.25,,19.38,19.25,41800.0
1980-06-26,19.38,,19.38,19.25,193000.0
1980-06-27,19.25,,19.38,18.88,77100.0
1980-06-30,19.0,,19.25,19.0,37900.0
1980-07-01,18.75,,19.25,18.63,76700.0
1980-07-02,18.63,,18.75,18.5,62500.0
1980-07-03,18.75,,18.88,18.5,28300.0
1980-07-07,18.88,,19.0,18.75,39800.0
1980-07-08,19.0,,19.0,18.75,36200.0
1980-07-09,19.0,,19.0,18.88,37400.0
1980-07-10,19.0,,19.0,18.88,46600.0
1980-07-11,18.88,,19.0,18.88,58300.0
1980-07-14,19.0,,19.0,18.88,37100.0
1980-07-15,18.88,,19.13,18.75,39200.0
1980-07-16,18.88,,19.0,18.63,50700.0
1980-07-17,18.88,,19.13,18.75,32700.0
1980-07-18,19.0,,19.0,18.88,22500.0
1980-07-21,19.13,,19.25,19.0,28600.0
1980-07-22,19.25,,19.38,19.0,34500.0
1980-07-23,19.0,,19.13,18.75,397500.0
1980-07-24,18.75,,18.88,18.63,75000.0
1980-07-25,18.88,,19.0,18.75,32500.0
1980-07-28,19.0,,19.13,18.75,42400.0
1980-07-29,19.13,,19.25,18.88,40800.0
1980-07-30,19.13,,19.25,19.0,86800.0
1980-07-31,18.38,,18.75,18.25,140200.0
1980-08-01,18.0,,18.38,17.5,83200.0
1980-08-04,17.88,,18.0,17.63,46000.0
1980-08-05,17.63,,18.0,17.5,132800.0
1980-08-06,17.75,,17.75,17.5,44600.0
1980-08-07,17.88,,18.0,17.75,85900.0
1980-08-08,17.88,,18.0,17.75,38300.0
1980-08-11,17.88,,18.0,17.75,35300.0
1980-08-12,17.88,,18.0,17.63,31100.0
1980-08-13,17.75,,17.88,17.63,27100.0
1980-08-14,17.88,,17.88,17.75,22100.0
1980-08-15,17.75,,18.0,17.75,40600.0
1980-08-18,18.0,,18.0,17.75,28000.0
1980-08-19,18.0,,18.0,17.88,26700.0
1980-08-20,17.88,,18.0,17.38,22300.0
1980-08-21,17.88,,18.0,17.75,24800.0
1980-08-22,17.75,,17.88,17.63,31000.0
1980-08-25,17.75,,17.88,17.75,25400.0
1980-08-26,17.75,,17.88,17.75,19800.0
1980-08-27,17.75,,18.0,17.75,16400.0
1980-08-28,17.88,,17.88,17.75,26500.0
1980-08-29,17.88,,18.0,17.75,21700.0
1980-09-02,17.75,,17.88,17.75,32500.0
1980-09-03,17.75,,17.88,17.75,28600.0
1980-09-04,18.0,,18.0,17.88,40000.0
1980-09-05,18.0,,18.0,17.88,28800.0
1980-09-08,17.75,,18.0,17.75,25600.0
1980-09-09,17.88,,17.88,17.75,22500.0
1980-09-10,17.75,,18.0,17.75,16600.0
1980-09-11,17.75,,17.88,17.63,26400.0
1980-09-12,17.63,,17.75,17.63,22200.0
1980-09-15,17.88,,17.88,17.63,33600.0
1980-09-16,17.75,,17.88,17.63,34700.0
1980-09-17,17.63,,17.88,17.63,20500.0
1980-09-18,17.5,,17.75,17.5,36100.0
1980-09-19,17.5,,17.75,17.5,32700.0
1980-09-22,17.75,,17.88,17.5,22700.0
1980-09-23,17.63,,17.75,17.63,159800.0
1980-09-24,17.63,,17.75,17.5,71300.0
1980-09-25,17.63,,17.75,17.63,28900.0
1980-09-26,17.75,,17.75,17.63,69900.0
1980-09-29,17.0,,17.63,17.0,89600.0
1980-09-30,17.13,,17.13,17.0,54500.0
1980-10-01,16.88,,17.88,16.88,44000.0
1980-10-02,16.88,,17.0,16.63,50500.0
1980-10-03,17.0,,17.0,16.75,182600.0
1980-10-06,17.25,,17.25,16.88,85400.0
1980-10-07,17.5,,17.5,17.13,39500.0
1980-10-08,17.75,,17.75,17.38,33000.0
1980-10-09,17.88,,18.0,17.63,48400.0
1980-10-10,17.63,,18.0,17.63,59200.0
1980-10-13,17.63,,17.75,17.5,29100.0
1980-10-14,17.75,,17.88,17.63,107900.0
1980-10-15,17.75,,17.75,17.13,38000.0
1980-10-16,17.88,,17.88,17.63,69000.0
1980-10-17,18.0,,18.0,17.63,37800.0
1980-10-20,17.88,,17.88,17.63,26500.0
1980-10-21,17.63,,17.88,17.63,54400.0
1980-10-22,17.63,,17.75,17.63,37200.0
1980-10-23,17.5,,17.75,17.5,31700.0
1980-10-24,17.63,,17.75,17.5,22900.0
1980-10-27,17.63,,17.75,17.5,74900.0
1980-10-28,16.75,,17.13,16.75,81400.0
1980-10-29,16.63,,16.88,16.5,102700.0
1980-10-30,16.38,,16.88,16.38,51800.0
1980-10-31,16.63,,16.75,16.25,78400.0
1980-11-03,16.63,,17.0,16.38,29700.0
1980-11-05,16.38,,16.88,16.13,116800.0
1980-11-06,16.5,,16.63,16.25,28800.0
1980-11-07,16.38,,16.38,16.0,53200.0
1980-11-10,16.13,,16.25,16.0,45600.0
1980-11-11,16.25,,16.38,16.0,31700.0
1980-11-12,16.5,,16.63,16.0,35600.0
1980-11-13,16.88,,16.88,16.38,43600.0
1980-11-14,16.88,,16.88,16.63,35500.0
1980-11-17,16.63,,16.88,16.63,37000.0
1980-11-18,16.5,,16.88,16.5,28100.0
1980-11-19,16.25,,16.63,16.0,50200.0
1980-11-20,16.25,,16.38,16.13,43300.0
1980-11-21,16.13,,16.38,16.0,117600.0
1980-11-24,15.88,,16.13,15.88,74300.0
1980-11-25,16.0,,16.13,15.88,46100.0
1980-11-26,15.75,,16.0,15.75,47900.0
1980-11-28,15.88,,16.0,15.75,26300.0
1980-12-01,15.75,,16.25,15.63,163500.0
1980-12-02,15.88,,16.0,15.63,41100.0
1980-12-03,16.25,,16.25,16.0,36200.0
1980-12-04,16.0,,16.25,16.0,49200.0
1980-12-05,16.0,,16.13,15.88,26700.0
1980-12-08,15.88,,16.13,15.88,34400.0
1980-12-09,16.0,,16.13,15.75,34600.0
1980-12-10,15.75,,15.88,15.75,36700.0
1980-12-11,15.75,,15.88,15.63,31300.0
1980-12-12,15.63,,15.88,15.63,46300.0
1980-12-15,15.63,,16.0,15.63,58200.0
1980-12-16,15.75,,15.88,15.5,35000.0
1980-12-17,16.0,,16.13,15.75,49100.0
1980-12-18,16.75,,17.0,16.0,91600.0
1980-12-19,17.38,,17.5,16.75,68900.0
1980-12-22,17.75,,18.0,17.5,63000.0
1980-12-23,18.0,,18.38,17.88,261900.0
1980-12-24,17.88,,18.25,17.88,18100.0
1980-12-26,18.13,,18.13,18.0,12200.0
1980-12-29,18.0,,18.0,17.88,71800.0
1980-12-30,17.75,,17.88,17.5,30300.0
1980-12-31,17.63,,17.75,17.38,25800.0
1981-01-02,17.75,,17.88,17.63,18400.0
1981-01-05,18.13,,18.13,18.0,78100.0
1981-01-06,18.63,,18.63,18.25,166100.0
1981-01-07,18.25,,18.88,18.0,45600.0
1981-01-08,18.0,,18.38,18.0,35600.0
1981-01-09,17.5,,18.13,17.5,37800.0
1981-01-12,17.88,,18.0,17.63,39100.0
1981-01-13,18.0,,18.0,17.63,68800.0
1981-01-14,17.88,,18.0,17.75,30000.0
1981-01-15,17.75,,17.88,17.75,15800.0
1981-01-16,17.88,,17.88,17.75,12800.0
1981-01-19,17.5,,17.88,17.5,22300.0
1981-01-20,17.63,,17.75,17.5,39400.0
1981-01-21,17.38,,17.75,17.25,21900.0
1981-01-22,16.88,,17.5,16.88,24000.0
1981-01-23,16.88,,17.13,16.63,44200.0
1981-01-26,16.88,,17.13,16.88,17600.0
1981-01-27,16.38,,16.5,16.25,38700.0
1981-01-28,16.5,,16.63,16.38,23400.0
1981-01-29,16.75,,16.88,16.38,23700.0
1981-01-30,16.75,,16.88,16.5,34100.0
1981-02-02,16.5,,16.75,16.38,25400.0
1981-02-03,16.5,,16.63,16.38,26300.0
1981-02-04,16.38,,16.63,16.25,28000.0
1981-02-05,16.25,,16.5,16.25,34700.0
1981-02-06,16.13,,16.38,16.13,19900.0
1981-02-09,16.13,,16.25,16.0,40900.0
1981-02-10,16.13,,16.25,16.0,39000.0
1981-02-11,16.0,,16.25,16.0,21300.0
1981-02-12,15.88,,16.0,15.88,23200.0
1981-02-13,15.5,,16.0,15.5,29800.0
1981-02-17,16.0,,16.0,15.75,25000.0
1981-02-18,16.38,,16.38,15.88,17400.0
1981-02-19,16.25,,16.63,16.13,38100.0
1981-02-20,16.13,,16.25,16.0,29500.0
1981-02-23,16.0,,16.38,15.88,20100.0
1981-02-24,16.13,,16.25,15.88,17900.0
1981-02-25,16.13,,16.25,16.0,16100.0
1981-02-26,16.38,,16.38,16.13,26100.0
1981-02-27,16.38,,16.38,16.25,11300.0
1981-03-02,16.13,,16.25,16.0,23200.0
1981-03-03,16.13,,16.25,16.0,17400.0
1981-03-04,16.0,,16.25,16.0,20800.0
1981-03-05,16.13,,16.13,16.0,15200.0
1981-03-06,16.25,,16.25,16.0,19000.0
1981-03-09,16.0,,16.25,16.0,17300.0
1981-03-10,16.13,,16.13,16.0,20300.0
1981-03-11,16.13,,16.38,16.13,31400.0
1981-03-12,16.38,,16.38,16.13,22200.0
1981-03-13,16.5,,16.5,16.25,30200.0
1981-03-16,17.13,,17.13,16.5,51200.0
1981-03-17,17.0,,17.5,16.88,62300.0
1981-03-18,16.75,,17.0,16.75,19400.0
1981-03-19,16.75,,16.88,16.63,26400.0
1981-03-20,16.63,,16.88,16.63,20100.0
1981-03-23,16.88,,16.88,16.63,15200.0
1981-03-24,16.5,,16.75,16.5,24500.0
