Date,Close,Open,High,Low,Volume
5/15/2007,15.96,17.0,17.0,15.77,4851761.0
5/16/2007,15.45,15.95,15.97,15.03,357578.0
5/17/2007,15.13,15.29,15.59,15.05,426648.0
5/18/2007,15.18,15.05,15.29,15.05,140549.0
5/21/2007,15.63,15.23,15.63,15.1,157104.0
5/22/2007,15.62,15.59,15.75,15.32,141901.0
5/23/2007,15.25,15.75,15.75,15.05,103366.0
5/24/2007,15.22,15.34,15.34,14.85,199633.0
5/25/2007,15.17,15.23,15.23,15.1,43782.0
5/29/2007,15.27,15.15,15.3,15.05,138427.0
5/30/2007,15.1,15.0,15.14,14.99,120193.0
5/31/2007,14.82,14.9,15.01,14.57,151563.0
6/1/2007,15.0,15.0,15.04,14.8,81634.0
6/4/2007,15.0,14.99,15.0,14.8,101030.0
6/5/2007,14.76,15.0,15.03,14.62,120078.0
6/6/2007,14.28,14.6,14.6,14.25,88812.0
6/7/2007,14.0,14.03,14.36,13.88,99714.0
6/8/2007,14.1,13.92,14.12,13.9,61327.0
6/11/2007,14.49,14.14,14.72,14.1,47657.0
6/12/2007,14.25,14.48,14.61,14.25,39680.0
6/13/2007,14.25,14.26,14.5,14.24,70230.0
6/14/2007,14.17,14.25,14.33,14.05,60899.0
6/15/2007,13.91,14.16,14.16,13.91,36890.0
6/18/2007,13.85,13.78,14.0,13.7,40549.0
6/19/2007,13.84,13.7,14.11,13.63,42702.0
6/20/2007,14.06,14.07,14.24,13.8,108727.0
6/21/2007,14.12,14.4,14.5,13.96,50915.0
6/22/2007,13.85,13.9,14.67,13.85,816028.0
6/25/2007,14.06,14.24,14.24,13.9,184675.0
6/26/2007,13.99,14.09,14.1,13.88,83335.0
6/27/2007,14.21,13.89,14.24,13.87,51978.0
6/28/2007,14.01,14.26,14.3,13.88,235693.0
6/29/2007,14.2,14.17,14.28,13.94,166033.0
7/2/2007,14.45,14.3,14.56,14.08,82827.0
7/3/2007,14.5,14.05,14.54,14.05,7086.0
7/5/2007,14.97,15.0,15.0,14.6,41773.0
7/6/2007,15.05,14.86,15.09,14.85,30778.0
7/9/2007,14.87,14.88,14.99,14.5,10194.0
7/10/2007,15.01,14.7,15.05,14.7,30081.0
7/11/2007,14.82,14.99,15.05,14.8,13174.0
7/12/2007,14.93,14.94,14.97,14.89,15157.0
7/13/2007,14.79,15.05,15.05,14.66,13920.0
7/16/2007,14.04,14.83,14.83,13.88,28321.0
7/17/2007,13.99,14.13,14.21,13.99,15552.0
7/18/2007,14.0,14.0,14.06,13.84,97168.0
7/19/2007,14.0,14.0,14.34,13.68,156165.0
7/20/2007,14.01,14.0,14.07,13.91,31992.0
7/23/2007,13.98,14.05,14.28,13.88,12234.0
7/24/2007,13.68,13.77,13.97,13.28,44988.0
7/25/2007,14.13,13.76,14.13,13.74,61868.0
7/26/2007,14.57,13.86,14.7,13.86,58375.0
7/27/2007,14.11,14.46,14.48,13.96,72499.0
7/30/2007,14.0,14.04,14.19,13.94,9669.0
7/31/2007,14.02,14.09,14.09,13.96,19135.0
8/1/2007,14.21,13.98,14.21,13.85,54310.0
8/2/2007,14.39,14.11,14.4,13.85,15242.0
8/3/2007,13.97,14.0,14.23,13.89,65788.0
8/6/2007,13.99,13.95,14.27,13.95,78158.0
8/7/2007,14.23,14.01,14.45,13.75,573965.0
8/8/2007,15.02,14.42,15.57,14.42,72718.0
8/9/2007,14.5,15.25,16.0,14.5,66098.0
8/10/2007,14.48,14.5,15.01,13.86,82676.0
8/13/2007,15.19,14.85,15.75,14.69,65611.0
8/14/2007,15.0,15.34,15.49,14.55,47216.0
8/15/2007,15.0,15.0,15.59,14.54,92938.0
8/16/2007,16.98,15.01,16.98,14.92,80715.0
8/17/2007,16.97,17.3,17.8,16.68,164047.0
8/20/2007,17.0,16.98,17.37,16.85,39911.0
8/21/2007,16.87,17.06,17.06,16.81,118622.0
8/22/2007,16.99,17.07,17.13,16.75,151557.0
8/23/2007,17.06,17.26,17.5,16.96,60531.0
8/24/2007,17.1,17.18,17.24,16.81,18854.0
8/27/2007,16.97,17.13,17.16,16.79,158683.0
8/28/2007,17.57,16.85,17.64,16.79,62776.0
8/29/2007,18.56,17.75,19.0,17.75,47152.0
8/30/2007,18.19,18.26,18.51,17.69,47507.0
8/31/2007,17.62,18.45,18.45,17.35,21833.0
9/4/2007,18.0,17.61,18.04,17.61,101353.0
9/5/2007,17.43,17.9,18.0,17.24,30748.0
9/6/2007,17.99,17.45,18.0,17.45,21931.0
9/7/2007,17.49,18.0,18.0,17.33,26354.0
9/10/2007,17.82,17.63,18.06,17.14,36813.0
9/11/2007,19.08,18.06,20.24,18.06,268811.0
9/12/2007,20.29,19.09,20.29,18.97,175861.0
9/13/2007,20.98,20.17,21.49,19.76,231629.0
9/14/2007,21.5,20.94,21.64,20.94,116497.0
9/17/2007,22.49,21.56,22.55,21.5,135299.0
9/18/2007,22.6,22.6,24.0,22.25,347073.0
9/19/2007,22.58,22.76,23.0,21.7,90294.0
9/20/2007,21.9,22.47,22.6,21.79,50243.0
9/21/2007,21.37,21.9,22.25,20.61,148407.0
9/24/2007,21.9,21.43,21.99,20.86,151095.0
9/25/2007,21.69,21.72,21.79,21.3,86569.0
9/26/2007,21.33,21.75,21.75,21.07,39689.0
9/27/2007,21.34,21.45,21.75,20.97,79993.0
9/28/2007,21.75,21.45,21.87,21.12,249836.0
10/1/2007,21.25,21.7,22.51,21.09,83018.0
10/2/2007,22.5,21.54,23.18,21.54,133804.0
10/3/2007,22.68,22.47,23.03,22.37,130660.0
10/4/2007,23.46,22.81,23.97,22.31,175386.0
10/5/2007,23.51,23.7,24.29,23.45,234893.0
10/8/2007,22.98,23.4,23.76,22.75,60896.0
10/9/2007,24.26,23.14,24.52,22.99,88660.0
10/10/2007,24.6,24.29,25.1,23.39,100195.0
10/11/2007,25.06,24.78,25.77,24.25,281122.0
10/12/2007,25.77,25.11,25.83,25.11,90911.0
10/15/2007,24.89,25.82,25.99,24.37,125036.0
10/16/2007,25.15,24.75,25.33,24.56,146816.0
10/17/2007,24.2,25.37,27.12,23.98,266545.0
10/18/2007,23.77,24.01,24.35,22.79,132874.0
10/19/2007,23.14,23.77,24.5,23.0,122135.0
10/22/2007,24.16,22.96,24.26,22.16,110721.0
10/23/2007,25.17,24.25,25.3,24.17,120461.0
10/24/2007,25.85,25.13,26.19,24.77,104721.0
10/25/2007,25.9,26.0,26.79,25.73,106907.0
10/26/2007,26.62,26.32,26.75,25.46,86342.0
10/29/2007,26.89,25.28,27.67,25.05,155353.0
10/30/2007,25.21,26.8,26.8,25.11,97494.0
10/31/2007,25.04,25.44,25.56,24.41,83491.0
11/1/2007,23.83,24.89,24.95,23.73,161922.0
11/2/2007,23.79,23.94,24.41,23.12,143617.0
11/5/2007,24.57,23.45,25.47,22.98,192143.0
11/6/2007,23.5,24.29,24.46,23.29,283963.0
11/7/2007,23.25,23.3,23.52,23.14,2575525.0
11/8/2007,23.4,23.29,23.64,23.0,457477.0
11/9/2007,23.4,23.28,23.65,23.1,132688.0
11/12/2007,23.25,23.47,23.47,23.03,185479.0
11/13/2007,23.8,23.26,23.95,22.98,268410.0
11/14/2007,23.3,23.95,23.95,22.53,190595.0
11/15/2007,23.42,23.17,23.89,23.04,170612.0
11/16/2007,24.04,23.41,24.48,23.01,149101.0
11/19/2007,25.4,23.77,25.99,23.77,199938.0
11/20/2007,25.46,25.5,25.9,24.86,92150.0
11/21/2007,24.93,25.44,25.64,24.81,67488.0
11/23/2007,25.03,25.23,25.43,24.13,40103.0
11/26/2007,24.96,25.19,25.5,24.9,115314.0
11/27/2007,25.12,25.13,25.5,24.95,75430.0
11/28/2007,26.45,25.4,26.91,25.4,159689.0
11/29/2007,26.69,26.46,26.8,25.79,143840.0
11/30/2007,27.46,27.04,27.85,26.8,264469.0
12/3/2007,24.3,26.9,26.99,23.25,1042810.0
12/4/2007,24.3,24.01,25.0,23.74,241877.0
12/5/2007,24.94,24.69,25.26,24.65,97186.0
12/6/2007,25.49,24.81,25.51,24.75,117114.0
12/7/2007,24.72,25.49,25.49,24.33,71523.0
12/10/2007,24.87,24.85,25.17,24.67,67472.0
12/11/2007,24.26,25.01,25.17,24.26,59481.0
12/12/2007,24.24,24.6,25.01,23.98,121583.0
12/13/2007,25.0,24.0,25.35,24.0,164291.0
12/14/2007,25.02,24.78,25.11,24.71,48033.0
12/17/2007,23.11,24.53,24.94,23.08,140902.0
12/18/2007,22.94,23.4,23.57,20.73,301859.0
12/19/2007,22.36,22.95,23.0,22.32,60607.0
12/20/2007,23.25,22.55,23.25,22.55,43227.0
12/21/2007,23.88,23.6,24.4,23.29,98339.0
12/24/2007,23.5,23.98,23.98,23.4,19587.0
12/26/2007,23.38,23.3,23.6,22.65,49425.0
12/27/2007,22.92,23.24,23.71,22.86,56882.0
12/28/2007,23.4,23.0,23.79,23.0,55321.0
12/31/2007,23.48,23.23,23.73,23.23,59887.0
1/2/2008,23.42,23.14,23.81,23.14,58192.0
1/3/2008,23.26,23.26,23.63,23.1,183487.0
1/4/2008,23.22,23.15,23.48,23.0,154608.0
1/7/2008,24.39,23.4,24.59,23.31,123949.0
1/8/2008,25.27,24.73,26.71,24.72,332109.0
1/9/2008,25.87,25.14,26.24,24.42,139296.0
1/10/2008,24.47,25.67,26.2,24.43,198864.0
1/11/2008,24.22,25.91,25.91,24.22,89340.0
1/14/2008,23.85,24.49,24.68,23.15,115182.0
1/15/2008,22.5,23.85,23.85,22.04,216717.0
1/16/2008,22.1,22.34,22.51,21.73,118026.0
1/17/2008,21.98,22.09,22.14,21.69,64104.0
1/18/2008,20.78,21.99,22.49,20.6,81262.0
1/22/2008,20.55,20.38,22.0,18.58,222333.0
1/23/2008,21.71,20.02,21.91,20.02,171284.0
1/24/2008,20.26,21.89,23.01,19.88,346497.0
1/25/2008,19.05,20.38,20.51,18.36,306565.0
1/28/2008,18.34,19.05,19.4,18.14,252091.0
1/29/2008,19.09,18.44,19.1,18.43,209365.0
1/30/2008,19.37,18.87,20.06,18.87,218835.0
1/31/2008,19.81,19.25,20.06,19.13,119616.0
2/1/2008,19.94,19.82,20.05,19.47,221630.0
2/4/2008,19.01,19.96,19.97,18.98,196017.0
2/5/2008,18.0,18.78,18.78,16.38,1063599.0
2/6/2008,18.42,18.16,18.6,18.0,720022.0
2/7/2008,18.61,18.42,18.82,18.21,142070.0
2/8/2008,17.97,18.45,18.71,17.71,153921.0
2/11/2008,17.78,18.06,18.06,17.7,209157.0
2/12/2008,17.7,17.94,18.0,17.52,106851.0
2/13/2008,17.82,17.84,17.96,17.71,128273.0
2/14/2008,17.75,17.9,17.96,17.42,186352.0
2/15/2008,17.76,17.64,17.84,17.29,62481.0
2/19/2008,17.4,17.98,17.99,17.11,105673.0
2/20/2008,16.39,17.21,17.3,15.79,252221.0
2/21/2008,16.32,15.58,16.42,15.58,232119.0
2/22/2008,17.17,16.4,17.31,16.4,189666.0
2/25/2008,17.53,17.14,17.71,17.05,241691.0
2/26/2008,17.65,17.37,17.79,17.35,119447.0
2/27/2008,17.12,17.51,17.65,17.05,168700.0
2/28/2008,16.89,17.12,17.26,16.82,177384.0
2/29/2008,17.13,16.81,17.77,16.81,263449.0
3/3/2008,16.56,17.06,17.15,16.5,147851.0
3/4/2008,16.31,16.36,16.48,16.11,164131.0
3/5/2008,16.7,16.36,16.74,16.36,120908.0
3/6/2008,16.5,16.58,16.99,16.46,111693.0
3/7/2008,16.37,16.41,16.78,16.35,82963.0
3/10/2008,14.99,16.48,16.48,14.77,236178.0
3/11/2008,15.03,15.16,15.57,14.97,213148.0
3/12/2008,15.09,15.08,15.24,14.91,147078.0
3/13/2008,14.59,14.89,14.89,14.22,198250.0
3/14/2008,14.57,14.58,14.76,13.95,128113.0
3/17/2008,14.06,14.5,14.69,13.78,236917.0
3/18/2008,13.26,13.58,13.58,12.35,553786.0
3/19/2008,13.3,12.73,13.82,12.66,270445.0
3/20/2008,13.06,13.38,13.38,12.91,307483.0
3/24/2008,13.22,13.07,13.23,12.61,189368.0
3/25/2008,12.79,13.18,13.23,12.59,389133.0
3/26/2008,13.79,12.82,14.03,12.75,334271.0
3/27/2008,14.97,13.84,16.18,13.75,523443.0
3/28/2008,14.66,14.97,15.06,14.27,311594.0
3/31/2008,14.4,14.71,14.82,14.3,154011.0
4/1/2008,14.39,14.21,14.59,14.03,273960.0
4/2/2008,15.06,14.45,15.4,14.17,191541.0
4/3/2008,14.66,15.06,15.18,14.5,166332.0
4/4/2008,15.72,14.73,15.98,14.57,156791.0
4/7/2008,16.49,15.75,17.25,15.3,514370.0
4/8/2008,16.68,16.54,16.81,16.3,167921.0
4/9/2008,17.61,16.7,17.87,16.69,481215.0
4/10/2008,17.72,17.65,18.05,17.1,237838.0
4/11/2008,18.52,17.6,19.13,17.6,902804.0
4/14/2008,18.39,18.54,19.09,18.24,371938.0
4/15/2008,18.12,18.36,18.55,17.92,262182.0
4/16/2008,17.87,18.17,18.55,17.71,545695.0
4/17/2008,17.36,17.95,18.07,17.19,225579.0
4/18/2008,18.51,17.46,18.61,17.31,551950.0
4/21/2008,18.0,18.43,18.95,17.84,180005.0
4/22/2008,17.29,17.91,18.1,16.89,181425.0
4/23/2008,18.14,17.35,18.21,17.35,147955.0
4/24/2008,18.05,18.15,18.15,17.58,133368.0
4/25/2008,18.16,18.03,18.16,17.76,248192.0
4/28/2008,19.81,18.19,19.84,18.09,381131.0
4/29/2008,19.06,19.72,19.81,19.01,108456.0
4/30/2008,18.31,19.1,19.12,18.11,108656.0
5/1/2008,18.67,18.25,18.97,17.9,224547.0
5/2/2008,20.17,18.72,20.29,18.63,186256.0
5/5/2008,19.86,20.13,20.13,19.59,265162.0
5/6/2008,19.93,19.79,20.0,19.52,288711.0
5/7/2008,19.09,20.0,20.0,18.72,215609.0
5/8/2008,18.75,19.13,19.32,18.29,189472.0
5/9/2008,19.1,18.67,20.09,18.67,168551.0
5/12/2008,19.54,19.06,19.98,19.06,328739.0
5/13/2008,19.82,19.67,20.24,19.35,150090.0
5/14/2008,18.0,19.7,19.7,17.13,756540.0
5/15/2008,18.16,17.86,18.5,17.24,287495.0
5/16/2008,17.23,18.1,18.19,17.04,244256.0
5/19/2008,16.74,17.28,17.28,16.37,240908.0
5/20/2008,16.0,16.85,16.85,15.84,192571.0
