Date,Close,Open,High,Low,Volume
1980-03-17,1.69,,1.75,1.68,10300.0
1980-03-18,1.66,,1.69,1.63,11800.0
1980-03-19,1.68,,1.69,1.66,5300.0
1980-03-20,1.69,,1.69,1.65,20500.0
1980-03-21,1.66,,1.68,1.66,15600.0
1980-03-24,1.68,,1.68,1.64,8900.0
1980-03-25,1.66,,1.69,1.66,15600.0
1980-03-26,1.66,,1.69,1.65,14300.0
1980-03-27,1.65,,1.66,1.64,16800.0
1980-03-28,1.66,,1.67,1.65,8300.0
1980-03-31,1.8,,1.8,1.67,22700.0
1980-04-01,1.77,,1.8,1.75,17300.0
1980-04-02,1.71,,1.77,1.71,5400.0
1980-04-03,1.72,,1.73,1.7,9800.0
1980-04-07,1.7,,1.72,1.69,12200.0
1980-04-08,1.71,,1.72,1.69,25900.0
1980-04-09,1.69,,1.71,1.68,27000.0
1980-04-10,1.69,,1.7,1.68,34000.0
1980-04-11,1.73,,1.73,1.7,23300.0
1980-04-14,1.73,,1.75,1.73,6700.0
1980-04-15,1.73,,1.75,1.73,6900.0
1980-04-16,1.73,,1.75,1.73,19800.0
1980-04-17,1.73,,1.75,1.73,6800.0
1980-04-18,1.74,,1.75,1.73,6000.0
1980-04-21,1.73,,1.74,1.73,8000.0
1980-04-22,1.77,,1.77,1.73,6200.0
1980-04-23,1.77,,1.8,1.77,7700.0
1980-04-24,1.79,,1.81,1.78,9500.0
1980-04-25,1.8,,1.81,1.77,4200.0
1980-04-28,1.78,,1.8,1.77,22600.0
1980-04-29,1.81,,1.84,1.79,10300.0
1980-04-30,1.84,,1.84,1.8,9500.0
1980-05-01,1.86,,1.87,1.82,19500.0
1980-05-02,1.95,,1.95,1.88,29800.0
1980-05-05,1.93,,1.93,1.91,51800.0
1980-05-06,1.88,,1.91,1.88,13500.0
1980-05-07,1.89,,1.91,1.87,13100.0
1980-05-08,1.9,,1.91,1.9,9900.0
1980-05-09,1.87,,1.9,1.87,8100.0
1980-05-12,1.87,,1.88,1.87,11900.0
1980-05-13,1.88,,1.88,1.86,4400.0
1980-05-14,1.88,,1.88,1.86,8100.0
1980-05-15,1.86,,1.88,1.81,15000.0
1980-05-16,1.77,,1.84,1.77,7500.0
1980-05-19,1.79,,1.79,1.77,9300.0
1980-05-20,1.84,,1.84,1.79,9900.0
1980-05-21,1.84,,1.87,1.82,33300.0
1980-05-22,1.83,,1.83,1.8,35700.0
1980-05-23,1.83,,1.83,1.8,14000.0
1980-05-27,1.83,,1.87,1.81,19800.0
1980-05-28,1.87,,1.87,1.84,33900.0
1980-05-29,1.85,,1.88,1.85,11700.0
1980-05-30,1.89,,1.89,1.84,14200.0
1980-06-02,1.89,,1.91,1.88,12000.0
1980-06-03,1.92,,1.95,1.91,20000.0
1980-06-04,1.93,,1.95,1.92,7700.0
1980-06-05,1.97,,2.0,1.94,29200.0
1980-06-06,1.94,,1.97,1.94,7500.0
1980-06-09,1.94,,1.95,1.93,5200.0
1980-06-10,1.99,,1.99,1.95,12700.0
1980-06-11,1.99,,1.99,1.98,4400.0
1980-06-12,1.97,,1.98,1.96,8000.0
1980-06-13,1.98,,1.98,1.95,11000.0
