Date,Close,Open,High,Low,Volume
1980-03-17,3.8,,3.91,3.77,12000.0
1980-03-18,3.8,,3.86,3.77,13100.0
1980-03-19,3.8,,3.83,3.8,10000.0
1980-03-20,3.77,,3.86,3.71,37100.0
1980-03-21,3.71,,3.83,3.71,16200.0
1980-03-24,3.42,,3.65,3.36,31100.0
1980-03-25,3.45,,3.45,3.42,42400.0
1980-03-26,3.48,,3.48,3.42,41500.0
1980-03-27,3.42,,3.48,3.36,29300.0
1980-03-28,3.45,,3.45,3.39,24900.0
1980-03-31,3.42,,3.45,3.36,93900.0
1980-04-01,3.42,,3.45,3.39,91800.0
1980-04-02,3.62,,3.62,3.39,301700.0
1980-04-03,3.62,,3.68,3.62,51700.0
1980-04-07,3.68,,3.71,3.62,31700.0
1980-04-08,3.77,,3.8,3.65,33400.0
1980-04-09,4.0,,4.03,3.83,88600.0
1980-04-10,4.18,,4.18,4.06,31100.0
1980-04-11,4.26,,4.35,4.09,50100.0
1980-04-14,4.15,,4.23,4.12,20800.0
1980-04-15,4.09,,4.15,4.06,17600.0
1980-04-16,4.2,,4.26,4.12,72800.0
1980-04-17,4.2,,4.26,4.18,26300.0
1980-04-18,4.29,,4.32,4.2,19200.0
1980-04-21,4.32,,4.35,4.29,19100.0
1980-04-22,4.32,,4.38,4.29,19600.0
1980-04-23,4.44,,4.49,4.38,32700.0
1980-04-24,4.44,,4.47,4.38,30300.0
1980-04-25,4.41,,4.44,4.38,16200.0
1980-04-28,4.44,,4.44,4.35,12300.0
1980-04-29,4.38,,4.44,4.32,13500.0
1980-04-30,4.38,,4.38,4.29,14500.0
1980-05-01,4.32,,4.38,4.29,9300.0
1980-05-02,4.35,,4.38,4.29,8500.0
1980-05-05,4.41,,4.41,4.32,12500.0
1980-05-06,4.41,,4.44,4.35,15400.0
1980-05-07,4.44,,4.47,4.41,19900.0
1980-05-08,4.44,,4.47,4.41,22000.0
1980-05-09,4.41,,4.47,4.38,14300.0
1980-05-12,4.49,,4.49,4.41,13300.0
1980-05-13,4.44,,4.52,4.44,17300.0
1980-05-14,4.49,,4.52,4.44,21300.0
1980-05-15,4.52,,4.52,4.44,30900.0
1980-05-16,4.49,,4.52,4.44,39300.0
1980-05-19,4.55,,4.55,4.49,47000.0
1980-05-20,4.55,,4.58,4.52,47800.0
1980-05-21,4.55,,4.55,4.49,26600.0
1980-05-22,4.55,,4.58,4.49,35300.0
1980-05-23,4.58,,4.61,4.52,27000.0
1980-05-27,4.73,,4.76,4.58,34700.0
1980-05-28,4.73,,4.76,4.67,19200.0
1980-05-29,4.67,,4.73,4.67,13600.0
1980-05-30,4.67,,4.7,4.61,15600.0
1980-06-02,4.61,,4.67,4.58,69200.0
1980-06-03,4.61,,4.61,4.55,24500.0
1980-06-04,4.44,,4.44,4.38,45100.0
1980-06-05,4.44,,4.47,4.41,13000.0
1980-06-06,4.47,,4.47,4.41,22700.0
1980-06-09,4.47,,4.49,4.44,12400.0
1980-06-10,4.47,,4.47,4.44,13500.0
1980-06-11,4.49,,4.49,4.44,14300.0
1980-06-12,4.47,,4.52,4.47,18800.0
1980-06-13,4.58,,4.61,4.52,22300.0
1980-06-16,4.61,,4.7,4.58,28100.0
1980-06-17,4.64,,4.67,4.61,16200.0
1980-06-18,4.61,,4.67,4.61,18900.0
1980-06-19,4.64,,4.67,4.61,15600.0
1980-06-20,4.58,,4.64,4.58,14600.0
1980-06-23,4.58,,4.64,4.58,18400.0
1980-06-24,4.64,,4.64,4.58,25600.0
1980-06-25,4.58,,4.64,4.58,17200.0
1980-06-26,4.52,,4.61,4.52,16200.0
1980-06-27,4.55,,4.61,4.49,32300.0
1980-06-30,4.49,,4.55,4.47,18600.0
1980-07-01,4.38,,4.47,4.35,45000.0
1980-07-02,4.38,,4.41,4.35,186600.0
1980-07-03,4.35,,4.38,4.32,33400.0
1980-07-07,4.41,,4.41,4.32,29200.0
1980-07-08,4.41,,4.41,4.38,17800.0
1980-07-09,4.44,,4.44,4.38,30600.0
1980-07-10,4.41,,4.41,4.35,23000.0
1980-07-11,4.44,,4.44,4.38,19500.0
1980-07-14,4.41,,4.44,4.38,23200.0
1980-07-15,4.41,,4.44,4.38,23500.0
1980-07-16,4.44,,4.44,4.38,26200.0
1980-07-17,4.44,,4.44,4.41,16500.0
1980-07-18,4.44,,4.47,4.41,21900.0
1980-07-21,4.44,,4.55,4.44,22700.0
1980-07-22,4.52,,4.55,4.47,62000.0
1980-07-23,4.52,,4.52,4.47,21600.0
1980-07-24,4.55,,4.55,4.47,22400.0
1980-07-25,4.58,,4.58,4.52,19400.0
1980-07-28,4.58,,4.61,4.55,17500.0
1980-07-29,4.58,,4.61,4.52,18900.0
1980-07-30,4.55,,4.61,4.52,17500.0
1980-07-31,4.49,,4.55,4.49,30200.0
1980-08-01,4.47,,4.52,4.44,49000.0
1980-08-04,4.41,,4.44,4.38,34100.0
1980-08-05,4.38,,4.41,4.35,22900.0
1980-08-06,4.35,,4.38,4.32,20900.0
1980-08-07,4.35,,4.38,4.32,19900.0
1980-08-08,4.35,,4.38,4.35,12700.0
1980-08-11,4.32,,4.38,4.32,16300.0
1980-08-12,4.35,,4.38,4.32,14600.0
1980-08-13,4.35,,4.41,4.32,12800.0
1980-08-14,4.41,,4.41,4.32,12300.0
1980-08-15,4.38,,4.41,4.32,22000.0
1980-08-18,4.41,,4.41,4.35,15900.0
1980-08-19,4.41,,4.41,4.35,21100.0
1980-08-20,4.35,,4.41,4.35,16900.0
1980-08-21,4.35,,4.38,4.32,25700.0
1980-08-22,4.41,,4.41,4.35,12900.0
1980-08-25,4.35,,4.41,4.35,12300.0
1980-08-26,4.38,,4.44,4.35,59700.0
1980-08-27,4.41,,4.44,4.38,13800.0
1980-08-28,4.41,,4.44,4.41,12500.0
1980-08-29,4.41,,4.47,4.41,18700.0
1980-09-02,4.44,,4.47,4.41,9000.0
1980-09-03,4.52,,4.55,4.47,108900.0
1980-09-04,4.41,,4.49,4.41,31100.0
1980-09-05,4.38,,4.47,4.38,19600.0
