Date,Close,Open,High,Low,Volume
2001-12-13,29.3,29.1,30.0,29.0,49466000.0
2001-12-14,29.68,29.9,30.1,29.52,9676300.0
2001-12-17,29.45,29.95,29.95,29.4,5112000.0
2001-12-18,29.95,29.5,29.95,29.39,5167700.0
2001-12-19,30.15,29.85,30.19,29.62,3693200.0
2001-12-20,30.17,30.25,30.98,30.12,3914200.0
2001-12-21,30.99,30.4,30.99,30.25,3429300.0
2001-12-24,31.45,30.75,31.49,30.75,976900.0
2001-12-26,32.2,31.5,32.74,31.5,2461700.0
2001-12-27,32.85,32.2,32.97,31.52,4447500.0
2001-12-28,32.94,32.86,33.1,32.58,4174800.0
2001-12-31,33.19,33.11,33.74,32.72,5532800.0
2002-01-02,31.3,32.61,32.8,31.12,5168900.0
2002-01-03,31.25,31.3,32.75,30.82,2906500.0
2002-01-04,31.95,31.2,32.0,31.1,3086000.0
2002-01-07,31.95,31.75,32.05,31.37,2449300.0
2002-01-08,31.78,31.25,31.85,31.25,1766500.0
2002-01-09,31.3,31.95,31.95,31.25,1639100.0
2002-01-10,31.01,31.12,31.68,31.01,1689400.0
2002-01-11,30.9,31.01,31.15,30.75,1966200.0
2002-01-14,30.05,30.75,30.75,29.53,3160000.0
2002-01-15,30.78,30.4,31.12,29.92,1962400.0
2002-01-16,30.68,30.58,31.15,30.45,1881100.0
2002-01-17,30.52,30.88,31.0,30.3,1739800.0
2002-01-18,30.25,30.4,30.45,29.75,1531400.0
2002-01-22,31.25,30.49,31.25,30.4,2322700.0
2002-01-23,30.52,31.65,31.7,30.52,2460800.0
2002-01-24,30.25,30.6,30.67,30.0,3064100.0
2002-01-25,30.43,30.0,30.5,29.9,2373600.0
2002-01-28,30.93,30.65,31.04,30.55,2450800.0
2002-01-29,30.39,30.0,30.89,30.0,2512800.0
2002-01-30,30.15,30.5,30.57,29.8,3533700.0
2002-01-31,31.05,30.48,31.18,30.33,3986900.0
2002-02-01,30.6,30.95,30.95,30.4,3200100.0
2002-02-04,30.88,30.6,30.98,30.5,3193400.0
2002-02-05,31.05,30.85,31.6,30.76,2397200.0
2002-02-06,31.15,31.2,31.2,30.89,2108700.0
2002-02-07,30.62,30.95,31.05,30.52,1801500.0
