Date,Close,Open,High,Low,Volume
2012-04-12,34.0,33.25,34.21,32.0,654690.0
2012-04-13,37.0,34.0,37.45,33.91,1685119.0
2012-04-16,36.55,37.0,37.0,35.99,550150.0
2012-04-17,36.0,36.4,36.75,36.0,179577.0
2012-04-18,36.0,36.0,36.44,34.5,207074.0
2012-04-19,36.0,36.0,37.22,35.8,598016.0
2012-04-20,36.32,36.1,37.0,36.1,149660.0
2012-04-23,35.68,36.24,36.24,35.42,95700.0
2012-04-24,34.75,36.0,36.0,34.68,124488.0
2012-04-25,34.75,34.8,35.5,34.5,266124.0
2012-04-26,34.95,34.61,34.99,34.44,183833.0
2012-04-27,34.11,35.25,35.25,33.97,500620.0
2012-04-30,34.05,34.34,34.9,34.0,4105661.0
2012-05-01,32.76,33.74,34.1,32.58,6879137.0
2012-05-02,32.0,32.6,32.67,31.63,11287820.0
2012-05-03,31.39,31.93,31.98,31.05,11794167.0
2012-05-04,30.16,30.85,31.09,30.12,10880963.0
2012-05-07,29.35,30.1,30.55,29.25,12257130.0
2012-05-08,30.1,29.09,30.41,28.75,14602517.0
2012-05-09,32.49,29.81,32.89,29.73,13991380.0
2012-05-10,32.48,33.05,33.35,31.52,8862449.0
2012-05-11,31.83,31.73,32.15,31.4,4462784.0
2012-05-14,31.32,31.19,31.58,30.77,6398344.0
2012-05-15,31.67,31.35,32.32,31.06,6362783.0
2012-05-16,32.1,31.46,32.39,31.25,6119700.0
2012-05-17,31.26,31.89,32.0,31.2,5850849.0
2012-05-18,31.38,31.43,31.69,30.99,7940710.0
2012-05-21,32.19,31.23,32.34,30.95,5481256.0
2012-05-22,31.63,31.88,32.27,31.33,5415170.0
2012-05-23,31.41,31.35,31.49,30.88,5268865.0
2012-05-24,31.13,31.42,31.44,30.75,4210378.0
2012-05-25,31.3,31.01,31.41,30.83,3217880.0
2012-05-29,31.01,31.28,31.72,30.86,3980088.0
2012-05-30,30.44,30.79,30.83,30.18,6000530.0
2012-05-31,30.03,30.26,30.35,29.72,8098327.0
2012-06-01,29.92,29.5,30.17,29.38,5701781.0
2012-06-04,29.53,29.3,30.19,29.25,4845298.0
2012-06-05,29.9,29.37,30.1,29.31,4046996.0
2012-06-06,31.53,30.03,32.0,29.82,8609774.0
2012-06-07,31.83,32.07,32.75,31.74,7694514.0
