Date,Close,Open,High,Low,Volume
1989-12-08,1.82,1.82,1.85,1.64,2742700.0
1989-12-11,1.77,1.77,1.88,1.72,328700.0
1989-12-12,1.77,1.77,1.82,1.77,122400.0
1989-12-13,1.72,1.72,1.8,1.72,109400.0
1989-12-14,1.82,1.82,1.82,1.69,108300.0
1989-12-15,1.82,1.82,1.88,1.75,69300.0
1989-12-18,1.75,1.75,1.82,1.72,51700.0
1989-12-19,1.76,1.76,1.8,1.72,43000.0
1989-12-20,1.76,1.76,1.77,1.75,20700.0
1989-12-21,1.85,1.85,1.85,1.75,59100.0
1989-12-22,1.88,1.88,1.9,1.8,61400.0
1989-12-26,2.03,2.03,2.03,1.85,60600.0
1989-12-27,2.08,2.08,2.11,2.03,81600.0
1989-12-28,2.01,2.01,2.08,1.98,34300.0
1989-12-29,2.19,2.19,2.24,2.01,99200.0
1990-01-02,2.19,2.19,2.19,2.11,65500.0
1990-01-03,2.27,2.27,2.29,2.16,68800.0
1990-01-04,2.24,2.24,2.24,2.16,76300.0
1990-01-05,2.27,2.27,2.27,2.19,41300.0
1990-01-08,2.32,2.32,2.32,2.16,51100.0
1990-01-09,2.29,2.29,2.37,2.29,45300.0
1990-01-10,2.27,2.27,2.32,2.24,26500.0
1990-01-11,2.21,2.21,2.29,2.19,34100.0
1990-01-12,2.14,2.14,2.21,2.11,63400.0
1990-01-15,2.06,2.06,2.16,2.06,48300.0
1990-01-16,2.06,2.06,2.06,1.95,91200.0
1990-01-17,2.11,2.11,2.11,2.08,26800.0
1990-01-18,2.32,2.32,2.33,2.08,102100.0
1990-01-19,2.58,2.58,2.58,2.29,115100.0
1990-01-22,2.42,2.42,2.58,2.4,83900.0
1990-01-23,2.55,2.55,2.55,2.37,108300.0
1990-01-24,2.79,2.79,2.84,2.42,168900.0
1990-01-25,2.64,2.64,2.85,2.55,331000.0
1990-01-26,2.64,2.64,2.66,2.34,205800.0
1990-01-29,2.53,2.53,2.66,2.45,139900.0
1990-01-30,2.4,2.4,2.53,2.27,275200.0
1990-01-31,2.45,2.45,2.5,2.42,58200.0
1990-02-01,2.53,2.53,2.6,2.42,54500.0
1990-02-02,2.6,2.6,2.7,2.53,88000.0
1990-02-05,2.59,2.59,2.66,2.53,67700.0
1990-02-06,2.47,2.47,2.6,2.42,189000.0
1990-02-07,2.5,2.5,2.53,2.41,297900.0
1990-02-08,2.46,2.46,2.53,2.45,178500.0
1990-02-09,2.45,2.45,2.47,2.41,156100.0
1990-02-12,2.37,2.37,2.47,2.37,63800.0
1990-02-13,2.32,2.32,2.37,2.27,297700.0
1990-02-14,2.27,2.27,2.32,2.24,78900.0
1990-02-15,2.37,2.37,2.37,2.29,102600.0
1990-02-16,2.42,2.42,2.45,2.37,62100.0
1990-02-20,2.3,2.3,2.42,2.29,13200.0
1990-02-21,2.32,2.32,2.37,2.24,51200.0
1990-02-22,2.4,2.4,2.47,2.34,59100.0
1990-02-23,2.32,2.32,2.4,2.29,116400.0
1990-02-26,2.34,2.34,2.37,2.32,9200.0
1990-02-27,2.37,2.37,2.42,2.34,70700.0
1990-02-28,2.28,2.28,2.4,2.24,131700.0
1990-03-01,2.4,2.4,2.45,2.28,129100.0
1990-03-02,2.53,2.53,2.6,2.37,99000.0
1990-03-05,2.47,2.47,2.58,2.47,104400.0
1990-03-06,2.45,2.45,2.47,2.42,40400.0
1990-03-07,2.5,2.5,2.54,2.42,43700.0
1990-03-08,2.53,2.53,2.55,2.47,59500.0
1990-03-09,2.49,2.49,2.53,2.47,48500.0
1990-03-12,2.42,2.42,2.42,2.29,772800.0
1990-03-13,2.37,2.37,2.42,2.29,75700.0
1990-03-14,2.32,2.32,2.37,2.32,30600.0
1990-03-15,2.16,2.16,2.32,2.11,123000.0
1990-03-16,2.37,2.37,2.37,2.14,103500.0
1990-03-19,2.37,2.37,2.45,2.29,28900.0
1990-03-20,2.47,2.47,2.47,2.37,11600.0
1990-03-21,2.53,2.53,2.53,2.42,27500.0
1990-03-22,2.37,2.37,2.5,2.34,54700.0
1990-03-23,2.44,2.44,2.53,2.4,70400.0
1990-03-26,2.42,2.42,2.53,2.42,20600.0
1990-03-27,2.42,2.42,2.47,2.34,28100.0
1990-03-28,2.32,2.32,2.34,2.29,249000.0
1990-03-29,2.21,2.21,2.29,2.16,67000.0
1990-03-30,2.11,2.11,2.21,2.06,65000.0
1990-04-02,2.11,2.11,2.16,2.01,50100.0
1990-04-03,2.16,2.16,2.21,2.16,31700.0
1990-04-04,2.37,2.37,2.42,2.21,248000.0
1990-04-05,2.32,2.32,2.4,2.29,134800.0
1990-04-06,2.34,2.34,2.4,2.32,41000.0
1990-04-09,2.34,2.34,2.47,2.34,50600.0
1990-04-10,2.4,2.4,2.4,2.32,24100.0
1990-04-11,2.34,2.34,2.4,2.34,15200.0
1990-04-12,2.53,2.53,2.54,2.4,94300.0
1990-04-16,2.5,2.5,2.55,2.45,64300.0
1990-04-17,2.53,2.53,2.55,2.5,71200.0
1990-04-18,2.5,2.5,2.6,2.5,34600.0
1990-04-19,2.42,2.42,2.5,2.42,7600.0
1990-04-20,2.42,2.42,2.53,2.42,46100.0
1990-04-23,2.34,2.34,2.5,2.33,59300.0
1990-04-24,2.32,2.32,2.42,2.32,40100.0
1990-04-25,2.4,2.4,2.4,2.32,24100.0
1990-04-26,2.58,2.58,2.63,2.37,92500.0
1990-04-27,2.47,2.47,2.55,2.47,22700.0
1990-04-30,2.47,2.47,2.53,2.47,24400.0
1990-05-01,2.53,2.53,2.55,2.49,102300.0
1990-05-02,2.37,2.37,2.45,2.34,437300.0
1990-05-03,2.47,2.47,2.5,2.42,352700.0
1990-05-04,2.45,2.45,2.45,2.4,13500.0
1990-05-07,2.42,2.42,2.45,2.4,13500.0
1990-05-08,2.37,2.37,2.42,2.34,186900.0
1990-05-09,2.34,2.34,2.4,2.34,18900.0
1990-05-10,2.33,2.33,2.4,2.32,158900.0
1990-05-11,2.4,2.4,2.4,2.34,89200.0
1990-05-14,2.46,2.46,2.46,2.34,147700.0
1990-05-15,2.55,2.55,2.6,2.42,522500.0
1990-05-16,2.55,2.55,2.6,2.53,250400.0
1990-05-17,2.58,2.58,2.6,2.55,358700.0
1990-05-18,2.62,2.62,2.63,2.58,155800.0
1990-05-21,2.71,2.71,2.86,2.58,192500.0
