Date,Close,Open,High,Low,Volume
1997-06-03,1.91,1.94,2.06,1.89,3643000.0
1997-06-04,1.86,1.91,1.94,1.81,789900.0
1997-06-05,1.86,1.88,1.94,1.83,367400.0
1997-06-06,1.91,1.88,1.95,1.84,304800.0
1997-06-09,1.86,1.92,1.92,1.84,239400.0
1997-06-10,1.83,1.88,1.97,1.83,295400.0
1997-06-11,1.81,1.88,1.88,1.81,306700.0
1997-06-12,1.88,1.83,1.89,1.83,142000.0
1997-06-13,2.06,1.88,2.09,1.88,175700.0
1997-06-16,2.2,2.06,2.22,2.02,240500.0
1997-06-17,2.22,2.22,2.36,2.22,250000.0
1997-06-18,2.2,2.2,2.23,2.16,81600.0
1997-06-19,2.17,2.2,2.2,2.14,41200.0
1997-06-20,2.14,2.17,2.2,2.13,99000.0
1997-06-23,1.94,2.14,2.14,1.94,73000.0
1997-06-24,2.01,1.97,2.05,1.97,46500.0
1997-06-25,1.97,2.02,2.02,1.95,71600.0
1997-06-26,1.94,1.97,1.98,1.92,62300.0
1997-06-27,2.06,1.97,2.06,1.92,29400.0
1997-06-30,2.39,2.06,2.39,2.05,265900.0
1997-07-01,2.41,2.38,2.45,2.28,157300.0
1997-07-02,2.5,2.44,2.53,2.41,57200.0
1997-07-03,2.56,2.53,2.63,2.5,113800.0
1997-07-07,2.73,2.59,2.8,2.59,209900.0
1997-07-08,2.86,2.77,2.97,2.75,223300.0
1997-07-09,2.84,2.94,2.94,2.8,68200.0
1997-07-10,2.86,2.8,2.89,2.8,40600.0
1997-07-11,2.89,2.86,2.91,2.8,126800.0
1997-07-14,2.89,2.91,2.91,2.84,14800.0
1997-07-15,2.88,2.88,2.91,2.88,136700.0
1997-07-16,2.89,2.88,2.89,2.86,212200.0
1997-07-17,2.72,2.88,2.91,2.61,152100.0
1997-07-18,2.48,2.69,2.73,2.38,107700.0
1997-07-21,2.44,2.45,2.48,2.44,66800.0
1997-07-22,2.47,2.44,2.47,2.44,71000.0
1997-07-23,2.36,2.47,2.47,2.36,264700.0
1997-07-24,2.28,2.39,2.39,2.23,58900.0
1997-07-25,2.23,2.27,2.28,2.22,102500.0
1997-07-28,2.08,2.25,2.27,2.08,103300.0
1997-07-29,2.14,2.11,2.17,2.09,225900.0
