Date,Close,Open,High,Low,Volume
1/22/2018,64.31,63.73,64.36,63.66,
1/23/2018,64.59,64.53,64.69,64.18,
1/24/2018,64.3,64.58,64.65,63.98,
1/25/2018,64.12,64.25,64.76,63.83,
1/26/2018,63.16,64.3,64.34,63.03,
1/29/2018,62.57,63.89,63.95,62.07,
1/30/2018,61.83,62.41,62.59,61.58,
1/31/2018,62.91,61.94,62.97,61.67,
2/1/2018,60.69,62.94,63.22,60.66,
2/2/2018,60.12,60.36,60.74,59.67,
2/5/2018,58.29,59.84,60.93,58.29,
2/6/2018,57.79,57.69,58.74,56.66,
2/7/2018,57.53,57.83,59.11,57.5,
2/8/2018,55.58,57.37,57.73,55.58,
2/9/2018,56.7,56.17,57.08,55.03,
2/12/2018,57.27,57.11,57.51,54.87,
2/13/2018,57.54,57.27,57.74,56.46,
2/14/2018,57.66,57.11,57.95,56.01,
2/15/2018,57.84,57.96,58.53,57.67,
2/16/2018,58.04,56.89,58.34,56.85,
2/20/2018,58.06,57.78,58.85,57.78,
2/21/2018,56.74,57.92,57.99,56.71,
2/22/2018,58.28,56.84,58.61,56.76,
2/23/2018,59.01,58.48,59.03,57.96,
2/26/2018,59.33,59.24,59.53,58.51,
2/27/2018,57.91,59.46,59.84,57.9,
2/28/2018,58.11,58.17,58.98,57.84,
3/1/2018,58.33,57.97,58.67,57.65,
3/2/2018,58.93,58.0,59.09,57.25,
3/5/2018,58.72,58.55,59.55,58.43,
3/6/2018,58.95,58.9,59.0,58.22,
3/7/2018,58.85,58.84,59.4,58.58,
3/8/2018,58.96,58.91,59.52,58.5,
3/9/2018,59.1,58.9,59.11,58.08,
3/12/2018,59.12,58.95,59.2,58.58,
3/13/2018,59.2,59.38,59.6,58.75,
3/14/2018,58.82,59.29,59.41,58.28,
3/15/2018,58.26,58.94,59.01,58.03,
3/16/2018,58.27,58.18,58.42,57.78,
3/19/2018,57.32,58.41,58.41,57.02,
3/20/2018,56.96,57.54,57.94,56.13,
3/21/2018,56.51,56.84,57.04,56.16,
3/22/2018,56.64,56.45,57.77,56.3,
3/23/2018,55.85,56.6,56.85,55.74,
3/26/2018,56.62,56.2,56.72,55.6,
3/27/2018,57.09,56.62,57.77,55.81,
3/28/2018,59.02,57.35,59.21,57.35,
3/29/2018,58.98,59.16,59.52,58.55,
4/2/2018,57.7,58.98,58.98,57.54,
4/3/2018,58.61,57.91,58.89,57.34,
4/4/2018,59.4,58.3,59.6,58.06,
4/5/2018,59.67,59.44,59.78,58.91,
4/6/2018,58.7,59.45,60.09,58.51,
4/9/2018,58.58,58.65,59.08,58.11,
4/10/2018,58.98,58.83,59.25,58.53,
4/11/2018,58.87,58.82,59.35,58.49,
4/12/2018,58.19,59.22,59.22,57.71,
4/13/2018,58.39,58.32,58.42,57.82,
4/16/2018,58.53,58.43,58.87,58.31,
4/17/2018,58.58,58.71,59.16,58.21,
4/18/2018,58.24,58.68,58.87,58.13,
4/19/2018,57.1,58.1,58.1,56.66,
4/20/2018,56.12,57.15,57.52,56.07,
4/23/2018,56.11,56.15,56.67,55.82,
4/24/2018,56.18,55.95,56.39,55.77,
4/25/2018,56.0,56.12,56.46,55.43,
4/26/2018,57.24,56.36,57.56,56.03,
4/27/2018,58.78,57.24,58.91,57.09,
4/30/2018,58.85,58.92,59.39,58.49,
5/1/2018,59.26,58.85,59.52,58.15,
5/2/2018,58.11,58.87,59.09,57.92,
5/3/2018,57.75,58.06,58.4,57.68,
5/4/2018,58.76,57.64,58.92,57.64,
5/7/2018,58.9,59.04,59.2,58.63,
5/8/2018,58.09,58.8,58.87,57.94,
5/9/2018,58.65,58.03,58.7,57.74,
5/10/2018,58.64,58.96,59.11,58.49,
5/11/2018,58.55,58.82,59.08,58.46,
5/14/2018,57.7,58.41,58.81,57.36,
5/15/2018,56.4,56.77,56.97,56.14,
5/16/2018,56.29,56.68,56.95,56.15,
5/17/2018,56.27,56.35,56.68,55.88,
5/18/2018,55.7,55.88,56.08,55.46,
5/21/2018,56.66,56.11,56.95,55.38,
5/22/2018,57.2,56.68,57.39,56.58,
5/23/2018,57.6,57.35,58.01,57.11,
5/24/2018,57.38,57.81,58.08,57.07,
5/25/2018,57.8,57.59,57.88,57.33,
5/29/2018,58.0,57.43,58.19,57.16,
5/30/2018,58.41,57.96,58.61,57.57,
5/31/2018,58.08,58.41,58.53,57.89,
6/1/2018,57.76,58.19,58.62,57.62,
6/4/2018,58.46,58.02,58.52,57.89,
6/5/2018,58.82,58.63,59.3,58.46,
6/6/2018,59.17,58.71,59.28,58.42,
6/7/2018,59.16,59.14,59.53,58.72,
6/8/2018,59.47,59.19,59.61,58.85,
6/11/2018,59.32,59.53,59.74,59.19,
6/12/2018,60.42,59.32,60.59,59.2,
6/13/2018,59.37,60.51,60.66,59.17,
6/14/2018,60.01,59.56,60.2,59.5,
6/15/2018,59.71,59.94,60.38,59.55,
6/18/2018,59.64,59.55,59.95,59.08,
6/19/2018,59.06,59.55,59.86,58.93,
6/20/2018,60.07,58.95,60.13,58.95,
6/21/2018,61.29,60.11,61.32,60.03,
6/22/2018,62.68,61.44,62.78,61.18,
6/25/2018,62.58,62.79,62.92,61.66,
6/26/2018,62.38,62.64,62.69,62.07,
6/27/2018,62.2,62.63,62.85,62.2,
6/28/2018,62.46,62.15,62.6,61.88,
6/29/2018,62.08,62.3,62.69,62.0,
7/2/2018,61.55,62.02,62.66,61.02,
7/3/2018,61.64,61.48,62.27,60.97,
7/5/2018,62.14,61.79,62.21,61.35,
7/6/2018,62.36,62.31,62.58,62.07,
7/9/2018,61.92,62.41,62.42,61.57,
7/10/2018,61.69,61.71,62.25,61.55,
7/11/2018,61.32,61.6,61.78,61.23,
7/12/2018,61.29,61.31,61.57,61.08,
7/13/2018,61.22,61.52,61.79,61.12,
7/16/2018,61.03,61.1,61.25,60.5,
7/17/2018,60.77,61.24,61.74,60.69,
7/18/2018,60.69,60.67,60.97,60.28,
7/19/2018,61.48,60.62,61.85,60.41,
7/20/2018,61.44,61.19,61.48,60.9,
7/23/2018,61.78,61.59,61.88,61.19,
7/24/2018,60.97,61.87,62.07,60.75,
7/25/2018,62.83,60.83,63.44,60.83,
7/26/2018,62.9,63.14,64.4,62.8,
7/27/2018,61.87,63.01,63.04,61.66,
7/30/2018,62.7,62.01,62.79,61.38,
7/31/2018,63.63,62.94,64.28,62.64,
8/1/2018,63.63,62.91,63.77,62.5,
8/2/2018,63.6,63.51,63.93,63.35,
8/3/2018,64.84,62.96,64.98,61.93,
8/6/2018,63.69,64.87,64.94,63.5,
8/7/2018,63.36,63.58,63.58,62.91,
8/8/2018,63.19,63.4,63.44,62.88,
8/9/2018,63.32,63.17,63.46,62.96,
8/10/2018,63.25,63.47,63.66,63.11,
