Date,Close,Open,High,Low,Volume
1991-04-02,21.13,21.13,23.25,20.75,2294100.0
1991-04-03,18.25,18.25,21.25,17.0,1716100.0
1991-04-04,18.0,18.0,19.5,17.75,810600.0
1991-04-05,17.75,17.75,18.5,17.75,238200.0
1991-04-08,17.63,17.63,18.0,17.5,200100.0
1991-04-09,16.0,16.0,18.0,16.0,319000.0
1991-04-10,15.88,15.88,16.25,15.5,582100.0
1991-04-11,14.75,14.75,16.5,14.75,319400.0
1991-04-12,16.25,16.25,16.5,14.75,329700.0
1991-04-15,16.13,16.13,16.75,16.0,171400.0
1991-04-16,16.13,16.13,16.38,16.0,130500.0
1991-04-17,15.25,15.25,16.38,15.25,187600.0
1991-04-18,15.25,15.25,15.5,14.5,320300.0
1991-04-19,14.88,14.88,15.25,14.63,68900.0
1991-04-22,14.13,14.13,14.88,14.13,79000.0
1991-04-23,14.25,14.25,14.75,14.13,335000.0
1991-04-24,14.75,14.75,14.75,14.38,90500.0
1991-04-25,14.5,14.5,14.75,14.38,115400.0
1991-04-26,14.38,14.38,14.5,14.0,122600.0
1991-04-29,12.5,12.5,14.38,12.38,183700.0
1991-04-30,12.63,12.63,13.0,12.0,330000.0
1991-05-01,13.5,13.5,13.88,12.5,237800.0
1991-05-02,13.5,13.5,14.13,13.25,153900.0
1991-05-03,13.38,13.38,13.63,13.0,65300.0
1991-05-06,13.63,13.63,13.63,12.75,163700.0
1991-05-07,13.38,13.38,14.13,13.38,146100.0
1991-05-08,13.25,13.25,14.13,13.25,162600.0
1991-05-09,13.63,13.63,13.63,13.25,25700.0
1991-05-10,12.75,12.75,13.63,12.75,125200.0
1991-05-13,11.5,11.5,13.0,11.38,137900.0
1991-05-14,11.88,11.88,12.13,11.5,173200.0
1991-05-15,10.75,10.75,12.13,10.25,186200.0
1991-05-16,11.25,11.25,11.5,10.38,230000.0
1991-05-17,11.75,11.75,12.13,11.13,75000.0
1991-05-20,11.38,11.38,11.88,11.0,83000.0
1991-05-21,12.25,12.25,12.25,11.25,139700.0
1991-05-22,12.13,12.13,12.38,11.63,184200.0
1991-05-23,11.88,11.88,12.75,11.88,135900.0
1991-05-24,12.25,12.25,12.25,11.88,14600.0
1991-05-28,12.0,12.0,12.25,11.88,16900.0
1991-05-29,12.63,12.63,12.75,12.0,245700.0
