Date,Close,Open,High,Low,Volume
3/17/1980,1.61,,1.7,1.61,3500.0
3/18/1980,1.61,,1.7,1.61,2200.0
3/19/1980,1.61,,1.7,1.61,300.0
3/20/1980,1.61,,1.7,1.61,200.0
3/21/1980,1.61,,1.7,1.61,400.0
3/25/1980,1.61,,1.7,1.61,4300.0
3/26/1980,1.61,,1.7,1.61,1200.0
3/27/1980,1.56,,1.66,1.56,6900.0
3/28/1980,1.59,,1.68,1.59,300.0
3/31/1980,1.61,,1.7,1.61,1800.0
4/1/1980,1.7,,1.79,1.7,3700.0
4/2/1980,1.79,,1.89,1.79,4700.0
4/3/1980,1.79,,1.89,1.79,200.0
4/7/1980,1.73,,1.82,1.73,2900.0
4/8/1980,1.73,,1.82,1.73,1600.0
4/9/1980,1.73,,1.82,1.73,600.0
4/10/1980,1.73,,1.82,1.73,900.0
4/11/1980,1.73,,1.82,1.73,2500.0
4/14/1980,1.73,,1.82,1.73,700.0
4/15/1980,1.73,,1.82,1.73,2500.0
4/16/1980,1.77,,1.86,1.77,5800.0
4/17/1980,1.75,,1.84,1.75,2000.0
4/18/1980,1.77,,1.86,1.77,6900.0
4/21/1980,1.77,,1.86,1.77,900.0
4/22/1980,1.77,,1.86,1.77,100.0
4/23/1980,1.84,,1.93,1.84,4200.0
4/24/1980,1.84,,1.93,1.84,6800.0
4/25/1980,1.84,,1.93,1.84,700.0
4/28/1980,1.84,,1.93,1.84,200.0
4/29/1980,1.82,,1.91,1.82,1200.0
4/30/1980,1.82,,1.91,1.82,700.0
5/1/1980,1.82,,1.91,1.82,1500.0
5/2/1980,1.82,,1.91,1.82,900.0
5/5/1980,1.82,,1.91,1.82,700.0
5/6/1980,1.82,,1.91,1.82,5300.0
5/7/1980,1.82,,1.91,1.82,1000.0
5/8/1980,1.82,,1.91,1.82,1200.0
5/9/1980,1.82,,1.91,1.82,1200.0
5/12/1980,1.82,,1.91,1.82,700.0
5/13/1980,1.82,,1.91,1.82,100.0
5/14/1980,1.82,,1.91,1.82,1100.0
5/15/1980,1.79,,1.89,1.79,1800.0
5/16/1980,1.79,,1.89,1.79,3100.0
5/19/1980,1.79,,1.89,1.79,2300.0
5/20/1980,1.79,,1.89,1.79,2500.0
5/21/1980,1.77,,1.86,1.77,1200.0
5/22/1980,1.77,,1.86,1.77,2600.0
5/23/1980,1.77,,1.86,1.77,600.0
5/27/1980,1.77,,1.86,1.77,600.0
5/29/1980,1.77,,1.86,1.77,1200.0
6/2/1980,1.75,,1.84,1.75,1400.0
6/3/1980,1.73,,1.82,1.73,2100.0
6/4/1980,1.73,,1.82,1.73,2000.0
6/5/1980,1.73,,1.82,1.73,600.0
6/6/1980,1.73,,1.82,1.73,1100.0
6/9/1980,1.73,,1.82,1.73,2700.0
6/10/1980,1.73,,1.82,1.73,3700.0
6/11/1980,1.73,,1.82,1.73,1500.0
6/12/1980,1.75,,1.84,1.75,2300.0
6/13/1980,1.77,,1.86,1.77,4900.0
6/16/1980,1.79,,1.89,1.79,400.0
6/17/1980,1.79,,1.89,1.79,700.0
6/19/1980,1.84,,1.93,1.84,5200.0
6/20/1980,1.84,,1.93,1.84,2800.0
6/23/1980,1.84,,1.93,1.84,500.0
6/25/1980,1.84,,1.93,1.84,1800.0
6/26/1980,1.84,,1.93,1.84,1100.0
6/27/1980,1.84,,1.93,1.84,1100.0
6/30/1980,1.84,,1.93,1.84,1400.0
7/1/1980,1.82,,1.91,1.82,6400.0
7/2/1980,1.82,,1.91,1.82,100.0
7/3/1980,1.79,,1.89,1.79,1100.0
7/7/1980,1.84,,1.89,1.84,600.0
7/8/1980,1.84,,1.89,1.84,2200.0
7/9/1980,1.84,,1.89,1.84,600.0
7/10/1980,1.82,,1.89,1.82,10100.0
7/11/1980,1.84,,1.89,1.84,3900.0
7/14/1980,1.84,,1.89,1.84,2200.0
7/15/1980,1.84,,1.91,1.84,6300.0
7/16/1980,1.86,,1.91,1.86,9300.0
