Date,Close,Open,High,Low,Volume
7/1/1983,0.49,,0.5,0.49,140501.0
7/5/1983,0.47,,0.48,0.47,79501.0
7/6/1983,0.48,,0.5,0.48,30101.0
7/7/1983,0.47,,0.48,0.47,32800.0
7/8/1983,0.46,,0.48,0.46,10101.0
7/11/1983,0.46,,0.48,0.46,7401.0
7/12/1983,0.46,,0.47,0.46,11801.0
7/13/1983,0.45,,0.47,0.45,9801.0
7/14/1983,0.44,,0.45,0.44,4201.0
7/15/1983,0.42,,0.44,0.42,15200.0
7/18/1983,0.41,,0.43,0.41,6201.0
7/19/1983,0.41,,0.43,0.41,13001.0
7/20/1983,0.42,,0.44,0.42,16101.0
7/21/1983,0.42,,0.44,0.42,11600.0
7/22/1983,0.44,,0.46,0.44,8601.0
7/25/1983,0.45,,0.47,0.45,6901.0
7/26/1983,0.47,,0.48,0.47,15200.0
7/27/1983,0.46,,0.48,0.46,14601.0
7/29/1983,0.45,,0.47,0.45,5701.0
8/1/1983,0.46,,0.47,0.46,8301.0
8/2/1983,0.46,,0.48,0.46,2000.0
8/3/1983,0.46,,0.47,0.46,4501.0
8/4/1983,0.45,,0.47,0.45,3901.0
8/5/1983,0.45,,0.47,0.45,901.0
8/8/1983,0.44,,0.47,0.44,2000.0
8/9/1983,0.44,,0.46,0.44,800.0
8/10/1983,0.44,,0.46,0.44,1001.0
8/11/1983,0.44,,0.46,0.44,2701.0
8/12/1983,0.44,,0.45,0.44,10701.0
8/15/1983,0.43,,0.44,0.43,1701.0
8/16/1983,0.42,,0.44,0.42,1301.0
8/17/1983,0.42,,0.44,0.42,1200.0
8/18/1983,0.41,,0.43,0.41,1701.0
8/19/1983,0.41,,0.43,0.41,701.0
8/22/1983,0.4,,0.42,0.4,3301.0
8/23/1983,0.4,,0.41,0.4,5301.0
8/24/1983,0.4,,0.41,0.4,1600.0
8/25/1983,0.4,,0.41,0.4,4501.0
8/26/1983,0.4,,0.41,0.4,2301.0
8/29/1983,0.4,,0.41,0.4,2601.0
8/30/1983,0.39,,0.4,0.39,1701.0
8/31/1983,0.39,,0.4,0.39,901.0
9/1/1983,0.39,,0.4,0.39,1301.0
9/2/1983,0.39,,0.4,0.39,1401.0
9/6/1983,0.39,,0.4,0.39,901.0
9/7/1983,0.39,,0.4,0.39,3600.0
9/8/1983,0.39,,0.4,0.39,2000.0
9/9/1983,0.39,,0.4,0.39,501.0
9/12/1983,0.39,,0.4,0.39,2400.0
9/13/1983,0.38,,0.39,0.38,3501.0
9/14/1983,0.38,,0.39,0.38,2701.0
9/15/1983,0.38,,0.39,0.38,3001.0
9/16/1983,0.38,,0.39,0.38,800.0
9/19/1983,0.38,,0.39,0.38,800.0
9/20/1983,0.38,,0.39,0.38,701.0
9/21/1983,0.38,,0.39,0.38,4601.0
9/22/1983,0.37,,0.39,0.37,2201.0
9/23/1983,0.37,,0.39,0.37,1001.0
9/26/1983,0.37,,0.39,0.37,1101.0
9/27/1983,0.37,,0.39,0.37,701.0
9/28/1983,0.36,,0.38,0.36,6000.0
9/29/1983,0.36,,0.38,0.36,1901.0
9/30/1983,0.35,,0.37,0.35,2501.0
10/3/1983,0.35,,0.36,0.35,2901.0
10/4/1983,0.34,,0.35,0.34,2400.0
10/5/1983,0.34,,0.35,0.34,1600.0
10/6/1983,0.34,,0.35,0.34,2400.0
10/7/1983,0.35,,0.36,0.35,6301.0
10/10/1983,0.35,,0.36,0.35,601.0
10/11/1983,0.35,,0.37,0.35,2601.0
10/12/1983,0.35,,0.36,0.35,901.0
10/13/1983,0.35,,0.36,0.35,1301.0
10/14/1983,0.35,,0.35,0.35,1600.0
10/17/1983,0.35,,0.35,0.35,301.0
10/18/1983,0.33,,0.35,0.33,3501.0
10/19/1983,0.32,,0.34,0.32,2400.0
10/20/1983,0.32,,0.33,0.32,3001.0
10/21/1983,0.31,,0.33,0.31,7101.0
