Date,Close,Open,High,Low,Volume
6/2/1995,0.67,0.75,0.75,0.66,932200.0
6/5/1995,0.64,0.67,0.68,0.64,299200.0
6/6/1995,0.64,0.66,0.66,0.64,298100.0
6/7/1995,0.64,0.64,0.64,0.61,299600.0
6/8/1995,0.7,0.64,0.7,0.63,452200.0
6/9/1995,0.7,0.7,0.72,0.69,298200.0
6/12/1995,0.72,0.72,0.72,0.69,275600.0
6/13/1995,0.69,0.72,0.72,0.69,138300.0
6/14/1995,0.69,0.7,0.7,0.69,289500.0
6/15/1995,0.69,0.7,0.7,0.69,56000.0
6/16/1995,0.69,0.69,0.7,0.69,24300.0
6/19/1995,0.69,0.7,0.7,0.69,23400.0
6/20/1995,0.69,0.69,0.7,0.69,12600.0
6/21/1995,0.7,0.69,0.7,0.69,30100.0
6/22/1995,0.7,0.7,0.7,0.69,348500.0
6/23/1995,0.75,0.69,0.75,0.69,177800.0
6/26/1995,0.72,0.7,0.75,0.7,51600.0
6/27/1995,0.75,0.75,0.75,0.7,63800.0
6/28/1995,0.75,0.7,0.75,0.7,12100.0
6/29/1995,0.75,0.75,0.75,0.7,6500.0
6/30/1995,0.75,0.75,0.75,0.75,900.0
7/3/1995,0.75,0.75,0.75,0.75,2000.0
7/5/1995,0.78,0.72,0.81,0.72,26100.0
7/6/1995,0.83,0.78,0.83,0.78,43200.0
7/7/1995,0.86,0.8,0.89,0.8,108800.0
7/10/1995,0.88,0.88,0.91,0.86,66800.0
7/11/1995,0.81,0.91,0.91,0.81,27000.0
7/12/1995,0.88,0.84,0.88,0.84,44300.0
7/13/1995,0.88,0.88,0.88,0.84,21100.0
7/14/1995,0.89,0.88,0.89,0.88,32100.0
7/17/1995,0.89,0.86,0.89,0.86,3800.0
7/18/1995,0.88,0.89,0.89,0.83,12000.0
7/19/1995,0.83,0.88,0.88,0.8,20800.0
7/21/1995,0.8,0.83,0.83,0.8,11000.0
7/24/1995,0.83,0.78,0.83,0.78,200.0
7/25/1995,0.8,0.83,0.83,0.8,2900.0
7/26/1995,0.84,0.83,0.84,0.8,11700.0
7/27/1995,0.89,0.84,0.89,0.83,61200.0
7/28/1995,0.91,0.89,0.91,0.89,600.0
7/31/1995,0.86,0.86,0.91,0.86,5600.0
8/1/1995,0.91,0.91,0.91,0.91,600.0
8/2/1995,0.86,0.91,0.91,0.86,2400.0
8/3/1995,0.91,0.86,0.91,0.86,3700.0
8/4/1995,0.86,0.86,0.86,0.86,700.0
8/7/1995,0.86,0.89,0.89,0.86,900.0
8/8/1995,0.89,0.86,0.89,0.86,13500.0
8/9/1995,0.86,0.89,0.89,0.86,11400.0
8/10/1995,0.89,0.89,0.89,0.89,600.0
