Date,Close,Open,High,Low,Volume
8/8/1985,0.55,0.55,0.56,0.55,207190.0
8/9/1985,0.55,0.55,0.55,0.55,321700.0
8/12/1985,0.54,0.54,0.55,0.54,117400.0
8/13/1985,0.52,0.52,0.53,0.52,483900.0
8/14/1985,0.52,0.52,0.54,0.52,165800.0
8/15/1985,0.52,0.52,0.53,0.52,144800.0
8/16/1985,0.52,0.52,0.53,0.52,69700.0
8/19/1985,0.52,0.52,0.53,0.52,20800.0
8/20/1985,0.53,0.53,0.53,0.53,58600.0
8/21/1985,0.53,0.53,0.54,0.53,219700.0
8/22/1985,0.54,0.54,0.54,0.54,213200.0
8/23/1985,0.53,0.53,0.54,0.53,85000.0
8/26/1985,0.53,0.53,0.54,0.53,70700.0
8/27/1985,0.52,0.52,0.53,0.52,73200.0
8/28/1985,0.52,0.52,0.53,0.52,10700.0
8/29/1985,0.52,0.52,0.53,0.52,11500.0
8/30/1985,0.52,0.52,0.53,0.52,30100.0
9/3/1985,0.52,0.52,0.52,0.52,53700.0
9/4/1985,0.52,0.52,0.52,0.52,53400.0
9/5/1985,0.52,0.52,0.52,0.52,51600.0
9/6/1985,0.52,0.52,0.53,0.52,76300.0
9/9/1985,0.52,0.52,0.53,0.52,87600.0
9/10/1985,0.52,0.52,0.53,0.52,61200.0
9/11/1985,0.52,0.52,0.52,0.52,71000.0
9/12/1985,0.51,0.51,0.52,0.51,135600.0
9/13/1985,0.46,0.46,0.47,0.46,68300.0
9/16/1985,0.45,0.45,0.46,0.45,70800.0
9/17/1985,0.41,0.41,0.41,0.41,68100.0
9/18/1985,0.45,0.45,0.46,0.45,67200.0
9/19/1985,0.48,0.48,0.48,0.48,53500.0
9/20/1985,0.48,0.48,0.48,0.48,13900.0
9/23/1985,0.48,0.48,0.49,0.48,13800.0
9/24/1985,0.48,0.48,0.48,0.48,7000.0
9/25/1985,0.48,0.48,0.48,0.48,105800.0
9/26/1985,0.48,0.48,0.48,0.48,20200.0
9/30/1985,0.47,0.47,0.48,0.47,22100.0
10/1/1985,0.47,0.47,0.48,0.47,4300.0
10/2/1985,0.48,0.48,0.48,0.48,16900.0
10/3/1985,0.48,0.48,0.48,0.48,5600.0
10/4/1985,0.47,0.47,0.48,0.47,8200.0
10/7/1985,0.47,0.47,0.48,0.47,2600.0
10/8/1985,0.47,0.47,0.48,0.47,3400.0
10/9/1985,0.47,0.47,0.48,0.47,12900.0
10/10/1985,0.47,0.47,0.48,0.47,29200.0
10/11/1985,0.47,0.47,0.48,0.47,70100.0
10/14/1985,0.49,0.49,0.5,0.49,11300.0
10/15/1985,0.48,0.48,0.49,0.48,24100.0
10/16/1985,0.49,0.49,0.49,0.49,27900.0
10/17/1985,0.51,0.51,0.52,0.51,50000.0
10/18/1985,0.51,0.51,0.52,0.51,23000.0
10/21/1985,0.51,0.51,0.52,0.51,4900.0
10/22/1985,0.51,0.51,0.52,0.51,4600.0
10/23/1985,0.53,0.53,0.54,0.53,38600.0
10/24/1985,0.51,0.51,0.51,0.51,61600.0
10/25/1985,0.51,0.51,0.52,0.51,10300.0
10/28/1985,0.5,0.5,0.5,0.5,27800.0
10/29/1985,0.5,0.5,0.51,0.5,26100.0
10/30/1985,0.5,0.5,0.52,0.5,48900.0
10/31/1985,0.51,0.51,0.52,0.51,24900.0
11/1/1985,0.51,0.51,0.52,0.51,25200.0
11/4/1985,0.51,0.51,0.52,0.51,10900.0
11/5/1985,0.51,0.51,0.52,0.51,28500.0
11/6/1985,0.53,0.53,0.54,0.53,51500.0
11/7/1985,0.54,0.54,0.55,0.54,114700.0
11/8/1985,0.55,0.55,0.56,0.55,95700.0
11/11/1985,0.55,0.55,0.56,0.55,106100.0
11/12/1985,0.55,0.55,0.56,0.55,69300.0
11/13/1985,0.56,0.56,0.57,0.56,32000.0
11/14/1985,0.56,0.56,0.56,0.56,82600.0
11/15/1985,0.56,0.56,0.56,0.55,186100.0
11/18/1985,0.56,0.56,0.57,0.56,13200.0
11/19/1985,0.56,0.56,0.56,0.55,49700.0
11/20/1985,0.56,0.56,0.57,0.56,5000.0
11/21/1985,0.56,0.56,0.57,0.56,15200.0
11/22/1985,0.56,0.56,0.56,0.56,16200.0
11/25/1985,0.56,0.56,0.56,0.55,52200.0
11/26/1985,0.56,0.56,0.56,0.55,38800.0
11/27/1985,0.6,0.6,0.62,0.56,122900.0
11/29/1985,0.63,0.63,0.63,0.6,54400.0
12/2/1985,0.62,0.62,0.63,0.61,28800.0
12/3/1985,0.63,0.63,0.63,0.62,52100.0
12/4/1985,0.62,0.62,0.63,0.62,19200.0
12/5/1985,0.62,0.62,0.63,0.62,143100.0
12/6/1985,0.62,0.62,0.62,0.61,48700.0
12/9/1985,0.61,0.61,0.62,0.61,8400.0
12/10/1985,0.57,0.57,0.62,0.57,76100.0
12/11/1985,0.59,0.59,0.6,0.58,60800.0
12/12/1985,0.61,0.61,0.61,0.6,78000.0
