Date,Close,Open,High,Low,Volume
1980-03-17,2.69,,2.81,2.69,103900.0
1980-03-18,2.66,,2.71,2.65,127800.0
1980-03-19,2.63,,2.69,2.63,274800.0
1980-03-20,2.56,,2.62,2.55,84600.0
1980-03-21,2.56,,2.57,2.54,103100.0
1980-03-24,2.48,,2.56,2.47,146900.0
1980-03-25,2.49,,2.53,2.46,90500.0
1980-03-26,2.49,,2.59,2.46,125700.0
1980-03-27,2.5,,2.5,2.36,93100.0
1980-03-28,2.55,,2.57,2.48,83800.0
1980-03-31,2.58,,2.59,2.54,84000.0
1980-04-01,2.54,,2.59,2.54,65200.0
1980-04-02,2.55,,2.58,2.53,128600.0
1980-04-03,2.53,,2.55,2.51,50600.0
1980-04-07,2.5,,2.55,2.5,55100.0
1980-04-08,2.59,,2.59,2.48,65700.0
1980-04-09,2.59,,2.59,2.55,85700.0
1980-04-10,2.59,,2.62,2.59,47400.0
1980-04-11,2.55,,2.59,2.53,51100.0
1980-04-14,2.52,,2.53,2.5,62300.0
1980-04-15,2.47,,2.51,2.47,112700.0
1980-04-16,2.44,,2.51,2.44,40200.0
1980-04-17,2.45,,2.45,2.41,62900.0
1980-04-18,2.41,,2.46,2.41,24500.0
1980-04-21,2.36,,2.43,2.32,71200.0
1980-04-22,2.44,,2.45,2.4,165200.0
1980-04-23,2.47,,2.49,2.42,92000.0
1980-04-24,2.53,,2.55,2.45,116100.0
1980-04-25,2.59,,2.59,2.52,54100.0
1980-04-28,2.58,,2.61,2.56,42800.0
1980-04-29,2.6,,2.64,2.58,63800.0
1980-04-30,2.63,,2.63,2.59,51800.0
1980-05-01,2.59,,2.63,2.59,28200.0
1980-05-02,2.55,,2.59,2.54,43100.0
1980-05-05,2.52,,2.55,2.5,229400.0
1980-05-06,2.51,,2.53,2.5,60300.0
1980-05-07,2.49,,2.51,2.48,59400.0
1980-05-08,2.47,,2.52,2.47,60900.0
1980-05-09,2.44,,2.48,2.44,135700.0
1980-05-12,2.46,,2.48,2.44,37800.0
1980-05-13,2.5,,2.55,2.48,51300.0
1980-05-14,2.52,,2.58,2.51,61500.0
1980-05-15,2.52,,2.57,2.52,20600.0
