Date,Close,Open,High,Low,Volume
3/17/1980,3.11,,3.17,3.09,12300.0
3/18/1980,3.13,,3.13,3.03,29800.0
3/19/1980,3.38,,3.41,3.22,35100.0
3/20/1980,3.36,,3.45,3.28,28800.0
3/21/1980,3.3,,3.42,3.3,11300.0
3/24/1980,3.19,,3.38,3.17,21100.0
3/25/1980,3.3,,3.31,3.23,40800.0
3/26/1980,3.34,,3.44,3.34,33000.0
3/27/1980,3.06,,3.34,2.94,51800.0
3/28/1980,3.22,,3.22,3.09,21400.0
3/31/1980,3.17,,3.31,3.16,19000.0
4/1/1980,3.28,,3.28,3.17,26900.0
4/2/1980,3.38,,3.41,3.31,20900.0
4/3/1980,3.47,,3.47,3.41,22300.0
4/7/1980,3.31,,3.44,3.31,30100.0
4/8/1980,3.31,,3.31,3.25,20700.0
4/9/1980,3.44,,3.44,3.31,15000.0
4/10/1980,3.52,,3.56,3.42,43800.0
4/11/1980,3.5,,3.59,3.5,12500.0
4/14/1980,3.5,,3.56,3.45,13000.0
4/15/1980,3.42,,3.5,3.42,6700.0
4/16/1980,3.34,,3.45,3.34,14200.0
4/17/1980,3.3,,3.34,3.3,30800.0
4/18/1980,3.28,,3.36,3.28,14500.0
4/21/1980,3.27,,3.33,3.25,6900.0
4/22/1980,3.42,,3.44,3.34,33000.0
4/23/1980,3.52,,3.52,3.44,19800.0
4/24/1980,3.5,,3.53,3.48,20900.0
4/25/1980,3.48,,3.52,3.44,16900.0
4/28/1980,3.55,,3.59,3.52,13000.0
4/29/1980,3.48,,3.55,3.48,8200.0
4/30/1980,3.5,,3.5,3.42,18600.0
5/1/1980,3.53,,3.61,3.5,14100.0
5/2/1980,3.48,,3.53,3.48,8300.0
5/5/1980,3.56,,3.56,3.42,13000.0
5/6/1980,3.59,,3.66,3.59,38400.0
5/7/1980,3.69,,3.72,3.56,23400.0
5/8/1980,3.64,,3.72,3.64,13900.0
5/9/1980,3.56,,3.61,3.56,11400.0
5/12/1980,3.52,,3.56,3.48,15400.0
5/13/1980,3.61,,3.63,3.52,16200.0
5/14/1980,3.66,,3.7,3.61,18000.0
5/15/1980,3.63,,3.67,3.63,5400.0
5/16/1980,3.61,,3.66,3.58,8300.0
5/19/1980,3.64,,3.64,3.56,9500.0
5/20/1980,3.58,,3.63,3.52,33600.0
5/21/1980,3.53,,3.58,3.5,6100.0
5/22/1980,3.55,,3.59,3.52,18600.0
5/23/1980,3.61,,3.64,3.56,4200.0
5/27/1980,3.66,,3.67,3.59,9500.0
5/28/1980,3.64,,3.66,3.61,12300.0
5/29/1980,3.63,,3.69,3.63,15000.0
5/30/1980,3.67,,3.67,3.61,16700.0
6/2/1980,3.63,,3.67,3.63,7800.0
6/3/1980,3.61,,3.64,3.61,13000.0
6/4/1980,3.64,,3.67,3.61,10500.0
6/5/1980,3.72,,3.75,3.69,15600.0
6/6/1980,3.77,,3.84,3.75,21700.0
6/9/1980,3.67,,3.8,3.64,17400.0
6/10/1980,3.69,,3.7,3.64,10100.0
6/11/1980,3.73,,3.75,3.66,10600.0
6/12/1980,3.7,,3.78,3.7,11800.0
6/13/1980,3.7,,3.73,3.69,17400.0
6/16/1980,3.69,,3.7,3.66,11100.0
6/17/1980,3.7,,3.72,3.69,12200.0
6/18/1980,3.72,,3.73,3.69,16200.0
6/19/1980,3.67,,3.78,3.67,8600.0
6/20/1980,3.66,,3.66,3.63,35900.0
6/23/1980,3.63,,3.64,3.61,13400.0
6/24/1980,3.59,,3.66,3.59,32300.0
6/25/1980,3.66,,3.67,3.63,7400.0
6/26/1980,3.73,,3.78,3.66,32200.0
6/27/1980,3.7,,3.73,3.69,8700.0
6/30/1980,3.63,,3.72,3.63,21000.0
7/1/1980,3.63,,3.64,3.63,33900.0
7/2/1980,3.73,,3.73,3.63,23200.0
7/3/1980,3.72,,3.75,3.69,8000.0
7/7/1980,3.7,,3.73,3.7,19700.0
7/8/1980,3.78,,3.8,3.7,25400.0
7/9/1980,3.8,,3.83,3.73,16900.0
7/10/1980,3.73,,3.8,3.7,15500.0
7/11/1980,3.83,,3.83,3.75,10100.0
7/14/1980,3.98,,3.98,3.81,43400.0
7/15/1980,3.98,,4.13,3.98,42100.0
7/16/1980,4.0,,4.02,3.95,38900.0
7/17/1980,4.0,,4.02,3.95,16700.0
7/18/1980,3.81,,4.02,3.81,35300.0
7/21/1980,3.97,,3.98,3.8,16100.0
7/22/1980,3.97,,4.02,3.95,25500.0
7/23/1980,3.95,,3.97,3.88,16200.0
7/24/1980,3.88,,3.95,3.86,12900.0
7/25/1980,3.81,,3.86,3.81,12400.0
7/28/1980,3.83,,3.89,3.77,11300.0
7/29/1980,3.81,,3.84,3.75,44800.0
