Date,Close,Open,High,Low,Volume
6/16/1999,8.88,9.06,9.31,8.13,5718100.0
6/17/1999,8.69,8.75,8.88,7.75,542200.0
6/18/1999,9.0,8.56,9.13,8.56,557600.0
6/21/1999,9.25,9.06,9.75,9.0,218000.0
6/22/1999,9.06,9.06,9.5,9.0,281400.0
6/23/1999,9.38,9.0,9.5,9.0,395200.0
6/24/1999,9.13,9.38,9.63,9.0,238100.0
6/25/1999,9.19,9.13,9.22,9.0,172400.0
6/28/1999,9.25,9.0,9.38,9.0,81400.0
6/29/1999,9.38,9.38,10.25,9.25,321500.0
6/30/1999,9.69,9.38,10.13,9.38,429900.0
7/1/1999,9.94,9.81,10.38,9.5,363500.0
7/2/1999,10.88,10.13,10.88,10.13,460800.0
7/6/1999,10.69,10.88,11.0,10.5,565900.0
7/7/1999,10.88,10.69,11.13,10.38,270500.0
7/8/1999,12.25,11.75,13.0,11.38,1793800.0
7/9/1999,13.5,12.25,13.75,12.19,1738400.0
7/12/1999,14.81,14.0,15.38,13.63,5465000.0
7/13/1999,13.38,15.31,15.31,12.63,2568600.0
7/14/1999,13.38,13.75,13.75,11.88,970700.0
7/15/1999,13.13,13.81,14.0,12.75,572700.0
7/16/1999,14.0,13.38,14.25,13.19,793100.0
7/19/1999,14.0,14.25,14.38,13.5,336500.0
7/20/1999,12.94,14.0,14.06,12.5,324300.0
7/21/1999,12.5,13.0,13.31,12.5,237600.0
7/22/1999,12.0,12.75,12.75,11.88,165100.0
7/23/1999,11.5,12.13,12.25,11.0,178500.0
7/26/1999,10.38,11.5,11.5,9.75,370500.0
7/27/1999,10.38,10.41,10.88,9.88,312600.0
7/28/1999,11.25,10.56,11.88,10.25,176700.0
7/29/1999,11.38,11.0,11.75,10.56,165400.0
7/30/1999,11.13,11.38,12.06,10.5,237500.0
8/2/1999,11.25,11.5,13.25,10.88,503900.0
8/3/1999,12.13,11.75,12.5,11.63,265300.0
8/4/1999,11.5,12.0,12.06,11.25,186900.0
8/5/1999,11.63,11.38,11.63,10.25,188600.0
8/6/1999,11.0,11.5,11.5,10.5,77400.0
8/9/1999,10.0,11.06,11.44,9.88,105900.0
8/10/1999,9.16,9.88,10.25,9.06,369700.0
8/11/1999,9.88,9.5,10.0,9.13,351000.0
8/12/1999,10.94,10.44,11.5,10.0,413900.0
8/13/1999,11.0,11.38,11.63,10.63,275600.0
8/16/1999,10.88,11.25,11.25,10.75,98900.0
8/17/1999,11.5,11.0,11.5,10.88,149100.0
8/18/1999,10.94,11.5,11.63,10.94,100300.0
8/19/1999,11.13,10.97,11.31,10.75,39200.0
8/20/1999,11.25,11.25,11.38,11.0,42400.0
8/23/1999,10.94,11.44,11.5,10.88,65000.0
8/24/1999,11.13,11.25,11.25,10.63,108000.0
8/25/1999,11.0,10.88,11.25,10.88,112800.0
8/26/1999,10.94,11.09,11.09,10.75,135500.0
8/27/1999,10.94,10.94,11.06,10.63,434800.0
8/30/1999,11.0,11.0,11.25,10.88,88500.0
8/31/1999,11.44,11.0,11.44,10.81,153000.0
9/1/1999,11.25,11.44,11.94,11.13,87000.0
9/2/1999,11.06,11.25,11.38,10.81,80800.0
9/3/1999,11.75,11.22,11.75,11.0,91900.0
9/7/1999,11.31,12.0,12.06,11.25,58300.0
9/8/1999,11.38,11.38,11.44,11.25,96100.0
9/9/1999,12.5,11.41,12.63,11.31,179900.0
9/10/1999,12.56,12.5,13.5,12.31,249300.0
9/13/1999,12.44,12.81,12.94,11.81,363900.0
9/14/1999,13.0,12.5,13.0,12.25,238300.0
9/15/1999,13.38,12.94,13.5,12.88,271500.0
9/16/1999,13.19,13.72,13.75,13.13,159600.0
9/17/1999,13.75,13.31,13.75,13.13,199700.0
9/20/1999,12.94,13.69,13.69,12.5,90500.0
9/21/1999,12.63,12.84,13.19,12.38,129200.0
9/22/1999,13.44,12.72,13.56,12.69,92200.0
9/23/1999,12.81,13.06,13.5,12.63,146000.0
9/24/1999,12.38,12.88,13.0,12.25,148000.0
9/27/1999,12.69,12.72,13.25,12.0,127500.0
9/28/1999,12.25,12.09,12.69,11.75,85200.0
9/29/1999,11.25,12.0,12.13,11.25,160200.0
9/30/1999,10.88,11.5,11.63,10.0,134900.0
10/1/1999,10.94,10.5,11.06,10.5,113100.0
10/4/1999,11.0,10.97,11.13,10.88,146400.0
10/5/1999,10.31,11.03,11.5,10.25,64900.0
10/6/1999,10.94,11.0,11.38,10.63,90800.0
10/7/1999,10.63,11.0,11.06,10.56,69800.0
10/8/1999,11.0,10.69,11.13,10.63,54200.0
10/11/1999,10.75,10.94,11.0,10.63,25400.0
10/12/1999,10.25,10.75,10.94,10.06,54600.0
10/13/1999,10.0,10.59,10.59,10.0,37900.0
10/14/1999,10.38,10.19,10.44,10.0,204700.0
10/15/1999,10.0,10.19,10.5,9.44,140700.0
10/18/1999,11.0,9.78,11.0,9.56,98700.0
10/19/1999,10.44,10.72,11.06,10.25,121200.0
10/20/1999,9.69,10.56,10.88,9.69,47400.0
10/21/1999,10.13,9.66,10.75,9.5,52100.0
10/22/1999,10.0,10.44,10.63,9.75,17800.0
10/25/1999,9.75,10.0,10.19,9.75,26400.0
10/26/1999,10.06,10.0,10.25,9.88,39700.0
10/27/1999,10.0,10.13,10.13,9.94,27800.0
10/28/1999,9.94,10.0,10.0,9.5,109400.0
10/29/1999,9.75,10.0,10.5,9.56,47900.0
11/1/1999,9.63,9.89,10.0,9.5,58100.0
11/2/1999,9.63,9.69,10.25,9.63,68900.0
11/3/1999,9.5,9.75,10.0,9.5,191200.0
11/4/1999,9.88,10.0,10.13,9.5,123900.0
11/5/1999,9.88,9.88,10.0,9.63,184800.0
11/8/1999,10.63,9.94,10.63,9.88,218000.0
11/9/1999,12.0,10.41,12.0,10.25,170600.0
11/10/1999,13.25,11.75,13.44,11.5,439400.0
11/11/1999,14.88,13.13,17.75,13.13,2641000.0
11/12/1999,12.25,15.0,15.06,11.5,883700.0
11/15/1999,12.25,12.75,13.0,12.19,203400.0
11/16/1999,11.88,12.38,12.5,11.75,186100.0
11/17/1999,12.06,11.41,12.44,10.88,273100.0
11/18/1999,12.0,11.84,12.31,11.38,353300.0
11/19/1999,12.0,12.31,12.63,11.94,425600.0
11/22/1999,12.06,12.28,12.38,11.69,243300.0
11/23/1999,11.5,11.91,12.0,11.31,120600.0
11/24/1999,11.19,10.84,11.38,10.75,254300.0
11/26/1999,11.25,11.19,12.56,11.0,138800.0
11/29/1999,11.25,11.25,11.38,10.75,398300.0
11/30/1999,11.5,11.44,12.0,11.19,123500.0
12/1/1999,11.44,11.88,11.88,11.06,117900.0
12/2/1999,11.75,11.44,11.88,11.31,83400.0
12/3/1999,12.94,13.44,13.88,12.25,388900.0
12/6/1999,13.06,13.47,14.0,13.0,441000.0
12/7/1999,13.63,13.25,13.88,13.0,433700.0
12/8/1999,14.0,14.0,14.25,13.38,281000.0
12/9/1999,14.13,14.13,14.25,14.0,196600.0
12/10/1999,14.25,14.16,14.63,14.06,425900.0
12/13/1999,14.19,14.44,15.56,14.06,351600.0
12/14/1999,14.44,14.38,14.75,13.88,233000.0
12/15/1999,13.75,14.5,15.13,13.75,230000.0
12/16/1999,15.0,13.75,15.13,13.75,379800.0
12/17/1999,15.88,15.06,16.75,14.75,549200.0
12/20/1999,17.13,15.94,18.0,15.88,697000.0
12/21/1999,16.25,17.63,18.38,15.38,455200.0
12/22/1999,17.0,15.88,17.0,15.5,281800.0
12/23/1999,16.88,16.81,17.25,16.63,86800.0
12/27/1999,17.0,17.13,17.19,16.25,172800.0
12/28/1999,17.5,16.75,17.5,16.63,248800.0
12/29/1999,17.5,16.91,17.63,16.56,79000.0
12/30/1999,18.0,17.38,18.31,17.25,118100.0
12/31/1999,18.75,18.0,18.75,17.63,161000.0
1/3/2000,18.0,18.56,19.19,17.63,233800.0
1/4/2000,17.75,17.94,18.13,16.5,195500.0
1/5/2000,17.0,16.63,17.0,16.5,166700.0
1/6/2000,16.94,16.88,17.0,16.69,410900.0
1/7/2000,18.38,16.81,18.56,16.75,508600.0
1/10/2000,22.0,21.88,22.63,21.0,1448400.0
1/11/2000,25.88,22.72,27.13,22.25,713500.0
1/12/2000,22.75,27.5,27.81,22.5,433600.0
1/13/2000,25.44,24.13,26.5,23.0,150300.0
1/14/2000,25.06,25.47,26.5,24.0,124900.0
1/18/2000,27.94,23.25,27.94,23.13,270800.0
1/19/2000,26.88,27.94,27.94,26.13,114300.0
1/20/2000,26.88,26.38,27.0,26.25,276100.0
1/21/2000,26.88,27.25,27.5,26.5,539600.0
1/24/2000,28.38,26.88,29.94,26.5,165500.0
1/25/2000,30.5,28.44,31.38,28.44,226400.0
1/26/2000,31.5,31.56,34.0,30.56,244600.0
1/27/2000,28.94,32.0,32.25,27.88,289100.0
1/28/2000,30.25,26.88,30.38,26.75,3695000.0
1/31/2000,30.31,29.75,30.75,28.75,972000.0
2/1/2000,33.13,31.97,33.75,31.0,675100.0
2/2/2000,34.0,33.94,34.0,32.63,974600.0
2/3/2000,35.0,34.06,35.0,34.0,889800.0
2/4/2000,34.5,35.0,35.0,33.75,465100.0
2/7/2000,35.38,34.75,36.5,34.75,770400.0
2/8/2000,34.63,35.5,35.5,33.38,176200.0
2/9/2000,33.75,34.31,34.63,31.25,660500.0
2/10/2000,34.75,33.88,35.75,33.63,333700.0
2/11/2000,34.88,35.25,35.38,34.75,650300.0
2/14/2000,34.88,35.25,35.7,34.13,253000.0
2/15/2000,35.06,35.0,35.06,33.69,183000.0
2/16/2000,34.13,35.13,35.13,32.44,99000.0
2/17/2000,31.63,33.0,33.94,31.5,425900.0
2/18/2000,27.75,31.78,31.81,27.75,387000.0
2/22/2000,30.13,30.0,31.0,29.38,832800.0
2/23/2000,30.88,30.31,31.5,30.0,691500.0
2/24/2000,33.25,33.0,33.38,32.25,437000.0
2/25/2000,36.0,34.13,36.38,34.06,698400.0
2/28/2000,36.0,36.5,36.5,35.25,621000.0
2/29/2000,40.5,36.81,41.38,36.5,422200.0
3/1/2000,43.38,41.0,45.88,41.0,321400.0
3/2/2000,42.88,43.25,43.88,42.75,402100.0
3/3/2000,44.13,43.5,45.0,42.88,195400.0
3/6/2000,43.25,44.25,44.25,42.38,222400.0
3/7/2000,44.75,43.81,45.0,43.0,235100.0
3/8/2000,48.13,45.13,52.0,44.5,418000.0
3/9/2000,47.38,49.38,50.0,47.25,349400.0
3/10/2000,49.63,48.0,52.0,47.25,477600.0
3/13/2000,53.75,49.5,54.75,49.0,289600.0
3/14/2000,52.5,54.63,54.75,51.88,487300.0
3/15/2000,48.94,52.56,52.94,47.75,378000.0
3/16/2000,45.38,49.38,50.0,42.63,351800.0
3/17/2000,50.06,45.25,50.63,45.13,770400.0
3/20/2000,49.25,50.19,51.25,49.25,468700.0
3/21/2000,47.19,49.25,49.31,47.0,241400.0
3/22/2000,48.06,47.25,49.0,47.13,441800.0
3/23/2000,48.63,49.0,49.63,48.25,306500.0
3/24/2000,46.25,48.5,48.98,45.13,222100.0
3/27/2000,49.06,45.5,49.19,45.5,685700.0
3/28/2000,48.94,49.69,50.5,48.25,259800.0
3/29/2000,45.5,49.0,49.25,45.25,224700.0
3/30/2000,40.0,45.13,45.31,36.25,451200.0
3/31/2000,44.0,40.25,44.5,40.25,310400.0
4/3/2000,41.5,44.13,45.0,41.5,244100.0
4/4/2000,38.63,41.69,42.38,31.5,680300.0
4/5/2000,39.75,37.0,41.38,36.5,427100.0
4/6/2000,42.69,40.94,43.0,40.75,227500.0
4/7/2000,45.13,43.0,45.13,42.75,158400.0
4/10/2000,43.13,48.5,49.0,43.0,310800.0
4/11/2000,38.63,42.88,43.5,38.5,313800.0
4/12/2000,39.88,39.06,40.5,38.63,1033600.0
4/13/2000,38.5,40.63,42.25,38.38,367200.0
4/14/2000,35.88,34.0,36.5,34.0,335300.0
4/17/2000,34.25,34.0,34.25,33.0,383400.0
4/18/2000,40.13,33.0,41.13,33.0,536000.0
4/19/2000,36.81,40.25,41.25,36.81,99700.0
4/20/2000,37.25,37.5,38.0,36.13,129800.0
4/24/2000,39.94,36.25,39.94,34.25,108600.0
4/25/2000,37.25,40.0,40.0,37.13,96900.0
4/26/2000,39.13,38.13,39.69,38.13,509300.0
4/27/2000,42.75,38.5,42.75,38.06,427800.0
