Date,Close,Open,High,Low,Volume
1992-06-26,0.34,0.33,0.35,0.32,3505600.0
1992-06-29,0.36,0.34,0.37,0.33,917700.0
1992-06-30,0.35,0.37,0.37,0.34,543400.0
1992-07-01,0.36,0.35,0.36,0.34,286200.0
1992-07-02,0.36,0.36,0.36,0.35,218700.0
1992-07-06,0.36,0.35,0.36,0.35,89900.0
1992-07-07,0.36,0.36,0.36,0.35,166600.0
1992-07-08,0.35,0.36,0.36,0.34,242200.0
1992-07-09,0.36,0.35,0.36,0.35,61300.0
1992-07-10,0.36,0.36,0.37,0.35,175500.0
1992-07-13,0.37,0.36,0.37,0.36,93700.0
1992-07-14,0.37,0.37,0.38,0.37,266600.0
1992-07-15,0.38,0.38,0.38,0.37,78000.0
1992-07-16,0.41,0.38,0.41,0.38,266600.0
1992-07-17,0.43,0.41,0.44,0.4,244800.0
1992-07-20,0.43,0.43,0.44,0.42,308500.0
1992-07-21,0.44,0.44,0.45,0.43,121600.0
1992-07-22,0.43,0.43,0.44,0.42,170200.0
1992-07-23,0.44,0.43,0.44,0.43,162500.0
1992-07-24,0.45,0.43,0.45,0.43,110200.0
1992-07-27,0.46,0.45,0.46,0.45,178600.0
1992-07-28,0.44,0.46,0.46,0.43,281400.0
1992-07-29,0.42,0.44,0.44,0.41,482000.0
1992-07-30,0.41,0.41,0.42,0.4,183400.0
1992-07-31,0.42,0.41,0.42,0.41,107600.0
1992-08-03,0.42,0.41,0.43,0.41,75500.0
1992-08-04,0.43,0.42,0.43,0.41,106600.0
1992-08-05,0.41,0.43,0.43,0.4,148700.0
1992-08-06,0.41,0.41,0.41,0.4,57400.0
1992-08-07,0.43,0.41,0.43,0.4,137900.0
1992-08-10,0.43,0.42,0.43,0.41,92000.0
1992-08-11,0.43,0.43,0.43,0.42,64800.0
1992-08-12,0.41,0.42,0.43,0.4,198800.0
1992-08-13,0.41,0.41,0.42,0.4,755000.0
1992-08-14,0.39,0.41,0.41,0.38,278900.0
1992-08-17,0.39,0.39,0.39,0.38,41900.0
1992-08-18,0.39,0.38,0.39,0.38,44700.0
1992-08-19,0.39,0.38,0.39,0.38,37200.0
1992-08-20,0.39,0.39,0.4,0.38,38900.0
1992-08-21,0.38,0.39,0.39,0.38,32000.0
