Date,Close,Open,High,Low,Volume
2002-05-24,34.95,34.95,34.95,34.95,900.0
2002-05-28,34.75,34.85,34.85,34.75,700.0
2002-05-29,33.15,34.55,34.55,32.9,6700.0
2002-05-30,34.2,33.15,34.2,33.15,13200.0
2002-05-31,34.25,34.2,35.52,34.2,1655000.0
2002-06-03,36.65,34.25,37.5,33.95,2157400.0
2002-06-04,35.74,36.0,37.0,35.07,1372300.0
2002-06-05,34.47,35.05,35.9,34.4,1232600.0
2002-06-06,34.52,34.5,34.75,33.53,1228500.0
2002-06-07,34.65,34.3,35.14,34.2,1270200.0
2002-06-10,34.39,34.2,35.27,34.15,781200.0
2002-06-11,35.9,34.8,36.5,34.8,1166600.0
2002-06-12,35.97,34.4,36.0,34.4,618900.0
2002-06-13,35.2,35.45,36.16,35.2,570900.0
2002-06-14,36.75,34.4,36.75,34.35,550400.0
2002-06-17,35.8,36.65,36.66,35.5,812200.0
2002-06-18,34.85,34.65,35.2,34.2,1105700.0
2002-06-19,34.5,34.6,34.74,34.4,555800.0
2002-06-20,33.9,34.4,34.71,33.77,553900.0
2002-06-21,34.05,33.5,34.24,33.5,667200.0
2002-06-24,34.09,34.0,34.61,33.5,414100.0
2002-06-25,33.75,33.9,34.3,33.2,438500.0
2002-06-26,34.64,33.5,34.75,33.5,431500.0
2002-06-27,34.02,34.55,34.55,33.53,339000.0
2002-06-28,34.13,33.9,34.5,33.85,657800.0
2002-07-01,33.66,34.05,34.45,33.54,303100.0
2002-07-02,33.31,33.41,33.6,33.02,319000.0
2002-07-03,32.3,33.25,33.4,32.03,519700.0
2002-07-05,33.41,32.85,33.59,32.75,184300.0
2002-07-08,33.0,33.4,33.95,32.95,242600.0
2002-07-09,32.6,33.01,33.28,32.6,306600.0
2002-07-10,32.35,32.2,32.9,32.16,298800.0
2002-07-11,32.48,32.35,32.79,31.52,249600.0
2002-07-12,31.4,32.25,32.35,31.4,189200.0
2002-07-15,31.9,30.9,32.01,30.5,275300.0
2002-07-16,30.87,31.75,31.88,30.76,178200.0
2002-07-17,31.65,30.8,32.2,30.8,261500.0
2002-07-18,30.76,31.5,31.67,30.4,235000.0
2002-07-19,30.2,30.72,30.8,30.05,396400.0
2002-07-22,29.65,30.1,30.74,29.15,398800.0
2002-07-23,29.55,30.0,30.3,29.46,333100.0
2002-07-24,32.15,29.25,32.15,28.71,249400.0
2002-07-25,32.98,31.95,33.23,30.96,289700.0
2002-07-26,32.9,32.98,33.29,31.85,205900.0
2002-07-29,34.15,32.92,34.42,32.92,184300.0
2002-07-30,34.38,34.0,34.83,33.0,242800.0
2002-07-31,33.5,34.13,34.9,33.4,213000.0
2002-08-01,33.3,33.6,34.12,33.01,123100.0
2002-08-02,32.85,33.6,33.7,32.53,179800.0
2002-08-05,32.98,33.05,33.48,32.65,194100.0
2002-08-06,34.46,36.75,36.8,34.21,728300.0
2002-08-07,35.05,34.25,35.3,34.25,329500.0
2002-08-08,35.25,35.3,35.58,34.9,163700.0
2002-08-09,35.57,35.12,35.97,34.7,161100.0
2002-08-12,36.18,35.95,36.5,35.8,150300.0
2002-08-13,35.49,36.16,36.49,35.38,189100.0
2002-08-14,36.35,35.5,36.51,35.05,212900.0
2002-08-15,34.94,36.35,36.54,34.25,403400.0
2002-08-16,36.02,34.95,36.5,34.45,376000.0
2002-08-19,35.86,35.85,36.0,35.52,248900.0
2002-08-20,35.7,35.9,35.99,35.25,285100.0
2002-08-21,36.7,35.6,36.7,35.1,181000.0
2002-08-22,36.44,36.85,37.15,36.02,185900.0
2002-08-23,36.01,36.35,36.89,35.95,168300.0
2002-08-26,36.26,35.5,36.27,35.35,163800.0
2002-08-27,36.62,36.28,36.74,35.6,149500.0
2002-08-28,36.89,36.37,37.15,36.36,438900.0
2002-08-29,37.52,36.95,37.65,36.56,430400.0
2002-08-30,36.35,37.5,37.95,36.35,231600.0
2002-09-03,35.9,36.25,36.39,35.88,360800.0
2002-09-04,36.86,35.8,37.1,35.8,422000.0
2002-09-05,36.9,36.61,37.06,36.34,343300.0
2002-09-06,37.1,37.15,37.95,36.86,263200.0
2002-09-09,37.6,36.95,37.8,36.55,246000.0
2002-09-10,37.45,37.55,37.57,36.6,168600.0
2002-09-11,36.91,37.5,37.62,36.8,155700.0
2002-09-12,37.2,36.8,37.45,36.52,290800.0
2002-09-13,38.36,37.17,38.39,37.05,342000.0
2002-09-16,38.24,38.35,38.84,38.2,285800.0
2002-09-17,38.0,38.45,38.55,38.0,143600.0
2002-09-18,38.36,37.95,38.8,37.65,158300.0
2002-09-19,37.01,38.11,38.11,36.5,254900.0
2002-09-20,37.62,37.05,37.66,36.75,461000.0
2002-09-23,37.18,37.45,37.62,36.75,144800.0
2002-09-24,37.09,36.95,37.38,36.54,220400.0
2002-09-25,37.11,37.2,37.48,36.94,243500.0
2002-09-26,38.0,37.22,38.18,37.08,130500.0
2002-09-27,36.86,37.8,37.8,36.79,202300.0
2002-09-30,36.7,36.75,36.98,36.15,232100.0
2002-10-01,37.35,36.59,37.35,35.85,228300.0
2002-10-02,35.55,36.0,36.4,35.0,690800.0
2002-10-03,35.16,35.7,36.55,34.97,229800.0
2002-10-04,34.73,35.25,35.25,34.3,354300.0
2002-10-07,33.25,34.73,34.75,33.08,492900.0
2002-10-08,33.07,33.25,33.26,32.75,775500.0
2002-10-09,32.27,33.1,33.27,32.03,498000.0
2002-10-10,32.9,32.4,32.9,32.3,475000.0
2002-10-11,34.14,33.0,34.7,32.8,298200.0
2002-10-14,34.36,34.05,34.85,34.05,163500.0
2002-10-15,35.04,34.61,35.25,34.31,227800.0
2002-10-16,34.73,35.27,35.27,34.57,244300.0
2002-10-17,35.07,34.98,35.5,34.8,175900.0
2002-10-18,34.97,34.9,35.5,34.9,155800.0
2002-10-21,35.51,34.9,36.09,34.68,184000.0
2002-10-22,35.55,35.4,36.0,35.12,235500.0
2002-10-23,36.02,35.45,36.09,34.97,175800.0
2002-10-24,35.18,36.15,36.19,35.18,225200.0
2002-10-25,35.51,36.25,36.4,35.46,225000.0
2002-10-28,35.56,35.55,35.74,35.05,203000.0
2002-10-29,35.93,35.56,36.21,35.07,215500.0
2002-10-30,36.05,35.95,36.65,35.9,223300.0
2002-10-31,36.61,36.05,37.01,36.05,338100.0
2002-11-01,37.24,36.6,37.89,36.5,267500.0
2002-11-04,36.26,37.8,37.8,36.25,222400.0
2002-11-05,36.02,36.25,36.26,35.19,305300.0
2002-11-06,35.7,35.8,36.05,35.22,215000.0
2002-11-07,35.61,35.25,36.1,35.25,177500.0
2002-11-08,35.49,35.7,35.8,35.21,208200.0
2002-11-11,34.42,35.25,35.25,34.2,213900.0
2002-11-12,33.72,34.42,34.58,33.45,338900.0
2002-11-13,33.95,33.55,34.01,33.3,290300.0
2002-11-14,34.43,33.95,34.45,33.6,233100.0
2002-11-15,39.17,36.5,39.29,36.22,1605000.0
2002-11-18,40.04,38.9,40.42,38.27,924800.0
2002-11-19,38.57,40.05,40.05,38.32,744600.0
2002-11-20,38.74,38.7,39.93,38.65,561500.0
2002-11-21,39.28,38.95,39.32,38.49,201400.0
2002-11-22,39.64,39.25,39.99,39.12,162000.0
2002-11-25,39.89,39.89,40.0,39.3,263100.0
2002-11-26,39.31,39.9,39.9,38.91,335900.0
2002-11-27,39.45,39.5,39.91,39.12,325800.0
2002-11-29,39.13,39.45,39.57,38.79,148100.0
2002-12-02,39.39,39.1,39.79,38.77,231400.0
2002-12-03,38.42,39.25,39.64,38.4,246400.0
2002-12-04,39.34,38.42,39.54,38.35,186600.0
2002-12-05,39.0,39.34,39.34,38.67,151400.0
2002-12-06,38.83,38.9,39.38,38.44,162400.0
2002-12-09,38.42,38.7,38.8,38.1,162400.0
2002-12-10,38.8,38.49,39.05,38.28,189100.0
2002-12-11,38.95,39.3,39.3,38.52,189000.0
2002-12-12,38.6,38.95,39.2,38.55,191600.0
2002-12-13,38.42,38.65,38.74,38.05,133700.0
2002-12-16,39.27,38.75,39.33,38.74,163300.0
2002-12-17,38.3,39.15,39.16,38.04,203300.0
2002-12-18,37.7,38.3,38.3,37.5,184300.0
2002-12-19,37.66,37.68,38.15,37.26,203000.0
2002-12-20,39.24,37.73,39.24,37.28,372300.0
2002-12-23,39.43,39.24,39.48,38.89,227500.0
2002-12-24,39.54,39.44,39.76,39.29,92500.0
2002-12-26,39.62,39.5,40.12,39.5,207200.0
2002-12-27,39.35,39.63,39.8,39.15,156500.0
2002-12-30,39.84,39.45,40.01,39.21,200500.0
2002-12-31,39.81,40.0,40.4,39.73,284400.0
2003-01-02,40.76,40.0,40.81,40.0,308700.0
2003-01-03,40.67,40.76,40.9,40.25,309600.0
2003-01-06,40.85,40.67,41.23,40.63,295800.0
2003-01-07,41.36,40.85,41.45,40.0,383800.0
2003-01-08,41.08,41.36,41.5,40.62,311200.0
2003-01-09,41.6,41.08,41.6,41.08,203500.0
2003-01-10,41.56,41.6,41.99,41.13,361000.0
2003-01-13,41.0,41.7,41.7,40.72,377000.0
2003-01-14,41.3,40.85,41.35,40.8,326600.0
2003-01-15,40.79,41.3,41.34,40.6,335000.0
2003-01-16,41.75,40.8,42.25,40.78,482000.0
2003-01-17,41.6,41.76,42.25,41.39,296900.0
2003-01-21,41.6,41.61,42.1,41.59,229700.0
2003-01-22,41.5,41.6,42.05,41.44,307300.0
2003-01-23,41.44,41.6,41.9,41.35,237200.0
2003-01-24,40.66,41.45,41.45,40.02,269300.0
2003-01-27,39.77,40.45,40.45,39.74,279200.0
2003-01-28,40.04,39.7,40.1,39.03,302700.0
2003-01-29,39.96,40.04,40.05,39.0,162300.0
2003-01-30,39.26,39.96,40.33,39.25,184200.0
2003-01-31,40.0,39.05,40.14,39.05,265900.0
2003-02-03,40.23,40.25,40.6,40.13,190700.0
2003-02-04,40.5,40.13,40.8,39.6,182600.0
2003-02-05,40.12,40.5,40.79,40.05,154600.0
2003-02-06,39.68,40.0,40.37,39.5,128700.0
2003-02-07,39.75,39.83,40.31,39.75,222800.0
2003-02-10,40.28,39.81,40.28,39.64,138200.0
2003-02-11,38.7,40.28,40.28,38.22,660900.0
2003-02-12,38.51,38.3,38.89,38.21,218000.0
2003-02-13,39.01,38.5,39.11,38.36,232100.0
2003-02-14,38.79,39.5,39.9,38.26,743300.0
2003-02-18,39.04,38.8,39.11,38.59,254400.0
2003-02-19,35.02,39.05,39.05,34.16,2787500.0
2003-02-20,33.9,34.97,35.34,33.89,767600.0
2003-02-21,34.13,33.8,34.35,33.0,709200.0
2003-02-24,34.56,34.2,34.57,33.76,421600.0
2003-02-25,35.46,34.56,35.46,34.4,448300.0
2003-02-26,34.75,35.6,35.6,34.25,332500.0
2003-02-27,34.76,34.85,35.75,34.5,303800.0
2003-02-28,34.25,34.65,35.0,34.25,280900.0
2003-03-03,35.1,34.5,35.23,34.21,300200.0
2003-03-04,35.28,35.25,35.53,35.01,336100.0
2003-03-05,34.42,35.2,35.2,34.42,349300.0
2003-03-06,34.3,34.3,34.45,34.0,210100.0
2003-03-07,34.25,34.2,34.52,33.91,198400.0
2003-03-10,33.99,34.2,34.24,33.42,152800.0
2003-03-11,34.18,33.9,34.52,33.73,210200.0
2003-03-12,34.0,34.19,34.34,33.86,210000.0
2003-03-13,33.9,34.05,34.48,33.7,291500.0
2003-03-14,33.8,33.9,34.15,33.47,190800.0
2003-03-17,34.89,33.8,34.9,33.23,267700.0
2003-03-18,34.05,34.89,34.89,33.7,277900.0
2003-03-19,34.88,34.2,34.89,34.2,161800.0
2003-03-20,34.77,35.0,35.0,34.01,170300.0
2003-03-21,35.48,34.95,35.5,34.7,200300.0
2003-03-24,35.04,35.35,35.35,34.1,272000.0
2003-03-25,35.3,35.24,35.72,34.9,199000.0
2003-03-26,35.01,35.3,35.34,34.75,221700.0
2003-03-27,35.35,35.1,35.79,34.48,144300.0
2003-03-28,35.34,35.5,35.55,34.64,228000.0
2003-03-31,34.97,35.2,35.59,34.7,143400.0
2003-04-01,35.41,35.15,35.58,34.8,190500.0
2003-04-02,35.86,35.8,36.15,35.5,197500.0
2003-04-03,35.6,35.65,36.08,35.44,126000.0
2003-04-04,35.85,35.7,36.35,35.65,163700.0
2003-04-07,36.25,36.0,36.9,36.0,202100.0
2003-04-08,36.15,36.35,36.65,36.06,122300.0
2003-04-09,35.9,36.3,37.0,35.72,175500.0
2003-04-10,35.88,35.9,36.25,35.72,107500.0
2003-04-11,35.7,36.1,36.44,35.6,178600.0
2003-04-14,36.22,35.85,36.23,35.78,238600.0
2003-04-15,36.21,36.3,36.37,35.98,172900.0
2003-04-16,35.7,36.7,36.73,35.55,151300.0
2003-04-17,36.05,35.9,36.15,35.76,179500.0
2003-04-21,36.33,36.15,36.38,35.66,181700.0
2003-04-22,36.82,36.33,37.0,36.0,186100.0
2003-04-23,36.75,36.83,36.88,36.38,101700.0
2003-04-24,36.4,36.75,36.9,36.05,145700.0
2003-04-25,36.16,36.41,36.53,36.05,99100.0
2003-04-28,36.45,36.35,36.6,36.25,163900.0
2003-04-29,36.55,36.45,37.0,36.4,148300.0
2003-04-30,36.28,36.56,36.56,36.2,262400.0
2003-05-01,36.6,36.45,36.76,35.75,171500.0
2003-05-02,37.02,36.5,37.11,36.5,270500.0
2003-05-05,37.35,37.02,37.56,36.87,194800.0
2003-05-06,37.15,37.2,37.5,36.83,305500.0
2003-05-07,37.2,37.05,37.44,36.9,131700.0
2003-05-08,36.86,37.0,37.01,36.74,98500.0
2003-05-09,36.95,37.0,37.15,36.55,256900.0
2003-05-12,37.0,36.8,37.16,36.67,150600.0
2003-05-13,36.67,36.8,36.92,36.5,221800.0
2003-05-14,36.65,36.7,36.73,36.4,149100.0
2003-05-15,36.27,36.5,36.6,36.19,221000.0
2003-05-16,35.95,36.0,36.32,35.94,254900.0
2003-05-19,36.1,35.75,36.33,35.64,216300.0
2003-05-20,36.14,36.06,36.41,35.95,253700.0
2003-05-21,36.34,36.2,36.35,35.81,186100.0
2003-05-22,36.47,36.34,36.85,36.11,311600.0
2003-05-23,36.62,36.6,36.65,36.03,92000.0
2003-05-27,36.97,36.5,37.09,36.3,226900.0
2003-05-28,37.2,36.97,37.32,36.8,305700.0
2003-05-29,36.9,37.2,37.47,36.8,177600.0
2003-05-30,37.65,37.05,37.68,36.9,216200.0
2003-06-02,38.08,37.9,38.4,37.54,177200.0
2003-06-03,38.28,38.08,38.37,37.8,100500.0
2003-06-04,38.5,38.19,38.99,38.13,169100.0
2003-06-05,38.59,38.51,38.9,38.17,120100.0
2003-06-06,38.16,38.84,39.1,38.1,192100.0
2003-06-09,38.03,38.17,38.33,37.96,117900.0
2003-06-10,38.09,38.12,38.33,37.7,154100.0
2003-06-11,38.4,38.0,38.58,37.8,166600.0
2003-06-12,39.35,39.0,39.41,38.35,169800.0
2003-06-13,38.71,39.36,39.44,38.2,202800.0
2003-06-16,39.56,38.96,39.56,38.8,207000.0
2003-06-17,41.81,41.5,42.01,40.07,805100.0
2003-06-18,41.5,41.81,41.88,41.25,331400.0
2003-06-19,41.23,41.25,41.68,40.83,243700.0
2003-06-20,41.4,41.45,41.49,41.25,212300.0
2003-06-23,40.52,41.4,41.54,40.47,234600.0
2003-06-24,41.2,40.6,41.45,40.5,309400.0
2003-06-25,41.51,41.25,41.66,41.22,194800.0
2003-06-26,41.05,41.52,41.52,40.76,331000.0
2003-06-27,40.4,41.08,41.09,40.26,323100.0
2003-06-30,39.89,40.43,40.43,38.81,1279800.0
2003-07-01,40.51,39.9,40.55,39.75,271800.0
2003-07-02,41.25,40.4,41.26,40.29,175500.0
2003-07-03,40.89,41.0,41.31,40.75,83600.0
2003-07-07,41.15,41.0,41.49,40.93,191200.0
2003-07-08,41.17,41.2,41.25,41.05,142200.0
2003-07-09,40.35,41.0,41.0,40.04,274300.0
2003-07-10,40.07,39.9,40.3,39.9,198100.0
2003-07-11,41.05,40.3,41.13,40.27,207000.0
2003-07-14,40.43,41.11,41.15,40.25,111400.0
2003-07-15,40.39,40.3,40.5,40.07,106800.0
2003-07-16,40.37,40.34,40.56,40.07,129400.0
2003-07-17,39.96,40.15,40.56,39.92,116600.0
2003-07-18,40.3,40.05,40.3,39.9,118700.0
2003-07-21,39.68,40.32,40.32,39.56,130200.0
2003-07-22,39.68,39.93,39.93,39.55,130200.0
2003-07-23,39.92,39.8,40.0,39.35,126000.0
2003-07-24,39.83,40.0,40.09,39.62,100200.0
2003-07-25,40.02,39.83,40.22,39.7,107200.0
2003-07-28,40.14,40.1,40.33,39.9,155500.0
2003-07-29,40.15,40.35,40.39,39.81,104000.0
2003-07-30,40.6,40.2,40.6,40.01,132400.0
2003-07-31,40.04,40.59,40.68,39.78,151700.0
2003-08-01,39.61,39.95,39.95,39.54,85900.0
2003-08-04,38.87,39.65,39.81,38.72,251900.0
2003-08-05,38.16,38.87,38.87,38.15,231900.0
2003-08-06,38.2,38.16,38.45,37.94,205100.0
2003-08-07,37.83,38.21,38.21,37.61,190700.0
2003-08-08,38.24,38.0,38.36,37.99,105300.0
2003-08-11,38.85,38.45,38.85,38.01,140000.0
2003-08-12,39.41,39.1,39.41,38.97,168300.0
2003-08-13,39.43,39.55,39.69,39.36,140200.0
2003-08-14,39.63,39.5,39.7,39.35,82100.0
2003-08-15,39.85,39.5,39.85,39.4,41100.0
2003-08-18,39.5,39.93,39.93,39.05,98900.0
2003-08-19,39.29,39.52,39.59,39.1,95300.0
2003-08-20,38.88,39.29,39.3,38.6,184100.0
2003-08-21,39.31,38.8,39.45,38.75,237900.0
2003-08-22,39.24,39.5,39.55,39.05,177000.0
2003-08-25,39.86,39.4,39.93,39.39,174600.0
