Date,Close,Open,High,Low,Volume
2018-01-22,2.34,2.29,2.35,2.28,
2018-01-23,2.29,2.35,2.35,2.27,
2018-01-24,2.28,2.3,2.32,2.26,
2018-01-25,2.27,2.28,2.3,2.23,
2018-01-26,2.39,2.3,2.4,2.28,
2018-01-29,2.45,2.38,2.48,2.37,
2018-01-30,2.47,2.44,2.48,2.39,
2018-01-31,2.28,2.29,2.39,2.22,
2018-02-01,2.26,2.27,2.27,2.23,
2018-02-02,2.06,2.24,2.26,2.06,
2018-02-05,1.93,2.04,2.09,1.93,
2018-02-06,1.96,1.9,1.98,1.89,
2018-02-07,1.98,1.96,2.01,1.94,
2018-02-08,1.86,1.99,2.06,1.86,
2018-02-09,1.89,1.88,1.92,1.84,
2018-02-12,1.88,1.89,1.93,1.87,
2018-02-13,1.84,1.88,1.89,1.82,
2018-02-14,1.93,1.82,1.93,1.82,
2018-02-15,1.95,1.94,1.96,1.9,
2018-02-16,1.91,1.95,1.97,1.91,
2018-02-20,1.89,1.9,1.93,1.87,
2018-02-21,1.82,1.89,1.93,1.81,
2018-02-22,1.84,1.83,1.86,1.81,
2018-02-23,1.85,1.86,1.88,1.83,
2018-02-26,1.89,1.86,1.91,1.86,
2018-02-27,1.86,1.9,1.92,1.86,
2018-02-28,1.81,1.88,1.88,1.81,
2018-03-01,1.81,1.82,1.85,1.8,
2018-03-02,1.83,1.79,1.84,1.76,
2018-03-05,1.89,1.82,1.9,1.82,
2018-03-06,1.94,1.89,1.95,1.89,
2018-03-07,1.96,1.92,1.98,1.9,
2018-03-08,1.94,1.95,1.97,1.91,
2018-03-09,1.98,1.96,1.99,1.91,
2018-03-12,1.95,1.99,2.0,1.94,
2018-03-13,1.96,1.96,1.99,1.94,
2018-03-14,1.96,1.98,1.98,1.92,
2018-03-15,1.97,1.97,1.99,1.94,
2018-03-16,1.97,1.96,1.98,1.93,
2018-03-19,1.87,1.95,1.95,1.85,
2018-03-20,1.87,1.87,1.89,1.85,
2018-03-21,1.83,1.88,1.88,1.81,
2018-03-22,1.77,1.81,1.84,1.77,
2018-03-23,1.73,1.78,1.79,1.72,
2018-03-26,1.71,1.75,1.76,1.7,
2018-03-27,1.66,1.71,1.71,1.61,
2018-03-28,1.67,1.67,1.7,1.64,
2018-03-29,1.7,1.67,1.73,1.67,
2018-04-02,1.64,1.7,1.7,1.63,
2018-04-03,1.66,1.64,1.68,1.64,
2018-04-04,1.68,1.64,1.69,1.64,
2018-04-05,1.68,1.69,1.7,1.67,
2018-04-06,1.66,1.66,1.68,1.64,
2018-04-09,1.64,1.66,1.68,1.64,
2018-04-10,1.71,1.67,1.71,1.64,2950250.0
2018-04-11,1.73,1.7,1.75,1.69,2528480.0
2018-04-12,1.76,1.73,1.78,1.73,4668270.0
2018-04-13,1.74,1.76,1.77,1.72,1341090.0
2018-04-16,1.77,1.75,1.81,1.72,2694630.0
2018-04-17,1.83,1.78,1.84,1.78,4815880.0
2018-04-18,1.8,1.84,1.84,1.8,2086780.0
2018-04-19,1.78,1.8,1.8,1.77,2268940.0
2018-04-20,1.75,1.78,1.8,1.74,1723500.0
2018-04-23,1.74,1.76,1.77,1.73,1540610.0
2018-04-24,1.76,1.76,1.78,1.74,4174330.0
2018-04-25,1.76,1.76,1.78,1.74,1542500.0
2018-04-26,1.77,1.77,1.78,1.75,1316350.0
2018-04-27,1.81,1.78,1.83,1.77,2711010.0
2018-04-30,1.77,1.81,1.82,1.76,2358050.0
2018-05-01,1.83,1.76,1.83,1.76,3742740.0
2018-05-02,1.8,1.83,1.83,1.79,3795240.0
2018-05-03,1.81,1.8,1.82,1.77,7116180.0
2018-05-04,2.13,2.06,2.17,1.97,12879590.0
2018-05-07,2.31,2.15,2.34,2.14,9732160.0
2018-05-08,2.4,2.3,2.4,2.28,6231840.0
2018-05-09,2.4,2.4,2.43,2.32,6298160.0
2018-05-10,2.38,2.41,2.42,2.34,5598410.0
2018-05-11,2.34,2.38,2.41,2.34,3510470.0
2018-05-14,2.36,2.34,2.39,2.33,4229340.0
2018-05-15,2.38,2.36,2.38,2.35,4790690.0
2018-05-16,2.39,2.38,2.41,2.37,3841410.0
2018-05-17,2.4,2.39,2.42,2.39,2742320.0
2018-05-18,2.37,2.4,2.4,2.36,3349640.0
2018-05-21,2.39,2.39,2.4,2.35,4355820.0
2018-05-22,2.37,2.39,2.4,2.35,2202140.0
2018-05-23,2.37,2.36,2.39,2.34,5500780.0
2018-05-24,2.37,2.36,2.39,2.36,3670770.0
2018-05-25,2.37,2.37,2.44,2.36,4229840.0
2018-05-29,2.4,2.35,2.42,2.35,3440110.0
2018-05-30,2.44,2.42,2.45,2.4,3135910.0
2018-05-31,2.41,2.44,2.44,2.4,3778770.0
2018-06-01,2.44,2.43,2.47,2.4,4944880.0
2018-06-04,2.46,2.46,2.46,2.42,3405080.0
2018-06-05,2.52,2.45,2.52,2.45,4212110.0
2018-06-06,2.58,2.52,2.58,2.51,3632490.0
2018-06-07,2.56,2.58,2.58,2.53,3930270.0
2018-06-08,2.62,2.55,2.64,2.53,3626830.0
2018-06-11,2.66,2.63,2.66,2.61,3338140.0
2018-06-12,2.7,2.66,2.71,2.64,4285390.0
2018-06-13,2.68,2.71,2.71,2.66,4049530.0
2018-06-14,2.62,2.69,2.69,2.59,3731850.0
2018-06-15,2.58,2.6,2.63,2.53,3367700.0
2018-06-18,2.55,2.56,2.59,2.52,4048800.0
2018-06-19,2.53,2.53,2.58,2.5,3319810.0
2018-06-20,2.53,2.55,2.55,2.49,2383860.0
2018-06-21,2.51,2.53,2.53,2.47,3633220.0
2018-06-22,2.49,2.52,2.52,2.46,5726940.0
2018-06-25,2.41,2.48,2.49,2.39,3281680.0
2018-06-26,2.43,2.41,2.44,2.4,1674010.0
2018-06-27,2.38,2.38,2.46,2.37,3562630.0
2018-06-28,2.38,2.38,2.42,2.36,6194780.0
2018-06-29,2.37,2.39,2.42,2.37,2573490.0
2018-07-02,2.46,2.36,2.46,2.32,4378840.0
2018-07-03,2.41,2.46,2.47,2.41,1731410.0
2018-07-05,2.43,2.43,2.45,2.37,2966300.0
2018-07-06,2.42,2.44,2.45,2.39,3679880.0
2018-07-09,2.45,2.44,2.5,2.42,3402100.0
2018-07-10,2.46,2.45,2.48,2.44,2328200.0
2018-07-11,2.37,2.45,2.46,2.37,2568040.0
2018-07-12,2.4,2.39,2.43,2.37,2391510.0
2018-07-13,2.4,2.39,2.42,2.38,2288210.0
2018-07-16,2.42,2.4,2.42,2.38,1873810.0
2018-07-17,2.4,2.4,2.45,2.39,2181530.0
2018-07-18,2.42,2.39,2.42,2.37,1574280.0
2018-07-19,2.43,2.41,2.43,2.41,1727330.0
2018-07-20,2.38,2.42,2.42,2.37,1738640.0
2018-07-23,2.37,2.37,2.39,2.32,1526220.0
2018-07-24,2.37,2.38,2.38,2.32,2381620.0
2018-07-25,2.31,2.37,2.38,2.29,2269370.0
2018-07-26,2.32,2.3,2.34,2.3,2824390.0
2018-07-27,2.22,2.32,2.33,2.17,3040490.0
2018-07-30,2.22,2.22,2.23,2.2,2894040.0
2018-07-31,2.21,2.22,2.25,2.2,4643660.0
2018-08-01,2.17,2.21,2.24,2.13,6711090.0
2018-08-02,2.17,2.17,2.23,2.09,7641870.0
2018-08-03,2.1,2.16,2.18,2.09,6063020.0
2018-08-06,2.11,2.1,2.13,2.05,5017900.0
2018-08-07,2.03,2.11,2.14,2.01,8521550.0
2018-08-08,1.97,2.03,2.03,1.87,7074600.0
2018-08-09,2.01,1.97,2.03,1.96,2460450.0
2018-08-10,1.98,2.0,2.01,1.97,1851200.0
2018-08-13,2.0,1.99,2.03,1.98,3112940.0
2018-08-14,1.97,2.0,2.01,1.96,3194760.0
2018-08-15,1.88,1.97,1.97,1.87,4806830.0
2018-08-16,1.92,1.89,1.97,1.88,5871650.0
2018-08-17,1.89,1.92,1.95,1.88,5346670.0
2018-08-20,1.9,1.91,1.91,1.87,4078350.0
2018-08-21,1.84,1.9,1.91,1.81,14565240.0
2018-08-22,1.57,1.43,1.76,1.42,224147550.0
2018-08-23,1.72,1.53,1.73,1.51,73025160.0
2018-08-24,1.64,1.73,1.77,1.59,146577820.0
2018-08-27,1.73,1.65,1.74,1.65,34297630.0
2018-08-28,1.95,1.73,1.95,1.72,20530640.0
2018-08-29,2.02,1.94,2.03,1.9,16232210.0
2018-08-30,2.07,2.04,2.09,2.03,11525340.0
2018-08-31,2.05,2.09,2.09,2.03,6131070.0
2018-09-04,2.05,2.03,2.06,1.98,3171350.0
2018-09-05,1.98,2.05,2.05,1.91,2986020.0
2018-09-06,2.0,2.0,2.02,1.97,5462990.0
2018-09-07,2.02,2.01,2.03,2.0,7947610.0
2018-09-10,2.0,2.03,2.03,2.0,10198440.0
2018-09-11,1.98,2.0,2.01,1.97,7532190.0
2018-09-12,1.98,1.98,2.0,1.97,1136000.0
2018-09-13,2.0,1.98,2.02,1.97,3518870.0
2018-09-14,2.01,2.01,2.03,2.0,2609820.0
2018-09-17,2.05,2.01,2.05,2.01,2735340.0
2018-09-18,2.06,2.03,2.07,2.03,3367050.0
2018-09-19,2.07,2.06,2.08,2.05,832980.0
2018-09-20,2.12,2.07,2.12,2.06,4008300.0
2018-09-21,2.07,2.15,2.15,2.06,2186350.0
2018-09-24,1.99,2.08,2.09,1.97,3068460.0
2018-09-25,2.13,1.97,2.14,1.97,2865370.0
2018-09-26,2.1,2.13,2.13,2.09,3017590.0
2018-09-27,2.06,2.11,2.11,2.04,2705190.0
2018-09-28,2.06,2.06,2.06,2.04,1694500.0
2018-10-01,2.15,2.07,2.16,2.07,1202760.0
2018-10-02,2.15,2.14,2.16,2.14,1244390.0
2018-10-03,2.14,2.15,2.15,2.14,2057830.0
2018-10-04,1.26,1.52,1.52,0.85,125604990.0
2018-10-05,1.24,1.3,1.34,1.08,28571250.0
2018-10-08,1.48,1.31,1.52,1.31,28298290.0
2018-10-09,1.25,1.53,1.56,1.07,49846420.0
2018-10-10,1.28,1.29,1.3,1.22,14076810.0
2018-10-11,1.31,1.31,1.35,1.26,5790730.0
2018-10-12,1.31,1.36,1.36,1.31,5225020.0
2018-10-15,1.38,1.35,1.39,1.32,4652400.0
2018-10-16,1.33,1.39,1.42,1.32,2812050.0
2018-10-17,1.36,1.33,1.37,1.33,2899280.0
2018-10-18,1.34,1.33,1.36,1.33,3164540.0
2018-10-19,1.41,1.34,1.43,1.33,7790680.0
2018-10-22,1.47,1.46,1.48,1.45,5480020.0
2018-10-23,1.47,1.47,1.48,1.39,3473270.0
2018-10-24,1.47,1.47,1.48,1.46,3121510.0
2018-10-25,1.48,1.48,1.48,1.43,5347490.0
2018-10-26,1.44,1.48,1.48,1.43,7748850.0
2018-10-29,1.33,1.44,1.46,1.3,2964220.0
2018-10-30,1.3,1.31,1.34,1.29,5789170.0
2018-10-31,1.31,1.3,1.32,1.29,4098410.0
2018-11-01,1.38,1.32,1.4,1.32,3616970.0
2018-11-02,1.38,1.38,1.42,1.37,2722270.0
2018-11-05,1.24,1.36,1.39,1.2,7139280.0
2018-11-06,1.24,1.25,1.25,1.23,1556540.0
2018-11-07,1.21,1.25,1.26,1.17,2833840.0
2018-11-08,1.17,1.22,1.22,1.12,2594950.0
2018-11-09,1.21,1.16,1.22,1.13,6175040.0
2018-11-12,1.18,1.22,1.22,1.13,2059250.0
2018-11-13,1.17,1.18,1.24,1.16,2130690.0
2018-11-14,1.21,1.16,1.22,1.16,4036930.0
2018-11-15,1.24,1.21,1.28,1.2,4173720.0
2018-11-16,1.43,1.36,1.49,1.35,26095370.0
2018-11-19,1.38,1.43,1.44,1.36,4738900.0
2018-11-20,1.34,1.37,1.37,1.33,1774390.0
2018-11-21,1.35,1.34,1.36,1.34,2615320.0
2018-11-23,1.4,1.34,1.41,1.34,274220.0
2018-11-26,1.35,1.39,1.4,1.34,1791900.0
2018-11-27,1.39,1.35,1.39,1.34,1335910.0
2018-11-28,1.41,1.39,1.42,1.36,3363430.0
2018-11-29,1.45,1.42,1.45,1.4,1293680.0
2018-11-30,1.49,1.45,1.5,1.45,2298250.0
2018-12-03,1.5,1.48,1.5,1.48,3439110.0
2018-12-04,1.48,1.5,1.51,1.45,1609900.0
2018-12-06,1.59,1.46,1.64,1.45,5211810.0
2018-12-07,1.63,1.59,1.65,1.58,4642250.0
2018-12-10,1.64,1.62,1.66,1.55,2683180.0
2018-12-11,1.65,1.65,1.66,1.61,3640650.0
2018-12-12,1.6,1.63,1.65,1.57,2470820.0
2018-12-13,1.63,1.58,1.64,1.58,802820.0
2018-12-14,1.67,1.63,1.67,1.62,3136690.0
2018-12-17,1.54,1.66,1.7,1.48,3012440.0
2018-12-18,1.51,1.53,1.55,1.5,1441090.0
2018-12-19,1.49,1.52,1.52,1.47,3645660.0
2018-12-20,1.49,1.47,1.49,1.43,2334020.0
2018-12-21,1.4,1.48,1.54,1.38,4206520.0
2018-12-24,1.41,1.4,1.42,1.37,1659460.0
2018-12-26,1.41,1.42,1.42,1.39,1872350.0
2018-12-27,1.4,1.41,1.42,1.39,
2018-12-28,1.39,1.4,1.42,1.39,3580040.0
2018-12-31,1.38,1.39,1.41,1.35,4341870.0
2019-01-02,1.51,1.38,1.52,1.38,2326250.0
2019-01-03,1.57,1.51,1.58,1.45,3217170.0
2019-01-04,1.56,1.56,1.59,1.53,1595300.0
2019-01-07,1.57,1.54,1.58,1.53,3078330.0
2019-01-08,1.56,1.58,1.59,1.55,1650770.0
2019-01-09,1.55,1.57,1.57,1.55,162060.0
2019-01-10,1.55,1.55,1.56,1.5,297510.0
2019-01-11,1.5,1.55,1.55,1.49,945870.0
2019-01-14,1.53,1.52,1.53,1.44,2099940.0
2019-01-15,1.51,1.54,1.54,1.51,858560.0
2019-01-16,1.5,1.51,1.51,1.49,3221250.0
2019-01-17,1.48,1.49,1.5,1.45,2825690.0
2019-01-18,1.5,1.48,1.51,1.47,1366700.0
2019-01-22,1.47,1.45,1.5,1.45,1744190.0
2019-01-23,1.49,1.47,1.5,1.47,3081290.0
2019-01-24,1.5,1.5,1.51,1.49,2184950.0
2019-01-25,1.5,1.5,1.51,1.5,2661240.0
2019-01-28,1.48,1.5,1.5,1.48,1028540.0
2019-01-29,1.5,1.48,1.5,1.47,985730.0
2019-01-30,1.51,1.5,1.51,1.49,651770.0
2019-01-31,1.51,1.5,1.51,1.48,1171860.0
2019-02-01,1.53,1.51,1.55,1.51,645500.0
2019-02-04,1.53,1.53,1.55,1.52,462630.0
2019-02-05,1.57,1.54,1.57,1.54,2653730.0
2019-02-06,1.57,1.56,1.59,1.55,827870.0
2019-02-07,1.54,1.56,1.56,1.52,302140.0
2019-02-08,1.54,1.52,1.54,1.52,1762820.0
2019-02-11,1.55,1.53,1.55,1.53,589590.0
2019-02-12,1.62,1.55,1.62,1.55,1628690.0
2019-02-13,1.64,1.62,1.64,1.61,897270.0
2019-02-14,1.62,1.62,1.64,1.62,920760.0
2019-02-15,1.98,1.71,2.0,1.71,9920750.0
2019-02-19,2.0,1.96,2.05,1.96,4937790.0
2019-02-20,1.92,1.99,1.99,1.9,1629230.0
2019-02-21,1.93,1.9,1.95,1.9,1583180.0
2019-02-22,1.97,1.92,1.97,1.92,1525470.0
2019-02-25,1.97,1.97,1.97,1.92,1094300.0
2019-02-26,1.94,1.97,1.97,1.94,197980.0
2019-02-27,1.91,1.93,1.95,1.9,1053410.0
2019-02-28,1.91,1.91,1.94,1.89,1680680.0
2019-03-01,1.96,1.92,1.96,1.91,2034380.0
2019-03-04,1.96,1.92,1.96,1.92,678130.0
2019-03-05,1.98,1.92,1.98,1.92,483340.0
2019-03-06,1.92,1.96,1.98,1.91,795270.0
2019-03-07,1.95,1.91,1.95,1.91,720310.0
2019-03-08,1.95,1.95,1.95,1.93,1703740.0
2019-03-11,1.95,1.92,1.96,1.92,1210130.0
2019-03-12,1.96,1.95,1.96,1.93,1443390.0
2019-03-13,1.98,1.96,1.99,1.95,1491610.0
2019-03-14,2.0,1.92,2.02,1.92,1255360.0
2019-03-15,2.01,2.0,2.01,1.99,655040.0
2019-03-18,2.03,2.0,2.03,2.0,2798060.0
2019-03-19,2.03,2.0,2.03,2.0,1959330.0
2019-03-20,2.05,2.02,2.06,2.02,846590.0
2019-03-21,2.07,2.04,2.07,2.03,590850.0
2019-03-22,2.06,2.05,2.08,2.05,1109420.0
2019-03-25,2.09,2.06,2.1,2.06,4036120.0
2019-03-26,2.09,2.08,2.1,2.08,1688320.0
2019-03-27,2.1,2.08,2.1,2.08,1518230.0
2019-03-28,2.1,2.1,2.11,2.1,2284000.0
2019-03-29,2.11,2.11,2.12,2.1,1166380.0
2019-04-01,2.19,2.11,2.2,2.11,2252260.0
2019-04-02,2.2,2.19,2.2,2.15,2644440.0
2019-04-03,2.2,2.19,2.21,2.19,3065810.0
2019-04-04,2.2,2.21,2.21,2.2,2869980.0
2019-04-05,2.2,2.2,2.21,2.2,1309440.0
2019-04-08,2.2,2.2,2.2,2.14,840990.0
2019-04-09,2.2,2.19,2.2,2.18,547160.0
2019-04-10,2.19,2.2,2.2,2.19,937070.0
2019-04-11,2.2,2.19,2.2,2.19,768010.0
2019-04-12,2.2,2.2,2.2,2.2,1155850.0
2019-04-15,2.2,2.19,2.22,2.19,1067580.0
2019-04-16,2.2,2.19,2.21,2.19,239310.0
2019-04-17,2.21,2.2,2.21,2.2,347460.0
2019-04-18,2.2,2.2,2.21,2.19,857020.0
2019-04-22,2.2,2.2,2.21,2.19,852720.0
2019-04-23,2.22,2.2,2.22,2.2,2744990.0
2019-04-24,2.22,2.22,2.22,2.21,410270.0
2019-04-25,2.23,2.22,2.23,2.22,2086010.0
2019-04-26,2.22,2.23,2.23,2.21,2023450.0
2019-04-29,2.23,2.22,2.24,2.22,661870.0
2019-04-30,2.24,2.23,2.24,2.23,1258350.0
2019-05-01,2.29,2.25,2.3,2.25,407990.0
2019-05-02,2.24,2.27,2.29,2.23,1130610.0
2019-05-03,2.25,2.25,2.26,2.24,1857870.0
2019-05-06,2.25,2.25,2.26,2.23,1678460.0
2019-05-07,2.21,2.24,2.25,2.21,2877470.0
2019-05-08,2.13,2.21,2.23,2.08,1849220.0
2019-05-09,2.1,2.13,2.14,2.1,1414050.0
2019-05-10,2.01,2.09,2.09,1.97,917030.0
2019-05-13,1.97,2.0,2.01,1.93,2231810.0
2019-05-14,1.99,1.99,2.01,1.98,1540290.0
2019-05-15,2.04,2.01,2.04,1.99,103170.0
2019-05-16,2.0,2.04,2.12,2.0,2509380.0
2019-05-17,1.99,2.01,2.04,1.94,990750.0
2019-05-20,1.99,1.99,2.0,1.96,552770.0
2019-05-21,2.01,1.99,2.01,1.99,3369910.0
2019-05-22,2.02,2.01,2.05,2.01,4461650.0
2019-05-23,1.99,2.02,2.02,1.99,4465660.0
2019-05-24,1.99,1.99,2.0,1.98,1644370.0
2019-05-28,1.97,1.97,1.99,1.97,1689460.0
2019-05-29,1.92,1.97,1.97,1.91,633390.0
2019-05-30,1.93,1.92,1.96,1.92,451780.0
2019-05-31,1.9,1.91,2.0,1.82,1216600.0
2019-06-03,1.93,1.9,1.95,1.9,1437420.0
2019-06-04,1.9,1.93,1.97,1.9,1186970.0
2019-06-05,1.89,1.94,1.95,1.89,399380.0
2019-06-06,1.83,1.89,1.89,1.8,1105920.0
2019-06-07,1.84,1.83,1.85,1.82,466660.0
2019-06-10,1.85,1.9,1.9,1.85,416920.0
2019-06-11,1.84,1.85,1.89,1.83,728900.0
2019-06-12,1.82,1.85,1.85,1.81,499190.0
2019-06-13,1.74,1.81,1.82,1.71,2044070.0
2019-06-14,1.75,1.73,1.76,1.73,2172820.0
2019-06-17,1.8,1.75,1.82,1.74,1013780.0
2019-06-18,1.84,1.82,1.9,1.82,160520.0
2019-06-19,1.87,1.84,1.87,1.82,823760.0
2019-06-20,1.9,1.86,1.91,1.85,258510.0
2019-06-21,1.91,1.9,1.93,1.9,925280.0
2019-06-24,1.94,1.92,1.96,1.92,1312910.0
2019-06-25,1.91,1.94,1.94,1.91,1222040.0
2019-06-26,1.92,1.92,1.93,1.92,1104190.0
2019-06-27,1.92,1.92,1.92,1.92,541620.0
2019-06-28,1.94,1.92,1.94,1.91,143990.0
2019-07-01,1.93,1.93,1.94,1.9,1460750.0
2019-07-02,1.91,1.93,1.93,1.9,291390.0
2019-07-03,1.89,1.9,1.91,1.89,204030.0
2019-07-05,1.86,1.89,1.9,1.86,326660.0
2019-07-08,1.86,1.89,1.89,1.86,51390.0
2019-07-09,1.87,1.86,1.88,1.85,805690.0
2019-07-10,1.92,1.87,1.93,1.85,425060.0
2019-07-11,1.89,1.94,1.94,1.87,414310.0
2019-07-12,1.86,1.88,1.9,1.86,408200.0
2019-07-15,1.87,1.86,1.87,1.85,60940.0
2019-07-16,1.92,1.87,1.92,1.87,150200.0
2019-07-17,1.88,1.91,1.92,1.87,454400.0
2019-07-18,1.86,1.87,1.9,1.86,496710.0
2019-07-19,1.9,1.88,1.9,1.87,361430.0
2019-07-22,1.95,1.91,2.0,1.91,1536730.0
2019-07-23,1.91,1.97,1.99,1.9,531290.0
2019-07-24,1.93,1.92,1.94,1.92,191340.0
2019-07-25,1.89,1.86,1.91,1.86,137880.0
2019-07-26,1.87,1.89,1.89,1.86,176190.0
2019-07-29,1.87,1.88,1.89,1.85,130460.0
2019-07-30,1.85,1.94,1.94,1.85,218650.0
2019-07-31,1.83,1.85,1.86,1.83,320540.0
2019-08-01,1.81,1.82,1.82,1.8,394120.0
2019-08-02,1.7,1.8,1.8,1.6,2490020.0
2019-08-05,1.63,1.7,1.7,1.63,4881370.0
2019-08-06,1.76,1.63,1.77,1.63,1976870.0
2019-08-07,1.79,1.77,1.9,1.73,1916060.0
2019-08-08,1.8,1.77,1.81,1.7,642340.0
2019-08-09,1.71,1.74,1.81,1.69,1039750.0
2019-08-12,1.7,1.7,1.76,1.66,661700.0
2019-08-13,1.7,1.7,1.72,1.7,424190.0
2019-08-14,1.68,1.68,1.7,1.65,786020.0
2019-08-15,1.63,1.67,1.7,1.63,3660250.0
2019-08-16,1.93,1.69,1.96,1.69,3366090.0
2019-08-19,1.96,1.93,1.97,1.91,691430.0
2019-08-20,1.99,1.97,1.99,1.94,447390.0
2019-08-21,2.0,1.96,2.0,1.96,378020.0
2019-08-22,2.0,1.99,2.01,1.99,771410.0
2019-08-23,1.94,2.0,2.0,1.91,1024610.0
2019-08-26,1.93,1.94,1.98,1.92,479620.0
2019-08-27,1.91,1.92,1.94,1.86,136050.0
2019-08-28,1.94,1.86,1.95,1.85,104190.0
2019-08-29,1.96,1.9,1.98,1.9,224450.0
2019-08-30,1.89,1.94,1.94,1.85,817900.0
2019-09-03,1.84,1.88,1.89,1.81,821800.0
2019-09-04,1.86,1.84,1.87,1.83,368290.0
2019-09-05,1.89,1.86,1.9,1.86,1110750.0
2019-09-06,1.92,1.89,1.92,1.89,467710.0
2019-09-09,1.94,1.91,1.98,1.91,782020.0
2019-09-10,1.93,1.94,1.94,1.92,648920.0
2019-09-11,1.91,1.93,1.93,1.9,2785320.0
2019-09-12,1.9,1.9,1.94,1.9,676700.0
2019-09-13,1.91,1.91,1.93,1.89,935520.0
2019-09-16,1.93,1.91,1.95,1.87,327960.0
2019-09-17,1.95,1.95,1.97,1.95,568490.0
2019-09-18,1.97,1.96,1.97,1.9,930110.0
2019-09-19,1.96,1.96,1.97,1.95,209810.0
2019-09-20,1.98,1.96,1.98,1.96,603390.0
2019-09-23,1.96,1.97,1.99,1.96,1571480.0
2019-09-24,1.96,1.96,1.97,1.93,2651990.0
2019-09-25,1.93,1.93,1.93,1.86,203110.0
2019-09-26,1.88,1.9,1.93,1.88,732740.0
2019-09-27,1.91,1.92,1.93,1.89,410210.0
2019-09-30,1.92,1.89,1.92,1.89,160810.0
2019-10-01,1.94,1.92,1.95,1.91,1945220.0
2019-10-02,1.93,1.92,1.93,1.91,165310.0
2019-10-03,1.92,1.92,1.93,1.91,491540.0
2019-10-04,1.94,1.92,1.95,1.91,298440.0
2019-10-07,1.94,1.92,1.95,1.92,2933310.0
2019-10-08,1.9,1.93,1.94,1.9,1333390.0
2019-10-09,1.9,1.91,1.91,1.89,808680.0
2019-10-10,1.9,1.9,1.9,1.88,197860.0
2019-10-11,1.88,1.89,1.9,1.88,298800.0
2019-10-14,1.88,1.88,1.89,1.86,515770.0
