Date,Close,Open,High,Low,Volume
3/17/1980,6.67,,6.71,6.63,42100.0
3/18/1980,6.83,,6.83,6.67,29500.0
3/19/1980,6.79,,6.79,6.67,18500.0
3/20/1980,6.71,,6.75,6.67,32300.0
3/21/1980,6.63,,6.71,6.5,24300.0
3/24/1980,6.63,,6.88,6.63,52300.0
3/25/1980,6.5,,6.67,6.5,28200.0
3/26/1980,6.71,,6.75,6.58,28000.0
3/27/1980,6.54,,6.75,6.54,9500.0
3/28/1980,6.79,,6.88,6.75,13700.0
3/31/1980,6.63,,6.83,6.63,42600.0
4/1/1980,6.88,,6.96,6.67,44300.0
4/2/1980,6.92,,7.04,6.92,13100.0
4/3/1980,7.0,,7.04,6.96,11200.0
4/7/1980,6.88,,7.08,6.88,13000.0
4/8/1980,7.0,,7.04,6.79,13000.0
4/9/1980,6.96,,7.08,6.96,9700.0
4/10/1980,7.0,,7.04,7.0,19800.0
4/11/1980,6.75,,7.04,6.75,24100.0
4/14/1980,6.75,,6.88,6.75,24900.0
4/15/1980,6.92,,6.92,6.83,118200.0
4/16/1980,7.0,,7.0,6.88,47400.0
4/17/1980,7.04,,7.13,6.96,7300.0
4/18/1980,6.92,,7.08,6.92,24800.0
4/21/1980,6.58,,6.88,6.58,87300.0
4/22/1980,6.67,,6.75,6.54,36500.0
4/23/1980,6.92,,7.0,6.88,73800.0
4/24/1980,6.83,,7.0,6.83,38800.0
4/25/1980,6.67,,6.71,6.5,107700.0
4/28/1980,6.83,,6.83,6.75,13500.0
4/29/1980,6.71,,6.83,6.67,24700.0
4/30/1980,6.92,,6.92,6.71,17400.0
5/1/1980,6.63,,6.88,6.63,16800.0
5/2/1980,6.67,,6.71,6.63,14900.0
5/5/1980,6.75,,6.75,6.67,6100.0
5/6/1980,6.67,,6.79,6.63,11200.0
5/7/1980,6.67,,6.71,6.63,34500.0
5/8/1980,6.67,,6.67,6.58,19100.0
5/9/1980,6.54,,6.63,6.46,25700.0
5/12/1980,6.38,,6.58,6.38,13600.0
5/13/1980,6.46,,6.46,6.33,20500.0
5/14/1980,6.33,,6.54,6.29,34600.0
5/15/1980,6.33,,6.42,6.25,40100.0
5/16/1980,6.54,,6.54,6.42,15900.0
5/19/1980,6.92,,6.92,6.67,30600.0
5/20/1980,6.96,,7.0,6.75,52600.0
5/21/1980,7.0,,7.13,6.92,9400.0
5/22/1980,7.25,,7.25,7.08,6500.0
5/23/1980,7.58,,7.67,7.21,35000.0
5/27/1980,7.67,,7.88,7.67,36800.0
5/28/1980,7.42,,7.58,7.38,3800.0
5/29/1980,7.17,,7.38,7.17,89200.0
5/30/1980,7.08,,7.25,7.08,17000.0
6/2/1980,7.08,,7.17,7.04,11800.0
6/3/1980,7.21,,7.33,7.21,16600.0
6/4/1980,7.33,,7.38,7.17,5000.0
6/5/1980,7.13,,7.29,7.13,15800.0
6/6/1980,7.13,,7.21,7.13,43900.0
6/9/1980,7.25,,7.25,7.08,5600.0
6/10/1980,7.46,,7.46,7.08,15600.0
6/11/1980,7.46,,7.5,7.25,4600.0
6/12/1980,7.5,,7.58,7.38,21700.0
6/13/1980,7.38,,7.46,7.38,8700.0
6/16/1980,7.46,,7.54,7.38,24200.0
6/17/1980,7.79,,7.79,7.46,13300.0
6/18/1980,7.83,,7.92,7.79,32200.0
6/19/1980,7.67,,7.96,7.67,8300.0
6/20/1980,7.42,,7.54,7.33,7900.0
6/23/1980,7.33,,7.42,7.33,8100.0
6/24/1980,7.38,,7.42,7.33,27200.0
6/25/1980,7.42,,7.5,7.38,17800.0
6/26/1980,7.42,,7.5,7.33,30200.0
6/27/1980,7.42,,7.5,7.42,5400.0
6/30/1980,7.21,,7.46,7.13,31700.0
7/1/1980,7.17,,7.21,7.08,8600.0
7/2/1980,7.29,,7.33,7.21,25900.0
7/3/1980,7.54,,7.54,7.33,8800.0
7/7/1980,7.42,,7.58,7.38,9200.0
7/8/1980,7.75,,7.75,7.38,16500.0
7/9/1980,7.83,,7.83,7.71,25100.0
7/10/1980,7.75,,7.83,7.75,49800.0
7/11/1980,7.5,,7.67,7.5,28200.0
7/14/1980,7.58,,7.63,7.54,16400.0
7/15/1980,7.5,,7.71,7.5,22300.0
7/16/1980,7.58,,7.71,7.5,13000.0
7/17/1980,7.83,,7.92,7.67,17900.0
7/18/1980,8.0,,8.04,7.67,45900.0
7/21/1980,7.79,,7.96,7.54,16200.0
7/22/1980,7.83,,7.88,7.63,22600.0
7/23/1980,8.0,,8.04,7.92,19100.0
7/24/1980,8.0,,8.0,7.92,12700.0
7/25/1980,7.83,,8.0,7.83,28200.0
