Date,Close,Open,High,Low,Volume
1980-03-17,5.38,,5.5,5.38,66500.0
1980-03-18,5.38,,5.38,5.31,87300.0
1980-03-19,5.44,,5.44,5.38,54100.0
1980-03-20,5.5,,5.5,5.38,56700.0
1980-03-21,5.38,,5.5,5.38,52700.0
1980-03-24,5.25,,5.44,5.25,198900.0
1980-03-25,5.25,,5.31,5.19,107400.0
1980-03-26,5.19,,5.25,5.19,92300.0
1980-03-27,5.13,,5.25,5.13,138500.0
1980-03-28,5.19,,5.25,5.19,87100.0
1980-03-31,5.31,,5.31,5.19,82400.0
1980-04-01,5.63,,5.63,5.31,150800.0
1980-04-02,5.56,,5.75,5.5,83400.0
1980-04-03,5.56,,5.63,5.5,68400.0
1980-04-07,5.56,,5.56,5.44,60500.0
1980-04-08,5.56,,5.63,5.44,147200.0
1980-04-09,5.69,,5.69,5.56,432500.0
1980-04-10,5.81,,5.81,5.69,297700.0
1980-04-11,5.94,,5.94,5.63,118800.0
1980-04-14,5.75,,5.94,5.63,109800.0
1980-04-15,5.88,,5.88,5.69,103400.0
1980-04-16,6.0,,6.13,5.88,170800.0
1980-04-17,6.13,,6.19,5.88,139100.0
1980-04-18,6.13,,6.25,6.06,83700.0
1980-04-21,6.19,,6.25,6.06,88400.0
1980-04-22,6.06,,6.13,6.06,136900.0
1980-04-23,6.19,,6.31,6.13,271500.0
1980-04-24,6.31,,6.31,6.19,71200.0
1980-04-25,6.31,,6.38,6.19,52300.0
1980-04-28,6.31,,6.38,6.25,156100.0
1980-04-29,6.06,,6.13,6.0,246200.0
1980-04-30,6.06,,6.13,5.94,84300.0
1980-05-01,5.94,,6.06,5.94,56200.0
1980-05-02,6.0,,6.0,5.88,69100.0
1980-05-05,6.06,,6.06,5.94,62900.0
1980-05-06,6.13,,6.13,6.0,113400.0
1980-05-07,6.31,,6.31,6.13,218600.0
1980-05-08,6.19,,6.38,6.06,143700.0
1980-05-09,6.0,,6.13,6.0,197700.0
1980-05-12,6.06,,6.13,6.0,99200.0
1980-05-13,6.19,,6.19,6.0,140200.0
1980-05-14,6.25,,6.31,6.13,119800.0
1980-05-15,6.31,,6.38,6.25,135800.0
1980-05-16,6.25,,6.38,6.25,96800.0
