Date,Close,Open,High,Low,Volume
1980-03-17,0.19,,0.2,0.19,2800.0
1980-03-18,0.19,,0.2,0.19,2700.0
1980-03-19,0.19,,0.2,0.19,1000.0
1980-03-20,0.19,,0.2,0.19,2100.0
1980-03-21,0.19,,0.2,0.19,12700.0
1980-03-24,0.18,,0.19,0.18,3200.0
1980-03-25,0.18,,0.18,0.18,900.0
1980-03-26,0.18,,0.18,0.18,3100.0
1980-03-27,0.17,,0.18,0.17,6200.0
1980-03-28,0.17,,0.18,0.17,4100.0
1980-03-31,0.17,,0.18,0.17,4700.0
1980-04-01,0.18,,0.19,0.18,6400.0
1980-04-02,0.18,,0.19,0.18,600.0
1980-04-03,0.18,,0.19,0.18,2100.0
1980-04-07,0.18,,0.19,0.18,3700.0
1980-04-08,0.19,,0.19,0.19,2200.0
1980-04-09,0.19,,0.2,0.19,6900.0
1980-04-10,0.19,,0.2,0.19,11300.0
1980-04-11,0.19,,0.2,0.19,2900.0
1980-04-14,0.19,,0.2,0.19,5500.0
1980-04-15,0.2,,0.2,0.2,2200.0
1980-04-16,0.2,,0.21,0.2,6300.0
1980-04-17,0.2,,0.21,0.2,2800.0
1980-04-18,0.2,,0.21,0.2,2500.0
1980-04-21,0.2,,0.21,0.2,3500.0
1980-04-22,0.2,,0.21,0.2,3000.0
1980-04-23,0.2,,0.2,0.2,4400.0
1980-04-24,0.2,,0.21,0.2,5700.0
1980-04-25,0.2,,0.21,0.2,4200.0
1980-04-28,0.2,,0.21,0.2,3300.0
1980-04-29,0.21,,0.21,0.21,15000.0
1980-04-30,0.21,,0.21,0.21,17500.0
1980-05-01,0.21,,0.21,0.21,1300.0
1980-05-02,0.21,,0.21,0.21,1900.0
1980-05-05,0.21,,0.22,0.21,8200.0
1980-05-06,0.22,,0.23,0.22,10200.0
1980-05-07,0.22,,0.23,0.22,5700.0
1980-05-08,0.23,,0.24,0.23,15400.0
1980-05-09,0.23,,0.23,0.23,6400.0
1980-05-12,0.22,,0.23,0.22,6400.0
1980-05-13,0.23,,0.23,0.23,17100.0
1980-05-14,0.23,,0.24,0.23,3000.0
1980-05-15,0.22,,0.23,0.22,16000.0
1980-05-16,0.23,,0.24,0.23,7200.0
1980-05-19,0.23,,0.24,0.23,1400.0
1980-05-20,0.22,,0.23,0.22,8000.0
1980-05-21,0.22,,0.23,0.22,6300.0
1980-05-22,0.23,,0.24,0.23,6400.0
1980-05-23,0.24,,0.25,0.24,8200.0
1980-05-27,0.24,,0.24,0.24,4300.0
1980-05-28,0.24,,0.24,0.24,5500.0
1980-05-29,0.23,,0.24,0.23,9800.0
1980-05-30,0.23,,0.24,0.23,11600.0
1980-06-02,0.23,,0.24,0.23,4000.0
1980-06-03,0.23,,0.24,0.23,1600.0
1980-06-04,0.24,,0.24,0.24,7900.0
1980-06-05,0.24,,0.25,0.24,10500.0
1980-06-06,0.25,,0.26,0.25,5700.0
1980-06-09,0.25,,0.26,0.25,8900.0
1980-06-10,0.26,,0.27,0.26,15600.0
1980-06-11,0.25,,0.26,0.25,4900.0
1980-06-12,0.25,,0.25,0.25,6000.0
1980-06-13,0.25,,0.26,0.25,9400.0
1980-06-16,0.24,,0.25,0.24,15700.0
1980-06-17,0.24,,0.25,0.24,600.0
1980-06-18,0.25,,0.26,0.25,3600.0
1980-06-19,0.25,,0.26,0.25,2600.0
1980-06-20,0.25,,0.26,0.25,2000.0
1980-06-23,0.25,,0.26,0.25,6200.0
1980-06-24,0.25,,0.26,0.25,6700.0
1980-06-25,0.26,,0.27,0.26,7000.0
1980-06-26,0.27,,0.28,0.27,8200.0
1980-06-27,0.27,,0.28,0.27,22300.0
1980-06-30,0.27,,0.28,0.27,7900.0
1980-07-01,0.27,,0.27,0.27,11100.0
1980-07-02,0.27,,0.27,0.27,5000.0
1980-07-03,0.27,,0.28,0.27,3200.0
1980-07-07,0.27,,0.28,0.27,3500.0
1980-07-08,0.27,,0.28,0.27,3200.0
1980-07-09,0.28,,0.29,0.28,9000.0
1980-07-10,0.28,,0.29,0.28,5800.0
1980-07-11,0.28,,0.29,0.28,1600.0
1980-07-14,0.28,,0.29,0.28,6800.0
1980-07-15,0.29,,0.3,0.29,9900.0
1980-07-16,0.29,,0.3,0.29,2000.0
1980-07-17,0.3,,0.3,0.3,4500.0
1980-07-18,0.29,,0.3,0.29,8200.0
1980-07-21,0.29,,0.3,0.29,5800.0
1980-07-22,0.29,,0.3,0.29,6700.0
1980-07-23,0.28,,0.29,0.28,12100.0
1980-07-24,0.28,,0.29,0.28,6800.0
1980-07-25,0.27,,0.28,0.27,5800.0
1980-07-28,0.27,,0.28,0.27,2900.0
1980-07-29,0.27,,0.28,0.27,7700.0
1980-07-30,0.28,,0.29,0.28,12000.0
1980-07-31,0.28,,0.29,0.28,14800.0
1980-08-01,0.28,,0.29,0.28,5100.0
1980-08-04,0.28,,0.29,0.28,1700.0
1980-08-05,0.28,,0.29,0.28,1300.0
1980-08-06,0.29,,0.29,0.29,8400.0
1980-08-07,0.29,,0.3,0.29,3100.0
1980-08-08,0.29,,0.3,0.29,2600.0
1980-08-11,0.29,,0.3,0.29,2600.0
1980-08-12,0.29,,0.3,0.29,2200.0
1980-08-13,0.29,,0.3,0.29,2600.0
1980-08-14,0.3,,0.3,0.3,13000.0
1980-08-15,0.29,,0.3,0.29,3900.0
1980-08-18,0.29,,0.29,0.29,6200.0
1980-08-19,0.28,,0.28,0.28,3900.0
1980-08-20,0.27,,0.28,0.27,6100.0
1980-08-21,0.28,,0.28,0.28,1500.0
1980-08-22,0.28,,0.28,0.28,4400.0
1980-08-25,0.28,,0.28,0.28,1200.0
1980-08-26,0.28,,0.29,0.28,7200.0
1980-08-27,0.29,,0.29,0.29,8700.0
1980-08-28,0.29,,0.29,0.29,8400.0
1980-08-29,0.29,,0.29,0.29,200.0
1980-09-02,0.29,,0.3,0.29,4800.0
1980-09-03,0.3,,0.3,0.3,2100.0
1980-09-04,0.3,,0.3,0.3,1500.0
1980-09-05,0.3,,0.3,0.3,7100.0
1980-09-08,0.3,,0.3,0.3,4900.0
1980-09-09,0.3,,0.3,0.3,3700.0
1980-09-10,0.3,,0.3,0.3,8800.0
1980-09-11,0.3,,0.3,0.3,1400.0
1980-09-12,0.3,,0.3,0.3,1700.0
1980-09-15,0.3,,0.3,0.3,2700.0
1980-09-16,0.31,,0.32,0.31,9600.0
1980-09-17,0.31,,0.32,0.31,15300.0
1980-09-18,0.31,,0.31,0.31,11200.0
