Date,Close,Open,High,Low,Volume
1980-03-17,5.25,,5.44,5.25,11800.0
1980-03-18,5.21,,5.21,5.08,16700.0
1980-03-19,5.25,,5.29,5.25,7500.0
1980-03-20,5.25,,5.29,5.25,13300.0
1980-03-21,5.29,,5.29,5.21,48000.0
1980-03-24,5.13,,5.27,5.13,12100.0
1980-03-25,5.08,,5.17,5.08,13700.0
1980-03-26,5.02,,5.13,5.02,10400.0
1980-03-27,4.58,,5.0,4.5,86200.0
1980-03-28,4.67,,4.92,4.67,49900.0
1980-03-31,4.83,,4.83,4.69,14300.0
1980-04-01,4.96,,4.96,4.83,6100.0
1980-04-02,5.21,,5.21,4.98,22200.0
1980-04-03,5.29,,5.33,5.25,10000.0
1980-04-07,5.08,,5.17,5.08,39900.0
1980-04-08,5.04,,5.13,5.04,4900.0
1980-04-09,5.0,,5.04,4.83,70600.0
1980-04-10,5.04,,5.08,5.04,8300.0
1980-04-11,4.96,,5.08,4.85,20400.0
1980-04-14,4.96,,5.0,4.92,29400.0
1980-04-15,4.83,,4.96,4.83,23600.0
1980-04-16,4.88,,4.92,4.83,17500.0
1980-04-17,4.88,,4.88,4.79,16300.0
1980-04-18,4.92,,4.96,4.88,7500.0
1980-04-21,4.75,,4.88,4.75,9300.0
1980-04-22,4.92,,4.96,4.83,6100.0
1980-04-23,4.88,,5.04,4.88,6400.0
1980-04-24,4.85,,4.92,4.81,4700.0
1980-04-25,4.85,,4.85,4.79,8300.0
1980-04-28,4.88,,4.88,4.83,3400.0
1980-04-29,4.85,,4.88,4.79,15900.0
1980-04-30,4.73,,4.83,4.71,6000.0
1980-05-01,4.79,,4.81,4.75,13300.0
1980-05-02,4.83,,4.83,4.75,34300.0
1980-05-05,4.81,,4.83,4.75,7800.0
1980-05-06,4.77,,4.81,4.73,10400.0
1980-05-07,4.83,,4.83,4.71,10800.0
1980-05-08,5.04,,5.06,4.83,29400.0
1980-05-09,5.04,,5.08,5.02,3300.0
1980-05-12,4.88,,5.0,4.83,26000.0
1980-05-13,4.75,,4.96,4.75,14800.0
1980-05-14,4.81,,4.88,4.75,40300.0
1980-05-15,4.83,,4.88,4.81,20500.0
1980-05-16,4.92,,5.0,4.88,14300.0
1980-05-19,5.0,,5.0,4.9,7000.0
1980-05-20,5.02,,5.02,4.96,15600.0
1980-05-21,5.04,,5.04,4.92,53900.0
1980-05-22,5.38,,5.38,5.17,30000.0
1980-05-23,5.67,,5.67,5.38,27600.0
1980-05-27,5.5,,5.67,5.42,27300.0
1980-05-28,5.33,,5.58,5.25,23300.0
1980-05-29,5.17,,5.33,5.17,15900.0
1980-05-30,5.17,,5.29,5.17,9500.0
1980-06-02,5.33,,5.33,5.17,12000.0
1980-06-03,5.42,,5.46,5.33,3100.0
1980-06-04,5.42,,5.5,5.33,13800.0
1980-06-05,5.46,,5.5,5.25,84300.0
1980-06-06,5.25,,5.46,5.25,12200.0
1980-06-09,5.25,,5.33,5.25,7300.0
1980-06-10,5.38,,5.42,5.25,5900.0
1980-06-11,5.38,,5.42,5.29,12100.0
1980-06-12,5.42,,5.46,5.33,59800.0
1980-06-13,5.54,,5.58,5.42,18300.0
1980-06-16,5.71,,5.71,5.54,42400.0
1980-06-17,5.71,,5.79,5.67,21600.0
1980-06-18,5.67,,5.75,5.67,11800.0
1980-06-19,5.63,,5.71,5.63,10200.0
1980-06-20,5.67,,5.67,5.54,26200.0
1980-06-23,5.71,,5.71,5.58,7700.0
1980-06-24,6.08,,6.08,5.71,25100.0
1980-06-25,5.92,,6.17,5.92,27300.0
1980-06-26,5.83,,5.96,5.83,6300.0
1980-06-27,5.83,,5.96,5.83,4700.0
1980-06-30,5.79,,5.83,5.67,23500.0
1980-07-01,5.92,,5.96,5.75,17100.0
1980-07-02,5.75,,5.83,5.75,10300.0
1980-07-03,5.67,,5.79,5.67,16700.0
1980-07-07,5.79,,5.79,5.67,11600.0
1980-07-08,5.88,,5.92,5.75,15800.0
1980-07-09,5.92,,6.0,5.88,47000.0
1980-07-10,5.83,,5.92,5.79,8000.0
1980-07-11,5.83,,5.96,5.79,15500.0
1980-07-14,6.0,,6.08,5.92,21900.0
1980-07-15,5.96,,6.08,5.88,47900.0
1980-07-16,5.75,,6.04,5.75,11600.0
1980-07-17,6.0,,6.04,5.75,36400.0
1980-07-18,5.96,,6.08,5.92,53400.0
1980-07-21,6.04,,6.04,5.88,12500.0
1980-07-22,6.04,,6.25,6.0,30300.0
1980-07-23,6.0,,6.08,5.92,18200.0
1980-07-24,6.13,,6.13,5.96,17300.0
1980-07-25,6.08,,6.17,6.08,45900.0
1980-07-28,6.0,,6.08,6.0,10600.0
1980-07-29,6.04,,6.13,6.0,16700.0
1980-07-30,6.08,,6.17,6.04,11200.0
1980-07-31,6.08,,6.08,6.0,19600.0
1980-08-01,6.25,,6.29,6.0,27800.0
