Date,Close,Open,High,Low,Volume
1983-11-21,3.88,,3.91,3.84,325900.0
1983-11-22,3.85,,3.88,3.85,244500.0
1983-11-23,3.83,,3.85,3.82,134900.0
1983-11-25,3.84,,3.85,3.83,281700.0
1983-11-28,3.8,,3.85,3.8,359600.0
1983-11-29,3.74,,3.79,3.74,191300.0
1983-11-30,3.71,,3.75,3.71,325700.0
1983-12-01,3.75,,3.76,3.72,796100.0
1983-12-02,3.74,,3.75,3.73,160700.0
1983-12-05,3.72,,3.74,3.72,125100.0
1983-12-06,3.71,,3.73,3.71,247200.0
1983-12-07,3.69,,3.72,3.67,525100.0
1983-12-08,3.69,,3.71,3.68,539700.0
1983-12-09,3.67,,3.69,3.66,574800.0
1983-12-12,3.67,,3.68,3.67,281600.0
1983-12-13,3.71,,3.72,3.67,608400.0
1983-12-14,3.71,,3.76,3.71,415500.0
1983-12-15,3.69,,3.72,3.68,309300.0
1983-12-16,3.69,,3.71,3.67,277600.0
1983-12-19,3.69,,3.7,3.68,312700.0
1983-12-20,3.71,,3.71,3.68,200900.0
1983-12-21,3.71,,3.71,3.68,623500.0
1983-12-22,3.69,,3.72,3.69,630100.0
1983-12-23,3.7,,3.7,3.67,321800.0
1983-12-27,3.69,,3.7,3.67,212200.0
1983-12-28,3.73,,3.73,3.69,446500.0
1983-12-29,3.72,,3.73,3.71,374000.0
1983-12-30,3.71,,3.74,3.71,243600.0
1984-01-03,3.84,,3.85,3.71,207600.0
1984-01-04,4.03,,4.06,3.88,541000.0
1984-01-05,4.01,,4.1,4.0,337600.0
1984-01-06,3.92,,4.03,3.91,380300.0
1984-01-09,3.9,,3.93,3.88,269300.0
1984-01-10,3.9,,3.92,3.88,274100.0
1984-01-11,3.93,,3.96,3.91,353800.0
1984-01-12,3.93,,3.95,3.91,223400.0
1984-01-13,4.0,,4.0,3.93,337200.0
1984-01-16,4.07,,4.11,3.96,282400.0
1984-01-17,4.09,,4.09,4.05,219800.0
1984-01-18,4.15,,4.15,4.09,372100.0
1984-01-19,4.1,,4.15,4.1,251200.0
1984-01-20,4.1,,4.11,4.07,206600.0
1984-01-23,4.09,,4.11,4.07,147500.0
1984-01-24,4.07,,4.12,4.07,179000.0
1984-01-25,4.01,,4.08,4.0,132500.0
1984-01-26,3.93,,4.0,3.93,255900.0
1984-01-27,3.93,,3.95,3.89,364800.0
1984-01-30,3.99,,4.0,3.92,411100.0
1984-01-31,3.96,,4.0,3.96,183200.0
1984-02-01,3.93,,3.98,3.93,158700.0
1984-02-02,3.91,,3.94,3.91,355600.0
1984-02-03,3.92,,3.93,3.9,270600.0
1984-02-06,3.88,,3.92,3.88,228100.0
1984-02-07,3.86,,3.93,3.83,270200.0
1984-02-08,3.85,,3.89,3.84,167000.0
1984-02-09,3.78,,3.83,3.78,222100.0
1984-02-10,3.76,,3.78,3.74,183700.0
1984-02-13,3.84,,3.85,3.76,278800.0
1984-02-14,3.86,,3.92,3.83,270400.0
1984-02-15,3.85,,3.88,3.82,339700.0
1984-02-16,3.83,,3.86,3.78,309200.0
1984-02-17,3.81,,3.84,3.8,108500.0
1984-02-21,3.81,,3.82,3.79,276000.0
1984-02-22,3.82,,3.85,3.8,278900.0
1984-02-23,3.77,,3.81,3.75,469900.0
1984-02-24,3.74,,3.78,3.71,442100.0
1984-02-27,3.76,,3.78,3.74,284300.0
1984-02-28,3.73,,3.77,3.73,156400.0
1984-02-29,3.78,,3.78,3.71,389900.0
1984-03-01,3.85,,3.85,3.78,277000.0
1984-03-02,3.82,,3.86,3.81,215000.0
1984-03-05,3.79,,3.82,3.78,129700.0
1984-03-06,3.78,,3.79,3.76,185400.0
1984-03-07,3.73,,3.77,3.71,195500.0
1984-03-08,3.78,,3.78,3.71,189800.0
1984-03-09,3.75,,3.77,3.72,160000.0
1984-03-12,3.73,,3.77,3.72,224000.0
1984-03-13,3.74,,3.75,3.71,304000.0
1984-03-14,3.75,,3.76,3.71,288600.0
1984-03-15,3.74,,3.78,3.74,324100.0
1984-03-16,3.7,,3.77,3.69,289800.0
1984-03-19,3.7,,3.71,3.66,228300.0
1984-03-20,3.67,,3.7,3.66,545700.0
1984-03-21,3.69,,3.69,3.67,316600.0
1984-03-22,3.66,,3.71,3.65,695600.0
1984-03-23,3.69,,3.69,3.61,380000.0
1984-03-26,3.6,,3.7,3.57,275800.0
1984-03-27,3.6,,3.63,3.6,352300.0
1984-03-28,3.61,,3.63,3.6,219900.0
1984-03-29,3.62,,3.64,3.61,135200.0
1984-03-30,3.6,,3.63,3.6,370000.0
1984-04-02,3.56,,3.62,3.55,361200.0
1984-04-03,3.52,,3.57,3.49,354800.0
1984-04-04,3.52,,3.56,3.52,360500.0
1984-04-05,3.5,,3.54,3.49,210600.0
1984-04-06,3.5,,3.51,3.49,151900.0
