Date,Close,Open,High,Low,Volume
1989-02-09,0.11,0.11,0.12,0.11,12500.0
1989-02-10,0.11,0.11,0.12,0.11,3700.0
1989-02-13,0.1,0.1,0.12,0.1,5500.0
1989-02-14,0.1,0.1,0.12,0.1,13700.0
1989-02-15,0.1,0.1,0.12,0.1,31900.0
1989-02-16,0.1,0.1,0.12,0.1,54700.0
1989-02-17,0.12,0.12,0.13,0.12,27000.0
1989-02-21,0.12,0.12,0.13,0.12,20300.0
1989-02-22,0.12,0.12,0.13,0.12,14500.0
1989-02-23,0.11,0.11,0.13,0.11,2000.0
1989-02-24,0.11,0.11,0.13,0.11,7000.0
1989-02-27,0.11,0.11,0.13,0.11,24500.0
1989-02-28,0.11,0.11,0.13,0.11,27500.0
1989-03-01,0.11,0.11,0.12,0.11,7000.0
1989-03-02,0.11,0.11,0.12,0.11,1000.0
1989-03-03,0.11,0.11,0.12,0.11,10600.0
1989-03-06,0.11,0.11,0.12,0.11,10500.0
1989-03-07,0.11,0.11,0.12,0.11,30500.0
1989-03-08,0.11,0.11,0.12,0.11,6500.0
1989-03-09,0.11,0.11,0.12,0.11,10500.0
1989-03-10,0.11,0.11,0.12,0.11,900.0
1989-03-13,0.11,0.11,0.12,0.11,7400.0
1989-03-14,0.11,0.11,0.12,0.11,9500.0
1989-03-15,0.11,0.11,0.12,0.11,23800.0
1989-03-16,0.11,0.11,0.12,0.11,23900.0
1989-03-17,0.11,0.11,0.12,0.11,5100.0
1989-03-20,0.11,0.11,0.12,0.11,6300.0
1989-03-21,0.11,0.11,0.12,0.11,6100.0
1989-03-22,0.11,0.11,0.11,0.11,5500.0
1989-03-23,0.11,0.11,0.11,0.11,16600.0
1989-03-27,0.11,0.11,0.11,0.11,4500.0
1989-03-28,0.11,0.11,0.11,0.11,3500.0
1989-03-29,0.1,0.1,0.11,0.1,10100.0
1989-03-30,0.1,0.1,0.11,0.1,1500.0
1989-03-31,0.1,0.1,0.11,0.1,13600.0
1989-04-03,0.1,0.1,0.11,0.1,14100.0
1989-04-04,0.1,0.1,0.11,0.1,3000.0
1989-04-05,0.1,0.1,0.11,0.1,22400.0
1989-04-06,0.1,0.1,0.11,0.1,5600.0
1989-04-07,0.1,0.1,0.11,0.1,200.0
1989-04-10,0.1,0.1,0.11,0.1,9700.0
1989-04-11,0.1,0.1,0.11,0.1,14400.0
1989-04-12,0.1,0.1,0.11,0.1,5500.0
1989-04-13,0.1,0.1,0.11,0.1,3500.0
1989-04-14,0.1,0.1,0.11,0.1,8600.0
1989-04-17,0.09,0.09,0.11,0.09,5400.0
1989-04-18,0.09,0.09,0.11,0.09,3800.0
1989-04-19,0.09,0.09,0.11,0.09,2900.0
1989-04-20,0.09,0.09,0.11,0.09,10100.0
1989-04-24,0.09,0.09,0.1,0.09,19300.0
1989-04-25,0.09,0.09,0.1,0.09,3000.0
1989-04-26,0.09,0.09,0.09,0.09,5200.0
1989-04-27,0.09,0.09,0.09,0.09,7800.0
1989-04-28,0.09,0.09,0.09,0.09,700.0
1989-05-01,0.09,0.09,0.09,0.09,6100.0
1989-05-02,0.09,0.09,0.09,0.09,300.0
1989-05-03,0.09,0.09,0.09,0.09,5000.0
1989-05-04,0.09,0.09,0.09,0.09,3800.0
1989-05-05,0.09,0.09,0.09,0.09,3000.0
1989-05-08,0.09,0.09,0.09,0.09,4900.0
1989-05-09,0.09,0.09,0.09,0.09,1000.0
1989-05-10,0.09,0.09,0.09,0.09,4400.0
1989-05-11,0.09,0.09,0.09,0.09,6200.0
1989-05-12,0.09,0.09,0.09,0.09,6000.0
1989-05-15,0.08,0.08,0.09,0.08,32100.0
1989-05-16,0.08,0.08,0.09,0.08,23600.0
1989-05-17,0.08,0.08,0.09,0.08,95000.0
1989-05-18,0.08,0.08,0.09,0.08,103000.0
1989-05-19,0.08,0.08,0.09,0.08,34000.0
1989-05-22,0.08,0.08,0.09,0.08,4000.0
1989-05-23,0.08,0.08,0.09,0.08,40700.0
1989-05-24,0.08,0.08,0.09,0.08,6700.0
1989-05-25,0.08,0.08,0.09,0.08,7200.0
1989-05-26,0.08,0.08,0.09,0.08,18400.0
1989-05-30,0.08,0.08,0.09,0.08,2500.0
1989-05-31,0.08,0.08,0.09,0.08,5500.0
1989-06-01,0.08,0.08,0.09,0.08,11000.0
