Date,Close,Open,High,Low,Volume
3/18/1980,1.89,,1.98,1.89,301.0
3/19/1980,1.82,,1.91,1.82,200.0
3/20/1980,1.82,,1.91,1.82,501.0
3/21/1980,1.8,,1.89,1.8,701.0
3/24/1980,1.76,,1.84,1.76,1101.0
3/25/1980,1.71,,1.8,1.71,301.0
3/26/1980,1.69,,1.78,1.69,101.0
3/27/1980,1.69,,1.78,1.69,200.0
3/28/1980,1.69,,1.78,1.69,600.0
4/1/1980,1.69,,1.78,1.69,200.0
4/2/1980,1.69,,1.78,1.69,101.0
4/3/1980,1.69,,1.78,1.69,800.0
4/7/1980,1.69,,1.78,1.69,301.0
4/8/1980,1.64,,1.73,1.64,1501.0
4/10/1980,1.64,,1.73,1.64,301.0
4/11/1980,1.64,,1.73,1.64,701.0
4/14/1980,1.64,,1.73,1.64,101.0
4/15/1980,1.64,,1.73,1.64,200.0
4/16/1980,1.64,,1.73,1.64,101.0
4/18/1980,1.64,,1.73,1.64,1000.0
4/22/1980,1.64,,1.73,1.64,600.0
4/23/1980,1.64,,1.73,1.64,101.0
4/25/1980,1.64,,1.73,1.64,1000.0
5/1/1980,1.64,,1.73,1.64,200.0
5/2/1980,1.67,,1.76,1.67,1000.0
5/5/1980,1.67,,1.76,1.67,101.0
5/9/1980,1.67,,1.76,1.67,901.0
5/14/1980,1.67,,1.76,1.67,1200.0
5/16/1980,1.67,,1.76,1.67,1200.0
5/23/1980,1.69,,1.78,1.69,800.0
5/29/1980,1.71,,1.8,1.71,101.0
6/2/1980,1.73,,1.82,1.73,1101.0
6/3/1980,1.73,,1.82,1.73,101.0
6/4/1980,1.73,,1.82,1.73,101.0
6/9/1980,1.73,,1.82,1.73,1400.0
6/10/1980,1.76,,1.84,1.76,200.0
6/11/1980,1.76,,1.84,1.76,101.0
6/13/1980,1.76,,1.84,1.76,800.0
6/16/1980,1.76,,1.84,1.76,200.0
6/17/1980,1.76,,1.84,1.76,301.0
6/20/1980,1.76,,1.84,1.76,800.0
6/24/1980,1.76,,1.84,1.76,301.0
6/27/1980,1.76,,1.84,1.76,800.0
6/30/1980,1.76,,1.84,1.76,101.0
7/1/1980,1.78,,1.87,1.78,200.0
7/2/1980,1.78,,1.87,1.78,800.0
7/11/1980,1.82,,1.89,1.82,800.0
7/14/1980,1.87,,1.93,1.87,1000.0
7/17/1980,1.87,,1.96,1.87,800.0
7/21/1980,1.89,,1.96,1.89,101.0
7/23/1980,1.91,,1.98,1.91,301.0
7/24/1980,1.91,,1.98,1.91,1000.0
