Date,Close,Open,High,Low,Volume
1980-03-17,2.06,,2.13,2.06,13301.0
1980-03-18,2.02,,2.09,2.02,38301.0
1980-03-19,2.11,,2.17,2.11,20600.0
1980-03-20,2.06,,2.13,2.06,5301.0
1980-03-21,2.06,,2.13,2.06,4701.0
1980-03-24,1.93,,2.0,1.93,27400.0
1980-03-25,1.98,,2.04,1.98,15000.0
1980-03-26,1.98,,2.04,1.98,17200.0
1980-03-27,1.76,,1.82,1.76,26301.0
1980-03-28,2.0,,2.06,2.0,23301.0
1980-03-31,2.11,,2.17,2.11,30301.0
1980-04-01,2.09,,2.15,2.09,21301.0
1980-04-02,2.09,,2.15,2.09,5400.0
1980-04-03,2.06,,2.13,2.06,11501.0
1980-04-07,1.95,,2.02,1.95,12101.0
1980-04-08,1.98,,2.04,1.98,8600.0
1980-04-09,2.06,,2.13,2.06,18000.0
1980-04-10,2.15,,2.22,2.15,18800.0
1980-04-11,2.15,,2.22,2.15,23200.0
1980-04-14,2.06,,2.13,2.06,11501.0
1980-04-15,2.04,,2.11,2.04,10800.0
1980-04-16,2.06,,2.13,2.06,5701.0
1980-04-17,2.04,,2.11,2.04,9101.0
1980-04-18,2.02,,2.09,2.02,11000.0
1980-04-21,1.98,,2.04,1.98,11901.0
1980-04-22,2.09,,2.15,2.09,15901.0
1980-04-23,2.11,,2.17,2.11,15301.0
1980-04-24,2.19,,2.26,2.19,8501.0
1980-04-25,2.15,,2.22,2.15,2400.0
1980-04-28,2.19,,2.26,2.19,5600.0
1980-04-29,2.24,,2.3,2.24,6800.0
1980-04-30,2.26,,2.33,2.26,11101.0
1980-05-01,2.19,,2.26,2.19,17501.0
1980-05-02,2.19,,2.26,2.19,7000.0
1980-05-05,2.22,,2.28,2.22,3800.0
1980-05-06,2.19,,2.26,2.19,13901.0
1980-05-07,2.13,,2.19,2.13,14600.0
1980-05-08,2.04,,2.11,2.04,9101.0
1980-05-09,2.06,,2.13,2.06,1200.0
1980-05-12,2.06,,2.13,2.06,701.0
1980-05-13,2.11,,2.17,2.11,8301.0
1980-05-14,2.15,,2.22,2.15,51101.0
1980-05-15,2.15,,2.22,2.15,5901.0
1980-05-16,2.22,,2.28,2.22,17400.0
1980-05-19,2.24,,2.3,2.24,5400.0
1980-05-20,2.15,,2.22,2.15,17701.0
1980-05-21,2.15,,2.22,2.15,6800.0
1980-05-22,2.19,,2.26,2.19,9400.0
1980-05-23,2.24,,2.3,2.24,10200.0
1980-05-27,2.24,,2.3,2.24,12600.0
1980-05-28,2.22,,2.28,2.22,10701.0
1980-05-29,2.17,,2.24,2.17,12000.0
1980-05-30,2.19,,2.26,2.19,73101.0
1980-06-02,2.19,,2.26,2.19,8200.0
1980-06-03,2.17,,2.24,2.17,7000.0
1980-06-04,2.17,,2.24,2.17,18701.0
1980-06-05,2.15,,2.22,2.15,20800.0
1980-06-06,2.22,,2.28,2.22,15400.0
1980-06-09,2.22,,2.28,2.22,13901.0
1980-06-10,2.37,,2.44,2.37,31400.0
1980-06-11,2.5,,2.57,2.5,39400.0
1980-06-12,2.48,,2.55,2.48,38800.0
1980-06-13,2.52,,2.59,2.52,25501.0
1980-06-16,2.48,,2.55,2.48,13101.0
1980-06-17,2.39,,2.46,2.39,14901.0
1980-06-18,2.37,,2.44,2.37,22901.0
1980-06-19,2.11,,2.17,2.11,38701.0
1980-06-20,2.22,,2.28,2.22,22200.0
1980-06-23,2.22,,2.28,2.22,17800.0
1980-06-24,2.19,,2.26,2.19,11101.0
1980-06-25,2.35,,2.41,2.35,25200.0
1980-06-26,2.33,,2.39,2.33,15800.0
1980-06-27,2.3,,2.37,2.3,6101.0
1980-06-30,2.19,,2.26,2.19,18200.0
1980-07-01,2.17,,2.24,2.17,5701.0
1980-07-02,2.26,,2.33,2.26,14301.0
1980-07-03,2.37,,2.44,2.37,15101.0
1980-07-07,2.37,,2.41,2.37,11901.0
1980-07-08,2.37,,2.39,2.37,9000.0
1980-07-09,2.35,,2.39,2.35,10501.0
1980-07-10,2.33,,2.35,2.33,7600.0
1980-07-11,2.37,,2.39,2.37,13701.0
1980-07-14,2.48,,2.5,2.48,20400.0
1980-07-15,2.44,,2.48,2.44,29200.0
1980-07-16,2.39,,2.41,2.39,15701.0
1980-07-17,2.39,,2.41,2.39,16301.0
1980-07-18,2.37,,2.39,2.37,10501.0
1980-07-21,2.39,,2.41,2.39,19501.0
1980-07-22,2.33,,2.37,2.33,19301.0
1980-07-23,2.33,,2.37,2.33,22501.0
1980-07-24,2.33,,2.35,2.33,14501.0
1980-07-25,2.41,,2.44,2.41,13701.0
1980-07-28,2.52,,2.55,2.52,37101.0
1980-07-29,2.59,,2.61,2.59,43101.0
1980-07-30,2.7,,2.74,2.7,47600.0
1980-07-31,2.63,,2.68,2.63,49901.0
1980-08-01,2.66,,2.7,2.66,19101.0
1980-08-04,2.7,,2.72,2.7,24200.0
1980-08-05,2.68,,2.72,2.68,23101.0
1980-08-06,2.68,,2.72,2.68,20901.0
1980-08-07,3.05,,3.07,3.05,46101.0
1980-08-08,2.92,,2.96,2.92,32501.0
1980-08-11,2.9,,2.92,2.9,20901.0
1980-08-12,2.85,,2.88,2.85,30800.0
1980-08-13,2.9,,2.92,2.9,14600.0
1980-08-14,2.96,,2.98,2.96,23701.0
1980-08-15,2.98,,3.03,2.98,29400.0
1980-08-18,2.94,,2.96,2.94,18901.0
1980-08-19,2.88,,2.92,2.88,24701.0
1980-08-20,2.96,,2.98,2.96,14200.0
1980-08-21,3.25,,3.29,3.25,47701.0
1980-08-22,3.23,,3.25,3.23,20200.0
1980-08-25,3.18,,3.2,3.18,29901.0
1980-08-26,3.18,,3.2,3.18,37600.0
1980-08-27,3.14,,3.2,3.12,32400.0
1980-08-28,3.06,,3.12,3.06,12301.0
1980-08-29,3.03,,3.08,3.02,9200.0
1980-09-02,3.03,,3.05,3.02,3101.0
1980-09-03,3.07,,3.07,3.05,11901.0
1980-09-04,3.02,,3.09,3.0,25400.0
1980-09-05,3.04,,3.05,3.0,7701.0
1980-09-08,3.0,,3.03,2.98,18800.0
1980-09-09,3.0,,3.0,2.92,6501.0
1980-09-10,3.0,,3.01,2.94,20701.0
1980-09-11,3.15,,3.17,3.01,16400.0
1980-09-12,3.14,,3.14,3.11,7501.0
1980-09-15,3.14,,3.14,3.07,15901.0
1980-09-16,3.22,,3.24,3.15,24200.0
1980-09-17,3.41,,3.45,3.24,34301.0
1980-09-18,3.3,,3.4,3.27,45200.0
1980-09-19,3.37,,3.37,3.3,10200.0
1980-09-22,3.35,,3.4,3.31,15800.0
1980-09-23,3.2,,3.34,3.18,10701.0
1980-09-24,3.34,,3.35,3.12,46800.0
1980-09-25,3.29,,3.34,3.29,21800.0
1980-09-26,3.23,,3.26,3.23,14200.0
1980-09-29,3.03,,3.16,3.03,30301.0
1980-09-30,3.11,,3.11,3.01,25400.0
1980-10-01,3.05,,3.11,3.05,9701.0
1980-10-02,3.08,,3.13,3.04,17400.0
1980-10-03,3.18,,3.18,3.09,25200.0
1980-10-06,3.34,,3.35,3.16,15701.0
1980-10-07,3.28,,3.34,3.27,7301.0
1980-10-08,3.28,,3.33,3.23,11600.0
1980-10-09,3.29,,3.36,3.29,9600.0
1980-10-10,3.29,,3.34,3.26,9701.0
1980-10-13,3.29,,3.29,3.26,5501.0
1980-10-14,3.3,,3.33,3.3,13301.0
1980-10-15,3.28,,3.31,3.25,21000.0
1980-10-16,3.15,,3.29,3.15,10400.0
1980-10-17,3.08,,3.15,3.05,4701.0
1980-10-20,3.09,,3.09,3.05,8000.0
1980-10-21,3.14,,3.17,3.11,8901.0
1980-10-22,3.18,,3.18,3.12,9101.0
1980-10-23,3.13,,3.19,3.11,5901.0
1980-10-24,3.13,,3.13,3.09,8301.0
1980-10-27,3.07,,3.13,3.07,6701.0
1980-10-28,3.04,,3.05,3.0,9000.0
1980-10-29,2.98,,3.06,2.96,7101.0
1980-10-30,2.93,,2.98,2.93,8501.0
1980-10-31,2.94,,2.95,2.92,6701.0
1980-11-03,3.05,,3.05,2.95,9701.0
1980-11-05,3.06,,3.19,3.06,21101.0
1980-11-06,2.9,,2.96,2.9,18701.0
1980-11-07,2.83,,2.84,2.75,23200.0
1980-11-10,2.72,,2.82,2.72,42800.0
1980-11-11,2.83,,2.85,2.68,24000.0
1980-11-12,2.95,,2.95,2.85,17000.0
1980-11-13,3.12,,3.13,2.97,15901.0
1980-11-14,3.23,,3.35,3.13,48000.0
1980-11-17,3.16,,3.23,3.13,7600.0
1980-11-18,3.16,,3.2,3.12,7501.0
1980-11-19,3.09,,3.18,3.09,7101.0
1980-11-20,3.07,,3.11,3.07,2901.0
1980-11-21,3.03,,3.09,3.01,13800.0
1980-11-24,2.92,,3.0,2.92,12400.0
1980-11-25,2.97,,2.97,2.84,10600.0
1980-11-26,2.94,,2.97,2.9,7901.0
1980-11-28,2.91,,2.95,2.91,1200.0
1980-12-01,2.77,,2.9,2.74,9901.0
1980-12-02,2.73,,2.77,2.68,28400.0
1980-12-03,2.77,,2.77,2.68,7701.0
1980-12-04,2.79,,2.81,2.77,3701.0
1980-12-05,2.78,,2.82,2.78,3800.0
1980-12-08,2.61,,2.73,2.57,20101.0
1980-12-09,2.67,,2.68,2.62,7101.0
1980-12-10,2.66,,2.72,2.63,4200.0
1980-12-11,2.53,,2.62,2.52,20101.0
1980-12-12,2.63,,2.63,2.5,13901.0
1980-12-15,2.68,,2.71,2.68,5501.0
1980-12-16,2.52,,2.67,2.49,20301.0
1980-12-17,2.59,,2.62,2.55,10301.0
1980-12-18,2.61,,2.61,2.59,12400.0
1980-12-19,2.58,,2.61,2.58,5000.0
1980-12-22,2.56,,2.6,2.56,10301.0
1980-12-23,2.46,,2.6,2.46,32000.0
1980-12-24,2.53,,2.53,2.46,8701.0
1980-12-26,2.56,,2.56,2.53,5701.0
1980-12-29,2.66,,2.68,2.58,7200.0
1980-12-30,2.7,,2.71,2.6,12200.0
1980-12-31,2.7,,2.7,2.64,6000.0
