Date,Close,Open,High,Low,Volume
2007-04-19,54.8,50.2,55.22,49.0,31778800.0
2007-04-20,57.1,54.8,57.6,54.2,6109500.0
2007-04-23,57.5,57.2,57.88,56.58,3752800.0
2007-04-24,58.4,57.02,58.8,57.02,3065900.0
2007-04-25,57.22,59.1,59.5,57.02,2452200.0
2007-04-26,56.4,58.5,58.58,54.6,1279400.0
2007-04-27,56.8,56.4,57.0,55.3,356300.0
2007-04-30,56.1,56.96,57.92,56.0,365000.0
2007-05-01,55.8,56.0,57.0,55.6,918400.0
2007-05-02,56.32,55.6,57.24,55.52,857000.0
2007-05-03,57.3,56.3,57.46,56.12,371200.0
2007-05-04,57.6,57.54,58.2,56.82,279700.0
2007-05-07,58.14,57.4,58.2,57.0,586600.0
2007-05-08,58.6,58.36,58.8,58.0,519200.0
2007-05-09,61.7,58.94,62.54,58.58,1189600.0
2007-05-10,60.82,61.7,61.7,59.46,1137300.0
2007-05-11,61.82,61.7,63.22,61.4,1292700.0
2007-05-14,63.84,63.0,64.0,62.0,782900.0
2007-05-15,68.42,68.0,69.4,67.38,2449500.0
2007-05-16,68.72,69.5,69.78,68.3,479100.0
2007-05-17,72.8,68.9,73.36,68.88,1188400.0
2007-05-18,73.16,73.0,74.5,71.5,1810600.0
2007-05-21,69.08,73.36,73.78,67.08,1417770.0
2007-05-22,67.42,69.6,70.0,63.68,3901300.0
2007-05-23,67.16,68.5,69.74,67.0,1241900.0
2007-05-24,67.86,67.56,69.0,67.4,1200100.0
2007-05-25,70.02,67.86,70.4,67.7,763200.0
2007-05-29,67.8,72.28,72.28,67.1,886200.0
2007-05-30,71.64,67.94,71.74,67.32,863900.0
2007-05-31,71.32,71.9,74.0,70.6,1086400.0
2007-06-01,73.18,71.16,73.48,71.1,813300.0
2007-06-04,73.36,72.86,73.36,70.3,574300.0
2007-06-05,70.52,73.18,73.9,70.44,862200.0
2007-06-06,67.78,69.42,69.6,66.34,1306700.0
2007-06-07,65.06,68.5,68.64,65.0,1229710.0
2007-06-08,65.1,65.4,66.0,64.24,517700.0
2007-06-11,67.54,66.04,68.5,65.8,984000.0
2007-06-12,66.24,66.8,67.44,65.0,1161160.0
2007-06-13,67.58,65.0,67.7,65.0,728400.0
2007-06-14,65.86,68.0,68.34,65.12,1095600.0
2007-06-15,71.2,66.0,71.7,65.8,1872300.0
2007-06-18,71.24,71.62,73.7,69.62,1618500.0
2007-06-19,67.98,71.6,71.6,67.74,859700.0
2007-06-20,65.28,67.82,68.14,65.12,1197300.0
2007-06-21,67.24,65.74,67.96,65.1,760800.0
2007-06-22,67.66,66.74,68.0,65.56,2658400.0
2007-06-25,70.0,67.54,70.1,66.88,603100.0
2007-06-26,69.52,69.62,69.9,67.5,529500.0
2007-06-27,69.7,69.52,70.62,68.32,565300.0
2007-06-28,67.3,69.86,69.86,67.3,426600.0
2007-06-29,66.08,67.34,68.16,65.7,767800.0
2007-07-02,66.06,66.12,67.0,65.92,414400.0
2007-07-03,68.68,66.06,69.3,66.06,358900.0
2007-07-05,68.38,68.96,69.04,67.1,239400.0
2007-07-06,70.34,68.7,70.4,68.32,658100.0
2007-07-09,70.36,70.06,71.56,68.54,621300.0
2007-07-10,71.22,69.9,72.0,69.76,394800.0
2007-07-11,72.34,71.66,72.98,70.98,707500.0
2007-07-12,74.32,72.54,75.4,72.54,646800.0
2007-07-13,74.42,72.6,75.14,72.4,378000.0
2007-07-16,76.72,75.14,78.8,74.42,750400.0
2007-07-17,80.66,75.96,80.8,75.9,1511100.0
2007-07-18,78.64,78.02,79.66,76.2,1221500.0
2007-07-19,79.1,78.96,80.04,78.3,528600.0
2007-07-20,78.74,79.2,81.74,78.1,556400.0
2007-07-23,78.02,79.4,80.58,77.38,386400.0
2007-07-24,75.5,77.1,77.42,74.74,780600.0
2007-07-25,71.28,75.68,76.7,71.04,917000.0
2007-07-26,70.9,71.28,72.6,68.92,2080300.0
2007-07-27,70.4,70.68,72.58,68.24,1020700.0
2007-07-30,74.58,72.5,76.64,72.04,1138600.0
2007-07-31,73.24,76.4,76.74,72.06,873400.0
2007-08-01,73.7,73.84,75.14,71.16,645400.0
2007-08-02,78.04,73.4,78.4,72.94,1250500.0
2007-08-03,62.32,63.66,67.58,58.2,6506651.0
2007-08-06,61.18,63.2,66.8,60.24,3062800.0
2007-08-07,64.0,61.6,64.72,61.28,2429800.0
2007-08-08,63.52,57.02,64.5,49.5,7287100.0
2007-08-09,55.98,60.0,62.36,54.5,1428000.0
2007-08-10,55.0,56.0,58.26,50.5,1914500.0
2007-08-13,57.66,56.38,59.0,56.38,975200.0
2007-08-14,55.48,57.66,57.78,55.24,829100.0
2007-08-15,51.58,56.12,56.12,50.7,875932.0
2007-08-16,48.3,51.6,51.6,46.5,2003300.0
2007-08-17,52.36,52.0,56.06,50.56,1858000.0
2007-08-20,51.4,52.5,52.88,48.02,681900.0
2007-08-21,51.18,51.24,52.0,49.52,1042000.0
2007-08-22,51.08,51.4,52.38,50.56,764800.0
2007-08-23,51.06,51.5,51.5,48.9,1039900.0
2007-08-24,56.7,50.9,57.32,50.87,1636600.0
2007-08-27,61.34,56.0,61.98,55.96,1215110.0
2007-08-28,59.86,60.5,61.9,58.34,1139800.0
2007-08-29,56.6,60.12,60.18,55.44,1361600.0
2007-08-30,53.86,55.76,56.4,53.14,1180800.0
2007-08-31,54.58,54.84,55.76,54.48,571800.0
2007-09-04,57.3,57.0,58.96,54.7,7218186.0
2007-09-05,57.78,58.2,58.96,56.0,1970600.0
2007-09-06,56.18,58.4,58.54,56.0,1233100.0
2007-09-07,54.44,56.2,56.3,52.4,1794800.0
2007-09-10,53.5,57.5,57.5,53.02,749400.0
2007-09-11,53.3,53.9,54.02,52.36,1446500.0
2007-09-12,52.04,53.5,53.5,52.04,1857700.0
2007-09-13,49.58,52.54,52.94,49.26,5835000.0
2007-09-14,50.2,49.6,50.7,48.0,2104200.0
2007-09-17,50.38,50.9,50.9,48.96,1446100.0
2007-09-18,50.92,50.4,51.44,50.4,2353000.0
2007-09-19,51.3,50.92,52.86,50.54,2326600.0
2007-09-20,52.88,51.4,53.68,51.38,1207400.0
2007-09-21,53.0,53.18,54.14,51.96,2172100.0
2007-09-24,53.42,53.0,53.72,52.64,1408800.0
2007-09-25,54.36,53.4,54.7,52.58,1407900.0
2007-09-26,53.98,54.06,54.6,53.02,677300.0
2007-09-27,55.06,54.14,55.68,54.0,845700.0
2007-09-28,54.56,55.06,55.36,53.82,799200.0
2007-10-01,54.48,53.8,55.3,53.5,667200.0
2007-10-02,55.7,54.76,56.08,54.44,743700.0
2007-10-03,55.34,55.7,56.5,54.88,650579.0
2007-10-04,55.2,55.34,55.92,54.82,954700.0
2007-10-05,49.58,54.6,54.6,49.18,5627900.0
2007-10-08,48.4,49.0,49.48,47.8,1424800.0
2007-10-09,50.42,48.7,50.8,48.1,2369300.0
2007-10-10,49.62,50.4,50.4,48.76,1040700.0
2007-10-11,49.86,49.8,50.5,49.18,965000.0
2007-10-12,49.7,49.8,50.0,48.26,1033900.0
2007-10-15,48.04,49.48,49.6,47.14,2585800.0
2007-10-16,45.6,45.56,46.8,44.56,4821100.0
2007-10-17,45.0,45.1,46.0,44.74,2552100.0
2007-10-18,44.2,44.7,44.7,43.44,3818400.0
2007-10-19,43.84,43.96,44.48,43.44,2664500.0
2007-10-22,41.2,43.76,43.88,40.5,3436700.0
2007-10-23,39.28,41.6,41.6,36.96,7581400.0
2007-10-24,39.26,38.9,40.08,38.74,5013300.0
2007-10-25,39.72,39.24,40.24,38.94,3141175.0
2007-10-26,42.8,39.74,42.92,39.68,5516000.0
2007-10-29,43.68,42.42,44.08,41.98,2617300.0
2007-10-30,43.2,43.68,43.68,42.26,2948900.0
2007-10-31,45.0,44.4,45.4,43.82,6516400.0
2007-11-01,40.28,43.36,45.52,39.1,9370200.0
2007-11-02,43.72,41.2,44.1,40.92,4621500.0
2007-11-05,43.28,42.18,43.44,42.0,2653332.0
2007-11-06,44.04,43.32,44.28,43.32,2942450.0
2007-11-07,42.96,44.06,44.06,42.5,2271925.0
2007-11-08,41.6,43.7,43.7,40.0,3311663.0
2007-11-09,32.2,37.4,37.4,31.66,9828170.0
2007-11-12,31.22,32.62,34.8,30.54,4295360.0
2007-11-13,32.9,31.72,33.0,30.9,2368150.0
2007-11-14,36.26,34.62,37.92,34.3,5428515.0
2007-11-15,36.72,36.64,37.4,35.38,2541384.0
2007-11-16,37.3,37.64,38.64,36.42,4200260.0
2007-11-19,35.2,36.9,36.9,34.86,2714585.0
2007-11-20,32.0,35.6,35.62,31.5,2657025.0
2007-11-21,30.48,31.98,31.98,27.54,5600425.0
2007-11-23,31.1,30.9,31.96,30.5,568380.0
2007-11-26,30.88,31.48,31.65,30.52,2135493.0
2007-11-27,30.2,30.62,31.18,29.96,4342350.0
2007-11-28,32.46,30.2,33.16,30.2,4159040.0
2007-11-29,33.24,32.8,34.82,31.0,3084621.0
2007-11-30,34.2,33.68,35.02,32.8,7446888.0
2007-12-03,32.34,34.0,34.0,32.0,2894400.0
2007-12-04,34.02,32.34,34.2,31.94,1730600.0
2007-12-05,34.62,34.38,35.0,32.94,2816400.0
2007-12-06,33.6,33.9,33.96,31.62,4204416.0
2007-12-07,35.22,33.26,36.02,33.02,2076813.0
2007-12-10,35.3,35.84,37.78,34.98,1888450.0
2007-12-11,34.46,36.36,36.36,33.86,2423835.0
2007-12-12,34.1,35.48,35.48,33.52,3677082.0
2007-12-13,34.34,33.12,34.52,32.8,3666800.0
2007-12-14,36.04,34.76,37.18,34.64,4834400.0
2007-12-17,35.66,35.52,36.0,35.12,2218462.0
2007-12-18,34.86,35.52,35.92,33.82,3556800.0
2007-12-19,36.64,34.28,36.9,34.28,1887100.0
2007-12-20,40.28,36.66,41.26,36.66,4746302.0
2007-12-21,41.02,40.28,42.04,39.52,6678160.0
2007-12-24,40.08,40.9,42.0,39.84,840503.0
2007-12-26,40.08,40.3,40.52,38.82,1014200.0
2007-12-27,39.42,40.12,40.3,39.08,676037.0
2007-12-28,39.0,39.24,39.61,38.56,579695.0
2007-12-31,38.9,38.56,39.14,37.66,1055493.0
2008-01-02,37.3,39.22,39.44,36.54,1162260.0
2008-01-03,37.0,37.74,37.78,34.02,2557166.0
2008-01-04,34.52,37.0,37.0,33.5,1617250.0
2008-01-07,32.94,34.72,34.9,32.02,1269790.0
2008-01-08,35.06,35.76,39.0,34.88,4696241.0
2008-01-09,34.66,35.2,35.84,33.9,2681187.0
2008-01-10,35.12,34.38,36.04,33.98,1719850.0
2008-01-11,34.44,35.18,35.18,33.5,1366364.0
2008-01-14,36.02,35.02,36.66,34.6,2322297.0
2008-01-15,36.4,35.06,36.98,35.06,4482040.0
2008-01-16,36.76,36.66,36.92,35.86,3484967.0
2008-01-17,36.44,36.26,37.7,36.24,2534200.0
2008-01-18,34.66,36.54,36.64,33.22,2985277.0
2008-01-22,33.14,33.02,33.66,31.6,2096680.0
2008-01-23,32.74,33.0,33.1,30.47,4465438.0
2008-01-24,33.0,33.0,33.66,31.62,3540140.0
2008-01-25,33.5,33.48,34.0,32.7,2933865.0
2008-01-28,33.08,32.82,33.7,32.06,1747223.0
2008-01-29,33.12,33.02,33.22,32.5,1448386.0
2008-01-30,34.18,33.36,34.6,32.48,3640936.0
2008-01-31,36.36,34.26,36.78,33.5,3152863.0
2008-02-01,37.02,36.5,37.32,35.6,1760294.0
2008-02-04,37.44,37.38,38.44,37.04,1789192.0
2008-02-05,35.12,37.48,37.48,34.68,1852313.0
2008-02-06,34.14,35.0,36.02,33.34,2304700.0
2008-02-07,34.16,34.0,34.26,32.9,2811803.0
2008-02-08,33.44,34.48,34.48,32.82,2354325.0
2008-02-11,32.64,33.96,34.34,32.26,2507025.0
2008-02-12,33.12,33.3,34.12,32.56,1518814.0
2008-02-13,33.16,33.4,33.94,32.62,1391231.0
2008-02-14,31.2,33.2,33.56,30.84,2622659.0
2008-02-15,32.22,31.66,32.86,30.92,1385481.0
2008-02-19,31.08,32.6,32.94,30.68,1480997.0
2008-02-20,30.68,30.52,30.96,29.64,2856851.0
2008-02-21,30.44,30.4,31.3,30.2,1072505.0
2008-02-22,29.66,30.52,30.76,28.72,2147190.0
2008-02-25,29.98,29.8,30.46,28.94,1988272.0
2008-02-26,30.4,30.18,30.86,29.52,3872892.0
2008-02-27,30.0,27.88,31.34,27.36,5203598.0
2008-02-28,31.8,30.0,33.24,29.62,3989497.0
2008-02-29,31.9,32.12,32.38,31.64,2594985.0
2008-03-03,30.88,32.34,32.44,30.12,3243470.0
2008-03-04,31.2,30.44,31.22,29.54,2954974.0
2008-03-05,33.3,30.98,33.34,30.79,3097438.0
2008-03-06,32.42,32.9,33.3,31.9,1834848.0
2008-03-07,32.4,31.82,32.98,31.5,1589352.0
2008-03-10,31.4,32.4,32.4,31.08,1484300.0
2008-03-11,32.7,30.04,32.96,30.04,1882464.0
2008-03-12,32.06,32.5,32.5,31.8,1796480.0
2008-03-13,31.54,31.5,31.74,31.0,2260801.0
2008-03-14,30.4,32.12,32.12,29.84,2113306.0
2008-03-17,29.0,29.9,30.52,27.84,2953668.0
2008-03-18,30.28,29.64,30.58,29.36,1825546.0
2008-03-19,30.0,29.4,31.54,29.4,1314861.0
2008-03-20,31.2,30.0,31.48,29.46,2060691.0
2008-03-24,32.32,30.98,32.64,30.52,2320769.0
2008-03-25,35.52,32.12,35.76,31.76,2482494.0
2008-03-26,34.7,35.68,36.16,34.0,2146356.0
