Date,Close,Open,High,Low,Volume
1980-03-17,2.31,,2.44,2.3,104441.0
1980-03-18,2.2,,2.31,2.15,72654.0
1980-03-19,2.25,,2.28,2.23,22704.0
1980-03-20,2.25,,2.28,2.21,27245.0
1980-03-21,2.26,,2.28,2.2,75682.0
1980-03-24,2.11,,2.2,2.11,33300.0
1980-03-25,1.95,,2.06,1.95,81736.0
1980-03-26,1.92,,1.97,1.92,46922.0
1980-03-27,1.65,,1.88,1.65,90818.0
1980-03-28,1.75,,1.83,1.68,86277.0
1980-03-31,1.98,,1.98,1.83,49950.0
1980-04-01,2.05,,2.08,2.02,34813.0
1980-04-02,2.05,,2.06,2.05,10595.0
1980-04-03,2.02,,2.02,2.02,3027.0
1980-04-07,1.92,,1.98,1.92,37841.0
1980-04-08,1.85,,1.88,1.85,36327.0
1980-04-09,1.92,,1.92,1.85,33300.0
1980-04-10,1.98,,1.98,1.95,21191.0
1980-04-11,2.05,,2.05,2.0,21191.0
1980-04-14,2.05,,2.05,2.0,6054.0
1980-04-15,1.93,,2.02,1.93,19677.0
1980-04-16,1.98,,1.98,1.92,21191.0
1980-04-17,1.98,,2.02,1.88,62059.0
1980-04-18,1.98,,1.98,1.98,15136.0
1980-04-21,1.93,,2.02,1.93,12109.0
1980-04-22,1.93,,1.97,1.93,15136.0
1980-04-23,1.97,,1.98,1.92,33300.0
1980-04-24,2.0,,2.01,1.98,12109.0
1980-04-25,2.02,,2.03,2.02,6054.0
1980-04-28,2.1,,2.13,2.05,27245.0
1980-04-29,2.28,,2.28,2.15,59032.0
1980-04-30,2.31,,2.31,2.26,37841.0
1980-05-01,2.3,,2.31,2.3,19677.0
1980-05-02,2.25,,2.26,2.21,16650.0
1980-05-05,2.21,,2.21,2.16,19677.0
1980-05-06,2.18,,2.18,2.08,43895.0
1980-05-07,2.21,,2.21,2.18,24218.0
1980-05-08,2.22,,2.26,2.22,30272.0
1980-05-09,2.2,,2.21,2.2,39354.0
1980-05-12,2.15,,2.18,2.15,118064.0
1980-05-13,2.21,,2.21,2.15,16650.0
1980-05-14,2.3,,2.3,2.21,24218.0
1980-05-15,2.56,,2.64,2.41,164987.0
1980-05-16,2.52,,2.56,2.51,56004.0
1980-05-19,2.51,,2.51,2.45,43895.0
1980-05-20,2.51,,2.51,2.49,33300.0
1980-05-21,2.51,,2.51,2.48,28759.0
1980-05-22,2.51,,2.51,2.49,25731.0
1980-05-23,2.51,,2.51,2.5,112009.0
1980-05-27,2.51,,2.53,2.51,43895.0
1980-05-28,2.5,,2.5,2.48,31786.0
1980-05-29,2.49,,2.5,2.49,7568.0
1980-05-30,2.48,,2.49,2.48,6054.0
1980-06-02,2.48,,2.48,2.47,30272.0
1980-06-03,2.43,,2.48,2.41,74168.0
1980-06-04,2.42,,2.43,2.41,25731.0
1980-06-05,2.41,,2.43,2.41,34813.0
1980-06-06,2.38,,2.41,2.38,71141.0
1980-06-09,2.38,,2.38,2.38,7568.0
1980-06-10,2.36,,2.39,2.36,21191.0
1980-06-11,2.36,,2.36,2.36,1513.0
1980-06-12,2.38,,2.4,2.35,37841.0
1980-06-13,2.4,,2.4,2.39,22704.0
1980-06-16,2.41,,2.41,2.39,19677.0
1980-06-17,2.38,,2.41,2.38,19677.0
1980-06-18,2.38,,2.39,2.37,43895.0
1980-06-19,2.38,,2.39,2.36,49950.0
1980-06-20,2.35,,2.36,2.32,80223.0
1980-06-23,2.35,,2.38,2.35,10595.0
1980-06-24,2.33,,2.4,2.33,93845.0
1980-06-25,2.33,,2.33,2.33,7568.0
1980-06-26,2.43,,2.48,2.38,57518.0
1980-06-27,2.48,,2.51,2.46,78709.0
1980-06-30,2.46,,2.46,2.44,30272.0
1980-07-01,2.46,,2.46,2.43,27245.0
