Date,Close,Open,High,Low,Volume
2000-10-05,2.54,2.5,2.69,2.44,5571000.0
2000-10-06,2.45,2.55,2.59,2.35,972100.0
2000-10-09,2.27,2.43,2.43,2.27,344900.0
2000-10-10,2.3,2.25,2.38,2.25,282200.0
2000-10-11,2.22,2.29,2.29,2.2,463700.0
2000-10-12,2.11,2.19,2.19,2.0,569000.0
2000-10-13,2.16,2.08,2.16,2.06,199400.0
2000-10-16,2.16,2.16,2.19,2.14,154600.0
2000-10-17,2.3,2.16,2.33,2.16,77500.0
2000-10-18,2.18,2.28,2.3,2.17,174000.0
2000-10-19,2.13,2.2,2.2,2.13,152400.0
2000-10-20,2.13,2.15,2.15,2.11,133100.0
2000-10-23,2.09,2.13,2.13,2.09,186100.0
2000-10-24,2.19,2.13,2.19,2.12,66700.0
2000-10-25,2.28,2.19,2.34,2.17,208000.0
2000-10-26,2.27,2.27,2.27,2.2,42300.0
2000-10-27,2.44,2.29,2.45,2.27,50000.0
2000-10-30,2.69,2.41,2.69,2.41,92700.0
2000-10-31,2.92,2.81,3.03,2.81,445200.0
2000-11-01,2.9,2.89,2.93,2.8,366900.0
2000-11-02,2.98,2.91,3.02,2.89,114300.0
2000-11-03,3.16,2.95,3.16,2.88,330100.0
2000-11-06,3.01,3.16,3.16,3.0,84700.0
2000-11-07,2.97,3.0,3.0,2.89,108300.0
2000-11-08,3.0,2.78,3.0,2.7,362000.0
2000-11-09,2.99,3.0,3.03,2.92,181200.0
2000-11-10,3.09,2.98,3.13,2.98,46000.0
2000-11-13,2.77,3.06,3.06,2.75,90800.0
2000-11-14,2.84,2.75,2.84,2.66,125100.0
2000-11-15,2.88,2.86,2.91,2.8,92100.0
2000-11-16,2.87,2.86,2.88,2.86,9100.0
2000-11-17,2.92,2.89,2.92,2.85,34100.0
2000-11-20,2.84,2.91,2.91,2.75,33100.0
2000-11-21,2.83,2.84,2.84,2.82,89100.0
2000-11-22,2.88,2.84,2.88,2.81,50500.0
2000-11-24,2.88,2.88,2.88,2.87,30300.0
2000-11-27,2.97,2.91,2.98,2.88,104200.0
