Date,Close,Open,High,Low,Volume
2010-12-07,24.7,24.1,25.2,23.5,10577595.0
2010-12-08,25.65,24.51,26.0,24.4,865113.0
2010-12-09,25.57,25.35,26.25,25.34,877757.0
2010-12-10,25.64,25.37,25.79,25.29,436875.0
2010-12-13,26.52,25.5,26.69,25.49,397730.0
2010-12-14,26.54,26.4,26.6,25.79,250497.0
2010-12-15,26.06,26.56,27.14,25.48,396053.0
2010-12-16,26.81,25.96,26.93,25.95,133002.0
2010-12-17,27.31,26.99,27.55,26.87,218842.0
2010-12-20,27.53,27.21,28.4,27.19,149219.0
2010-12-21,27.05,27.63,27.7,26.6,139124.0
2010-12-22,26.88,26.85,26.88,26.21,157421.0
2010-12-23,26.86,26.73,26.86,26.7,135148.0
2010-12-27,26.51,26.75,26.75,26.43,96944.0
2010-12-28,26.8,26.45,26.85,26.4,203969.0
2010-12-29,27.15,26.54,27.15,26.5,75198.0
2010-12-30,27.03,27.01,27.19,26.85,297918.0
2010-12-31,26.81,27.0,27.05,26.79,49788.0
2011-01-03,27.0,26.92,27.05,26.51,253458.0
2011-01-04,27.16,27.0,27.19,26.63,232239.0
2011-01-05,27.34,27.01,27.37,26.87,61742.0
2011-01-06,27.99,27.28,28.16,26.95,116065.0
2011-01-07,27.8,27.9,28.13,27.41,288239.0
2011-01-10,27.4,27.5,27.97,27.07,121080.0
2011-01-11,27.59,27.43,27.64,27.12,188850.0
2011-01-12,28.35,27.68,28.48,27.43,172245.0
2011-01-13,28.03,28.11,28.46,27.89,130113.0
2011-01-14,28.31,28.09,28.47,27.96,249001.0
2011-01-18,29.34,28.6,30.25,28.42,691928.0
2011-01-19,28.87,29.69,29.85,28.8,227618.0
2011-01-20,29.41,28.89,30.04,27.27,354545.0
2011-01-21,29.41,29.5,29.58,28.21,118068.0
2011-01-24,30.1,29.4,30.23,28.51,129309.0
2011-01-25,30.19,30.04,30.98,29.86,203991.0
2011-01-26,30.4,30.23,30.81,29.6,125111.0
2011-01-27,30.39,30.24,30.6,30.0,37220.0
2011-01-28,30.58,30.21,30.76,28.98,256319.0
2011-01-31,30.73,31.54,31.71,30.25,202815.0
2011-02-01,30.65,31.17,31.17,30.12,85409.0
2011-02-02,30.16,30.44,31.42,30.04,88547.0
2011-02-03,29.38,30.35,30.56,29.25,287890.0
2011-02-04,30.02,29.57,30.07,29.38,131469.0
2011-02-07,30.0,30.19,30.74,30.0,97173.0
2011-02-08,31.2,30.04,31.58,29.95,270523.0
2011-02-09,31.36,31.39,31.5,31.16,45045.0
2011-02-10,30.98,31.25,31.73,30.53,74033.0
2011-02-11,31.02,31.16,31.16,30.72,78212.0
2011-02-14,31.44,31.34,32.22,31.27,219834.0
2011-02-15,31.88,31.6,31.92,31.5,201478.0
2011-02-16,32.22,32.26,32.4,32.0,220691.0
2011-02-17,32.1,32.25,32.29,31.61,91443.0
2011-02-18,32.34,32.21,32.95,32.09,159528.0
2011-02-22,31.91,32.53,32.64,31.4,172230.0
2011-02-23,31.94,32.0,32.1,31.51,72057.0
2011-02-24,32.04,32.23,32.24,31.64,147049.0
2011-02-25,32.6,32.0,32.71,32.0,101014.0
2011-02-28,32.77,32.71,32.9,32.35,36513.0
2011-03-01,32.6,32.98,33.25,31.94,103265.0
2011-03-02,32.98,32.6,33.44,32.31,170838.0
2011-03-03,32.73,33.13,33.41,32.7,164367.0
2011-03-04,33.22,32.72,33.64,32.64,75994.0
2011-03-07,33.95,33.18,33.99,33.18,203992.0
2011-03-08,33.58,33.78,33.88,33.31,249956.0
2011-03-09,33.17,33.64,33.89,32.7,273514.0
2011-03-10,32.2,32.98,33.06,31.71,415502.0
2011-03-11,32.35,32.01,32.69,30.8,496397.0
2011-03-14,32.05,32.24,32.57,31.87,317849.0
2011-03-15,31.94,31.62,32.46,31.35,535532.0
2011-03-16,32.2,32.15,33.55,31.82,474435.0
2011-03-17,33.35,32.5,33.38,32.42,236638.0
2011-03-18,34.82,33.5,35.49,33.26,1085051.0
2011-03-21,35.49,34.92,35.72,34.35,117252.0
2011-03-22,36.25,35.61,36.43,34.85,111709.0
2011-03-23,34.96,36.7,36.7,34.45,362331.0
2011-03-24,34.75,34.97,35.0,34.2,163933.0
2011-03-25,35.35,34.83,35.64,34.81,108273.0
2011-03-28,35.18,35.35,35.42,34.8,186865.0
2011-03-29,35.36,35.18,35.7,34.94,90826.0
2011-03-30,35.5,35.49,35.93,35.07,171182.0
2011-03-31,36.24,35.44,36.34,34.91,1790802.0
2011-04-01,36.04,36.18,36.73,35.7,389965.0
2011-04-04,33.88,36.5,36.51,33.56,687701.0
2011-04-05,33.95,33.81,34.14,32.95,263289.0
