Date,Close,Open,High,Low,Volume
1990-07-20,1.73,1.73,1.96,1.71,2648500.0
1990-07-23,1.58,1.58,1.71,1.54,779400.0
1990-07-24,1.58,1.58,1.63,1.5,155700.0
1990-07-25,1.54,1.54,1.58,1.54,58300.0
1990-07-26,1.63,1.63,1.63,1.52,414800.0
1990-07-27,1.58,1.58,1.63,1.54,160600.0
1990-07-30,1.54,1.54,1.63,1.54,74200.0
1990-07-31,1.54,1.54,1.6,1.54,56300.0
1990-08-01,1.5,1.5,1.58,1.5,118700.0
1990-08-02,1.42,1.42,1.54,1.42,105800.0
1990-08-03,1.38,1.38,1.5,1.38,81300.0
1990-08-06,1.25,1.25,1.38,1.25,95900.0
1990-08-07,1.38,1.38,1.38,1.29,139700.0
1990-08-08,1.33,1.33,1.38,1.29,11200.0
1990-08-09,1.38,1.38,1.38,1.29,27600.0
1990-08-10,1.38,1.38,1.38,1.33,7800.0
1990-08-13,1.38,1.38,1.38,1.29,51300.0
1990-08-14,1.29,1.29,1.38,1.29,41800.0
1990-08-15,1.33,1.33,1.33,1.29,29800.0
1990-08-16,1.25,1.25,1.33,1.25,49600.0
1990-08-17,1.29,1.29,1.29,1.17,41800.0
1990-08-20,1.17,1.17,1.29,1.17,19600.0
1990-08-21,1.17,1.17,1.25,1.17,18000.0
1990-08-22,1.17,1.17,1.25,1.17,40800.0
1990-08-23,1.21,1.21,1.21,1.08,22500.0
1990-08-24,1.13,1.13,1.21,1.13,21700.0
1990-08-27,1.13,1.13,1.21,1.13,30100.0
1990-08-28,1.13,1.13,1.21,1.13,25200.0
1990-08-29,1.13,1.13,1.21,1.13,22400.0
1990-08-30,1.08,1.08,1.17,1.08,20900.0
1990-08-31,1.15,1.15,1.15,1.08,36300.0
1990-09-04,1.08,1.08,1.15,1.08,26400.0
1990-09-05,1.04,1.04,1.13,1.04,113400.0
1990-09-06,1.04,1.04,1.1,1.04,41300.0
1990-09-07,1.0,1.0,1.08,0.96,36500.0
1990-09-10,0.96,0.96,1.04,0.96,40300.0
1990-09-11,1.02,1.02,1.04,0.96,107000.0
1990-09-12,0.96,0.96,1.04,0.96,9500.0
1990-09-13,1.0,1.0,1.04,0.96,91900.0
1990-09-14,1.0,1.0,1.04,0.98,75200.0
1990-09-17,1.17,1.17,1.17,1.0,101200.0
1990-09-18,1.08,1.08,1.17,1.08,45500.0
1990-09-19,1.13,1.13,1.17,1.04,65800.0
1990-09-20,1.08,1.08,1.17,1.08,35900.0
1990-09-21,1.17,1.17,1.17,1.08,22300.0
1990-09-24,1.08,1.08,1.17,1.08,10000.0
1990-09-25,1.13,1.13,1.17,1.08,22100.0
1990-09-26,1.13,1.13,1.17,1.13,8100.0
