Date,Close,Open,High,Low,Volume
3/17/1980,4.0,,4.06,4.0,26100.0
3/18/1980,4.11,,4.17,4.11,36000.0
3/19/1980,4.19,,4.25,4.19,55700.0
3/20/1980,4.3,,4.36,4.3,113800.0
3/21/1980,4.28,,4.34,4.28,28700.0
3/24/1980,4.28,,4.34,4.28,46100.0
3/25/1980,4.3,,4.36,4.3,14400.0
3/26/1980,4.3,,4.36,4.3,72000.0
3/27/1980,4.19,,4.25,4.19,86700.0
3/28/1980,4.22,,4.28,4.22,41100.0
3/31/1980,4.19,,4.25,4.19,13500.0
4/1/1980,4.33,,4.39,4.33,109600.0
4/2/1980,4.47,,4.53,4.47,123600.0
4/3/1980,4.47,,4.53,4.47,42800.0
4/7/1980,4.31,,4.38,4.31,27400.0
4/8/1980,4.38,,4.44,4.38,34600.0
4/9/1980,4.47,,4.53,4.47,65400.0
4/10/1980,4.44,,4.5,4.44,91800.0
4/11/1980,4.42,,4.48,4.42,17500.0
4/14/1980,4.41,,4.47,4.41,29800.0
4/15/1980,4.41,,4.47,4.41,35900.0
4/16/1980,4.39,,4.45,4.39,70100.0
4/17/1980,4.34,,4.41,4.34,43000.0
4/18/1980,4.38,,4.44,4.38,23900.0
4/21/1980,4.36,,4.42,4.36,18600.0
4/22/1980,4.39,,4.45,4.39,24500.0
4/23/1980,4.44,,4.5,4.44,54800.0
4/24/1980,4.45,,4.52,4.45,5400.0
4/25/1980,4.42,,4.48,4.42,6500.0
4/28/1980,4.42,,4.48,4.42,34000.0
4/29/1980,4.41,,4.47,4.41,10800.0
4/30/1980,4.41,,4.47,4.41,25300.0
5/1/1980,4.31,,4.38,4.31,9400.0
5/2/1980,4.3,,4.36,4.3,15400.0
5/5/1980,4.31,,4.38,4.31,37200.0
5/6/1980,4.38,,4.44,4.38,31500.0
5/7/1980,4.38,,4.44,4.38,19100.0
5/8/1980,4.36,,4.42,4.36,16500.0
5/9/1980,4.36,,4.42,4.36,8300.0
5/12/1980,4.34,,4.41,4.34,1700.0
5/13/1980,4.41,,4.47,4.41,20700.0
5/14/1980,4.61,,4.67,4.61,50100.0
5/15/1980,4.75,,4.81,4.75,59600.0
5/16/1980,4.72,,4.78,4.72,22200.0
5/19/1980,4.63,,4.69,4.63,11200.0
5/20/1980,4.53,,4.59,4.53,19900.0
5/21/1980,4.48,,4.55,4.48,7700.0
5/22/1980,4.47,,4.53,4.47,8700.0
5/23/1980,4.48,,4.55,4.48,13400.0
5/27/1980,4.5,,4.56,4.5,19100.0
5/28/1980,4.45,,4.52,4.45,17000.0
5/29/1980,4.44,,4.5,4.44,16100.0
5/30/1980,4.44,,4.5,4.44,14000.0
6/2/1980,4.42,,4.48,4.42,22100.0
6/3/1980,4.41,,4.47,4.41,24200.0
6/4/1980,4.44,,4.5,4.44,33500.0
6/5/1980,4.45,,4.52,4.45,55000.0
6/6/1980,4.42,,4.48,4.42,49900.0
6/9/1980,4.41,,4.47,4.41,36900.0
6/10/1980,4.45,,4.52,4.45,29900.0
6/11/1980,4.44,,4.5,4.44,55200.0
6/12/1980,4.41,,4.47,4.41,26100.0
6/13/1980,4.42,,4.48,4.42,31500.0
6/16/1980,4.42,,4.48,4.42,20500.0
6/17/1980,4.42,,4.48,4.42,5100.0
6/18/1980,4.42,,4.48,4.42,51300.0
6/19/1980,4.42,,4.48,4.42,5900.0
6/20/1980,4.42,,4.48,4.42,6400.0
6/23/1980,4.42,,4.48,4.42,5100.0
6/24/1980,4.41,,4.47,4.41,14900.0
6/25/1980,4.45,,4.52,4.45,10700.0
6/26/1980,4.53,,4.59,4.53,66400.0
6/27/1980,4.56,,4.63,4.56,11600.0
6/30/1980,4.53,,4.59,4.53,8900.0
7/1/1980,4.53,,4.59,4.53,17800.0
7/2/1980,4.55,,4.61,4.55,18700.0
7/3/1980,4.55,,4.61,4.55,38900.0
7/7/1980,4.58,,4.59,4.58,3900.0
7/8/1980,4.55,,4.56,4.55,11200.0
7/9/1980,4.55,,4.56,4.55,4400.0
7/10/1980,4.41,,4.42,4.41,46600.0
7/11/1980,4.44,,4.45,4.44,28700.0
7/14/1980,4.45,,4.48,4.45,20100.0
7/15/1980,4.45,,4.48,4.45,32100.0
7/16/1980,4.42,,4.45,4.42,5200.0
7/17/1980,4.45,,4.47,4.45,31700.0
7/18/1980,4.53,,4.55,4.53,92000.0
7/21/1980,4.53,,4.55,4.53,19800.0
7/22/1980,4.42,,4.45,4.42,41700.0
7/23/1980,4.5,,4.52,4.5,70000.0
7/24/1980,4.53,,4.55,4.53,53500.0
7/25/1980,4.52,,4.53,4.52,15900.0
7/28/1980,4.52,,4.53,4.52,6400.0
7/29/1980,4.48,,4.5,4.48,19600.0
7/30/1980,4.52,,4.55,4.52,31600.0
7/31/1980,4.53,,4.56,4.53,14300.0
8/1/1980,4.53,,4.56,4.53,33000.0
8/4/1980,4.52,,4.53,4.52,22700.0
8/5/1980,4.53,,4.55,4.53,29600.0
8/6/1980,4.48,,4.52,4.48,50600.0
8/7/1980,4.48,,4.5,4.48,3100.0
