Date,Close,Open,High,Low,Volume
2010-06-29,1.59,1.27,1.67,1.17,18783276.0
2010-06-30,1.59,1.72,2.03,1.55,17194394.0
2010-07-01,1.46,1.67,1.73,1.35,8229863.0
2010-07-02,1.28,1.53,1.54,1.25,5141807.0
2010-07-06,1.07,1.33,1.33,1.06,6879296.0
2010-07-07,1.05,1.09,1.11,1.0,6924914.0
2010-07-08,1.16,1.08,1.17,1.04,7719539.0
2010-07-09,1.16,1.17,1.19,1.1,4058606.0
2010-07-12,1.14,1.2,1.2,1.13,2203570.0
2010-07-13,1.21,1.16,1.24,1.13,2680060.0
2010-07-14,1.32,1.2,1.34,1.18,4196110.0
2010-07-15,1.33,1.33,1.43,1.27,3745297.0
2010-07-16,1.38,1.38,1.42,1.34,2621210.0
2010-07-19,1.46,1.42,1.48,1.39,2486489.0
2010-07-20,1.35,1.46,1.46,1.34,1825231.0
2010-07-21,1.35,1.38,1.39,1.3,1253442.0
2010-07-22,1.4,1.37,1.42,1.36,962345.0
2010-07-23,1.42,1.41,1.44,1.4,654049.0
2010-07-26,1.4,1.43,1.43,1.35,922453.0
2010-07-27,1.37,1.39,1.41,1.35,619675.0
2010-07-28,1.38,1.37,1.39,1.37,467183.0
2010-07-29,1.36,1.38,1.39,1.33,615910.0
2010-07-30,1.33,1.35,1.36,1.3,426830.0
2010-08-02,1.39,1.37,1.4,1.36,719145.0
2010-08-03,1.46,1.4,1.46,1.39,1231023.0
2010-08-04,1.42,1.46,1.48,1.39,920756.0
2010-08-05,1.36,1.44,1.44,1.34,796380.0
2010-08-06,1.31,1.34,1.34,1.3,742138.0
2010-08-09,1.31,1.33,1.33,1.3,812656.0
2010-08-10,1.27,1.31,1.31,1.25,1281286.0
2010-08-11,1.19,1.25,1.26,1.19,797650.0
2010-08-12,1.17,1.19,1.19,1.16,691281.0
2010-08-13,1.22,1.21,1.23,1.18,634513.0
2010-08-16,1.25,1.23,1.25,1.22,486211.0
2010-08-17,1.28,1.26,1.29,1.25,447881.0
2010-08-18,1.25,1.31,1.31,1.24,601332.0
2010-08-19,1.25,1.24,1.28,1.22,579082.0
2010-08-20,1.27,1.24,1.27,1.23,297499.0
2010-08-23,1.34,1.27,1.36,1.27,1088029.0
2010-08-24,1.28,1.28,1.31,1.26,673074.0
2010-08-25,1.33,1.28,1.33,1.24,503289.0
2010-08-26,1.32,1.33,1.35,1.31,433736.0
2010-08-27,1.31,1.32,1.32,1.3,379642.0
2010-08-30,1.32,1.31,1.35,1.31,732731.0
2010-08-31,1.3,1.31,1.32,1.29,201012.0
2010-09-01,1.36,1.31,1.38,1.31,495685.0
2010-09-02,1.4,1.36,1.42,1.35,487060.0
2010-09-03,1.4,1.39,1.42,1.38,434756.0
2010-09-07,1.37,1.37,1.4,1.37,243335.0
2010-09-08,1.39,1.38,1.4,1.37,288382.0
2010-09-09,1.38,1.4,1.4,1.38,376197.0
2010-09-10,1.34,1.38,1.4,1.32,386571.0
2010-09-13,1.38,1.39,1.39,1.37,360703.0
2010-09-14,1.41,1.37,1.44,1.37,654629.0
2010-09-15,1.47,1.4,1.47,1.39,684758.0
2010-09-16,1.4,1.48,1.54,1.39,2685880.0
2010-09-17,1.35,1.4,1.42,1.32,1198458.0
2010-09-20,1.4,1.38,1.42,1.34,947475.0
2010-09-21,1.38,1.39,1.44,1.38,796000.0
2010-09-22,1.32,1.39,1.4,1.32,962816.0
2010-09-23,1.3,1.33,1.34,1.3,668076.0
2010-09-24,1.34,1.33,1.35,1.31,578987.0
2010-09-27,1.37,1.36,1.39,1.34,418597.0
2010-09-28,1.43,1.4,1.43,1.38,1214465.0
2010-09-29,1.47,1.41,1.47,1.41,1969457.0
2010-09-30,1.36,1.47,1.48,1.35,2196625.0
2010-10-01,1.37,1.38,1.38,1.35,599071.0
2010-10-04,1.4,1.36,1.41,1.35,643599.0
2010-10-05,1.41,1.41,1.42,1.4,331936.0
2010-10-06,1.36,1.4,1.42,1.35,313552.0
2010-10-07,1.36,1.37,1.38,1.36,141020.0
2010-10-08,1.36,1.36,1.39,1.36,268110.0
2010-10-11,1.35,1.36,1.38,1.34,171194.0
2010-10-12,1.35,1.35,1.35,1.34,243912.0
2010-10-13,1.37,1.38,1.39,1.36,320541.0
2010-10-14,1.38,1.4,1.4,1.36,294620.0
2010-10-15,1.37,1.39,1.39,1.35,284840.0
2010-10-18,1.35,1.37,1.38,1.35,162729.0
2010-10-19,1.34,1.35,1.36,1.33,245127.0
2010-10-20,1.38,1.34,1.38,1.34,312444.0
2010-10-21,1.38,1.37,1.4,1.36,417999.0
2010-10-22,1.38,1.38,1.4,1.37,161021.0
2010-10-25,1.39,1.4,1.4,1.38,118614.0
2010-10-26,1.42,1.39,1.46,1.37,660841.0
2010-10-27,1.4,1.42,1.43,1.38,356500.0
2010-10-28,1.41,1.43,1.43,1.4,224190.0
2010-10-29,1.46,1.41,1.46,1.4,280682.0
2010-11-01,1.43,1.46,1.52,1.42,455784.0
2010-11-02,1.42,1.45,1.46,1.4,322465.0
2010-11-03,1.45,1.42,1.5,1.41,374199.0
2010-11-04,1.66,1.51,1.69,1.48,1874801.0
2010-11-05,1.63,1.66,1.66,1.58,1010946.0
2010-11-08,1.67,1.63,1.67,1.6,509475.0
2010-11-09,1.64,1.67,1.71,1.6,957749.0
2010-11-10,1.96,1.63,2.0,1.6,3061038.0
2010-11-11,1.87,1.91,1.94,1.82,1945094.0
2010-11-12,1.99,1.88,2.03,1.87,2729169.0
2010-11-15,2.05,2.01,2.2,2.01,2625133.0
2010-11-16,1.98,2.07,2.09,1.89,1347731.0
2010-11-17,1.97,2.01,2.05,1.91,750341.0
2010-11-18,1.99,2.04,2.05,1.93,956248.0
2010-11-19,2.07,2.01,2.09,1.98,1150494.0
2010-11-22,2.23,2.1,2.23,2.1,1529972.0
2010-11-23,2.3,2.22,2.38,2.15,1578070.0
2010-11-24,2.36,2.35,2.4,2.29,1424959.0
2010-11-26,2.35,2.37,2.4,2.32,350554.0
2010-11-29,2.29,2.36,2.4,2.22,1145543.0
2010-11-30,2.36,2.25,2.36,2.23,2222958.0
2010-12-01,2.29,2.39,2.43,2.23,1299175.0
2010-12-02,2.16,2.27,2.29,2.08,2006967.0
2010-12-03,2.1,2.13,2.15,2.06,1160460.0
2010-12-06,2.02,2.09,2.1,1.97,1274375.0
2010-12-07,2.1,2.03,2.16,2.0,1311548.0
2010-12-08,2.16,2.17,2.17,2.1,660980.0
2010-12-09,2.14,2.17,2.18,2.11,405983.0
2010-12-10,2.1,2.14,2.19,2.08,429381.0
2010-12-13,2.04,2.11,2.12,2.03,410331.0
2010-12-14,1.9,2.02,2.03,1.85,1766910.0
2010-12-15,1.97,1.91,2.0,1.9,742900.0
2010-12-16,2.05,2.0,2.06,1.98,790070.0
2010-12-17,2.09,2.09,2.1,2.05,813817.0
2010-12-20,2.11,2.11,2.15,2.08,523320.0
2010-12-21,2.15,2.12,2.18,2.11,777678.0
2010-12-22,2.18,2.15,2.19,2.11,833256.0
2010-12-23,2.01,2.08,2.17,1.99,1557125.0
2010-12-27,1.7,1.87,1.91,1.67,9302329.0
2010-12-28,1.76,1.72,1.78,1.67,4056589.0
2010-12-29,1.85,1.8,1.87,1.77,3319430.0
2010-12-30,1.77,1.85,1.86,1.76,2041067.0
2010-12-31,1.78,1.77,1.82,1.77,1417847.0
2011-01-03,1.77,1.79,1.8,1.73,1284084.0
2011-01-04,1.78,1.78,1.8,1.73,1189071.0
2011-01-05,1.79,1.77,1.79,1.75,1446869.0
2011-01-06,1.86,1.79,1.87,1.79,2061217.0
2011-01-07,1.88,1.87,1.91,1.86,2249540.0
2011-01-10,1.9,1.88,1.91,1.87,1342812.0
2011-01-11,1.8,1.91,1.91,1.79,1711355.0
2011-01-12,1.8,1.8,1.83,1.77,964722.0
2011-01-13,1.75,1.8,1.8,1.74,723522.0
2011-01-14,1.72,1.74,1.77,1.71,1192121.0
2011-01-18,1.71,1.7,1.71,1.65,1623839.0
2011-01-19,1.6,1.68,1.7,1.58,2371514.0
2011-01-20,1.51,1.6,1.63,1.49,2279958.0
2011-01-21,1.54,1.54,1.57,1.51,1216941.0
2011-01-24,1.63,1.57,1.65,1.55,1645189.0
2011-01-25,1.65,1.64,1.66,1.6,1271557.0
2011-01-26,1.65,1.65,1.66,1.61,1079867.0
2011-01-27,1.66,1.65,1.67,1.64,895655.0
2011-01-28,1.6,1.66,1.66,1.58,1048811.0
2011-01-31,1.61,1.6,1.61,1.57,831575.0
2011-02-01,1.59,1.62,1.65,1.57,707791.0
2011-02-02,1.6,1.61,1.61,1.58,569472.0
2011-02-03,1.58,1.59,1.59,1.54,512067.0
2011-02-04,1.56,1.56,1.58,1.55,543917.0
2011-02-07,1.54,1.55,1.55,1.53,895011.0
2011-02-08,1.63,1.59,1.68,1.53,3505183.0
2011-02-09,1.55,1.61,1.61,1.52,2636262.0
2011-02-10,1.55,1.55,1.58,1.52,836020.0
2011-02-11,1.55,1.55,1.58,1.53,636602.0
2011-02-14,1.54,1.58,1.61,1.54,1283404.0
2011-02-15,1.52,1.53,1.54,1.5,960851.0
2011-02-16,1.65,1.54,1.66,1.54,4115806.0
2011-02-17,1.57,1.64,1.7,1.57,2619942.0
2011-02-18,1.55,1.56,1.57,1.53,2370770.0
2011-02-22,1.46,1.53,1.53,1.45,2064540.0
2011-02-23,1.46,1.48,1.5,1.41,1605708.0
2011-02-24,1.5,1.45,1.51,1.43,1055450.0
2011-02-25,1.57,1.52,1.59,1.51,1347257.0
2011-02-28,1.59,1.58,1.61,1.57,1051106.0
2011-03-01,1.6,1.6,1.62,1.58,1106350.0
2011-03-02,1.6,1.59,1.62,1.58,663294.0
2011-03-03,1.62,1.63,1.65,1.6,640140.0
2011-03-04,1.66,1.63,1.67,1.59,1580100.0
2011-03-07,1.66,1.66,1.69,1.65,2033531.0
2011-03-08,1.64,1.64,1.66,1.6,1399851.0
2011-03-09,1.65,1.64,1.67,1.62,924721.0
2011-03-10,1.6,1.63,1.63,1.58,1017047.0
2011-03-11,1.6,1.59,1.62,1.57,930794.0
2011-03-14,1.55,1.59,1.6,1.55,1165971.0
2011-03-15,1.53,1.48,1.53,1.45,1318869.0
2011-03-16,1.52,1.52,1.55,1.51,1169676.0
2011-03-17,1.52,1.55,1.56,1.51,922504.0
2011-03-18,1.53,1.55,1.55,1.5,687823.0
2011-03-21,1.52,1.54,1.54,1.5,411650.0
2011-03-22,1.48,1.52,1.52,1.47,582813.0
2011-03-23,1.48,1.47,1.48,1.45,422793.0
2011-03-24,1.49,1.48,1.49,1.47,462160.0
2011-03-25,1.52,1.5,1.53,1.49,567922.0
2011-03-28,1.55,1.51,1.57,1.5,1058018.0
2011-03-29,1.59,1.55,1.6,1.55,755591.0
2011-03-30,1.58,1.61,1.63,1.53,1223877.0
2011-03-31,1.85,1.77,1.91,1.77,11522337.0
2011-04-01,1.78,1.83,1.88,1.77,2865087.0
2011-04-04,1.72,1.79,1.8,1.68,2609227.0
2011-04-05,1.78,1.73,1.8,1.71,3181727.0
2011-04-06,1.77,1.8,1.8,1.72,1288297.0
2011-04-07,1.82,1.79,1.86,1.76,2810766.0
2011-04-08,1.77,1.84,1.84,1.76,1946352.0
2011-04-11,1.68,1.76,1.77,1.67,1372200.0
2011-04-12,1.64,1.67,1.68,1.62,1357401.0
2011-04-13,1.66,1.68,1.71,1.65,1211444.0
2011-04-14,1.68,1.66,1.69,1.61,983382.0
2011-04-15,1.71,1.71,1.75,1.69,943451.0
2011-04-18,1.67,1.68,1.71,1.62,1033871.0
2011-04-19,1.68,1.68,1.68,1.64,548693.0
2011-04-20,1.72,1.71,1.74,1.69,837469.0
2011-04-21,1.78,1.72,1.8,1.71,1386053.0
2011-04-25,1.76,1.78,1.78,1.73,800839.0
2011-04-26,1.8,1.78,1.82,1.75,1372343.0
2011-04-27,1.81,1.8,1.82,1.78,996901.0
2011-04-28,1.84,1.8,1.85,1.78,1644997.0
2011-04-29,1.84,1.85,1.86,1.83,726340.0
2011-05-02,1.83,1.84,1.85,1.8,784560.0
2011-05-03,1.79,1.83,1.83,1.77,913965.0
2011-05-04,1.78,1.79,1.8,1.72,1047169.0
2011-05-05,1.76,1.81,1.83,1.74,1219449.0
2011-05-06,1.81,1.79,1.85,1.77,981606.0
2011-05-09,1.86,1.8,1.87,1.79,916303.0
2011-05-10,1.89,1.88,1.93,1.86,1535626.0
2011-05-11,1.8,1.88,1.89,1.79,962965.0
2011-05-12,1.84,1.8,1.85,1.78,627740.0
2011-05-13,1.84,1.87,1.88,1.82,661577.0
2011-05-16,1.77,1.87,1.87,1.77,755622.0
2011-05-17,1.73,1.8,1.8,1.71,1234156.0
2011-05-18,1.76,1.74,1.76,1.7,729407.0
2011-05-19,1.88,1.8,1.9,1.77,2655367.0
2011-05-20,1.86,1.88,1.89,1.82,842534.0
2011-05-23,1.79,1.84,1.84,1.77,863548.0
2011-05-24,1.78,1.8,1.83,1.77,613673.0
2011-05-25,1.93,1.79,1.93,1.74,4693811.0
2011-05-26,1.97,1.92,1.98,1.87,3336891.0
2011-05-27,1.97,1.97,1.98,1.92,1687069.0
2011-05-31,2.01,1.98,2.02,1.97,3290522.0
2011-06-01,1.9,2.0,2.01,1.89,1530396.0
2011-06-02,1.92,1.9,1.95,1.9,986294.0
2011-06-03,2.01,2.0,2.1,1.97,6210209.0
2011-06-06,1.91,2.01,2.01,1.88,2331767.0
2011-06-07,1.89,1.93,1.96,1.88,1222099.0
2011-06-08,1.81,1.9,1.91,1.8,1696936.0
2011-06-09,1.84,1.83,1.87,1.81,1604220.0
2011-06-10,1.86,1.83,1.89,1.82,1566532.0
2011-06-13,1.9,1.87,1.93,1.86,1713761.0
2011-06-14,1.91,1.9,1.98,1.9,1573310.0
2011-06-15,1.82,1.9,1.9,1.8,1346579.0
2011-06-16,1.77,1.84,1.87,1.72,1842124.0
2011-06-17,1.77,1.79,1.85,1.74,1713965.0
2011-06-20,1.73,1.75,1.76,1.7,1537709.0
2011-06-21,1.84,1.75,1.85,1.73,1496563.0
2011-06-22,1.81,1.82,1.88,1.81,1475533.0
2011-06-23,1.85,1.81,1.85,1.75,1169990.0
2011-06-24,1.84,1.84,1.86,1.82,3608858.0
2011-06-27,1.83,1.85,1.89,1.82,1809367.0
2011-06-28,1.87,1.85,1.88,1.84,889132.0
2011-06-29,1.89,1.9,1.94,1.87,1461708.0
2011-06-30,1.94,1.9,1.96,1.89,946654.0
2011-07-01,1.93,1.94,1.97,1.92,854839.0
2011-07-05,1.94,1.93,1.97,1.91,995989.0
2011-07-06,1.93,1.94,1.94,1.9,926889.0
2011-07-07,1.98,1.94,2.0,1.93,1327821.0
2011-07-08,1.92,1.99,1.99,1.91,1240580.0
2011-07-11,1.89,1.89,1.9,1.87,975703.0
2011-07-12,1.88,1.89,1.94,1.87,1045406.0
2011-07-13,1.91,1.9,1.94,1.86,1065942.0
2011-07-14,1.84,1.9,1.93,1.82,1159131.0
2011-07-15,1.84,1.85,1.86,1.83,708954.0
2011-07-18,1.82,1.82,1.83,1.78,852317.0
2011-07-19,1.86,1.84,1.87,1.84,1026048.0
2011-07-20,1.91,1.87,2.03,1.85,3048394.0
2011-07-21,1.91,1.93,1.94,1.87,1012006.0
