Date,Close,Open,High,Low,Volume
1980-03-17,2.23,,2.3,2.23,36600.0
1980-03-18,2.26,,2.27,2.23,58800.0
1980-03-19,2.24,,2.27,2.24,72800.0
1980-03-20,2.19,,2.23,2.19,25800.0
1980-03-21,2.14,,2.18,2.14,26100.0
1980-03-24,2.06,,2.14,2.06,24700.0
1980-03-25,2.03,,2.05,2.02,28200.0
1980-03-26,2.05,,2.06,2.04,9100.0
1980-03-27,2.0,,2.05,1.98,24100.0
1980-03-28,2.15,,2.15,2.02,54300.0
1980-03-31,2.14,,2.15,2.12,34300.0
1980-04-01,2.06,,2.14,2.06,74500.0
1980-04-02,2.1,,2.11,2.08,13000.0
1980-04-03,2.07,,2.11,2.07,6300.0
1980-04-07,2.05,,2.07,2.05,71500.0
1980-04-08,2.06,,2.09,2.05,12400.0
1980-04-09,2.05,,2.07,2.05,27300.0
1980-04-10,2.05,,2.06,2.04,14300.0
1980-04-11,2.02,,2.06,2.02,33800.0
1980-04-14,2.02,,2.03,2.02,5200.0
1980-04-15,2.03,,2.04,2.03,16300.0
1980-04-16,2.03,,2.06,2.02,45000.0
1980-04-17,2.03,,2.04,2.01,13600.0
1980-04-18,2.03,,2.04,2.03,36900.0
1980-04-21,2.01,,2.04,2.0,6900.0
1980-04-22,1.99,,2.03,1.99,43400.0
1980-04-23,1.97,,2.0,1.97,44900.0
1980-04-24,2.0,,2.0,1.96,16400.0
1980-04-25,1.97,,1.99,1.97,10700.0
1980-04-28,1.96,,1.99,1.96,30100.0
1980-04-29,1.95,,1.97,1.95,6700.0
1980-04-30,1.94,,1.96,1.93,15200.0
1980-05-01,1.98,,1.98,1.95,23800.0
1980-05-02,1.97,,1.98,1.96,20400.0
1980-05-05,1.93,,1.96,1.93,7200.0
1980-05-06,1.94,,1.96,1.93,16900.0
1980-05-07,1.99,,1.99,1.93,42000.0
1980-05-08,1.99,,2.03,1.99,95100.0
1980-05-09,1.95,,1.98,1.95,26800.0
1980-05-12,1.91,,1.92,1.89,25800.0
1980-05-13,1.94,,1.94,1.91,11600.0
1980-05-14,1.97,,1.98,1.95,16800.0
1980-05-15,2.0,,2.01,1.97,11700.0
1980-05-16,2.01,,2.01,1.99,16900.0
1980-05-19,2.02,,2.03,2.0,21600.0
1980-05-20,1.99,,2.01,1.99,6600.0
1980-05-21,2.01,,2.02,2.0,17600.0
1980-05-22,2.12,,2.12,2.01,44500.0
1980-05-23,2.23,,2.27,2.13,51700.0
1980-05-27,2.16,,2.19,2.16,24500.0
1980-05-28,2.15,,2.17,2.14,20800.0
1980-05-29,2.17,,2.2,2.17,16200.0
1980-05-30,2.21,,2.22,2.16,11800.0
1980-06-02,2.18,,2.2,2.15,38300.0
1980-06-03,2.15,,2.18,2.14,46900.0
1980-06-04,2.15,,2.16,2.15,4900.0
1980-06-05,2.17,,2.18,2.16,10600.0
1980-06-06,2.17,,2.19,2.17,4400.0
1980-06-09,2.16,,2.18,2.16,9600.0
1980-06-10,2.19,,2.2,2.17,11500.0
1980-06-11,2.22,,2.24,2.21,26500.0
1980-06-12,2.23,,2.24,2.22,17200.0
1980-06-13,2.22,,2.25,2.22,6400.0
1980-06-16,2.21,,2.22,2.21,6000.0
1980-06-17,2.22,,2.22,2.21,6200.0
1980-06-18,2.19,,2.22,2.16,19100.0
1980-06-19,2.21,,2.24,2.21,48800.0
1980-06-20,2.2,,2.21,2.2,5200.0
1980-06-23,2.19,,2.21,2.19,8100.0
1980-06-24,2.25,,2.25,2.2,10400.0
1980-06-25,2.31,,2.33,2.25,18600.0
1980-06-26,2.38,,2.4,2.31,25500.0
1980-06-27,2.39,,2.4,2.37,31200.0
1980-06-30,2.37,,2.4,2.37,24700.0
1980-07-01,2.37,,2.37,2.35,14000.0
1980-07-02,2.36,,2.37,2.36,6400.0
1980-07-03,2.35,,2.36,2.33,40300.0
1980-07-07,2.34,,2.36,2.33,54900.0
1980-07-08,2.33,,2.33,2.32,15300.0
1980-07-09,2.35,,2.35,2.32,9000.0
1980-07-10,2.32,,2.34,2.32,28100.0
1980-07-11,2.34,,2.34,2.31,28700.0
1980-07-14,2.39,,2.39,2.36,15300.0
1980-07-15,2.4,,2.41,2.39,70700.0
1980-07-16,2.4,,2.43,2.39,16700.0
1980-07-17,2.41,,2.42,2.39,14100.0
1980-07-18,2.44,,2.44,2.43,7400.0
1980-07-21,2.41,,2.46,2.41,8500.0
1980-07-22,2.43,,2.47,2.43,23900.0
1980-07-23,2.45,,2.47,2.44,9100.0
1980-07-24,2.44,,2.46,2.44,25500.0
1980-07-25,2.44,,2.45,2.44,24700.0
1980-07-28,2.45,,2.45,2.44,4300.0
1980-07-29,2.51,,2.52,2.44,17300.0
1980-07-30,2.52,,2.54,2.51,14500.0
1980-07-31,2.54,,2.54,2.52,23800.0
1980-08-01,2.53,,2.54,2.53,18800.0
1980-08-04,2.55,,2.55,2.53,29200.0
1980-08-05,2.54,,2.55,2.54,57900.0
1980-08-06,2.54,,2.55,2.53,53100.0
1980-08-07,2.58,,2.59,2.55,61000.0
1980-08-08,2.64,,2.67,2.63,42600.0
1980-08-11,2.58,,2.6,2.57,40600.0
1980-08-12,2.56,,2.59,2.56,13400.0
1980-08-13,2.57,,2.57,2.55,14700.0
1980-08-14,2.57,,2.57,2.56,24100.0
1980-08-15,2.56,,2.57,2.56,25200.0
1980-08-18,2.54,,2.57,2.54,30100.0
1980-08-19,2.51,,2.52,2.49,26300.0
1980-08-20,2.49,,2.49,2.48,11500.0
1980-08-21,2.55,,2.55,2.51,37100.0
1980-08-22,2.56,,2.57,2.55,18500.0
1980-08-25,2.52,,2.55,2.51,22100.0
1980-08-26,2.51,,2.54,2.51,25800.0
1980-08-27,2.51,,2.51,2.5,18600.0
1980-08-28,2.5,,2.51,2.5,26500.0
1980-08-29,2.51,,2.51,2.5,10000.0
1980-09-02,2.53,,2.54,2.51,6200.0
1980-09-03,2.51,,2.53,2.51,14400.0
1980-09-04,2.5,,2.53,2.5,25000.0
1980-09-05,2.47,,2.49,2.46,43800.0
1980-09-08,2.41,,2.46,2.41,5300.0
1980-09-09,2.4,,2.4,2.34,38100.0
1980-09-10,2.41,,2.43,2.39,15000.0
1980-09-11,2.39,,2.43,2.39,5700.0
1980-09-12,2.42,,2.43,2.38,57200.0
1980-09-15,2.44,,2.44,2.41,42100.0
1980-09-16,2.54,,2.55,2.45,99400.0
1980-09-17,2.55,,2.57,2.53,35500.0
1980-09-18,2.64,,2.64,2.55,44400.0
1980-09-19,2.74,,2.74,2.64,26400.0
1980-09-22,2.81,,2.81,2.76,71500.0
1980-09-23,2.86,,2.89,2.81,105900.0
1980-09-24,2.79,,2.83,2.78,64000.0
1980-09-25,2.69,,2.8,2.69,12100.0
1980-09-26,2.65,,2.66,2.63,18600.0
1980-09-29,2.54,,2.63,2.54,15000.0
1980-09-30,2.57,,2.59,2.53,48200.0
1980-10-01,2.61,,2.62,2.56,39100.0
1980-10-02,2.69,,2.69,2.62,24500.0
1980-10-03,2.66,,2.68,2.66,53100.0
1980-10-06,2.73,,2.73,2.66,60700.0
1980-10-07,2.77,,2.8,2.76,71600.0
1980-10-08,2.82,,2.83,2.78,30400.0
1980-10-09,2.78,,2.84,2.77,14600.0
1980-10-10,2.78,,2.79,2.77,9500.0
1980-10-13,2.79,,2.79,2.76,4300.0
1980-10-14,2.8,,2.81,2.78,11900.0
1980-10-15,2.81,,2.83,2.8,15100.0
1980-10-16,2.8,,2.82,2.8,13100.0
1980-10-17,2.79,,2.81,2.79,15200.0
1980-10-20,2.85,,2.86,2.79,15600.0
1980-10-21,3.0,,3.08,2.89,105200.0
1980-10-22,3.11,,3.15,3.0,52400.0
1980-10-23,3.05,,3.1,3.05,35300.0
1980-10-24,3.02,,3.04,3.0,15800.0
1980-10-27,2.97,,3.02,2.96,11900.0
1980-10-28,2.89,,2.93,2.85,83300.0
1980-10-29,2.88,,2.92,2.88,43900.0
1980-10-30,2.82,,2.88,2.82,18000.0
1980-10-31,2.87,,2.89,2.82,37500.0
1980-11-03,2.92,,2.94,2.9,27000.0
1980-11-05,2.96,,3.03,2.96,56100.0
1980-11-06,2.9,,2.96,2.9,27600.0
