Date,Close,Open,High,Low,Volume
1997-04-15,3.92,3.67,3.92,3.42,1190400.0
1997-04-16,3.71,3.92,4.17,3.58,295800.0
1997-04-17,3.83,3.75,4.08,3.75,168100.0
1997-04-18,4.0,3.83,4.0,3.83,110600.0
1997-04-21,4.0,3.92,4.0,3.92,51600.0
1997-04-22,3.92,4.0,4.0,3.92,54400.0
1997-04-23,4.5,4.0,4.5,3.92,120400.0
1997-04-24,4.83,4.5,5.0,4.42,187700.0
1997-04-25,4.5,4.92,4.92,4.42,76100.0
1997-04-28,4.33,4.5,4.71,4.33,51100.0
1997-04-29,4.92,4.33,4.92,4.33,81500.0
1997-04-30,5.04,4.75,5.08,4.75,52300.0
1997-05-01,5.13,5.0,5.17,5.0,22300.0
1997-05-02,5.0,5.0,5.0,4.67,46800.0
1997-05-05,4.83,4.83,5.0,4.83,8200.0
1997-05-06,4.83,4.83,4.92,4.83,43100.0
1997-05-07,4.92,4.83,4.92,4.67,25100.0
1997-05-08,4.75,4.75,4.92,4.75,42400.0
1997-05-09,4.83,4.92,4.92,4.75,23800.0
1997-05-12,5.42,4.92,5.67,4.83,193200.0
1997-05-13,5.67,5.42,5.67,5.42,16600.0
1997-05-14,5.5,5.67,5.67,5.5,138500.0
1997-05-15,5.33,5.5,5.5,5.33,50100.0
1997-05-16,5.5,5.33,5.5,5.0,105500.0
1997-05-19,5.42,5.33,5.5,5.25,40400.0
1997-05-20,5.25,5.42,5.42,5.25,21300.0
1997-05-21,5.17,5.25,5.33,4.75,97700.0
1997-05-22,5.17,5.17,5.25,5.17,17900.0
1997-05-23,5.13,5.17,5.25,5.08,28200.0
1997-05-27,5.33,5.25,5.42,5.0,104400.0
1997-05-28,5.33,5.42,5.42,5.17,24600.0
1997-05-29,5.33,5.33,5.67,5.25,70200.0
1997-05-30,5.25,5.33,5.33,5.0,85000.0
1997-06-02,5.25,5.29,5.29,5.25,17300.0
1997-06-03,5.5,5.25,5.58,5.25,122700.0
1997-06-04,5.33,5.42,5.54,5.33,31600.0
1997-06-05,5.46,5.33,5.5,5.33,32000.0
1997-06-06,5.33,5.5,5.5,5.33,19900.0
1997-06-09,5.33,5.33,5.5,5.33,15400.0
1997-06-10,5.33,5.33,5.42,5.33,9900.0
1997-06-11,5.42,5.33,5.42,5.33,3600.0
1997-06-12,5.75,5.33,6.0,5.33,142100.0
1997-06-13,5.75,6.0,6.0,5.75,36700.0
1997-06-16,5.75,5.75,5.83,5.75,5500.0
1997-06-17,5.67,5.83,5.83,5.58,55900.0
1997-06-18,5.58,5.67,5.83,5.5,45000.0
1997-06-19,5.5,5.75,5.75,5.42,45000.0
1997-06-20,5.5,5.42,5.58,5.42,12800.0
1997-06-23,5.42,5.42,5.5,5.42,41000.0
1997-06-24,5.58,5.42,5.58,5.42,58600.0
1997-06-25,5.33,5.42,5.42,5.08,29700.0
1997-06-26,5.79,5.33,5.79,5.33,71500.0
1997-06-27,5.71,5.83,5.83,5.58,23500.0
1997-06-30,5.58,5.67,5.83,5.58,28200.0
1997-07-01,5.58,5.67,5.75,5.58,19800.0
1997-07-02,5.5,5.58,5.75,5.33,54200.0
1997-07-03,5.33,5.33,5.5,5.33,7500.0
1997-07-07,5.33,5.42,5.42,5.33,8800.0
1997-07-08,5.63,5.33,5.75,5.33,96400.0
1997-07-09,5.5,5.63,5.75,5.5,27000.0
1997-07-10,5.5,5.5,5.67,5.42,21400.0
1997-07-11,5.33,5.5,5.67,5.33,16300.0
1997-07-14,5.5,5.33,5.5,5.33,11800.0
1997-07-15,5.33,5.5,5.5,5.17,38300.0
1997-07-16,5.08,5.33,5.42,5.08,45100.0
1997-07-17,5.08,5.08,5.25,5.08,26300.0
1997-07-18,5.17,5.17,5.38,5.08,55800.0
1997-07-21,5.08,5.17,5.25,5.08,8500.0
1997-07-22,5.38,5.08,5.38,5.08,119700.0
1997-07-23,5.25,5.25,5.38,5.25,11500.0
1997-07-24,5.25,5.25,5.33,5.25,23000.0
1997-07-25,5.25,5.17,5.33,5.08,28500.0
1997-07-28,5.33,5.17,5.42,5.17,30700.0
1997-07-29,5.25,5.42,5.42,5.25,3500.0
1997-07-30,5.29,5.33,5.42,5.25,46000.0
1997-07-31,5.46,5.42,5.67,5.29,67600.0
1997-08-01,5.4,5.46,5.46,5.33,16000.0
1997-08-04,5.17,5.33,5.38,5.17,78300.0
1997-08-05,5.25,5.33,5.33,5.17,23300.0
1997-08-06,5.25,5.33,5.33,5.08,31500.0
1997-08-07,5.17,5.08,5.31,5.08,21300.0
1997-08-08,5.29,5.17,5.29,5.08,37500.0
1997-08-11,5.08,5.33,5.33,5.08,4300.0
1997-08-12,5.0,5.08,5.29,5.0,18200.0
1997-08-13,5.0,5.17,5.17,4.79,13400.0
1997-08-14,4.46,4.79,4.83,4.42,57800.0
1997-08-15,4.83,4.67,4.83,4.46,21800.0
1997-08-18,4.83,4.75,4.83,4.75,6100.0
1997-08-19,4.92,4.75,4.92,4.75,3700.0
1997-08-20,5.0,4.92,5.0,4.75,36300.0
1997-08-21,4.88,5.0,5.0,4.75,26200.0
1997-08-22,4.79,4.83,4.83,4.79,4900.0
