Date,Close,Open,High,Low,Volume
4/11/2014,18.61,19.29,19.29,18.15,136772.0
4/14/2014,18.01,18.39,18.39,17.85,37039.0
4/15/2014,17.99,18.0,18.17,17.9,3312.0
4/16/2014,17.96,17.99,18.13,17.9,3257.0
4/17/2014,18.03,17.8,18.2,17.8,3553.0
4/22/2014,18.45,18.29,18.59,18.05,2162.0
4/23/2014,18.53,18.5,18.6,18.4,7017.0
4/24/2014,18.54,18.55,18.55,18.54,910.0
4/25/2014,18.1,18.38,18.5,18.0,8832.0
4/28/2014,18.43,18.55,18.55,18.01,817.0
4/29/2014,18.16,18.49,18.49,18.0,1459.0
4/30/2014,18.06,18.55,18.55,18.0,3128.0
5/2/2014,18.08,18.48,18.48,18.0,3589.0
5/5/2014,18.28,18.4,18.46,18.1,691.0
5/6/2014,18.02,18.1,18.3,18.0,1218.0
5/7/2014,17.99,18.0,18.01,17.78,6702.0
5/8/2014,17.94,17.94,17.95,17.91,1536.0
5/9/2014,17.85,17.92,17.92,17.7,721.0
5/12/2014,17.4,17.7,17.79,16.72,58060.0
5/13/2014,17.07,17.39,17.39,17.0,2527.0
5/14/2014,16.99,17.02,17.02,16.9,13923.0
5/15/2014,17.06,17.0,17.5,17.0,303.0
5/16/2014,17.1,17.49,17.5,17.0,2293.0
5/19/2014,17.45,17.45,17.45,17.45,10.0
5/20/2014,17.05,17.11,17.15,16.68,1514.0
5/21/2014,16.94,17.11,17.13,16.65,777.0
5/22/2014,17.3,17.14,17.94,17.0,3188.0
5/23/2014,17.99,17.85,17.99,17.85,1011.0
5/26/2014,18.04,17.99,18.05,17.99,5.0
5/27/2014,17.86,18.0,18.0,17.75,669.0
5/28/2014,17.99,17.99,17.99,17.99,10.0
5/29/2014,17.61,17.8,17.8,17.6,433.0
5/30/2014,18.1,17.6,18.49,17.3,5048.0
6/2/2014,17.94,18.45,18.45,17.8,1155.0
6/3/2014,17.78,18.0,18.0,17.04,251.0
6/4/2014,17.41,17.2,17.85,17.2,712.0
6/5/2014,17.43,17.4,17.65,17.4,387.0
6/6/2014,17.87,17.8,18.25,17.62,11675.0
6/9/2014,18.05,17.94,18.35,17.5,4039.0
6/10/2014,18.38,18.47,18.48,18.3,2820.0
6/11/2014,18.15,18.3,18.3,18.0,1112.0
6/12/2014,18.15,18.23,18.23,18.2,314.0
6/13/2014,18.08,18.0,18.21,18.0,743.0
6/16/2014,18.06,18.2,18.2,17.6,965.0
6/17/2014,18.07,18.21,18.21,17.82,1649.0
6/18/2014,18.19,18.19,18.25,18.19,447.0
6/20/2014,18.23,18.25,18.25,18.2,350.0
6/23/2014,18.18,18.2,18.2,18.2,33.0
6/24/2014,18.15,18.28,18.28,17.9,557.0
6/25/2014,18.25,18.27,18.27,18.2,441.0
6/26/2014,18.07,17.56,18.19,17.56,2504.0
6/27/2014,18.0,18.2,18.2,18.1,15.0
6/30/2014,17.94,18.18,18.18,17.81,437.0
7/1/2014,17.72,18.0,18.0,17.6,162.0
7/2/2014,17.78,17.85,17.9,17.35,3638.0
7/3/2014,18.0,17.9,17.9,17.9,10.0
7/4/2014,18.0,17.9,17.9,17.9,10.0
7/7/2014,17.89,17.9,17.9,17.89,1510.0
7/8/2014,17.87,17.9,17.9,17.8,2035.0
7/9/2014,17.86,17.87,17.87,17.4,1032.0
7/10/2014,17.66,17.86,17.86,17.35,2517.0
7/11/2014,17.66,17.83,17.83,17.4,1366.0
7/14/2014,17.67,17.31,17.77,17.31,1330.0
7/15/2014,17.64,17.77,17.77,17.37,643.0
7/16/2014,17.25,17.77,17.77,17.16,1031.0
7/17/2014,17.34,17.54,17.54,17.0,1746.0
7/18/2014,17.72,17.49,17.77,17.1,1109.0
7/21/2014,17.22,17.5,17.5,17.0,1830.0
7/22/2014,17.38,17.39,17.52,17.3,65.0
7/23/2014,17.26,17.2,17.3,17.2,223.0
7/24/2014,17.28,17.3,17.3,17.24,1814.0
7/25/2014,17.32,17.48,17.48,17.08,9214.0
7/28/2014,17.58,17.58,17.58,17.45,3003.0
7/29/2014,16.62,16.5,16.95,16.5,8430.0
7/30/2014,16.69,16.79,16.79,16.6,254.0
7/31/2014,16.57,16.68,16.68,16.48,2390.0
8/1/2014,16.52,16.75,16.75,16.0,4459.0
8/4/2014,16.73,16.6,16.9,16.6,4050.0
8/5/2014,16.63,17.0,17.0,16.2,777.0
8/6/2014,16.01,16.25,16.25,16.0,5154.0
8/7/2014,15.53,15.99,15.99,15.0,16967.0
8/8/2014,14.9,15.66,15.66,14.4,9399.0
8/11/2014,15.2,15.39,15.39,15.19,2010.0
8/12/2014,15.14,15.44,15.44,15.0,85.0
8/13/2014,15.21,15.43,15.43,15.2,105.0
8/14/2014,14.92,15.44,15.44,14.75,346.0
8/18/2014,15.24,15.44,15.44,14.85,490.0
8/19/2014,15.16,15.29,15.29,15.0,725.0
8/20/2014,15.18,15.2,15.2,14.8,1072.0
8/21/2014,15.02,15.2,15.2,15.0,133.0
8/22/2014,15.16,15.05,15.2,15.05,560.0
8/25/2014,15.52,15.01,16.0,15.01,685.0
8/26/2014,15.29,15.5,15.5,15.05,55.0
8/27/2014,15.12,15.19,15.19,15.1,609.0
8/28/2014,15.0,15.19,15.19,15.0,10394.0
8/29/2014,14.61,15.0,15.0,14.56,13385.0
9/1/2014,14.37,15.0,15.0,14.2,12081.0
9/2/2014,14.85,15.0,15.0,14.5,3565.0
9/3/2014,15.11,14.6,16.0,14.6,2152.0
9/4/2014,15.97,16.0,16.1,15.61,2895.0
9/5/2014,15.46,16.1,16.1,15.4,797.0
9/8/2014,15.43,15.5,15.5,15.0,1164.0
9/9/2014,15.08,15.49,15.49,14.9,141481.0
9/10/2014,15.08,15.15,15.15,15.0,141591.0
9/11/2014,15.7,15.98,15.98,15.3,1826.0
9/12/2014,15.6,15.45,15.89,15.45,41076.0
9/15/2014,16.26,15.99,16.55,15.9,21016.0
9/16/2014,16.33,16.2,16.61,16.2,35240.0
