Date,Close,Open,High,Low,Volume
1980-03-17,3.25,,3.41,3.22,8900.0
1980-03-18,3.16,,3.19,3.06,10900.0
1980-03-19,3.16,,3.19,3.06,4700.0
1980-03-20,3.06,,3.19,3.06,3500.0
1980-03-21,3.0,,3.16,3.0,3900.0
1980-03-24,3.0,,3.03,3.0,4000.0
1980-03-25,2.78,,3.06,2.75,8800.0
1980-03-26,2.88,,2.91,2.81,2900.0
1980-03-27,2.75,,2.91,2.75,5000.0
1980-03-28,2.88,,2.88,2.75,3500.0
1980-03-31,2.81,,2.84,2.78,5600.0
1980-04-01,2.88,,2.88,2.81,2200.0
1980-04-02,2.97,,2.97,2.94,600.0
1980-04-03,2.97,,3.0,2.97,3400.0
1980-04-07,3.06,,3.06,3.0,2800.0
1980-04-08,3.16,,3.16,3.06,1500.0
1980-04-09,3.19,,3.19,3.13,1000.0
1980-04-10,3.13,,3.28,3.13,3200.0
1980-04-11,3.09,,3.22,3.09,4500.0
1980-04-14,3.13,,3.13,3.09,11500.0
1980-04-15,3.06,,3.13,3.06,2800.0
1980-04-16,3.03,,3.09,3.03,4100.0
1980-04-17,3.03,,3.03,2.97,2700.0
1980-04-18,3.06,,3.06,3.0,9300.0
1980-04-21,2.81,,3.0,2.81,6000.0
1980-04-22,2.94,,2.94,2.78,15900.0
1980-04-23,2.91,,2.91,2.88,1100.0
1980-04-24,2.75,,2.91,2.75,16100.0
1980-04-25,2.72,,2.78,2.69,3700.0
1980-04-28,2.75,,2.78,2.72,8900.0
1980-04-29,2.72,,2.78,2.69,7300.0
1980-04-30,2.75,,2.75,2.63,31600.0
1980-05-01,2.69,,2.75,2.69,3600.0
1980-05-02,2.75,,2.75,2.66,9400.0
1980-05-05,2.75,,2.75,2.75,2500.0
1980-05-06,2.72,,2.75,2.72,5400.0
1980-05-07,2.81,,2.81,2.75,9400.0
1980-05-08,2.78,,2.91,2.78,3300.0
1980-05-09,2.81,,2.84,2.78,2300.0
1980-05-12,2.81,,2.81,2.75,5500.0
1980-05-13,2.84,,2.84,2.78,1700.0
1980-05-14,2.84,,2.91,2.81,4200.0
1980-05-15,2.81,,2.91,2.81,3200.0
1980-05-16,2.84,,2.84,2.78,3700.0
1980-05-19,2.91,,2.91,2.78,3300.0
1980-05-20,2.94,,2.97,2.88,5600.0
1980-05-21,2.97,,3.0,2.94,3500.0
1980-05-22,3.0,,3.06,2.94,2700.0
1980-05-23,3.0,,3.09,3.0,3700.0
1980-05-27,2.97,,3.0,2.94,6600.0
1980-05-28,2.94,,2.97,2.94,4600.0
1980-05-29,2.91,,2.94,2.91,2800.0
1980-05-30,2.94,,2.94,2.84,3600.0
1980-06-02,2.84,,2.97,2.84,8200.0
1980-06-03,2.84,,2.88,2.81,2900.0
1980-06-04,2.94,,2.94,2.78,3700.0
1980-06-05,2.91,,2.97,2.88,2600.0
1980-06-06,2.94,,2.94,2.91,2700.0
1980-06-09,2.88,,2.94,2.88,3900.0
1980-06-10,2.91,,2.94,2.88,12000.0
1980-06-11,2.91,,2.91,2.88,4800.0
1980-06-12,2.84,,2.91,2.84,4800.0
1980-06-13,2.91,,2.94,2.91,3500.0
1980-06-16,3.0,,3.0,2.88,42500.0
1980-06-17,2.94,,2.97,2.91,16000.0
1980-06-18,2.88,,2.88,2.84,7300.0
1980-06-19,2.88,,2.91,2.81,5700.0
1980-06-20,2.84,,2.84,2.81,3000.0
1980-06-23,2.88,,2.91,2.81,26900.0
1980-06-24,2.84,,2.84,2.78,2800.0
1980-06-25,2.88,,2.88,2.81,6900.0
1980-06-26,2.81,,2.84,2.81,6400.0
1980-06-27,2.81,,2.88,2.78,10100.0
1980-06-30,2.81,,2.84,2.81,2400.0
1980-07-01,2.81,,2.84,2.78,5900.0
1980-07-02,2.81,,2.81,2.78,2800.0
1980-07-03,2.91,,2.91,2.78,35800.0
1980-07-07,2.91,,2.91,2.81,43500.0
1980-07-08,2.88,,2.94,2.84,7100.0
1980-07-09,2.97,,2.97,2.91,10700.0
1980-07-10,3.13,,3.16,3.0,8300.0
1980-07-11,3.19,,3.25,3.13,10700.0
1980-07-14,3.63,,3.66,3.19,33700.0
1980-07-15,3.75,,3.75,3.63,16400.0
1980-07-16,3.81,,3.91,3.66,12900.0
1980-07-17,3.84,,3.97,3.78,24200.0
1980-07-18,3.63,,3.81,3.63,12400.0
1980-07-21,3.53,,3.63,3.5,4400.0
1980-07-22,3.69,,3.78,3.53,73200.0
1980-07-23,3.75,,3.75,3.69,7500.0
1980-07-24,3.75,,3.75,3.69,6800.0
1980-07-25,3.69,,3.75,3.69,25800.0
1980-07-28,3.69,,3.72,3.63,9500.0
1980-07-29,3.63,,3.72,3.63,3600.0
1980-07-30,3.66,,3.69,3.63,2900.0
1980-07-31,3.72,,3.84,3.63,22300.0
1980-08-01,3.78,,3.78,3.69,5600.0
1980-08-04,3.63,,3.78,3.63,6400.0
1980-08-05,3.75,,3.78,3.69,14500.0
1980-08-06,3.78,,3.78,3.72,5200.0
1980-08-07,3.72,,3.78,3.72,5000.0
1980-08-08,3.75,,3.75,3.72,3900.0
1980-08-11,3.72,,3.75,3.72,9000.0
1980-08-12,3.72,,3.75,3.72,9000.0
1980-08-13,3.69,,3.72,3.69,2300.0
1980-08-14,3.75,,3.75,3.69,6900.0
1980-08-15,3.81,,3.88,3.75,11800.0
1980-08-18,3.75,,3.84,3.75,8100.0
1980-08-19,3.72,,3.75,3.72,1800.0
1980-08-20,3.69,,3.75,3.66,4700.0
1980-08-21,3.81,,3.81,3.75,11300.0
1980-08-22,3.91,,3.94,3.81,15100.0
1980-08-25,3.91,,3.97,3.91,2300.0
1980-08-26,3.78,,3.88,3.78,4200.0
1980-08-27,3.78,,3.81,3.69,4900.0
1980-08-28,3.75,,3.78,3.75,1300.0
1980-08-29,3.78,,3.81,3.75,2500.0
1980-09-02,3.75,,3.78,3.69,10600.0
1980-09-03,3.72,,3.75,3.72,3300.0
1980-09-04,3.72,,3.78,3.72,2600.0
1980-09-05,3.81,,3.84,3.72,3600.0
1980-09-08,3.78,,3.78,3.72,5300.0
1980-09-09,3.69,,3.72,3.69,4400.0
1980-09-10,3.78,,3.84,3.75,3800.0
1980-09-11,3.78,,3.81,3.78,2600.0
1980-09-12,3.78,,3.84,3.78,7500.0
1980-09-15,3.81,,3.81,3.75,11400.0
1980-09-16,3.97,,4.0,3.88,9400.0
1980-09-17,4.0,,4.06,3.91,9600.0
1980-09-18,4.03,,4.09,4.03,4900.0
1980-09-19,3.94,,4.06,3.94,10400.0
1980-09-22,3.97,,3.97,3.91,3000.0
1980-09-23,3.88,,3.97,3.88,6900.0
1980-09-24,3.88,,3.88,3.84,2200.0
1980-09-25,3.88,,3.88,3.81,4900.0
1980-09-26,3.78,,3.81,3.78,3300.0
1980-09-29,3.72,,3.75,3.72,13800.0
1980-09-30,3.72,,3.75,3.72,8300.0
1980-10-01,3.72,,3.75,3.72,3200.0
1980-10-02,3.72,,3.72,3.72,10000.0
1980-10-03,3.72,,3.75,3.72,4400.0
1980-10-06,3.81,,3.84,3.72,5100.0
1980-10-07,3.88,,3.88,3.78,9400.0
1980-10-08,3.84,,3.88,3.84,500.0
1980-10-09,3.78,,3.81,3.78,3400.0
1980-10-10,3.75,,3.81,3.75,4500.0
1980-10-13,3.75,,3.78,3.72,2200.0
1980-10-14,3.69,,3.75,3.69,9300.0
1980-10-15,3.75,,3.75,3.72,2600.0
1980-10-16,3.75,,3.75,3.69,12200.0
1980-10-17,3.75,,3.75,3.69,2500.0
1980-10-20,3.72,,3.81,3.72,13000.0
1980-10-21,3.69,,3.81,3.69,4500.0
1980-10-22,3.66,,3.69,3.66,1700.0
1980-10-23,3.63,,3.63,3.63,2700.0
1980-10-24,3.59,,3.69,3.59,1200.0
1980-10-27,3.66,,3.66,3.59,5800.0
1980-10-28,3.63,,3.63,3.63,14500.0
1980-10-29,3.56,,3.59,3.56,5700.0
1980-10-30,3.56,,3.59,3.56,4600.0
1980-10-31,3.59,,3.63,3.53,12000.0
1980-11-03,3.53,,3.59,3.53,3800.0
1980-11-05,3.59,,3.66,3.56,11400.0
1980-11-06,3.53,,3.59,3.53,2600.0
1980-11-07,3.56,,3.56,3.53,1000.0
1980-11-10,3.53,,3.56,3.53,1900.0
1980-11-11,3.53,,3.59,3.53,3400.0
1980-11-12,3.56,,3.59,3.53,3200.0
1980-11-13,3.59,,3.63,3.59,6800.0
1980-11-14,3.66,,3.66,3.53,4700.0
1980-11-17,3.63,,3.63,3.59,5700.0
1980-11-18,3.75,,3.75,3.63,11100.0
1980-11-19,3.66,,3.72,3.66,23700.0
1980-11-20,3.72,,3.78,3.72,13400.0
1980-11-21,3.81,,3.91,3.75,9900.0
1980-11-24,4.0,,4.0,3.75,17000.0
1980-11-25,4.25,,4.31,4.0,44600.0
1980-11-26,4.09,,4.28,4.09,20000.0
1980-11-28,4.16,,4.16,4.13,2400.0
1980-12-01,4.0,,4.19,4.0,13300.0
1980-12-02,4.03,,4.03,4.0,5200.0
1980-12-03,4.0,,4.0,4.0,1900.0
1980-12-04,4.06,,4.09,4.03,7900.0
1980-12-05,4.03,,4.09,4.03,2400.0
1980-12-08,4.0,,4.06,4.0,14200.0
1980-12-09,4.09,,4.09,4.0,2000.0
1980-12-10,4.19,,4.41,4.19,17900.0
1980-12-11,4.09,,4.22,4.06,4500.0
1980-12-12,4.09,,4.16,4.06,3000.0
1980-12-15,4.19,,4.19,4.16,2900.0
1980-12-16,4.22,,4.28,4.22,3600.0
