Date,Close,Open,High,Low,Volume
2018-01-22,76.87,76.6,76.88,75.5,
2018-01-23,77.97,77.1,78.21,76.4,
2018-01-24,69.05,71.43,72.0,68.07,
2018-01-25,66.08,69.36,69.4,65.8,
2018-01-26,66.56,66.33,66.77,65.44,
2018-01-29,65.78,66.22,66.75,65.46,
2018-01-30,67.01,66.26,67.52,65.78,
2018-01-31,67.82,67.74,69.09,67.32,
2018-02-01,67.15,67.22,67.95,66.23,
2018-02-02,65.68,66.63,66.89,65.48,
2018-02-05,63.4,65.0,65.44,63.28,
2018-02-06,63.95,62.16,64.22,61.96,
2018-02-07,65.36,63.84,66.58,63.75,
2018-02-08,63.37,65.17,65.67,63.33,
2018-02-09,62.98,64.24,64.52,60.44,
2018-02-12,64.14,63.33,64.83,62.97,
2018-02-13,65.7,63.83,65.75,63.66,
2018-02-14,65.68,65.4,66.32,65.16,
2018-02-15,66.74,66.0,66.76,65.64,
2018-02-16,66.52,67.05,67.51,66.51,
2018-02-20,66.59,66.1,66.72,65.78,
2018-02-21,67.0,66.39,68.52,66.36,
2018-02-22,66.7,67.5,67.73,66.45,
2018-02-23,67.57,67.01,67.68,66.74,
2018-02-26,69.26,68.26,69.48,68.25,
2018-02-27,67.86,69.0,69.4,67.79,
2018-02-28,67.79,68.0,68.61,67.33,
2018-03-01,67.54,67.78,69.34,67.02,
2018-03-02,67.51,66.87,67.69,65.67,
2018-03-05,67.21,66.82,67.92,66.41,
2018-03-06,67.52,67.21,67.81,66.29,
2018-03-07,67.81,66.81,67.91,66.53,
2018-03-08,69.87,68.32,70.55,68.05,
2018-03-09,71.55,70.5,71.64,69.73,
2018-03-12,72.0,71.82,72.1,70.4,
2018-03-13,72.6,72.87,73.41,72.47,
2018-03-14,70.74,72.35,73.24,70.44,
2018-03-15,70.14,70.98,71.42,69.93,
2018-03-16,70.88,70.42,71.45,70.1,
2018-03-19,70.13,71.03,71.1,69.51,
2018-03-20,70.48,70.43,70.96,70.08,
2018-03-21,69.94,69.12,70.64,68.81,
2018-03-22,68.45,69.46,70.49,68.44,
2018-03-23,67.39,68.75,68.98,67.33,
2018-03-26,68.48,68.39,68.68,67.32,
2018-03-27,68.18,68.72,69.91,67.81,
2018-03-28,67.91,68.37,68.69,67.23,
2018-03-29,69.47,68.07,70.04,68.07,
2018-04-02,66.77,69.12,69.3,65.6,
2018-04-03,69.19,67.16,69.61,67.07,
2018-04-04,69.99,68.25,70.13,67.94,
2018-04-05,70.69,70.23,71.21,69.86,
2018-04-06,68.63,70.29,70.55,68.0,
2018-04-09,68.52,69.28,69.73,68.28,
2018-04-10,67.59,69.26,69.5,66.58,
2018-04-11,64.87,67.02,67.87,64.8,
2018-04-12,66.1,65.64,66.88,65.32,
2018-04-13,66.54,66.72,67.32,66.13,
2018-04-16,67.31,66.75,68.18,66.71,
2018-04-17,67.34,67.74,68.24,66.75,
2018-04-18,70.58,69.5,72.1,67.63,
2018-04-19,70.23,70.62,71.19,69.13,
2018-04-20,71.75,70.42,72.6,70.42,
2018-04-23,70.33,72.18,72.25,69.71,
2018-04-24,68.95,70.65,70.83,67.72,
2018-04-25,68.51,68.71,68.88,67.14,
2018-04-26,66.62,67.36,67.36,65.45,
2018-04-27,67.86,66.84,68.23,66.84,
2018-04-30,67.54,67.85,68.78,67.44,
2018-05-01,68.38,67.59,68.44,67.07,
2018-05-02,67.92,68.16,69.35,67.8,
2018-05-03,67.52,67.92,67.92,66.53,
2018-05-04,68.32,67.15,68.84,67.15,
2018-05-07,67.52,68.48,68.67,66.98,
2018-05-08,67.72,67.66,69.2,67.24,
2018-05-09,65.8,67.28,67.59,65.57,
2018-05-10,66.02,65.85,66.52,65.57,
2018-05-11,66.92,66.11,67.2,66.11,
2018-05-14,66.64,67.34,67.6,66.14,
2018-05-15,68.03,66.55,68.36,66.1,
2018-05-16,69.74,68.03,70.14,67.72,
2018-05-17,69.49,69.75,70.39,69.32,
2018-05-18,68.42,68.94,69.64,68.4,
2018-05-21,70.07,69.01,70.66,68.92,
2018-05-22,69.99,70.6,71.41,69.71,
2018-05-23,69.54,69.75,69.89,68.87,
2018-05-24,70.47,69.62,70.67,69.45,
2018-05-25,71.68,70.76,72.74,70.65,
2018-05-29,69.52,70.99,71.52,69.04,
2018-05-30,69.8,69.58,69.86,68.99,
2018-05-31,69.59,69.96,70.53,69.2,
2018-06-01,69.25,70.0,70.44,69.1,
2018-06-04,69.98,69.36,70.5,69.36,
2018-06-05,69.32,69.72,69.92,68.57,
2018-06-06,70.36,68.14,70.53,67.93,
2018-06-07,69.54,70.2,70.21,68.92,
2018-06-08,69.99,69.37,70.15,69.07,
2018-06-11,72.15,70.83,73.29,70.56,
2018-06-12,72.39,72.4,72.75,71.42,
2018-06-13,72.5,72.87,73.52,72.38,
2018-06-14,73.02,73.0,74.04,72.63,
2018-06-15,73.89,72.97,74.0,72.28,
2018-06-18,74.49,73.34,74.75,72.75,
2018-06-19,73.0,73.8,74.25,72.38,
2018-06-20,74.07,73.12,74.61,72.88,
2018-06-21,74.42,73.78,75.44,73.78,
2018-06-22,72.94,74.19,75.53,72.8,
2018-06-25,71.33,72.8,72.8,70.82,
2018-06-26,71.02,71.39,71.77,70.57,
2018-06-27,69.57,71.08,71.23,69.53,
2018-06-28,69.44,69.68,69.82,68.49,
2018-06-29,69.73,69.76,70.37,69.64,
2018-07-02,70.92,69.4,70.99,69.21,
2018-07-03,70.16,69.78,70.97,69.4,
2018-07-05,70.92,70.55,71.16,70.42,
2018-07-06,70.96,71.01,71.37,70.57,
2018-07-09,71.79,71.23,72.19,70.69,
2018-07-10,71.3,71.77,71.77,70.25,
2018-07-11,68.88,70.4,70.7,67.94,
2018-07-12,71.04,69.53,71.34,68.86,
2018-07-13,72.1,70.93,72.24,70.93,
2018-07-16,72.26,72.33,72.75,71.52,
2018-07-17,72.62,72.21,73.18,71.98,
2018-07-18,79.0,75.6,79.49,75.56,
2018-07-19,80.59,80.0,80.92,79.31,
2018-07-20,80.91,80.55,81.55,80.22,
2018-07-23,81.59,80.77,81.91,80.42,
2018-07-24,80.04,81.75,81.8,79.55,
2018-07-25,80.56,80.4,81.01,79.94,
2018-07-26,81.24,80.45,82.04,80.13,
2018-07-27,80.01,81.03,81.78,79.6,
2018-07-30,80.07,79.62,80.92,79.5,
2018-07-31,80.4,80.26,81.06,80.07,
2018-08-01,80.02,80.77,81.26,79.83,
2018-08-02,80.85,79.2,80.93,78.7,
2018-08-03,81.34,80.89,81.64,80.54,
2018-08-06,81.83,81.27,82.26,81.04,
2018-08-07,82.32,82.32,82.85,82.02,
2018-08-08,82.79,82.64,83.45,82.41,
2018-08-09,82.75,82.91,83.66,82.49,
2018-08-10,81.72,82.25,82.33,80.65,
2018-08-13,81.21,81.81,82.18,80.72,
2018-08-14,81.44,81.05,82.44,81.02,
2018-08-15,81.87,81.26,82.01,80.35,
2018-08-16,81.9,82.14,82.74,81.04,
2018-08-17,82.01,81.69,82.21,81.52,1671887.0
2018-08-20,85.22,82.41,85.33,82.13,5630095.0
2018-08-21,85.66,85.47,86.6,85.08,3152930.0
2018-08-22,84.53,85.23,85.46,84.37,1296636.0
2018-08-23,84.74,84.6,85.59,84.36,1365417.0
2018-08-24,85.14,84.49,85.52,83.71,2389180.0
2018-08-27,85.94,85.7,86.32,85.57,1895155.0
2018-08-28,86.82,86.04,87.37,85.89,2784980.0
2018-08-29,87.11,86.99,87.44,86.4,1907861.0
2018-08-30,86.92,86.86,87.59,86.51,1854417.0
2018-08-31,87.42,86.9,87.67,86.67,3079479.0
2018-09-04,88.3,87.84,88.84,87.66,3083305.0
2018-09-05,88.19,88.64,89.08,86.26,4088049.0
2018-09-06,87.13,88.16,88.44,86.5,5633030.0
2018-09-07,87.68,87.01,89.48,86.5,2442210.0
2018-09-10,88.09,87.68,88.45,87.15,3205168.0
2018-09-11,89.12,87.96,89.35,87.83,3513429.0
2018-09-12,87.8,88.9,89.21,87.44,2467606.0
2018-09-13,89.58,87.98,90.2,87.83,3571736.0
2018-09-14,90.33,89.74,90.48,89.49,2448473.0
2018-09-17,90.16,90.5,91.39,89.94,1646261.0
2018-09-18,90.11,89.34,90.53,88.65,1933594.0
2018-09-19,89.35,90.02,90.61,89.18,2545614.0
2018-09-20,89.12,89.84,89.92,88.91,2409841.0
2018-09-21,89.94,89.57,90.25,87.11,4690350.0
2018-09-24,87.84,89.83,89.83,87.03,3534890.0
2018-09-25,87.92,87.83,88.04,86.82,2061663.0
2018-09-26,88.97,88.85,89.46,88.46,2031541.0
2018-09-27,88.34,88.93,89.99,88.24,2156248.0
