Date,Close,Open,High,Low,Volume
7/9/1981,1.15,,1.16,1.15,263500.0
7/10/1981,1.12,,1.14,1.12,222000.0
7/13/1981,1.11,,1.12,1.11,26400.0
7/14/1981,1.1,,1.12,1.1,38500.0
7/15/1981,1.07,,1.09,1.07,22900.0
7/16/1981,1.07,,1.09,1.07,21000.0
7/17/1981,1.07,,1.09,1.07,5000.0
7/20/1981,1.02,,1.04,1.02,17700.0
7/21/1981,1.01,,1.02,1.01,27900.0
7/22/1981,1.01,,1.02,1.01,8300.0
7/23/1981,1.01,,1.02,1.01,3900.0
7/24/1981,1.02,,1.04,1.02,5300.0
7/27/1981,1.05,,1.07,1.05,11100.0
7/28/1981,1.07,,1.09,1.07,5300.0
7/29/1981,1.07,,1.09,1.07,11500.0
7/30/1981,1.07,,1.09,1.07,29000.0
7/31/1981,1.07,,1.09,1.07,8400.0
8/3/1981,1.07,,1.09,1.07,18100.0
8/4/1981,1.07,,1.09,1.07,13500.0
8/5/1981,1.07,,1.09,1.07,4700.0
8/6/1981,1.07,,1.09,1.07,7900.0
8/7/1981,1.04,,1.06,1.04,13500.0
8/11/1981,1.04,,1.05,1.04,5100.0
8/12/1981,1.04,,1.05,1.04,3900.0
8/13/1981,1.04,,1.05,1.04,15200.0
8/14/1981,1.03,,1.05,1.03,5300.0
8/17/1981,1.03,,1.04,1.03,5200.0
8/18/1981,0.96,,0.97,0.96,20000.0
8/19/1981,0.97,,0.98,0.97,13500.0
8/20/1981,0.97,,0.98,0.97,25400.0
8/21/1981,0.94,,0.95,0.94,8000.0
8/24/1981,0.89,,0.91,0.89,11900.0
8/25/1981,0.88,,0.89,0.88,5700.0
8/26/1981,0.85,,0.87,0.85,6200.0
8/27/1981,0.82,,0.85,0.82,8600.0
8/28/1981,0.84,,0.85,0.84,6000.0
8/31/1981,0.85,,0.87,0.85,14200.0
9/1/1981,0.85,,0.87,0.85,14100.0
9/2/1981,0.84,,0.87,0.84,5100.0
9/3/1981,0.84,,0.85,0.84,1300.0
9/4/1981,0.82,,0.84,0.82,6700.0
9/8/1981,0.8,,0.81,0.8,5900.0
