Date,Close,Open,High,Low,Volume
2007-10-25,29.82,33.0,35.0,28.89,7487306.0
2007-10-26,32.0,29.69,32.98,29.25,1625582.0
2007-10-29,34.7,33.98,35.0,32.65,668513.0
2007-10-30,35.43,35.22,35.6,33.0,455543.0
2007-10-31,34.2,34.93,35.63,32.95,393584.0
2007-11-01,32.73,33.5,33.5,32.14,453876.0
2007-11-02,32.42,32.74,32.97,31.52,275937.0
2007-11-05,31.5,31.61,32.25,31.11,342379.0
2007-11-06,31.43,31.51,31.9,31.35,223066.0
2007-11-07,29.35,31.3,31.3,29.25,525585.0
2007-11-08,30.0,29.25,30.15,29.25,411088.0
2007-11-09,29.9,29.65,30.08,29.06,213304.0
2007-11-12,29.04,29.67,31.16,29.04,112874.0
2007-11-13,29.13,29.3,30.0,28.41,236667.0
2007-11-14,29.95,29.16,30.25,29.1,244425.0
2007-11-15,30.2,29.71,30.69,29.71,76798.0
2007-11-16,30.69,30.2,30.7,30.0,88818.0
2007-11-19,29.19,30.05,30.69,28.75,238207.0
2007-11-20,27.0,29.71,29.72,25.26,742895.0
2007-11-21,24.35,26.33,26.41,23.26,810361.0
2007-11-23,24.17,23.74,24.24,22.85,100153.0
2007-11-26,24.2,24.77,25.33,24.0,233800.0
2007-11-27,23.87,24.44,25.0,23.8,211115.0
2007-11-28,24.85,24.47,25.31,24.2,417363.0
2007-11-29,24.79,24.49,25.02,24.19,341654.0
2007-11-30,25.74,25.0,26.23,24.76,199068.0
2007-12-03,26.3,25.98,26.75,25.55,319191.0
2007-12-04,25.85,26.29,26.66,25.73,180419.0
2007-12-05,26.54,26.08,26.75,26.01,168430.0
2007-12-06,27.49,26.55,27.5,26.55,102070.0
2007-12-07,27.98,27.67,28.85,27.66,103190.0
2007-12-10,27.5,28.23,28.53,26.53,281467.0
2007-12-11,20.91,26.5,26.79,19.35,3591083.0
2007-12-12,19.55,21.12,21.85,18.41,1121328.0
2007-12-13,18.56,19.55,19.76,17.53,1190276.0
2007-12-14,18.55,18.7,18.7,18.1,173455.0
2007-12-17,17.86,18.6,18.6,17.41,161501.0
2007-12-18,17.7,18.0,18.0,17.12,220884.0
2007-12-19,17.75,17.81,17.92,17.1,143351.0
2007-12-20,16.75,17.75,17.75,16.5,252613.0
2007-12-21,16.58,17.0,17.15,15.6,1079970.0
2007-12-24,16.8,16.74,16.83,16.23,189595.0
2007-12-26,17.35,16.7,17.95,16.41,270613.0
2007-12-27,17.27,17.25,17.45,17.0,123358.0
2007-12-28,17.1,17.26,17.48,16.9,236445.0
2007-12-31,17.15,17.0,17.35,16.88,515246.0
2008-01-02,16.55,17.0,17.1,16.23,213031.0
2008-01-03,15.5,16.24,16.86,15.05,296493.0
2008-01-04,14.49,15.75,15.75,14.49,334323.0
2008-01-07,12.52,14.56,14.75,11.83,993206.0
2008-01-08,13.55,12.8,13.75,12.35,703928.0
2008-01-09,14.5,13.49,14.5,13.39,1019745.0
2008-01-10,16.07,14.35,16.26,14.35,1232662.0
2008-01-11,15.8,15.7,16.0,15.21,417765.0
2008-01-14,16.05,15.77,16.41,15.58,237893.0
2008-01-15,15.61,15.65,16.06,15.58,291563.0
2008-01-16,15.91,15.6,16.33,15.59,297034.0
2008-01-17,14.76,15.83,15.92,14.39,188877.0
2008-01-18,12.5,14.66,14.74,12.0,951079.0
2008-01-22,12.58,12.0,12.86,11.78,1503690.0
2008-01-23,14.25,12.28,14.5,12.27,391619.0
2008-01-24,14.3,14.3,14.55,13.99,579310.0
2008-01-25,15.19,14.53,15.68,14.25,340111.0
2008-01-28,15.5,15.11,15.76,14.83,212308.0
2008-01-29,16.35,15.5,16.6,15.14,233901.0
2008-01-30,15.55,16.11,16.53,15.49,330010.0
2008-01-31,15.24,15.4,15.77,15.21,281690.0
2008-02-01,14.75,15.55,15.68,14.1,374970.0
2008-02-04,14.03,14.63,14.88,13.88,189300.0
2008-02-05,14.0,13.71,14.19,13.69,165919.0
2008-02-06,14.2,14.04,14.75,14.0,92123.0
2008-02-07,15.92,14.15,16.25,13.93,243424.0
2008-02-08,15.55,15.75,15.78,15.12,395631.0
2008-02-11,15.09,15.55,15.6,14.79,125144.0
2008-02-12,14.91,15.14,15.86,14.8,123590.0
2008-02-13,14.93,15.02,15.08,14.5,147478.0
2008-02-14,14.79,14.99,15.09,14.33,174501.0
2008-02-15,14.79,14.74,14.79,14.44,67064.0
2008-02-19,14.78,15.05,16.04,14.75,119370.0
2008-02-20,14.92,14.74,15.0,14.4,72220.0
2008-02-21,14.78,15.06,15.53,14.76,123519.0
2008-02-22,14.0,14.79,14.88,13.49,155277.0
2008-02-25,14.15,14.28,14.3,13.9,275205.0
2008-02-26,15.17,14.08,15.48,14.08,141379.0
2008-02-27,14.82,14.96,14.96,14.64,106448.0
2008-02-28,14.62,15.04,15.05,14.58,192409.0
2008-02-29,14.01,14.5,14.68,13.79,155863.0
2008-03-03,14.75,14.25,15.1,14.25,269544.0
2008-03-04,14.32,14.57,14.94,14.03,65716.0
2008-03-05,14.44,14.42,14.79,14.08,110225.0
2008-03-06,14.3,14.34,14.45,14.0,121343.0
2008-03-07,13.48,14.09,14.31,13.42,117930.0
2008-03-10,12.69,13.5,13.66,12.5,228666.0
2008-03-11,12.82,13.04,13.35,12.73,137858.0
2008-03-12,12.22,12.86,13.15,12.14,176753.0
2008-03-13,10.49,12.0,12.0,10.44,271105.0
2008-03-14,10.7,10.8,11.0,10.08,691423.0
2008-03-17,11.28,10.15,11.51,10.14,175216.0
2008-03-18,11.8,11.7,11.93,11.0,254946.0
2008-03-19,11.5,12.0,12.26,11.46,240100.0
2008-03-20,12.78,10.71,13.35,10.35,745873.0
2008-03-24,13.99,13.03,14.96,12.51,205511.0
2008-03-25,15.02,13.88,17.12,13.88,390051.0
2008-03-26,14.65,14.89,14.89,14.29,131420.0
2008-03-27,14.47,14.73,14.73,13.9,113697.0
2008-03-28,14.02,14.4,14.66,14.02,147101.0
2008-03-31,14.04,14.16,14.46,13.63,163511.0
2008-04-01,14.32,14.0,14.84,14.0,266137.0
2008-04-02,13.98,14.35,14.48,13.98,142847.0
2008-04-03,14.07,13.81,14.15,13.81,100769.0
2008-04-04,13.82,14.11,14.11,13.5,133291.0
2008-04-07,13.52,13.89,14.03,13.49,94993.0
2008-04-08,14.18,13.32,14.9,13.32,194591.0
2008-04-09,13.73,14.25,14.27,13.55,198808.0
