Date,Close,Open,High,Low,Volume
1984-10-17,0.14,,0.15,0.14,308400.0
1984-10-18,0.15,,0.16,0.15,166400.0
1984-10-19,0.14,,0.15,0.14,95100.0
1984-10-22,0.14,,0.15,0.14,72700.0
1984-10-23,0.14,,0.14,0.14,24600.0
1984-10-24,0.14,,0.15,0.14,7200.0
1984-10-25,0.14,,0.15,0.14,49600.0
1984-10-26,0.14,,0.14,0.14,23700.0
1984-10-29,0.14,,0.14,0.14,19200.0
1984-10-30,0.14,,0.15,0.14,6000.0
1984-10-31,0.14,,0.15,0.14,9300.0
1984-11-01,0.14,,0.14,0.14,11000.0
1984-11-02,0.14,,0.14,0.14,51200.0
1984-11-05,0.14,,0.14,0.14,16700.0
1984-11-06,0.14,,0.14,0.14,17000.0
1984-11-07,0.14,,0.14,0.14,2400.0
1984-11-08,0.14,,0.14,0.14,1400.0
1984-11-09,0.14,,0.14,0.14,28000.0
1984-11-12,0.14,,0.14,0.14,9400.0
1984-11-13,0.14,,0.14,0.14,14500.0
1984-11-14,0.13,,0.14,0.13,47600.0
1984-11-15,0.13,,0.14,0.13,4900.0
1984-11-16,0.13,,0.14,0.13,18100.0
1984-11-19,0.13,,0.14,0.13,11200.0
1984-11-20,0.12,,0.13,0.12,5600.0
1984-11-21,0.12,,0.13,0.12,28300.0
1984-11-23,0.12,,0.13,0.12,800.0
1984-11-26,0.13,,0.13,0.13,5200.0
1984-11-27,0.13,,0.13,0.13,4600.0
1984-11-28,0.13,,0.13,0.13,15400.0
1984-11-29,0.13,,0.13,0.13,8200.0
1984-11-30,0.13,,0.13,0.13,17400.0
1984-12-03,0.13,,0.13,0.13,11900.0
1984-12-04,0.12,,0.13,0.12,6800.0
1984-12-05,0.12,,0.13,0.12,3200.0
1984-12-06,0.12,,0.13,0.12,19700.0
1984-12-07,0.12,,0.12,0.12,2700.0
1984-12-10,0.12,,0.12,0.12,65600.0
1984-12-11,0.12,,0.12,0.12,5900.0
1984-12-12,0.12,,0.12,0.12,12300.0
1984-12-13,0.12,,0.12,0.12,3200.0
1984-12-14,0.12,,0.12,0.12,2800.0
1984-12-17,0.12,,0.12,0.12,3200.0
1984-12-18,0.12,,0.12,0.12,6700.0
1984-12-19,0.12,,0.12,0.12,3200.0
1984-12-20,0.12,,0.12,0.12,3800.0
1984-12-21,0.12,,0.12,0.12,22000.0
1984-12-24,0.12,,0.12,0.12,28800.0
1984-12-26,0.12,,0.12,0.12,16300.0
1984-12-27,0.12,,0.13,0.12,29600.0
1984-12-28,0.12,,0.12,0.12,2400.0
