Date,Close,Open,High,Low,Volume
12/18/1997,15.0,14.5,16.13,14.38,1905200.0
12/19/1997,15.5,15.0,15.63,14.69,275200.0
12/22/1997,15.0,15.5,15.88,15.0,88300.0
12/23/1997,15.5,15.0,15.81,15.0,74500.0
12/24/1997,16.25,16.0,16.25,16.0,45400.0
12/26/1997,17.0,16.31,17.0,16.25,45400.0
12/29/1997,17.81,16.75,17.88,16.75,107100.0
12/30/1997,17.94,17.81,18.06,17.56,49600.0
12/31/1997,19.31,18.0,19.31,17.81,50800.0
1/2/1998,20.06,20.25,20.25,19.06,209500.0
1/5/1998,18.81,20.5,20.75,18.25,384300.0
1/6/1998,19.38,19.38,19.88,18.63,195600.0
1/7/1998,18.88,19.44,19.44,18.38,97700.0
1/8/1998,18.44,19.0,19.19,18.44,61300.0
1/9/1998,18.25,18.69,18.69,17.5,101700.0
1/12/1998,17.81,18.25,18.25,17.25,138500.0
1/13/1998,19.88,19.38,20.0,19.0,297400.0
1/14/1998,20.63,20.31,20.75,20.0,135600.0
1/15/1998,21.13,20.75,22.5,20.75,219900.0
1/16/1998,21.38,21.38,21.56,21.13,47300.0
1/20/1998,21.94,21.81,22.5,21.81,60600.0
1/21/1998,22.25,21.94,23.38,21.94,89700.0
1/22/1998,22.06,22.38,22.75,22.0,29500.0
1/23/1998,21.75,22.25,22.25,21.13,48100.0
1/26/1998,21.88,22.25,22.44,21.5,40000.0
1/27/1998,22.19,22.0,22.38,21.81,106600.0
1/28/1998,23.0,22.38,23.25,22.38,44300.0
1/29/1998,23.63,23.13,23.88,23.0,22200.0
1/30/1998,23.88,23.5,24.0,23.25,24000.0
2/2/1998,24.5,25.0,25.0,23.69,63000.0
2/3/1998,24.31,24.63,24.63,24.19,34900.0
2/4/1998,25.5,24.5,25.63,24.38,71900.0
2/5/1998,24.94,24.75,25.25,24.38,130700.0
2/6/1998,25.63,25.25,25.75,25.25,32000.0
2/9/1998,26.0,26.25,26.56,25.94,62100.0
2/10/1998,26.5,26.0,26.63,25.75,80100.0
2/11/1998,27.13,26.63,27.38,26.5,41700.0
2/12/1998,26.5,27.13,27.13,26.5,28400.0
2/13/1998,26.06,26.5,26.88,26.0,58500.0
2/17/1998,26.88,26.19,26.88,26.19,18000.0
2/18/1998,25.81,26.75,26.88,25.81,26100.0
2/19/1998,24.56,25.75,25.75,23.75,76300.0
2/20/1998,24.63,24.5,25.44,24.5,30600.0
2/23/1998,25.31,24.88,25.5,24.88,29200.0
2/24/1998,25.19,25.44,25.5,25.19,6400.0
2/25/1998,25.44,25.44,25.44,25.06,9800.0
2/26/1998,25.13,25.19,25.25,25.13,2900.0
2/27/1998,24.69,25.25,25.44,24.69,31400.0
3/2/1998,24.94,24.81,25.25,24.5,45100.0
3/3/1998,25.5,25.06,25.63,25.06,23700.0
3/4/1998,26.38,25.56,26.38,25.56,62700.0
3/5/1998,25.56,26.25,26.38,25.56,74700.0
3/6/1998,25.56,26.25,26.69,25.56,2289400.0
3/9/1998,25.56,25.56,26.13,25.38,463200.0
3/10/1998,25.13,25.63,25.75,25.13,284100.0
3/11/1998,25.13,25.19,25.31,24.0,253100.0
3/12/1998,25.38,25.31,25.63,25.25,242400.0
3/13/1998,25.5,25.5,25.63,25.0,107500.0
3/16/1998,25.06,25.38,25.38,25.0,64800.0
3/17/1998,25.63,25.19,25.63,25.06,266100.0
3/18/1998,24.25,25.38,25.38,24.25,402500.0
3/19/1998,24.5,24.38,25.0,24.38,318000.0
3/20/1998,23.5,24.25,24.25,23.5,273500.0
3/23/1998,21.94,23.5,23.75,21.5,486500.0
3/24/1998,24.38,22.75,24.38,22.63,391600.0
3/25/1998,24.88,24.5,25.25,24.06,256600.0
3/26/1998,24.25,24.5,24.63,24.19,57200.0
3/27/1998,25.25,24.25,25.38,24.25,80500.0
3/30/1998,24.56,25.0,25.0,24.25,201700.0
3/31/1998,26.0,24.5,26.0,24.5,146300.0
4/1/1998,25.31,26.0,26.0,25.0,60500.0
4/2/1998,25.31,25.25,25.38,25.0,79900.0
4/3/1998,25.75,25.31,26.38,25.31,173400.0
4/6/1998,25.31,25.94,25.94,25.25,51600.0
4/7/1998,24.38,25.44,25.44,24.13,86400.0
4/8/1998,24.75,24.25,24.81,24.25,81900.0
4/9/1998,25.13,25.0,25.25,24.88,63300.0
4/13/1998,25.88,25.25,26.06,25.0,84300.0
4/14/1998,29.88,28.75,29.88,27.88,561700.0
4/15/1998,30.13,29.75,30.25,28.75,212200.0
4/16/1998,31.38,30.13,31.63,30.13,154300.0
4/17/1998,31.5,31.13,31.88,31.06,94200.0
4/20/1998,30.25,31.31,31.63,30.0,79700.0
4/21/1998,31.0,30.5,31.38,30.25,47200.0
4/22/1998,31.63,31.13,31.75,31.0,42000.0
4/23/1998,30.5,31.75,31.75,30.13,62100.0
4/24/1998,30.5,30.44,30.5,29.38,112600.0
4/27/1998,30.5,29.75,30.5,29.19,65700.0
4/28/1998,34.06,33.75,34.13,33.25,321000.0
4/29/1998,34.5,34.5,35.31,34.25,215300.0
4/30/1998,34.44,34.63,35.94,34.44,108700.0
5/1/1998,34.5,34.44,34.81,34.44,36400.0
5/4/1998,34.63,34.63,35.19,34.5,314200.0
5/5/1998,35.13,34.63,35.38,34.5,57000.0
5/6/1998,35.5,35.13,35.5,35.0,464800.0
5/7/1998,34.88,35.38,35.75,34.88,30900.0
5/8/1998,35.5,35.0,35.5,34.94,38200.0
5/11/1998,36.56,35.75,37.25,35.75,103000.0
5/12/1998,36.56,36.75,36.94,36.5,39000.0
5/13/1998,37.0,36.5,37.25,36.5,281400.0
5/14/1998,36.25,37.0,37.0,36.0,88100.0
5/15/1998,36.13,36.25,36.31,36.13,87200.0
5/18/1998,33.75,35.88,35.88,33.75,220400.0
5/19/1998,33.75,34.0,34.5,33.0,135400.0
5/20/1998,33.94,33.88,34.0,33.5,120600.0
5/21/1998,33.94,34.0,34.0,33.69,31400.0
5/22/1998,33.94,34.0,34.0,33.88,23100.0
5/26/1998,35.25,34.0,35.63,34.0,140300.0
5/27/1998,34.5,35.25,35.38,34.47,51700.0
5/28/1998,34.13,34.5,34.63,34.13,54900.0
5/29/1998,34.5,34.13,34.63,34.13,29200.0
6/1/1998,34.94,34.5,34.94,34.44,17400.0
6/2/1998,35.0,35.0,35.25,34.69,18400.0
6/3/1998,36.0,35.0,36.0,35.0,95300.0
6/4/1998,36.0,35.88,36.0,35.88,149600.0
6/5/1998,35.44,36.19,36.44,35.38,56000.0
6/8/1998,35.38,35.5,35.75,35.19,51200.0
6/9/1998,35.75,35.63,35.75,35.5,99800.0
6/10/1998,35.44,35.75,35.75,35.31,14600.0
6/11/1998,35.0,35.44,35.44,34.88,23000.0
6/12/1998,34.31,35.0,35.06,34.0,37700.0
6/15/1998,33.38,34.0,34.0,32.88,37300.0
6/16/1998,35.75,36.5,38.0,35.75,2313200.0
6/17/1998,36.38,35.75,36.5,35.75,808600.0
6/18/1998,35.89,36.38,36.38,35.5,470900.0
6/19/1998,36.0,35.94,36.06,35.75,155000.0
6/22/1998,36.38,36.0,36.38,35.94,109000.0
