Date,Close,Open,High,Low,Volume
1980-03-17,0.57,,0.6,0.57,2100.0
1980-03-18,0.57,,0.59,0.57,900.0
1980-03-19,0.57,,0.59,0.57,2600.0
1980-03-20,0.57,,0.59,0.57,500.0
1980-03-21,0.56,,0.59,0.56,200.0
1980-03-24,0.56,,0.59,0.56,1300.0
1980-03-25,0.56,,0.59,0.56,200.0
1980-03-26,0.56,,0.59,0.56,300.0
1980-03-27,0.54,,0.57,0.54,2600.0
1980-03-28,0.54,,0.57,0.54,1200.0
1980-03-31,0.55,,0.57,0.55,1200.0
1980-04-01,0.55,,0.58,0.55,1400.0
1980-04-02,0.55,,0.58,0.55,1200.0
1980-04-03,0.55,,0.57,0.55,800.0
1980-04-07,0.55,,0.58,0.55,2600.0
1980-04-08,0.55,,0.57,0.55,100.0
1980-04-09,0.56,,0.59,0.56,900.0
1980-04-10,0.57,,0.59,0.57,1600.0
1980-04-11,0.57,,0.6,0.57,300.0
1980-04-14,0.58,,0.6,0.58,300.0
1980-04-15,0.59,,0.62,0.59,900.0
1980-04-16,0.59,,0.62,0.59,1100.0
1980-04-17,0.59,,0.62,0.59,400.0
1980-04-18,0.59,,0.61,0.59,2500.0
1980-04-21,0.59,,0.61,0.59,500.0
1980-04-22,0.59,,0.61,0.59,200.0
1980-04-23,0.59,,0.62,0.59,900.0
1980-04-24,0.59,,0.62,0.59,1900.0
1980-04-25,0.59,,0.62,0.59,100.0
1980-04-28,0.59,,0.62,0.59,500.0
1980-04-29,0.59,,0.62,0.59,1300.0
1980-04-30,0.59,,0.62,0.59,500.0
1980-05-01,0.59,,0.62,0.59,100.0
1980-05-02,0.6,,0.62,0.6,500.0
1980-05-05,0.6,,0.62,0.6,100.0
1980-05-06,0.61,,0.64,0.61,5200.0
1980-05-07,0.62,,0.65,0.62,2400.0
1980-05-08,0.62,,0.65,0.62,3600.0
1980-05-09,0.62,,0.65,0.62,1300.0
1980-05-12,0.62,,0.65,0.62,700.0
1980-05-13,0.63,,0.65,0.63,2100.0
1980-05-14,0.62,,0.65,0.62,1000.0
1980-05-15,0.63,,0.65,0.63,300.0
1980-05-16,0.63,,0.65,0.63,500.0
1980-05-19,0.63,,0.65,0.63,600.0
1980-05-20,0.63,,0.65,0.63,1400.0
1980-05-21,0.63,,0.65,0.63,300.0
1980-05-22,0.63,,0.65,0.63,80.0
1980-05-23,0.62,,0.65,0.62,1000.0
1980-05-27,0.63,,0.65,0.63,1400.0
1980-05-28,0.63,,0.65,0.63,1000.0
1980-05-29,0.63,,0.65,0.63,1100.0
1980-05-30,0.62,,0.65,0.62,100.0
1980-06-02,0.62,,0.65,0.62,1000.0
1980-06-04,0.62,,0.64,0.62,2100.0
1980-06-05,0.62,,0.65,0.62,400.0
1980-06-06,0.62,,0.65,0.62,100.0
1980-06-09,0.63,,0.65,0.63,600.0
1980-06-10,0.62,,0.65,0.62,300.0
1980-06-11,0.64,,0.66,0.64,1400.0
1980-06-12,0.65,,0.68,0.65,2000.0
1980-06-13,0.68,,0.7,0.68,1000.0
1980-06-16,0.7,,0.72,0.7,1100.0
1980-06-17,0.7,,0.72,0.7,4600.0
1980-06-18,0.69,,0.72,0.69,1800.0
1980-06-19,0.68,,0.71,0.68,700.0
1980-06-20,0.68,,0.7,0.68,200.0
1980-06-23,0.68,,0.7,0.68,1200.0
1980-06-24,0.68,,0.7,0.68,500.0
1980-06-25,0.67,,0.7,0.67,400.0
1980-06-26,0.67,,0.7,0.67,200.0
1980-06-27,0.68,,0.7,0.68,1100.0
1980-06-30,0.66,,0.68,0.66,200.0
1980-07-01,0.66,,0.68,0.66,1100.0
1980-07-02,0.66,,0.68,0.66,200.0
1980-07-07,0.66,,0.68,0.66,2700.0
1980-07-08,0.66,,0.68,0.66,500.0
1980-07-09,0.66,,0.68,0.66,400.0
1980-07-10,0.66,,0.68,0.66,2700.0
1980-07-11,0.66,,0.68,0.66,600.0
1980-07-14,0.66,,0.68,0.66,300.0
1980-07-15,0.66,,0.68,0.66,900.0
1980-07-16,0.66,,0.68,0.66,400.0
1980-07-18,0.66,,0.68,0.66,1800.0
1980-07-21,0.66,,0.67,0.66,400.0
1980-07-22,0.65,,0.67,0.65,900.0
1980-07-23,0.65,,0.67,0.65,400.0
1980-07-24,0.64,,0.67,0.64,2500.0
1980-07-25,0.64,,0.67,0.64,200.0
1980-07-28,0.65,,0.67,0.65,1300.0
1980-07-29,0.65,,0.66,0.65,500.0
1980-07-30,0.65,,0.66,0.65,1100.0
1980-07-31,0.65,,0.67,0.65,800.0
1980-08-01,0.65,,0.67,0.65,3000.0
1980-08-04,0.65,,0.67,0.65,5500.0
1980-08-05,0.65,,0.67,0.65,400.0
1980-08-06,0.66,,0.68,0.66,2000.0
1980-08-07,0.66,,0.68,0.66,200.0
1980-08-08,0.66,,0.68,0.66,300.0
1980-08-11,0.65,,0.67,0.65,1500.0
1980-08-12,0.65,,0.67,0.65,600.0
1980-08-13,0.65,,0.67,0.65,900.0
1980-08-15,0.65,,0.67,0.65,200.0
1980-08-18,0.64,,0.66,0.64,4000.0
1980-08-19,0.64,,0.66,0.64,200.0
1980-08-20,0.65,,0.66,0.65,1800.0
1980-08-21,0.65,,0.67,0.65,500.0
1980-08-22,0.65,,0.67,0.65,100.0
1980-08-25,0.65,,0.67,0.65,2500.0
1980-08-26,0.65,,0.67,0.65,4000.0
1980-08-27,0.65,,0.67,0.65,3200.0
1980-08-28,0.65,,0.67,0.65,400.0
1980-08-29,0.65,,0.67,0.65,100.0
1980-09-02,0.64,,0.66,0.64,700.0
1980-09-03,0.64,,0.66,0.64,400.0
1980-09-04,0.64,,0.66,0.64,1000.0
1980-09-05,0.64,,0.66,0.64,1100.0
1980-09-08,0.64,,0.66,0.64,900.0
1980-09-09,0.63,,0.65,0.63,400.0
1980-09-10,0.63,,0.65,0.63,40.0
1980-09-11,0.63,,0.65,0.63,1000.0
1980-09-12,0.63,,0.65,0.63,900.0
1980-09-15,0.63,,0.65,0.63,2500.0
1980-09-16,0.63,,0.65,0.63,1800.0
1980-09-17,0.63,,0.65,0.63,4300.0
1980-09-18,0.63,,0.65,0.63,2000.0
1980-09-19,0.63,,0.65,0.63,100.0
1980-09-22,0.63,,0.65,0.63,500.0
1980-09-23,0.63,,0.64,0.63,2800.0
1980-09-24,0.62,,0.64,0.62,7400.0
1980-09-25,0.62,,0.64,0.62,5900.0
1980-09-26,0.62,,0.64,0.62,4000.0
1980-09-29,0.61,,0.64,0.61,200.0
1980-09-30,0.61,,0.64,0.61,1400.0
1980-10-02,0.6,,0.62,0.6,1500.0
1980-10-03,0.6,,0.62,0.6,600.0
1980-10-06,0.6,,0.62,0.6,1100.0
1980-10-07,0.6,,0.62,0.6,1100.0
1980-10-08,0.6,,0.62,0.6,900.0
1980-10-09,0.6,,0.62,0.6,2100.0
