Date,Close,Open,High,Low,Volume
3/19/2008,14.13,14.88,17.25,13.75,177121472.0
3/20/2008,16.09,14.6,16.25,14.38,49746236.0
3/24/2008,14.93,16.81,16.93,14.75,37423746.0
3/25/2008,15.81,15.15,16.06,14.96,21791298.0
3/26/2008,15.99,15.68,16.12,15.39,10784854.0
3/27/2008,15.73,16.01,16.19,15.66,9958761.0
3/28/2008,15.69,15.84,15.86,15.54,6174579.0
3/31/2008,15.59,15.65,15.87,15.51,5542662.0
4/1/2008,15.4,15.77,15.92,15.08,15107970.0
4/2/2008,15.58,15.43,15.58,15.13,10961640.0
4/3/2008,16.38,15.49,16.57,15.46,25216907.0
4/4/2008,16.12,16.23,16.33,15.94,9099011.0
4/7/2008,16.26,16.28,16.45,16.01,7078367.0
4/8/2008,17.02,16.23,17.06,16.2,13490957.0
4/9/2008,16.45,17.11,17.18,16.4,12084944.0
4/10/2008,16.53,16.54,16.68,16.28,5596283.0
4/11/2008,16.53,16.31,16.69,16.31,6608602.0
4/14/2008,16.42,16.68,16.81,16.38,7111548.0
4/15/2008,16.09,16.57,16.64,16.0,5975843.0
4/16/2008,16.54,16.14,16.74,16.14,6287187.0
4/17/2008,16.76,16.57,16.94,16.5,5615554.0
4/18/2008,17.25,17.0,17.61,16.8,26030743.0
4/21/2008,17.74,17.37,18.13,17.21,14721301.0
4/22/2008,17.57,17.98,18.1,17.5,11844560.0
4/23/2008,17.52,17.74,17.93,17.42,9334153.0
4/24/2008,18.08,17.8,18.25,17.51,9770604.0
4/25/2008,18.78,19.0,19.02,18.48,25364987.0
4/28/2008,18.91,19.13,19.32,18.73,33129322.0
4/29/2008,20.22,18.54,20.22,17.75,49327033.0
4/30/2008,20.86,20.35,21.2,20.27,36885814.0
5/1/2008,21.35,21.1,21.91,20.98,29098835.0
5/2/2008,20.69,21.82,21.88,20.25,34162124.0
5/5/2008,21.27,20.71,21.38,20.21,17594234.0
5/6/2008,21.88,21.37,22.04,21.19,18978236.0
5/7/2008,22.13,22.21,22.46,21.92,25116124.0
5/8/2008,21.83,22.38,22.44,21.49,23216674.0
5/9/2008,20.72,21.45,21.67,20.63,23577947.0
5/12/2008,20.48,20.91,21.12,19.53,36887727.0
5/13/2008,20.6,20.46,20.88,20.2,13317832.0
5/14/2008,20.56,20.83,21.09,20.36,12850077.0
5/15/2008,20.56,20.63,20.73,20.28,9182059.0
5/16/2008,20.59,20.68,20.71,20.32,8516633.0
5/19/2008,20.83,20.57,21.19,20.54,11412820.0
5/20/2008,20.69,20.72,20.96,20.48,10176585.0
5/21/2008,20.21,20.67,20.86,20.13,10457818.0
5/22/2008,19.33,20.14,20.15,19.04,21329340.0
5/23/2008,19.09,18.96,19.33,18.78,10555933.0
5/27/2008,19.69,19.23,19.74,18.59,15703674.0
5/28/2008,20.48,20.07,20.49,19.89,13258672.0
5/29/2008,21.31,20.86,21.74,20.75,25153257.0
5/30/2008,21.59,21.51,21.89,21.45,18012046.0
6/2/2008,21.52,21.55,21.74,21.15,9213955.0
6/3/2008,21.89,21.75,21.99,21.51,12121063.0
6/4/2008,21.37,21.77,22.03,21.32,10176128.0
6/5/2008,21.81,21.62,21.81,21.4,6764868.0
6/6/2008,20.91,21.48,21.5,20.89,10442944.0
6/9/2008,20.54,21.0,21.24,20.14,11309911.0
6/10/2008,20.08,20.08,20.72,19.9,9021514.0
6/11/2008,19.44,20.25,20.25,19.4,14259070.0
6/12/2008,19.89,19.74,20.19,19.64,11151319.0
6/13/2008,20.38,20.07,20.45,20.04,7679436.0
6/16/2008,20.82,20.37,20.88,20.28,8601706.0
6/17/2008,21.17,21.03,21.25,20.92,8322483.0
6/18/2008,20.97,20.93,21.18,20.86,8439424.0
6/19/2008,21.07,20.87,21.1,20.41,9233412.0
6/20/2008,20.89,20.74,21.13,20.69,10646181.0
6/23/2008,20.27,20.96,21.09,20.26,7542506.0
6/24/2008,20.67,20.02,20.74,19.63,12477092.0
6/25/2008,20.52,20.84,21.11,20.47,12681160.0
6/26/2008,19.78,20.15,20.19,19.51,19145922.0
6/27/2008,20.65,19.7,20.72,19.64,44011594.0
6/30/2008,20.33,20.5,20.71,20.08,12332415.0
7/1/2008,20.35,19.91,20.35,19.8,11232653.0
7/2/2008,19.86,20.48,20.6,19.83,8460983.0
7/3/2008,19.52,19.84,19.95,19.31,7189465.0
7/7/2008,18.91,19.63,19.99,18.5,19989289.0
7/8/2008,19.77,18.72,19.88,18.06,23953132.0
7/9/2008,18.97,19.75,19.78,18.85,13832529.0
7/10/2008,19.31,18.94,19.41,18.47,13212757.0
7/11/2008,18.64,18.9,19.36,18.5,13661299.0
7/14/2008,18.15,19.02,19.05,18.13,10673519.0
7/15/2008,17.11,17.82,17.83,16.82,21074684.0
7/16/2008,18.06,17.08,18.14,16.63,23122191.0
7/17/2008,18.77,18.43,18.77,17.84,16823018.0
7/18/2008,18.35,18.56,18.62,18.03,11658339.0
7/21/2008,17.98,18.48,18.74,17.89,13234270.0
7/22/2008,18.51,17.4,18.56,16.98,16355726.0
7/23/2008,18.31,18.38,18.75,18.15,12488398.0
7/24/2008,17.52,18.23,18.43,17.49,9157989.0
7/25/2008,17.99,17.64,18.09,17.27,9672606.0
7/28/2008,17.64,18.1,18.4,17.56,8927799.0
7/29/2008,18.99,17.76,18.99,17.75,12269426.0
7/30/2008,19.61,19.31,19.73,18.57,19022279.0
7/31/2008,18.27,19.06,19.54,17.87,37227383.0
8/1/2008,17.93,18.33,18.53,17.59,15433918.0
8/4/2008,18.13,17.94,18.4,17.88,10673092.0
8/5/2008,18.4,18.3,18.56,18.08,8591677.0
8/6/2008,17.87,18.2,18.2,17.77,10230919.0
8/7/2008,17.38,17.7,17.81,17.34,10970932.0
8/8/2008,18.15,17.44,18.21,17.28,9089675.0
8/11/2008,18.7,18.11,19.13,17.99,13822469.0
8/12/2008,18.2,18.55,18.7,18.15,8435425.0
8/13/2008,18.48,18.19,18.54,18.12,7483743.0
8/14/2008,18.95,18.47,18.95,18.4,6463482.0
8/15/2008,18.95,19.0,19.13,18.71,6502303.0
8/18/2008,18.74,18.91,19.06,18.54,6464820.0
8/19/2008,18.44,18.61,18.81,18.4,5280776.0
8/20/2008,18.64,18.53,18.68,18.42,4529850.0
