Date,Close,Open,High,Low,Volume
9/25/2023,,,,,
9/26/2023,,,,,
9/27/2023,80.6,77.25,83.9,77.25,850237.0
9/28/2023,84.65,81.5,87.5,81.01,926153.0
9/29/2023,84.56,85.94,86.99,84.5,991246.0
10/2/2023,85.12,83.11,89.0,81.53,23045074.0
10/3/2023,77.05,82.65,83.25,76.01,12671218.0
10/4/2023,77.8,76.67,80.62,76.35,8358286.0
10/5/2023,74.45,76.3,76.99,72.65,15351915.0
10/6/2023,77.98,73.04,78.47,73.04,7781111.0
10/9/2023,74.61,76.75,78.0,73.73,7000973.0
10/10/2023,75.0,73.96,75.51,72.5,5385623.0
10/11/2023,74.47,74.44,76.56,73.61,4602585.0
10/12/2023,74.23,73.75,75.3,72.75,4668757.0
10/13/2023,71.85,73.63,73.99,70.47,5286581.0
10/16/2023,74.21,71.62,74.84,71.62,4555029.0
10/17/2023,74.48,73.13,75.13,73.01,2584906.0
10/18/2023,72.45,73.5,73.93,72.27,2959766.0
10/19/2023,70.29,71.82,72.74,69.95,2867355.0
10/20/2023,69.93,70.4,70.78,68.9,3151456.0
10/23/2023,71.9,69.3,72.47,67.65,4089800.0
10/24/2023,72.01,72.29,73.71,71.79,3432182.0
10/25/2023,70.79,71.3,72.34,69.78,3298234.0
10/26/2023,70.0,66.33,72.23,65.51,3537099.0
10/27/2023,67.99,68.64,69.44,67.75,3411996.0
10/30/2023,68.36,68.48,69.33,67.42,3393797.0
10/31/2023,69.0,68.92,69.73,67.65,3370678.0
11/1/2023,67.51,68.16,69.19,67.47,2503527.0
11/2/2023,70.28,68.0,70.54,66.69,2848740.0
11/3/2023,70.8,70.47,71.09,69.06,2225964.0
11/6/2023,68.26,70.05,70.07,68.08,2854957.0
11/7/2023,70.07,67.75,70.25,67.36,2133633.0
11/8/2023,69.8,69.8,70.32,69.55,2053773.0
11/9/2023,69.63,69.09,70.32,69.09,2020509.0
11/10/2023,70.55,69.31,70.78,69.14,1645264.0
11/13/2023,72.98,70.28,73.2,70.18,2964323.0
11/14/2023,73.63,73.85,74.1,73.01,2814594.0
11/15/2023,73.91,73.47,74.64,73.01,3437210.0
