Date,Close,Open,High,Low,Volume
1991-07-24,4.5,4.5,4.63,4.5,1000500.0
1991-07-25,4.56,4.56,4.63,4.5,157300.0
1991-07-26,4.63,4.63,4.63,4.5,200900.0
1991-07-29,4.63,4.63,4.63,4.5,37700.0
1991-07-30,4.5,4.5,4.63,4.5,177200.0
1991-07-31,4.5,4.5,4.63,4.5,186000.0
1991-08-01,4.5,4.5,4.56,4.5,78500.0
1991-08-02,4.56,4.56,4.63,4.56,110400.0
1991-08-05,4.63,4.63,4.63,4.5,51900.0
1991-08-06,4.63,4.63,4.63,4.56,62300.0
1991-08-07,4.5,4.5,4.63,4.5,111200.0
1991-08-08,4.56,4.56,4.63,4.5,48500.0
1991-08-09,4.5,4.5,4.63,4.5,86000.0
1991-08-12,4.5,4.5,4.63,4.5,20800.0
1991-08-13,4.5,4.5,4.63,4.5,31500.0
1991-08-14,4.63,4.63,4.63,4.56,51100.0
1991-08-15,4.5,4.5,4.63,4.5,15900.0
1991-08-16,4.5,4.5,4.63,4.5,34900.0
1991-08-19,4.38,4.38,4.5,4.19,37700.0
1991-08-20,4.38,4.38,4.44,4.25,28900.0
1991-08-21,4.44,4.44,4.44,4.31,7000.0
1991-08-22,4.38,4.38,4.5,4.31,20700.0
1991-08-23,4.31,4.31,4.5,4.31,8500.0
1991-08-26,4.56,4.56,4.56,4.31,38800.0
1991-08-27,4.63,4.63,4.69,4.5,36300.0
1991-08-28,4.69,4.69,4.69,4.5,36700.0
1991-08-29,4.94,4.94,4.94,4.56,89000.0
1991-08-30,5.19,5.19,5.19,4.81,72900.0
1991-09-03,5.13,5.13,5.5,5.13,163100.0
1991-09-04,5.0,5.0,5.25,5.0,69500.0
1991-09-05,5.0,5.0,5.19,5.0,72500.0
1991-09-06,5.0,5.0,5.13,5.0,17900.0
1991-09-09,4.88,4.88,5.13,4.88,16900.0
1991-09-10,5.06,5.06,5.06,4.88,15100.0
1991-09-11,5.0,5.0,5.13,4.88,83700.0
1991-09-12,5.19,5.19,5.31,5.06,364700.0
